pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-05-22,85.8,-1.49,5.71,"Hatch, Thomas",666139,641672,strikeout,swinging_strike_blocked,,,,,14,"Josh Lowe strikes out swinging, catcher Alejandro Kirk to first baseman Vladimir Guerrero Jr.",R,L,R,TB,TOR,S,2.0,,1,2,2023,0.31,-0.12,1.2,0.46,,664040.0,,2,8,Bot,,,,,672386,,,5.774504816459992,-124.86627249581323,-5.960545960479189,2.0971242043077685,24.224686910206053,-32.46613523035564,3.76,1.84,,,,86.4,2563,6.6,718077,641672,672386,665489,593160,656305,666182,662139,595281,543807,53.93,,,0.0,1.0,0.0,0.0,,63,4,Cutter,6,2,6,2,2,6,6,2,Standard,Standard,95,-0.002,-0.221
CH,2023-05-22,84.9,-1.5,5.71,"Hatch, Thomas",666139,641672,,swinging_strike,,,,,13,"Josh Lowe strikes out swinging, catcher Alejandro Kirk to first baseman Vladimir Guerrero Jr.",R,L,R,TB,TOR,S,,,1,1,2023,-0.36,0.26,-0.72,1.29,,664040.0,,2,8,Bot,,,,,672386,,,2.537404054524517,-123.71247680423704,-4.668303034629889,-4.16046149434173,20.805356371410344,-28.849235932502737,3.76,1.84,,,,85.7,1973,6.4,718077,641672,672386,665489,593160,656305,666182,662139,595281,543807,54.13,,,,,,,,63,3,Changeup,6,2,6,2,2,6,6,2,Standard,Standard,231,0.0,-0.073
CH,2023-05-22,85.3,-1.43,5.66,"Hatch, Thomas",666139,641672,,blocked_ball,,,,,13,"Josh Lowe strikes out swinging, catcher Alejandro Kirk to first baseman Vladimir Guerrero Jr.",R,L,R,TB,TOR,B,,,0,1,2023,-0.77,0.34,-0.18,0.29,,664040.0,,2,8,Bot,,,,,672386,,,4.513690907541481,-124.12153751768206,-7.127694216060792,-8.837059812157891,23.390922105292574,-27.4384294904004,3.71,1.84,,,,86.1,2044,6.7,718077,641672,672386,665489,593160,656305,666182,662139,595281,543807,53.8,,,,,,,,63,2,Changeup,6,2,6,2,2,6,6,2,Standard,Standard,231,0.0,0.028
FF,2023-05-22,93.9,-1.45,5.58,"Hatch, Thomas",666139,641672,,foul,,,,,4,"Josh Lowe strikes out swinging, catcher Alejandro Kirk to first baseman Vladimir Guerrero Jr.",R,L,R,TB,TOR,S,,,0,0,2023,-0.33,1.7,-0.61,3.07,,664040.0,,2,8,Bot,,,,,672386,,,2.927454094766168,-136.64150685090925,-4.526012279914943,-4.847773051991489,31.767310719451785,-10.142999319265035,3.76,1.84,90.0,79.2,11.0,94.0,2517,6.5,718077,641672,672386,665489,593160,656305,666182,662139,595281,543807,54.0,,,,,,,,63,1,4-Seam Fastball,6,2,6,2,2,6,6,2,Standard,Standard,212,0.0,-0.056
CH,2023-05-22,84.5,-1.42,5.72,"Hatch, Thomas",670623,641672,strikeout,swinging_strike,,,,,6,Isaac Paredes strikes out swinging.,R,R,R,TB,TOR,S,2.0,,1,2,2023,-0.31,0.58,0.37,2.67,,664040.0,,1,8,Bot,,,,,672386,,,4.8199613101694325,-123.06264895972036,-2.0133796840006597,-4.03332588647448,20.9141133121439,-26.03155883128412,3.21,1.54,,,,85.6,2083,6.7,718077,641672,672386,665489,593160,656305,666182,662139,595281,543807,53.85,,,0.0,1.0,0.0,0.0,,62,4,Changeup,6,2,6,2,2,6,6,2,Strategic,Standard,214,-0.002,-0.229
CH,2023-05-22,85.6,-1.49,5.68,"Hatch, Thomas",670623,641672,,blocked_ball,,,,,14,Isaac Paredes strikes out swinging.,R,R,R,TB,TOR,B,,,0,2,2023,-0.23,0.6,0.38,0.37,,664040.0,,1,8,Bot,,,,,672386,,,4.903827973299091,-124.52132947662356,-7.593913991543097,-3.291415598679748,21.631778260272565,-24.66440913236381,3.21,1.54,,,,86.6,2026,6.6,718077,641672,672386,665489,593160,656305,666182,662139,595281,543807,53.87,,,,,,,,62,3,Changeup,6,2,6,2,2,6,6,2,Strategic,Standard,238,0.0,0.035
FC,2023-05-22,86.9,-1.51,5.82,"Hatch, Thomas",670623,641672,,foul,,,,,6,Isaac Paredes strikes out swinging.,R,R,R,TB,TOR,S,,,0,1,2023,0.56,0.08,0.31,2.69,,664040.0,,1,8,Bot,,,,,672386,,,3.229133323753324,-126.5383225682266,-1.510948119451806,5.353709321699965,24.870452223851675,-31.22735277973757,3.21,1.54,229.0,76.5,47.0,87.3,2568,6.4,718077,641672,672386,665489,593160,656305,666182,662139,595281,543807,54.06,,,,,,,,62,2,Cutter,6,2,6,2,2,6,6,2,Strategic,Standard,126,0.0,-0.109
FC,2023-05-22,87.7,-1.58,5.74,"Hatch, Thomas",670623,641672,,swinging_strike,,,,,14,Isaac Paredes strikes out swinging.,R,R,R,TB,TOR,S,,,0,0,2023,0.48,0.42,0.85,1.81,,664040.0,,1,8,Bot,,,,,672386,,,4.908113595792057,-127.64573483052726,-4.287672211778418,4.315656068751182,24.80401119680305,-26.934248535053754,3.21,1.54,,,,88.2,2511,6.4,718077,641672,672386,665489,593160,656305,666182,662139,595281,543807,54.05,,,,,,,,62,1,Cutter,6,2,6,2,2,6,6,2,Strategic,Standard,147,0.0,-0.059
CH,2023-05-22,85.5,-1.49,5.72,"Hatch, Thomas",668227,641672,strikeout,swinging_strike_blocked,,,,,13,"Randy Arozarena strikes out swinging, catcher Alejandro Kirk to first baseman Vladimir Guerrero Jr.",R,R,R,TB,TOR,S,2.0,,1,2,2023,-0.64,0.27,-0.17,0.47,,664040.0,,0,8,Bot,,,,,672386,,,4.425817966585525,-124.41942964765931,-6.736062232140541,-7.531844271455528,22.61852457597959,-28.330694092708825,3.23,1.52,,,,86.3,2050,6.6,718077,641672,672386,665489,593160,656305,666182,662139,595281,543807,53.91,,,0.0,1.0,0.0,0.0,,61,4,Changeup,6,2,6,2,2,6,6,2,Standard,Standard,226,-0.002,-0.32
FC,2023-05-22,86.3,-1.61,5.76,"Hatch, Thomas",668227,641672,,called_strike,,,,,5,"Randy Arozarena strikes out swinging, catcher Alejandro Kirk to first baseman Vladimir Guerrero Jr.",R,R,R,TB,TOR,S,,,1,1,2023,0.71,0.19,-0.05,2.62,,664040.0,,0,8,Bot,,,,,672386,,,2.254274946014116,-125.80113130436185,-1.6556663430556218,7.155223110398903,24.960412899290773,-30.01982244204717,3.32,1.56,,,,86.5,2555,6.3,718077,641672,672386,665489,593160,656305,666182,662139,595281,543807,54.2,,,,,,,,61,3,Cutter,6,2,6,2,2,6,6,2,Strategic,Standard,140,0.0,-0.066
