pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-04-12,95.6,2.41,6.3,"Hearn, Taylor",669004,621368,strikeout,swinging_strike,,,,,13,MJ Melendez strikes out swinging.,R,L,L,TEX,KC,S,2.0,,1,2,2023,0.79,1.35,-1.2,2.56,686681.0,658668.0,,2,7,Top,,,,,506702,,,-11.28434176703944,-138.6305912089845,-7.272892221241526,12.635392645736324,30.705596950655547,-13.208400771732276,3.45,1.7,,,,95.7,2378,6.5,718595,621368,506702,663993,543760,673962,669701,543257,665750,666969,54.0,,,0.0,1.0,0.0,0.0,,59,4,4-Seam Fastball,1,10,10,1,10,1,10,1,Standard,Standard,140,0.0,-0.473
SL,2023-04-12,86.1,2.44,6.37,"Hearn, Taylor",669004,621368,,swinging_strike,,,,,3,MJ Melendez strikes out swinging.,R,L,L,TEX,KC,S,,,1,1,2023,-0.17,0.06,0.34,3.54,686681.0,658668.0,,2,7,Top,,,,,506702,,,-4.641927112862933,-125.41064783988428,-0.6349779559234701,-0.9555938983390616,24.16355605706551,-31.637398422509207,3.45,1.7,,,,86.2,2067,6.2,718595,621368,506702,663993,543760,673962,669701,543257,665750,666969,54.31,,,,,,,,59,3,Slider,1,10,10,1,10,1,10,1,Strategic,Standard,259,0.0,-0.098
FF,2023-04-12,95.1,2.38,6.36,"Hearn, Taylor",669004,621368,,called_strike,,,,,1,MJ Melendez strikes out swinging.,R,L,L,TEX,KC,S,,,1,0,2023,0.77,1.4,-0.71,3.27,686681.0,658668.0,,2,7,Top,,,,,506702,,,-9.858528061453407,-138.16631424352846,-5.625482781979768,11.980042578000234,30.19249180562036,-13.079507678379414,3.45,1.75,,,,95.7,2313,6.7,718595,621368,506702,663993,543760,673962,669701,543257,665750,666969,53.84,,,,,,,,59,2,4-Seam Fastball,1,10,10,1,10,1,10,1,Standard,Standard,137,0.0,-0.042
FF,2023-04-12,96.2,2.46,6.38,"Hearn, Taylor",669004,621368,,ball,,,,,13,MJ Melendez strikes out swinging.,R,L,L,TEX,KC,B,,,0,0,2023,0.76,1.46,-1.47,1.92,686681.0,658668.0,,2,7,Top,,,,,506702,,,-12.092909796038768,-139.3305928714113,-9.513288596217905,12.47639970666236,30.0981673537132,-11.06786573869026,3.47,1.75,,,,96.2,2421,6.4,718595,621368,506702,663993,543760,673962,669701,543257,665750,666969,54.05,,,,,,,,59,1,4-Seam Fastball,1,10,10,1,10,1,10,1,Standard,Standard,154,0.0,0.062
SL,2023-04-12,88.3,2.4,6.37,"Hearn, Taylor",670032,621368,field_out,hit_into_play,,,,,11,"Nicky Lopez grounds out, second baseman Marcus Semien to first baseman Nathaniel Lowe.   Michael Massey to 3rd.    Edward Olivares to 2nd.",R,L,L,TEX,KC,X,4.0,ground_ball,0,2,2023,0.0,0.24,-1.01,2.18,,686681.0,658668.0,1,7,Top,146.16,155.21,,,506702,,,-8.327909328514936,-128.3723998869764,-4.645011509029243,1.716399822064569,25.827431769338503,-28.71406304440712,2.92,1.33,3.0,77.1,-39.0,88.5,2171,6.4,718595,621368,506702,663993,543760,673962,669701,543257,665750,666969,54.12,0.083,0.075,0.0,1.0,0.0,0.0,2.0,58,3,Slider,1,10,10,1,10,1,10,1,Standard,Standard,211,0.001,-0.416
FF,2023-04-12,96.7,2.51,6.4,"Hearn, Taylor",670032,621368,,called_strike,,,,,11,"Nicky Lopez grounds out, second baseman Marcus Semien to first baseman Nathaniel Lowe.   Michael Massey to 3rd.    Edward Olivares to 2nd.",R,L,L,TEX,KC,S,,,0,1,2023,0.72,1.46,-0.83,2.22,,686681.0,658668.0,1,7,Top,,,,,506702,,,-10.529647780203858,-140.2988279886953,-8.898749138476484,11.788114420094368,30.02048922790611,-11.005813099596942,2.84,1.28,,,,96.7,2281,6.4,718595,621368,506702,663993,543760,673962,669701,543257,665750,666969,54.15,,,,,,,,58,2,4-Seam Fastball,1,10,10,1,10,1,10,1,Standard,Standard,141,0.0,-0.116
FF,2023-04-12,96.4,2.55,6.33,"Hearn, Taylor",670032,621368,,foul,,,,,2,"Nicky Lopez grounds out, second baseman Marcus Semien to first baseman Nathaniel Lowe.   Michael Massey to 3rd.    Edward Olivares to 2nd.",R,L,L,TEX,KC,S,,,0,0,2023,0.92,1.25,0.27,2.61,,686681.0,658668.0,1,7,Top,,,,,506702,,,-8.14874830930647,-140.0020648605227,-7.091617994208103,14.020829897594489,33.56241381837701,-14.25594770537159,2.92,1.33,199.0,75.3,56.0,96.1,2319,6.3,718595,621368,506702,663993,543760,673962,669701,543257,665750,666969,54.16,,,,,,,,58,1,4-Seam Fastball,1,10,10,1,10,1,10,1,Standard,Standard,145,0.0,-0.091
SL,2023-04-12,86.8,2.69,6.4,"Hearn, Taylor",658668,621368,single,hit_into_play,,,,,1,Edward Olivares singles on a fly ball to center fielder Leody Taveras.   Franmil Reyes scores.    Michael Massey to 2nd.,R,R,L,TEX,KC,X,8.0,fly_ball,0,0,2023,-0.27,0.13,-0.48,3.19,614177.0,,686681.0,1,7,Top,117.63,107.96,,,506702,,,-7.024286910450821,-126.25218023284393,-1.7886226209838196,-1.5833189089254087,24.306008330039592,-30.664732613971463,3.51,1.71,221.0,68.2,36.0,87.0,2084,6.3,718595,621368,506702,663993,543760,673962,669701,543257,665750,666969,54.19,0.769,0.718,0.9,1.0,1.0,0.0,4.0,57,1,Slider,1,9,9,1,10,1,10,1,Standard,Standard,245,-0.001,0.819
SL,2023-04-12,87.5,2.54,6.3,"Hearn, Taylor",686681,621368,single,hit_into_play,,,,,8,Michael Massey singles on a sharp line drive to center fielder Leody Taveras.   Vinnie Pasquantino scores.    Kyle Isbel scores.    Franmil Reyes to 3rd.,R,L,L,TEX,KC,X,8.0,line_drive,2,1,2023,-0.2,0.07,-0.19,1.86,686469.0,664728.0,614177.0,1,7,Top,94.07,67.68,,,506702,,,-6.180560945184954,-127.37858915201456,-4.787521935247335,-1.0303650052846038,24.334456916041745,-30.69093167413227,3.5,1.71,268.0,101.5,15.0,88.0,2097,6.4,718595,621368,506702,663993,543760,673962,669701,543257,665750,666969,54.08,0.649,0.656,0.9,1.0,1.0,0.0,4.0,56,4,Slider,1,7,7,1,9,1,9,1,Strategic,Standard,268,-0.007,1.26
SL,2023-04-12,87.6,2.41,6.33,"Hearn, Taylor",686681,621368,,ball,,,,,13,Michael Massey singles on a sharp line drive to center fielder Leody Taveras.   Vinnie Pasquantino scores.    Kyle Isbel scores.    Franmil Reyes to 3rd.,R,L,L,TEX,KC,B,,,1,1,2023,-0.05,0.24,-1.08,1.55,686469.0,664728.0,614177.0,1,7,Top,,,,,506702,,,-8.352399047733607,-127.34890129060186,-5.963858141036871,1.0456670786542064,23.862869170033797,-28.59975699583268,3.57,1.75,,,,88.1,2081,6.4,718595,621368,506702,663993,543760,673962,669701,543257,665750,666969,54.06,,,,,,,,56,3,Slider,1,7,7,1,7,1,7,1,Strategic,Standard,234,0.0,0.086
