pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-22,98.8,-1.17,5.55,"Hernández, Jonathan",668804,642546,single,hit_into_play,,,,,5,"Bryan Reynolds singles on a line drive to right fielder Adolis Garcia.  Andrew McCutchen out at home on the throw, right fielder Adolis Garcia to catcher Jonah Heim.",R,L,R,PIT,TEX,X,9.0,line_drive,2,2,2023,-1.41,0.89,0.03,2.17,,457705.0,,2,8,Bot,172.06,103.59,,,641680,,,6.566844113804946,-143.65006491450794,-5.841735412016675,-21.070067706260392,32.8606743040626,-18.649218774624504,3.02,1.49,237.0,107.1,11.0,99.0,2292.0,6.4,718075,642546,641680,663993,543760,673962,608369,543257,665750,666969,54.08,0.903,0.929,0.9,1.0,1.0,0.0,4.0,68,5,Sinker,6,2,6,2,2,6,6,2,Strategic,Standard,235.0,-0.002,0.851
SI,2023-05-22,98.0,-1.53,5.26,"Hernández, Jonathan",668804,642546,,foul,,,,,4,"Bryan Reynolds singles on a line drive to right fielder Adolis Garcia.  Andrew McCutchen out at home on the throw, right fielder Adolis Garcia to catcher Jonah Heim.",R,L,R,PIT,TEX,S,,,2,1,2023,-1.42,0.79,-0.51,2.35,,457705.0,,2,8,Bot,,,,,641680,,,6.057432402094976,-142.5854681560536,-4.213810237224387,-20.764440344738038,32.6521235492293,-20.68379879304684,3.02,1.49,241.0,80.8,39.0,98.6,2234.0,6.6,718075,642546,641680,663993,543760,673962,608369,543257,665750,666969,53.9,,,,,,,,68,4,Sinker,6,2,6,2,2,6,6,2,Strategic,Standard,240.0,0.0,-0.086
CH,2023-05-22,90.0,-1.26,5.32,"Hernández, Jonathan",668804,642546,,called_strike,,,,,6,"Bryan Reynolds singles on a line drive to right fielder Adolis Garcia.  Andrew McCutchen out at home on the throw, right fielder Adolis Garcia to catcher Jonah Heim.",R,L,R,PIT,TEX,S,,,2,0,2023,-1.53,0.6,0.62,2.29,,457705.0,,2,8,Bot,,,,,641680,,,7.914923248264256,-130.8987692533387,-2.832025100279404,-19.277990724125097,27.089301720771317,-24.819122038537863,2.85,1.42,,,,90.2,2331.0,6.4,718075,642546,641680,663993,543760,673962,608369,543257,665750,666969,54.12,,,,,,,,68,3,Changeup,6,2,6,2,2,6,6,2,Strategic,Standard,243.0,0.0,-0.066
SI,2023-05-22,98.1,-1.46,5.35,"Hernández, Jonathan",668804,642546,,ball,,,,,11,"Bryan Reynolds singles on a line drive to right fielder Adolis Garcia.  Andrew McCutchen out at home on the throw, right fielder Adolis Garcia to catcher Jonah Heim.",R,L,R,PIT,TEX,B,,,1,0,2023,-1.52,0.75,-0.83,3.22,,,457705.0,2,8,Bot,,,,,641680,,,5.241983115217794,-142.78695682075187,-2.0245670132224363,-21.95982023357896,33.48522388778137,-21.656353220858087,3.02,1.47,,,,98.4,2212.0,6.5,718075,642546,641680,663993,543760,673962,608369,543257,665750,666969,53.99,,,,,,,,68,2,Sinker,6,2,6,2,2,6,6,2,Strategic,Standard,241.0,0.001,0.033
CH,2023-05-22,90.4,-1.43,5.23,"Hernández, Jonathan",668804,642546,,ball,,,,,14,"Bryan Reynolds singles on a line drive to right fielder Adolis Garcia.  Andrew McCutchen out at home on the throw, right fielder Adolis Garcia to catcher Jonah Heim.",R,L,R,PIT,TEX,B,,,0,0,2023,-1.48,0.41,0.17,0.83,,,457705.0,2,8,Bot,,,,,641680,,,7.169802766923334,-131.41478835637403,-5.917445451861078,-18.677132652404072,27.033394913058704,-26.327987741323312,3.01,1.45,,,,90.9,2280.0,6.6,718075,642546,641680,663993,543760,673962,608369,543257,665750,666969,53.9,,,,,,,,68,1,Changeup,6,2,6,2,2,6,6,2,Strategic,Standard,238.0,0.0,0.027
CH,2023-05-22,90.0,-1.39,5.28,"Hernández, Jonathan",457705,642546,single,hit_into_play,,,,,8,Andrew McCutchen singles on a ground ball to left fielder Robbie Grossman.,R,R,R,PIT,TEX,X,7.0,ground_ball,2,2,2023,-1.59,0.27,0.03,1.62,,,,2,8,Bot,99.94,122.99,,,641680,,,6.915319231482416,-130.947450601148,-3.685950536556396,-19.74992594146163,27.59739905159348,-28.536441109136824,3.32,1.6,56.0,85.9,3.0,90.4,2151.0,6.5,718075,642546,641680,663993,543760,673962,608369,543257,665750,666969,53.95,0.309,0.278,0.9,1.0,1.0,0.0,2.0,67,5,Changeup,6,2,6,2,2,6,6,2,Standard,Standard,243.0,0.0,0.149
SL,2023-05-22,87.9,-1.31,5.37,"Hernández, Jonathan",457705,642546,,ball,,,,,14,Andrew McCutchen singles on a ground ball to left fielder Robbie Grossman.,R,R,R,PIT,TEX,B,,,1,2,2023,0.05,0.01,1.86,1.74,,,,2,8,Bot,,,,,641680,,,7.643043831850919,-127.79477693658802,-2.7068528543380124,-1.046537758130753,26.339556527824907,-31.706026307681004,3.32,1.58,,,,88.6,2337.0,6.8,718075,642546,641680,663993,543760,673962,608369,543257,665750,666969,53.73,,,,,,,,67,4,Slider,6,2,6,2,2,6,6,2,Standard,Standard,109.0,0.0,0.018
SL,2023-05-22,87.9,-1.39,5.31,"Hernández, Jonathan",457705,642546,,ball,,,,,14,Andrew McCutchen singles on a ground ball to left fielder Robbie Grossman.,R,R,R,PIT,TEX,B,,,0,2,2023,0.25,0.07,1.84,1.68,,,,2,8,Bot,,,,,641680,,,7.315734343650639,-127.82413054164824,-2.835810905632879,1.2787780932340869,25.6447351743458,-31.006771360741144,3.32,1.65,,,,88.2,2322.0,6.5,718075,642546,641680,663993,543760,673962,608369,543257,665750,666969,54.05,,,,,,,,67,3,Slider,6,2,6,2,2,6,6,2,Standard,Standard,137.0,0.0,0.014
CH,2023-05-22,89.8,-1.3,5.28,"Hernández, Jonathan",457705,642546,,swinging_strike,,,,,7,Andrew McCutchen singles on a ground ball to left fielder Robbie Grossman.,R,R,R,PIT,TEX,S,,,0,1,2023,-1.62,0.27,-0.71,1.84,,,,2,8,Bot,,,,,641680,,,4.930892760315992,-130.6366426411508,-3.101208320277124,-19.59490662654406,28.124544528290404,-28.67052607787273,3.32,1.6,,,,90.2,2107.0,6.6,718075,642546,641680,663993,543760,673962,608369,543257,665750,666969,53.93,,,,,,,,67,2,Changeup,6,2,6,2,2,6,6,2,Standard,Standard,247.0,0.0,-0.025
SI,2023-05-22,98.0,-1.3,5.52,"Hernández, Jonathan",457705,642546,,foul,,,,,8,Andrew McCutchen singles on a ground ball to left fielder Robbie Grossman.,R,R,R,PIT,TEX,S,,,0,0,2023,-1.56,0.57,0.09,2.02,,,,2,8,Bot,,,,,641680,,,7.396734577924869,-142.4756587955492,-5.306362227446075,-22.939585179688542,32.44721580517007,-23.42357254987593,3.32,1.6,3.0,75.2,-38.0,98.6,2219.0,6.6,718075,642546,641680,663993,543760,673962,608369,543257,665750,666969,53.86,,,,,,,,67,1,Sinker,6,2,6,2,2,6,6,2,Standard,Standard,232.0,0.0,-0.021
