pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-24,91.7,-1.3,6.77,"Higashioka, Kyle",543309,669330,strikeout,swinging_strike,,,,,12,Kyle Higashioka strikes out swinging.,R,R,R,NYY,BAL,S,2.0,,2,2,2023,-0.37,1.67,0.84,3.1,,,,0,5,Bot,,,,,543510,,,6.239014060146734,-133.2169413504312,-7.010434120712769,-5.821106797327802,30.89432982243092,-10.924127048818894,3.29,1.51,,,,91.7,2440,6.6,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,53.95,,,0.0,1.0,0.0,0.0,,36,5,4-Seam Fastball,4,1,4,1,1,4,4,1,Standard,Standard,200,-0.009,-0.205,kyle higashioka,
SL,2023-05-24,84.5,-1.31,6.91,"Higashioka, Kyle",543309,669330,strikeout,swinging_strike,,,,,12,Kyle Higashioka strikes out swinging.,R,R,R,NYY,BAL,S,2.0,,1,2,2023,0.23,0.37,0.97,2.59,643396.0,,,1,3,Bot,,,,,543510,,,4.864093973202093,-122.98293337965455,-4.525556013195772,1.480301987213848,22.39461542614847,-27.73274755181464,3.29,1.51,,,,85.2,2397,6.5,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,53.96,,,0.0,1.0,0.0,0.0,,20,5,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,136,-0.069,-0.312,kyle higashioka,
CU,2023-05-23,85.4,-1.11,6.43,"Higashioka, Kyle",543309,680694,strikeout,foul_tip,,,,,5,Kyle Higashioka strikes out on a foul tip.,R,R,R,NYY,BAL,S,2.0,,1,2,2023,0.55,-1.39,0.06,2.28,,,,2,4,Bot,,,,,668939,,,1.6445298837309312,-124.3293040154791,-0.5712076902256991,5.28853392644386,28.66860565382196,-46.56302392792448,3.3,1.52,,,,85.4,2670,6.6,718058,680694,668939,663624,624428,683002,622761,669720,656775,679631,53.91,,,0.0,1.0,0.0,0.0,,34,4,Curveball,1,4,1,4,4,1,1,4,Standard,Standard,32,-0.009,-0.071,kyle higashioka,
FF,2023-05-23,92.5,-1.58,6.27,"Higashioka, Kyle",543309,680694,walk,ball,,,,,11,Kyle Higashioka walks.,R,R,R,NYY,BAL,B,,,3,1,2023,0.25,0.98,-0.55,3.91,,664056.0,,2,2,Bot,,,,,668939,,,2.0646312103718736,-134.7012679426128,-2.3268238618787263,2.5781454365565595,30.973488990091923,-20.02770530023716,3.42,1.54,,,,92.6,2236,6.4,718058,680694,668939,663624,624428,683002,622761,669720,656775,679631,54.05,,,0.7,1.0,0.0,0.0,,17,5,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,190,0.012,0.049,kyle higashioka,
FF,2023-05-23,90.1,-2.29,4.67,"Higashioka, Kyle",543309,571710,field_out,hit_into_play,,,,,2,"Kyle Higashioka grounds out, shortstop Jorge Mateo to first baseman Ryan Mountcastle.",R,R,R,NYY,BAL,X,6.0,ground_ball,1,0,2023,-0.43,0.82,0.21,2.91,,,,1,6,Bot,117.63,162.73,,,668939,,,7.058121987584792,-131.01232404635013,-0.1325386146021536,-6.467743663976552,28.449819174372507,-22.920871483060232,3.3,1.52,47.0,100.6,-1.0,89.1,2282,5.8,718058,571710,668939,663624,624428,683002,622761,669720,656775,663630,54.71,0.354,0.355,0.0,1.0,0.0,0.0,4.0,54,2,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Standard,228,-0.028,-0.2,kyle higashioka,
SL,2023-05-21,86.8,-2.59,6.12,"Higashioka, Kyle",543309,668881,field_out,hit_into_play,,,,,9,"Kyle Higashioka grounds out, third baseman Nick Senzel to first baseman Spencer Steer.",R,R,R,CIN,NYY,X,5.0,ground_ball,0,0,2023,0.19,0.32,0.65,2.02,,,,0,6,Top,96.45,166.49,,,571912,,,7.372232048595859,-126.31922650885436,-4.337603843898767,0.6162386352530093,23.78475581856061,-28.05858933474542,3.3,1.52,13.0,68.0,-8.0,87.1,2288,6.3,718085,668881,571912,668715,621028,669222,680574,641584,656413,666181,54.19,0.066,0.059,0.0,1.0,0.0,0.0,2.0,37,1,Slider,1,2,2,1,2,1,2,1,Strategic,Standard,129,0.024,-0.235,kyle higashioka,
SL,2023-05-21,88.4,-2.64,6.0,"Higashioka, Kyle",543309,668881,field_out,hit_into_play,,,,,4,"Kyle Higashioka grounds out, third baseman Nick Senzel to first baseman Spencer Steer.",R,R,R,CIN,NYY,X,5.0,ground_ball,0,1,2023,0.11,0.41,-0.36,2.35,,,,2,3,Top,101.58,163.73,,,571912,,,5.3408769231242434,-128.7457304301335,-3.7302783482265744,0.1674408484212634,24.52495216793466,-27.1078830928294,3.3,1.52,15.0,71.3,-8.0,88.7,2353,6.2,718085,668881,571912,668715,621028,669222,680574,641584,656413,666181,54.27,0.083,0.075,0.0,1.0,0.0,0.0,2.0,18,2,Slider,1,0,0,1,0,1,0,1,Standard,Standard,123,0.012,-0.082,kyle higashioka,
FC,2023-05-21,83.8,-1.36,6.13,"Higashioka, Kyle",543309,643361,field_out,hit_into_play,,,,,2,Kyle Higashioka flies out to right fielder Will Benson.,R,R,R,CIN,NYY,X,9.0,fly_ball,0,2,2023,0.07,0.07,0.21,2.8,,,,0,8,Top,170.86,97.87,,,571912,,,3.436437911802676,-121.94494850779166,-1.2991112013598043,-0.1435441957545275,28.46496408361716,-31.428808634192787,3.3,1.52,276.0,82.1,37.0,82.2,2272,5.6,718085,643361,571912,668715,621028,669222,680574,641584,656413,666181,54.89,0.017,0.017,0.0,1.0,0.0,0.0,3.0,52,3,Cutter,1,4,4,1,4,1,4,1,Standard,Standard,45,0.007,-0.149,kyle higashioka,
SL,2023-05-19,80.1,-1.58,5.15,"Higashioka, Kyle",543309,594902,strikeout,foul_tip,,,,,14,Kyle Higashioka strikes out on a foul tip.,R,R,R,CIN,NYY,S,2.0,,1,2,2023,1.04,0.11,1.25,1.58,,,,2,5,Top,,,,,663886,,,4.331731667260398,-116.6555342203316,-1.438541735572079,8.730954731406282,20.788838299273035,-31.13813240122367,3.31,1.53,,,,81.3,1992,6.9,718120,594902,663886,668715,663697,669222,680574,641584,676480,571976,53.57,,,0.0,1.0,0.0,0.0,,31,4,Slider,0,1,1,0,1,0,1,0,Standard,Standard,78,0.011,-0.071,kyle higashioka,
CU,2023-05-19,75.9,-1.07,5.48,"Higashioka, Kyle",543309,594902,strikeout,called_strike,,,,,14,Kyle Higashioka called out on strikes.,R,R,R,CIN,NYY,S,2.0,,0,2,2023,0.87,-0.87,1.18,1.87,,,,2,2,Top,,,,,663886,,,3.207307566106352,-110.58410573447192,1.056391297520776,6.647747881291934,18.379222792455003,-39.73029089441779,3.25,1.43,,,,77.1,1972,6.9,718120,594902,663886,668715,663697,669222,680574,641584,676480,571976,53.57,,,0.0,1.0,0.0,0.0,,11,3,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,51,0.01,-0.057,kyle higashioka,
