pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-25,87.8,3.9,3.15,"Hill, Tim",600869,657612,double,hit_into_play,,,,,14,Jeimer Candelario doubles (14) on a ground ball to right fielder Fernando Tatis Jr.  Luis Garcia scores.    Joey Meneses to 3rd.,R,R,L,WSH,SD,X,9.0,ground_ball,1,1,2023,1.54,-0.25,1.18,2.38,,671277.0,608841.0,0,7,Bot,170.75,160.72,,,664954,,,-9.883667267974976,-127.34551645439248,4.91329350453368,18.772196776427798,25.93371797584283,-36.20841635231509,3.25,1.62,48.0,94.6,0.0,88.8,2034.0,7.0,718035,657612,664954,641525,630105,596059,593428,665742,663757,665487,53.46,0.366,0.361,1.25,1.0,1.0,1.0,2.0,64,3,Sinker,1,5,1,5,5,2,2,5,Standard,Standard,83.0,0.154,1.454
FF,2023-05-25,90.1,3.85,3.45,"Hill, Tim",600869,657612,,ball,,,,,12,Jeimer Candelario doubles (14) on a ground ball to right fielder Fernando Tatis Jr.  Luis Garcia scores.    Joey Meneses to 3rd.,R,R,L,WSH,SD,B,,,0,1,2023,1.68,0.18,1.42,2.75,,671277.0,608841.0,0,7,Bot,,,,,664954,,,-9.69913555903764,-130.80073105726603,3.946992876379064,21.35555304447653,28.782793219690635,-31.28122894148609,3.39,1.63,,,,90.9,2254.0,7.0,718035,657612,664954,641525,630105,596059,593428,665742,663757,665487,53.47,,,,,,,,64,2,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,86.0,0.0,0.088
SI,2023-05-25,87.8,4.04,3.2,"Hill, Tim",600869,657612,,called_strike,,,,,9,Jeimer Candelario doubles (14) on a ground ball to right fielder Fernando Tatis Jr.  Luis Garcia scores.    Joey Meneses to 3rd.,R,R,L,WSH,SD,S,,,0,0,2023,1.52,-0.31,0.32,1.86,,671277.0,608841.0,0,7,Bot,,,,,664954,,,-12.2574872821302,-127.20708424910208,3.619637597825355,18.950609702867634,25.30656785029509,-36.556855415941584,3.27,1.56,,,,88.7,2216.0,7.0,718035,657612,664954,641525,630105,596059,593428,665742,663757,665487,53.45,,,,,,,,64,1,Sinker,1,5,1,5,5,1,1,5,Standard,Standard,88.0,0.0,-0.111
FF,2023-05-25,89.5,3.7,3.31,"Hill, Tim",608841,657612,single,hit_into_play,,,,,13,"Joey Meneses singles on a sharp ground ball to shortstop Xander Bogaerts, deflected by third baseman Rougned Odor.   Luis Garcia to 2nd.",R,R,L,WSH,SD,X,5.0,ground_ball,2,1,2023,1.84,-0.04,-0.85,2.12,,,671277.0,0,7,Bot,109.56,169.88,,,664954,,,-15.276742116370992,-129.23783077710908,3.405185733081507,24.018227145468305,30.532174307829315,-33.81792272352772,3.47,1.68,96.0,102.6,5.0,89.7,2290.0,7.2,718035,657612,664954,641525,630105,596059,593428,665742,663757,665487,53.34,0.586,0.54,0.9,1.0,1.0,0.0,4.0,63,4,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,52.0,0.055,0.636
FF,2023-05-25,89.7,3.76,3.28,"Hill, Tim",608841,657612,,ball,,,,,7,"Joey Meneses singles on a sharp ground ball to shortstop Xander Bogaerts, deflected by third baseman Rougned Odor.   Luis Garcia to 2nd.",R,R,L,WSH,SD,B,,,1,1,2023,1.85,0.0,-0.8,2.2,,,671277.0,0,7,Bot,,,,,664954,,,-15.350034569819336,-129.41817172197656,3.5858749004427266,24.26957407432308,31.444302754893773,-33.45330098068393,3.55,1.7,,,,89.8,2279.0,7.2,718035,657612,664954,641525,630105,596059,593428,665742,663757,665487,53.28,,,,,,,,63,3,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,93.0,0.0,0.059
FF,2023-05-25,87.7,4.12,3.21,"Hill, Tim",608841,657612,,called_strike,,,,,14,"Joey Meneses singles on a sharp ground ball to shortstop Xander Bogaerts, deflected by third baseman Rougned Odor.   Luis Garcia to 2nd.",R,R,L,WSH,SD,S,,,1,0,2023,1.75,0.11,1.03,2.4,,,671277.0,0,7,Bot,,,,,664954,,,-11.261095517649226,-127.0981350373572,4.115445411796971,21.37731702694657,28.623125539091767,-32.21479824736931,3.55,1.75,,,,88.5,2046.0,7.2,718035,657612,664954,641525,630105,596059,593428,665742,663757,665487,53.29,,,,,,,,63,2,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,85.0,0.0,-0.065
SI,2023-05-25,85.6,3.93,3.31,"Hill, Tim",608841,657612,,ball,,,,,4,"Joey Meneses singles on a sharp ground ball to shortstop Xander Bogaerts, deflected by third baseman Rougned Odor.   Luis Garcia to 2nd.",R,R,L,WSH,SD,B,,,0,0,2023,1.52,-0.36,-0.8,2.32,,,671277.0,0,7,Bot,,,,,664954,,,-14.340854985726082,-123.52687632815886,4.918812448617214,18.636426229762765,27.457657420209983,-37.33485169874537,3.53,1.76,,,,85.7,2077.0,7.1,718035,657612,664954,641525,630105,596059,593428,665742,663757,665487,53.42,,,,,,,,63,1,Sinker,1,5,1,5,5,1,1,5,Standard,Standard,70.0,0.0,0.039
SL,2023-05-25,81.9,3.88,3.22,"Hill, Tim",671277,657612,single,hit_into_play,,,,,6,Luis Garcia singles on a sharp ground ball to center fielder Trent Grisham.,R,L,L,WSH,SD,X,8.0,ground_ball,0,2,2023,0.79,0.25,0.61,2.41,,,,0,7,Bot,134.93,106.94,,,664954,,,-8.994313702345677,-118.9210507460128,4.320656722769612,9.201255152633362,22.581236881817592,-30.92089889834473,3.44,1.74,56.0,101.3,1.0,82.6,1836.0,6.9,718035,657612,664954,641525,630105,596059,593428,665742,663757,665487,53.61,0.491,0.448,0.9,1.0,1.0,0.0,4.0,62,3,Slider,1,5,1,5,5,1,1,5,Standard,Standard,102.0,0.03,0.479
SI,2023-05-25,87.0,3.92,3.23,"Hill, Tim",671277,657612,,called_strike,,,,,7,Luis Garcia singles on a sharp ground ball to center fielder Trent Grisham.,R,L,L,WSH,SD,S,,,0,1,2023,1.55,-0.29,-0.42,1.96,,,,0,7,Bot,,,,,664954,,,-13.702502098237124,-125.76589924098072,3.939228468678308,19.36395637003052,28.27598508516313,-36.46325594180756,3.56,1.85,,,,87.3,2200.0,7.1,718035,657612,664954,641525,630105,596059,593428,665742,663757,665487,53.39,,,,,,,,62,2,Sinker,1,5,1,5,5,1,1,5,Standard,Standard,69.0,0.0,-0.049
SI,2023-05-25,86.8,3.87,3.2,"Hill, Tim",671277,657612,,swinging_strike,,,,,5,Luis Garcia singles on a sharp ground ball to center fielder Trent Grisham.,R,L,L,WSH,SD,S,,,0,0,2023,1.46,-0.13,0.23,2.43,,,,0,7,Bot,,,,,664954,,,-11.821557793146678,-125.64957062448887,4.831220026364209,18.08650700112472,29.04790711115865,-35.036387525083256,3.44,1.74,,,,86.9,2134.0,7.0,718035,657612,664954,641525,630105,596059,593428,665742,663757,665487,53.52,,,,,,,,62,1,Sinker,1,5,1,5,5,1,1,5,Standard,Standard,86.0,0.0,-0.037
