pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-22,84.1,-3.06,5.1,"Houck, Tanner",665120,656557,strikeout,called_strike,,,,,7,Jared Walsh called out on strikes.,R,L,R,LAA,BOS,S,2.0,,3,2,2023,1.15,-0.19,-0.62,2.09,,,,2,6,Bot,,,,,657136,,,3.3742961929918085,-122.41002173127856,-0.181051946653013,10.886464251020918,25.082708985554326,-34.27481704398675,3.55,1.68,,,,84.5,2677.0,6.6,718070,656557,657136,671213,665839,646240,622569,807799,680776,657077,53.88,,,0.0,1.0,0.0,0.0,,44,7,Slider,1,1,1,1,1,1,1,1,Strategic,Standard,70.0,-0.017,-0.131
FS,2023-05-22,88.5,-2.83,5.23,"Houck, Tanner",665120,656557,,foul,,,,,13,Jared Walsh called out on strikes.,R,L,R,LAA,BOS,S,,,3,2,2023,-1.1,0.11,-0.39,1.52,,,,2,6,Bot,,,,,657136,,,8.303597461819372,-128.56595006886803,-3.2128142965048667,-13.872912821537598,26.637648138049556,-30.457822143051388,3.55,1.67,2.0,77.5,-37.0,89.1,1610.0,6.7,718070,656557,657136,671213,665839,646240,622569,807799,680776,657077,53.76,,,,,,,,44,6,Split-Finger,1,1,1,1,1,1,1,1,Strategic,Standard,229.0,0.0,0.0
FF,2023-05-22,94.8,-3.02,4.99,"Houck, Tanner",665120,656557,,ball,,,,,11,Jared Walsh called out on strikes.,R,L,R,LAA,BOS,B,,,2,2,2023,-0.43,0.73,-2.04,4.38,,,,2,6,Bot,,,,,657136,,,3.5407843452440155,-138.1377479084877,2.390012889865304,-6.243662584664786,27.599438903629547,-23.46551059461701,3.55,1.68,,,,95.8,2040.0,6.5,718070,656557,657136,671213,665839,646240,622569,807799,680776,657077,53.95,,,,,,,,44,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Standard,248.0,0.0,0.041
FS,2023-05-22,88.1,-2.91,5.26,"Houck, Tanner",665120,656557,,ball,,,,,13,Jared Walsh called out on strikes.,R,L,R,LAA,BOS,B,,,1,2,2023,-1.3,0.49,-0.54,0.61,,,,2,6,Bot,,,,,657136,,,8.476490671799178,-127.8436108486282,-6.160212403044621,-15.998875453364754,27.255153132690708,-25.717166815769943,3.52,1.68,,,,88.2,1766.0,6.6,718070,656557,657136,671213,665839,646240,622569,807799,680776,657077,53.95,,,,,,,,44,4,Split-Finger,1,1,1,1,1,1,1,1,Strategic,Standard,239.0,0.0,0.018
FC,2023-05-22,92.4,-2.9,5.19,"Houck, Tanner",665120,656557,,swinging_strike,,,,,5,Jared Walsh called out on strikes.,R,L,R,LAA,BOS,S,,,1,1,2023,-0.28,0.73,-0.02,2.31,,,,2,6,Bot,,,,,657136,,,8.02977266630056,-134.50668332886434,-3.210801974593521,-5.001579779652373,26.61394668840053,-22.72918748647652,3.55,1.67,,,,93.5,2231.0,6.7,718070,656557,657136,671213,665839,646240,622569,807799,680776,657077,53.81,,,,,,,,44,3,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,232.0,0.0,-0.026
SL,2023-05-22,83.1,-3.02,5.21,"Houck, Tanner",665120,656557,,called_strike,,,,,13,Jared Walsh called out on strikes.,R,L,R,LAA,BOS,S,,,1,0,2023,0.85,-0.24,-0.87,1.83,,,,2,6,Bot,,,,,657136,,,3.261630440416435,-121.00189098697886,-0.761146172090393,7.688468966740188,24.703765456762,-34.62380166324059,3.45,1.58,,,,83.5,2637.0,6.6,718070,656557,657136,671213,665839,646240,622569,807799,680776,657077,53.89,,,,,,,,44,2,Slider,1,1,1,1,1,1,1,1,Standard,Standard,73.0,0.0,-0.027
FC,2023-05-22,92.8,-2.83,5.1,"Houck, Tanner",665120,656557,,ball,,,,,11,Jared Walsh called out on strikes.,R,L,R,LAA,BOS,B,,,0,0,2023,-0.31,0.57,-1.12,3.68,,,,2,6,Bot,,,,,657136,,,5.081869399541072,-135.11231699753364,0.9004847349594556,-4.816711639793833,28.42272402063389,-25.63317642555227,3.55,1.66,,,,93.5,2360.0,6.6,718070,656557,657136,671213,665839,646240,622569,807799,680776,657077,53.92,,,,,,,,44,1,Cutter,1,1,1,1,1,1,1,1,Strategic,Standard,252.0,0.0,0.021
FF,2023-05-22,94.1,-2.9,5.16,"Houck, Tanner",592669,656557,field_out,hit_into_play,,,,,13,"Hunter Renfroe grounds out, pitcher Tanner Houck to first baseman Triston Casas.",R,R,R,LAA,BOS,X,1.0,ground_ball,0,2,2023,-1.02,0.2,-0.81,1.37,,,,1,6,Bot,124.06,174.47,,,657136,,,7.736687430822765,-136.70619563349797,-4.53595860396597,-14.505110445898865,31.27833831932914,-28.855537569762777,3.51,1.71,1.0,71.7,-47.0,94.6,1983.0,6.7,718070,656557,657136,671213,665839,646240,622569,807799,680776,657077,53.76,0.186,0.167,0.0,1.0,0.0,0.0,2.0,43,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,248.0,-0.024,-0.107
SL,2023-05-22,84.4,-2.69,5.13,"Houck, Tanner",592669,656557,,called_strike,,,,,8,"Hunter Renfroe grounds out, pitcher Tanner Houck to first baseman Triston Casas.",R,R,R,LAA,BOS,S,,,0,1,2023,1.55,-0.03,0.04,1.95,,,,1,6,Bot,,,,,657136,,,3.3015090594372207,-122.87154686356364,-0.90882919318619,14.821106294485627,27.005414370208488,-32.55979551105518,3.51,1.7,,,,84.7,2665.0,6.7,718070,656557,657136,671213,665839,646240,622569,807799,680776,657077,53.8,,,,,,,,43,2,Slider,1,1,1,1,1,1,1,1,Standard,Standard,60.0,0.0,-0.037
FF,2023-05-22,94.1,-2.59,5.13,"Houck, Tanner",592669,656557,,called_strike,,,,,6,"Hunter Renfroe grounds out, pitcher Tanner Houck to first baseman Triston Casas.",R,R,R,LAA,BOS,S,,,0,0,2023,-0.76,0.41,0.51,2.52,,,,1,6,Bot,,,,,657136,,,9.813352781543054,-136.79510866682244,-1.9855513156508064,-11.654732864159554,30.162863110333788,-26.73436143063672,3.64,1.79,,,,95.0,2380.0,6.9,718070,656557,657136,671213,665839,646240,622569,807799,680776,657077,53.61,,,,,,,,43,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,258.0,0.0,-0.028
SL,2023-05-22,84.8,-3.09,5.19,"Houck, Tanner",660271,656557,strikeout,swinging_strike,,,,,9,Shohei Ohtani strikes out swinging.,R,L,R,LAA,BOS,S,2.0,,0,2,2023,1.39,0.21,0.42,2.1,,,,0,6,Bot,,,,,657136,,,5.45731491778308,-123.3763537220341,-1.2413608845835744,12.914290703354654,26.553464007789625,-30.047434791906223,3.59,1.71,,,,85.1,2645.0,6.7,718070,656557,657136,671213,665839,646240,622569,807799,680776,657077,53.8,,,0.0,1.0,0.0,0.0,,42,5,Slider,1,1,1,1,1,1,1,1,Strategic,Standard,62.0,-0.033,-0.149
FS,2023-05-22,87.7,-2.98,5.29,"Houck, Tanner",660271,656557,,foul,,,,,13,Shohei Ohtani strikes out swinging.,R,L,R,LAA,BOS,S,,,0,2,2023,-1.4,-0.12,-1.41,1.29,,,,0,6,Bot,,,,,657136,,,6.735828074460138,-127.46151968011507,-3.239667173378379,-16.62850306714339,29.19912464118696,-32.97643621531367,3.59,1.71,,,,87.7,1740.0,6.6,718070,656557,657136,671213,665839,646240,622569,807799,680776,657077,53.88,,,,,,,,42,4,Split-Finger,1,1,1,1,1,1,1,1,Strategic,Standard,235.0,0.0,0.0
FC,2023-05-22,92.7,-2.89,5.03,"Houck, Tanner",660271,656557,,foul,,,,,4,Shohei Ohtani strikes out swinging.,R,L,R,LAA,BOS,S,,,0,2,2023,-0.45,0.76,-0.38,2.98,,,,0,6,Bot,,,,,657136,,,7.449061175317976,-134.917106766526,-1.1567895573740226,-7.00704631808775,27.082077343323057,-22.774289722553643,3.59,1.71,147.0,75.7,18.0,93.6,2456.0,6.7,718070,656557,657136,671213,665839,646240,622569,807799,680776,657077,53.85,,,,,,,,42,3,Cutter,1,1,1,1,1,1,1,1,Strategic,Standard,240.0,0.0,0.0
FC,2023-05-22,92.5,-2.88,5.21,"Houck, Tanner",660271,656557,,called_strike,,,,,6,Shohei Ohtani strikes out swinging.,R,L,R,LAA,BOS,S,,,0,1,2023,-0.4,0.71,0.29,2.66,,,,0,6,Bot,,,,,657136,,,8.993690435765256,-134.47952815581652,-2.264946578993092,-6.647728647462605,26.503452098515563,-23.273042334240586,3.59,1.7,,,,93.3,2733.0,6.6,718070,656557,657136,671213,665839,646240,622569,807799,680776,657077,53.88,,,,,,,,42,2,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,274.0,0.0,-0.049
SL,2023-05-22,83.5,-3.06,5.23,"Houck, Tanner",660271,656557,,swinging_strike,,,,,14,Shohei Ohtani strikes out swinging.,R,L,R,LAA,BOS,S,,,0,0,2023,0.73,-0.1,0.83,1.19,,,,0,6,Bot,,,,,657136,,,7.549633075979496,-121.4788617333502,-2.6629197937660027,5.772380134922932,23.925279493999383,-32.83546525647823,3.59,1.71,,,,83.8,2645.0,6.5,718070,656557,657136,671213,665839,646240,622569,807799,680776,657077,53.99,,,,,,,,42,1,Slider,1,1,1,1,1,1,1,1,Standard,Standard,55.0,0.0,-0.037
