pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-16,91.1,0.8,5.38,"Huff, Sam",669087,694363,strikeout,swinging_strike,,,,,2,Sam Huff strikes out swinging.,R,R,L,TEX,ATL,S,2.0,,3,2,2023,0.74,1.19,-0.21,3.6,,,,0,5,Bot,,,,,669221,,,-4.141938150271075,-132.752610355361,-1.2047676203853,9.597370829596295,27.282038715601367,-17.95639477815774,3.68,1.69,,,,91.9,2050,6.6,718148,694363,669221,621566,645277,663586,606115,656541,671739,660670,53.92,,,0.0,1.0,0.0,0.0,,38,6,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,140,-0.014,-0.315,sam huff,
SL,2023-05-16,85.9,0.86,5.5,"Huff, Sam",669087,694363,field_out,hit_into_play,,,,,5,"Sam Huff grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",R,R,L,TEX,ATL,X,6.0,ground_ball,0,0,2023,-0.21,0.53,-0.23,2.97,,,,1,3,Bot,104.05,152.93,,,669221,,,-2.177373740572481,-125.22214609161207,-0.8681409600875737,-1.7998561459716498,23.632906758265715,-26.644088519154742,3.68,1.69,33.0,85.0,-3.0,86.9,2211,6.7,718148,694363,669221,621566,645277,663586,606115,656541,671739,660670,53.85,0.143,0.129,0.0,1.0,0.0,0.0,2.0,21,1,Slider,0,1,0,1,1,0,0,1,Strategic,Standard,190,-0.019,-0.172,sam huff,
SL,2023-05-16,82.2,1.81,6.38,"Huff, Sam",669087,669276,strikeout,swinging_strike,,,,,14,Sam Huff strikes out swinging.,R,R,L,TEX,ATL,S,2.0,,0,2,2023,-0.14,0.32,0.2,1.45,,,,0,7,Bot,,,,,669221,,,-3.4354858498145986,-119.726150538666,-5.40143455550202,-0.7453831527236365,20.221556174028496,-28.35651087399824,3.68,1.69,,,,83.6,2018,6.9,718148,669276,669221,621566,645277,663586,606115,607680,671739,660670,53.6,,,0.0,1.0,0.0,0.0,,53,3,Slider,4,1,4,1,1,4,4,1,Strategic,Standard,193,-0.005,-0.149,sam huff,
SL,2023-05-15,77.1,4.16,4.89,"Huff, Sam",669087,664849,single,hit_into_play,,,,,14,Sam Huff singles on a ground ball to third baseman Austin Riley.   Brad Miller to 2nd.,R,R,L,TEX,ATL,X,5.0,ground_ball,3,2,2023,-1.83,0.13,0.07,1.5,,,543543.0,2,8,Bot,107.61,178.58,,,669221,,,-5.267642425221325,-112.15542099153612,-0.3898133763228539,-14.18173667853378,23.6423108374539,-31.23817620293674,3.68,1.69,60.0,94.4,2.0,75.2,2813,5.3,718165,664849,669221,621566,645277,663586,606115,607680,671739,660670,55.18,0.431,0.402,0.9,1.0,1.0,0.0,4.0,71,7,Slider,0,10,0,10,10,0,0,10,Standard,Standard,284,0.0,0.293,sam huff,
FF,2023-05-14,93.6,1.12,5.03,"Huff, Sam",669087,676664,strikeout,swinging_strike,,,,,6,Sam Huff strikes out swinging.,R,R,L,OAK,TEX,S,2.0,,0,2,2023,0.95,1.28,0.58,2.74,,677649.0,,1,4,Top,,,,,669127,,,-3.505862107449336,-136.38308472995897,-3.0488214108079377,12.629224134798578,28.94768663603314,-15.654654613370983,3.67,1.68,,,,94.0,2127,6.4,718172,676664,669127,542583,672478,649557,669397,667670,665923,657656,54.12,,,0.0,1.0,0.0,0.0,,29,4,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,134,0.026,-0.194,sam huff,
ST,2023-05-12,79.6,2.95,5.39,"Huff, Sam",669087,686610,walk,ball,,,,,12,Sam Huff walks.   Jonah Heim to 2nd.,R,R,L,OAK,TEX,B,,,3,2,2023,-0.98,-0.43,2.53,4.34,673962.0,,641680.0,2,5,Top,,,,,542208,,,0.9166426890397186,-115.77479982333573,5.286902212895459,-8.96172129112502,21.424331111479407,-37.213205033344245,3.59,1.68,,,,80.3,1790,6.8,718200,686610,542208,542583,672478,675656,669397,667670,665923,657656,53.71,,,0.7,1.0,0.0,0.0,,46,7,Sweeper,3,4,4,3,4,3,4,3,Standard,Standard,293,-0.022,0.215,sam huff,
CH,2023-05-12,85.4,3.05,5.3,"Huff, Sam",669087,686610,strikeout,swinging_strike,,,,,12,Sam Huff strikes out swinging.,R,R,L,OAK,TEX,S,2.0,,1,2,2023,1.46,0.22,1.3,2.78,641680.0,677649.0,,0,4,Top,,,,,542208,,,-7.152062266495728,-124.18056281099516,-0.0585128947369885,16.548684823928575,25.11474363976872,-30.07942706105316,3.67,1.68,,,,86.3,1556,6.9,718200,686610,542208,542583,672478,675656,669397,667670,665923,657656,53.56,,,0.0,1.0,0.0,0.0,,32,5,Changeup,2,2,2,2,2,2,2,2,Standard,Strategic,103,0.064,-0.412,sam huff,
FF,2023-05-12,94.7,2.78,5.49,"Huff, Sam",669087,686610,strikeout,foul_tip,,,,,3,Sam Huff strikes out on a foul tip.,R,R,L,OAK,TEX,S,2.0,,1,2,2023,1.01,1.14,0.45,3.54,,677649.0,,1,2,Top,,,,,542208,,,-8.392075224845453,-137.62167542375488,-1.926430624249708,14.666464239633884,31.15967534818163,-17.49780997169775,3.67,1.68,,,,95.3,2072,6.8,718200,686610,542208,542583,672478,675656,669397,667670,665923,657656,53.74,,,0.0,1.0,0.0,0.0,,13,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,130,0.036,-0.229,sam huff,
SI,2023-05-12,88.7,-0.44,6.01,"Huff, Sam",669087,643493,single,hit_into_play,,,,,1,Sam Huff singles on a line drive to center fielder Esteury Ruiz.,R,R,R,OAK,TEX,X,8.0,line_drive,0,1,2023,-1.15,0.79,-0.64,3.66,,,,0,8,Top,119.26,107.76,,,542208,,,1.889446686265757,-129.25789867536915,-1.344784561275079,-13.285056334825054,26.635617691388717,-23.259282001657347,3.67,1.68,170.0,61.1,20.0,87.9,2117,5.7,718200,643493,542208,542583,672478,607054,669397,667670,665923,657656,54.85,0.394,0.361,0.9,1.0,1.0,0.0,2.0,67,2,Sinker,4,5,5,4,5,4,5,4,Standard,Standard,202,-0.033,0.43,sam huff,
CH,2023-05-11,85.4,1.11,6.03,"Huff, Sam",669087,669674,force_out,hit_into_play,,,,,3,"Sam Huff grounds into a force out, first baseman Ryan Noda to shortstop Nick Allen.   Jonah Heim scores.    Leody Taveras out at 2nd.    Sam Huff to 1st.",R,R,L,OAK,TEX,X,3.0,ground_ball,3,2,2023,1.31,1.3,0.49,3.26,641680.0,,665750.0,1,7,Top,158.62,164.0,,,669127,,,-4.068884786696497,-124.3422432195776,-2.838380750925817,14.387513663463814,25.5357167779742,-18.32485196476294,3.67,1.68,7.0,59.7,-25.0,85.0,2063,6.1,718217,669674,669127,676116,672478,607054,669397,643393,665923,668709,54.43,0.069,0.063,0.0,1.0,0.0,0.0,2.0,46,8,Changeup,0,3,3,0,4,0,4,0,Standard,Standard,137,-0.014,-0.657,sam huff,
