pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-15,84.2,-2.45,5.6,"Jackson, Jay",519203,543351,field_out,hit_into_play,,,,,8,Anthony Rizzo pops out to third baseman Matt Chapman in foul territory.,R,L,R,TOR,NYY,X,5.0,popup,0,2,2023,0.58,0.27,-0.27,1.92,,,,2,8,Top,79.41,176.62,,,672386,,,3.907540654436816,-122.51348060672468,-2.5850330354107784,4.818189584328154,28.31063721580175,-29.134440467918623,3.75,1.76,147.0,75.4,66.0,83.5,2325,6.2,718164,543351,672386,474832,593160,656305,666182,662139,595281,543807,54.26,0.003,0.003,0.0,1.0,0.0,0.0,3.0,61,4,Slider,0,7,7,0,7,0,7,0,Standard,Standard,89,0.0,-0.057
FF,2023-05-15,93.1,-2.31,5.45,"Jackson, Jay",519203,543351,,foul,,,,,11,Anthony Rizzo pops out to third baseman Matt Chapman in foul territory.,R,L,R,TOR,NYY,S,,,0,2,2023,-1.08,1.23,-1.51,2.78,,,,2,8,Top,,,,,672386,,,4.409699757792843,-135.4514682121273,-3.721751774231483,-14.276741110602073,32.80862992186297,-16.42515232505814,3.75,1.76,198.0,73.7,23.0,92.4,2153,6.1,718164,543351,672386,474832,593160,656305,666182,662139,595281,543807,54.37,,,,,,,,61,3,4-Seam Fastball,0,7,7,0,7,0,7,0,Standard,Standard,218,0.0,0.0
FF,2023-05-15,93.5,-2.21,5.49,"Jackson, Jay",519203,543351,,foul,,,,,12,Anthony Rizzo pops out to third baseman Matt Chapman in foul territory.,R,L,R,TOR,NYY,S,,,0,1,2023,-0.97,1.4,0.06,4.26,,,,2,8,Top,,,,,672386,,,7.957186003950734,-135.93057559926442,-0.4655010511842923,-13.806335589796811,31.88201004990527,-15.054889475301389,3.75,1.76,,,,92.9,2327,6.1,718164,543351,672386,474832,593160,656305,666182,662139,595281,543807,54.37,,,,,,,,61,2,4-Seam Fastball,0,7,7,0,7,0,7,0,Standard,Standard,213,0.0,-0.025
FF,2023-05-15,93.3,-2.27,5.53,"Jackson, Jay",519203,543351,,called_strike,,,,,13,Anthony Rizzo pops out to third baseman Matt Chapman in foul territory.,R,L,R,TOR,NYY,S,,,0,0,2023,-0.98,1.45,-1.04,2.57,,,,2,8,Top,,,,,672386,,,5.3017244360572295,-135.71568108808444,-4.9837105025183295,-13.307050562854153,31.693084301541717,-13.448449557948706,3.81,1.86,,,,92.7,2284,6.1,718164,543351,672386,474832,593160,656305,666182,662139,595281,543807,54.38,,,,,,,,61,1,4-Seam Fastball,0,7,7,0,7,0,7,0,Standard,Standard,216,0.0,-0.021
SL,2023-05-15,83.7,-2.38,5.59,"Jackson, Jay",592450,543351,home_run,hit_into_play,,,,,8,Aaron Judge homers (10) on a fly ball to center field.,R,R,R,TOR,NYY,X,,fly_ball,3,2,2023,1.0,0.13,0.22,2.34,,,,2,8,Top,111.16,11.99,,,672386,,,4.018323683577979,-121.86928901686184,-1.307491208799035,9.097303925286694,25.529668263205643,-30.812734687855908,3.93,1.82,462.0,114.9,27.0,83.2,2445,6.1,718164,543351,672386,474832,593160,656305,666182,662139,595281,543807,54.4,0.999,2.028,2.0,1.0,0.0,3.0,6.0,60,6,Slider,0,6,6,0,7,0,7,0,Strategic,Standard,86,-0.004,0.972
SL,2023-05-15,83.9,-2.35,5.63,"Jackson, Jay",592450,543351,,ball,,,,,14,Aaron Judge homers (10) on a fly ball to center field.,R,R,R,TOR,NYY,B,,,2,2,2023,0.77,0.21,1.05,1.47,,,,2,8,Top,,,,,672386,,,6.314329051173439,-121.98828061780564,-3.5528261965481454,6.2818409243615205,26.00873144115579,-29.59520963167678,3.95,1.82,,,,83.2,2345,6.0,718164,543351,672386,474832,593160,656305,666182,662139,595281,543807,54.47,,,,,,,,60,5,Slider,0,6,6,0,6,0,6,0,Strategic,Standard,85,0.0,0.041
SL,2023-05-15,85.3,-2.26,5.56,"Jackson, Jay",592450,543351,,ball,,,,,14,Aaron Judge homers (10) on a fly ball to center field.,R,R,R,TOR,NYY,B,,,1,2,2023,0.58,0.33,2.06,0.52,,,,2,8,Top,,,,,672386,,,8.954553768331541,-123.70076884739986,-6.052456112503101,3.751554228288718,29.04262053853505,-27.58713968447156,3.9,1.82,,,,84.4,2364,6.3,718164,543351,672386,474832,593160,656305,666182,662139,595281,543807,54.2,,,,,,,,60,4,Slider,0,6,6,0,6,0,6,0,Strategic,Standard,100,0.0,0.018
SL,2023-05-15,84.4,-2.31,5.58,"Jackson, Jay",592450,543351,,called_strike,,,,,14,Aaron Judge homers (10) on a fly ball to center field.,R,R,R,TOR,NYY,S,,,1,1,2023,0.47,0.05,0.24,1.41,,,,2,8,Top,,,,,672386,,,4.978176659825507,-122.63862169752416,-3.29215808039138,3.4534431583735,28.999265840771145,-31.19295967152301,3.98,1.86,,,,83.4,2355,6.1,718164,543351,672386,474832,593160,656305,666182,662139,595281,543807,54.36,,,,,,,,60,3,Slider,0,6,6,0,6,0,6,0,Strategic,Standard,71,0.0,-0.026
SL,2023-05-15,84.5,-2.34,5.57,"Jackson, Jay",592450,543351,,ball,,,,,14,Aaron Judge homers (10) on a fly ball to center field.,R,R,R,TOR,NYY,B,,,0,1,2023,0.36,0.25,1.19,1.61,,,,2,8,Top,,,,,672386,,,7.447728415003458,-122.63475813442692,-3.169592961102921,1.748867437897767,30.03537914941035,-29.21020298269289,3.9,1.82,,,,83.1,2354,6.1,718164,543351,672386,474832,593160,656305,666182,662139,595281,543807,54.44,,,,,,,,60,2,Slider,0,6,6,0,6,0,6,0,Strategic,Standard,86,0.0,0.015
SL,2023-05-15,84.3,-2.36,5.58,"Jackson, Jay",592450,543351,,called_strike,,,,,8,Aaron Judge homers (10) on a fly ball to center field.,R,R,R,TOR,NYY,S,,,0,0,2023,0.47,0.16,-0.22,1.98,,,,2,8,Top,,,,,672386,,,4.042708272954792,-122.46923058448093,-2.125877718585691,3.549915646253449,31.194742787967225,-30.308935567407797,3.95,1.82,,,,83.1,2311,6.2,718164,543351,672386,474832,593160,656305,666182,662139,595281,543807,54.27,,,,,,,,60,1,Slider,0,6,6,0,6,0,6,0,Strategic,Standard,84,0.0,-0.021
FF,2023-05-15,93.9,-2.34,5.44,"Jackson, Jay",641343,543351,strikeout,swinging_strike,,,,,1,Jake Bauers strikes out swinging.,R,L,R,TOR,NYY,S,2.0,,3,2,2023,-1.16,1.32,-0.35,3.06,,,,1,8,Top,,,,,672386,,,7.6872132737188705,-136.47545735181646,-3.2752111290909016,-16.213810465923565,33.88221386581304,-15.245917810948416,3.39,1.61,,,,93.1,2190,6.2,718164,543351,672386,474832,593160,656305,666182,662139,595281,543807,54.34,,,0.0,1.0,0.0,0.0,,59,8,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,218,0.0,-0.211
SI,2023-05-15,93.3,-2.11,5.53,"Jackson, Jay",641343,543351,,foul,,,,,5,Jake Bauers strikes out swinging.,R,L,R,TOR,NYY,S,,,3,2,2023,-1.26,1.41,0.2,2.27,,,,1,8,Top,,,,,672386,,,8.691608720780781,-135.32225200756454,-5.564408464679342,-17.560086881660258,34.98762627630722,-13.870057332016708,3.39,1.61,111.0,89.6,79.0,92.3,2303,6.3,718164,543351,672386,474832,593160,656305,666182,662139,595281,543807,54.23,,,,,,,,59,7,Sinker,0,6,6,0,6,0,6,0,Standard,Standard,216,0.0,0.0
SL,2023-05-15,84.4,-2.48,5.53,"Jackson, Jay",641343,543351,,ball,,,,,13,Jake Bauers strikes out swinging.,R,L,R,TOR,NYY,B,,,2,2,2023,0.17,0.35,-0.04,0.36,,,,1,8,Top,,,,,672386,,,5.336518126021967,-122.64266572768716,-6.226063739600006,0.3927697717628828,28.77921868072997,-27.42698846502025,3.41,1.61,,,,83.5,2181,6.2,718164,543351,672386,474832,593160,656305,666182,662139,595281,543807,54.28,,,,,,,,59,6,Slider,0,6,6,0,6,0,6,0,Strategic,Standard,85,0.0,0.059
SL,2023-05-15,84.9,-2.27,5.52,"Jackson, Jay",641343,543351,,foul,,,,,14,Jake Bauers strikes out swinging.,R,L,R,TOR,NYY,S,,,2,2,2023,0.26,0.09,1.0,2.23,,,,1,8,Top,,,,,672386,,,7.136355909470071,-123.35026733322584,-1.44445721289145,0.9147226204140042,28.63862973521523,-31.16746366582865,3.39,1.61,313.0,105.6,52.0,84.0,2305,6.2,718164,543351,672386,474832,593160,656305,666182,662139,595281,543807,54.31,,,,,,,,59,5,Slider,0,6,6,0,6,0,6,0,Standard,Standard,89,0.0,0.0
SL,2023-05-15,85.0,-2.51,5.6,"Jackson, Jay",641343,543351,,ball,,,,,13,Jake Bauers strikes out swinging.,R,L,R,TOR,NYY,B,,,1,2,2023,0.32,0.07,-0.79,1.31,,,,1,8,Top,,,,,672386,,,3.3707697846308182,-123.53993245948408,-3.746738827686517,2.463457313209517,29.5214935844897,-30.784947798245348,3.47,1.61,,,,84.2,2270,6.3,718164,543351,672386,474832,593160,656305,666182,662139,595281,543807,54.2,,,,,,,,59,4,Slider,0,6,6,0,6,0,6,0,Standard,Standard,102,0.0,0.031
