pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
ST,2023-05-23,86.9,-0.98,5.48,"Jax, Griffin",642731,643377,strikeout,swinging_strike,,,,,14,Thairo Estrada strikes out swinging.,R,R,R,MIN,SF,S,2.0,,1,2,2023,1.04,-0.4,0.26,0.91,,672275.0,664774.0,2,8,Top,,,,,543877,,,0.867707523542286,-126.60910043299415,-3.983029717392635,11.014367958915829,25.016774853176468,-35.94641242296232,3.33,1.62,,,,87.2,2915.0,6.3,718054,643377,543877,608336,666397,456781,571657,650489,572191,666135,54.19,,,0.0,1.0,0.0,0.0,,65,4,Sweeper,3,4,4,3,4,3,4,3,Standard,Standard,46.0,0.043,-0.307
SI,2023-05-23,96.3,-0.99,5.45,"Jax, Griffin",642731,643377,,swinging_strike,,,,,13,Thairo Estrada strikes out swinging.,R,R,R,MIN,SF,S,,,1,1,2023,-1.17,0.76,-1.06,1.74,,672275.0,664774.0,2,8,Top,,,,,543877,,,2.4692020457193995,-140.15328251221896,-6.013911783365688,-15.962642473698416,30.43237585557354,-21.058882798804973,3.33,1.62,,,,96.5,2333.0,6.3,718054,643377,543877,608336,666397,456781,571657,650489,572191,666135,54.22,,,,,,,,65,3,Sinker,3,4,4,3,4,3,4,3,Standard,Standard,210.0,0.0,-0.139
ST,2023-05-23,87.0,-1.01,5.54,"Jax, Griffin",642731,643377,,ball,,,,,14,Thairo Estrada strikes out swinging.,R,R,R,MIN,SF,B,,,0,1,2023,1.29,-0.23,0.6,1.0,,672275.0,664774.0,2,8,Top,,,,,543877,,,1.2252998811109392,-126.78886326614509,-4.300071579420808,13.719346397292949,24.57959227476931,-33.98963773343018,3.42,1.62,,,,87.2,2889.0,6.2,718054,643377,543877,608336,666397,456781,571657,650489,572191,666135,54.31,,,,,,,,65,2,Sweeper,3,4,4,3,4,3,4,3,Standard,Standard,28.0,0.0,0.063
SI,2023-05-23,95.2,-0.9,5.52,"Jax, Griffin",642731,643377,,foul,,,,,1,Thairo Estrada strikes out swinging.,R,R,R,MIN,SF,S,,,0,0,2023,-1.02,1.08,-0.63,3.19,,672275.0,664774.0,2,8,Top,,,,,543877,,,2.9989464490538795,-138.67744917673429,-2.9441580718279483,-13.825953460682715,29.14757501352785,-17.785540271620377,3.33,1.62,206.0,69.8,29.0,95.7,2404.0,6.4,718054,643377,543877,608336,666397,456781,571657,650489,572191,666135,54.13,,,,,,,,65,1,Sinker,3,4,4,3,4,3,4,3,Standard,Standard,208.0,0.0,-0.085
FC,2023-05-23,94.0,-0.99,5.5,"Jax, Griffin",664774,643377,single,hit_into_play,,,,,8,LaMonte Wade Jr.  singles on a sharp ground ball to right fielder Alex Kirilloff.   Patrick Bailey to 2nd.,R,L,R,MIN,SF,X,9.0,ground_ball,1,1,2023,-0.29,0.8,0.16,1.86,,,672275.0,2,8,Top,158.01,93.74,,,543877,,,3.6306243650009593,-136.9151856615579,-5.542788126826138,-4.46263333300346,28.170513101783836,-21.057055453746745,3.19,1.58,80.0,104.3,3.0,94.4,2380.0,6.3,718054,643377,543877,608336,666397,456781,571657,650489,572191,666135,54.17,0.531,0.478,0.9,1.0,1.0,0.0,4.0,64,3,Cutter,3,4,4,3,4,3,4,3,Strategic,Standard,203.0,-0.019,0.323
FF,2023-05-23,95.9,-1.01,5.51,"Jax, Griffin",664774,643377,,called_strike,,,,,2,LaMonte Wade Jr.  singles on a sharp ground ball to right fielder Alex Kirilloff.   Patrick Bailey to 2nd.,R,L,R,MIN,SF,S,,,1,0,2023,-0.49,1.51,-0.02,2.81,,,672275.0,2,8,Top,,,,,543877,,,3.726899797243156,-139.62561058873274,-4.953795614783619,-7.233033481391193,30.80338654343544,-11.531579396786844,3.19,1.58,,,,96.1,2376.0,6.3,718054,643377,543877,608336,666397,456781,571657,650489,572191,666135,54.16,,,,,,,,64,2,4-Seam Fastball,3,4,4,3,4,3,4,3,Strategic,Standard,217.0,0.0,-0.037
FF,2023-05-23,95.4,-1.15,5.48,"Jax, Griffin",664774,643377,,ball,,,,,11,LaMonte Wade Jr.  singles on a sharp ground ball to right fielder Alex Kirilloff.   Patrick Bailey to 2nd.,R,L,R,MIN,SF,B,,,0,0,2023,-0.52,1.07,-1.55,4.68,,,672275.0,2,8,Top,,,,,543877,,,0.1434617588350039,-138.9994837233662,1.0757371650875185,-6.816461442939105,30.1143665951138,-18.722778751382734,3.33,1.61,,,,95.4,2390.0,6.1,718054,643377,543877,608336,666397,456781,571657,650489,572191,666135,54.37,,,,,,,,64,1,4-Seam Fastball,3,4,4,3,4,3,4,3,Strategic,Standard,213.0,0.0,0.027
ST,2023-05-23,85.9,-0.99,5.5,"Jax, Griffin",669369,643377,strikeout,called_strike,,,,,4,Bryce Johnson called out on strikes.,R,L,R,MIN,SF,S,2.0,,2,2,2023,1.29,-0.46,-0.62,2.65,,,672275.0,1,8,Top,,,,,543877,,,-1.755196867809321,-125.06664202419384,0.423552891162773,13.921959028948258,24.99294056845898,-37.28697965423206,3.42,1.66,,,,85.9,2879.0,6.2,718054,643377,543877,608336,666397,456781,571657,650489,572191,666135,54.29,,,0.0,1.0,0.0,0.0,,63,6,Sweeper,3,4,4,3,4,3,4,3,Strategic,Standard,52.0,0.028,-0.272
FF,2023-05-23,95.6,-0.96,5.45,"Jax, Griffin",669369,643377,,foul,,,,,3,Bryce Johnson called out on strikes.,R,L,R,MIN,SF,S,,,2,2,2023,-0.51,1.28,0.34,3.0,,,672275.0,1,8,Top,,,,,543877,,,4.588590852045635,-139.2236902310755,-3.802645962661826,-7.612589790304191,27.92255647679805,-14.74371032824625,3.28,1.57,217.0,71.9,30.0,96.3,2234.0,6.4,718054,643377,543877,608336,666397,456781,571657,650489,572191,666135,54.08,,,,,,,,63,5,4-Seam Fastball,3,4,4,3,4,3,4,3,Strategic,Standard,218.0,0.0,0.0
ST,2023-05-23,86.5,-1.03,5.52,"Jax, Griffin",669369,643377,,ball,,,,,13,Bryce Johnson called out on strikes.,R,L,R,MIN,SF,B,,,1,2,2023,0.79,-0.76,-0.76,1.7,,,672275.0,1,8,Top,,,,,543877,,,-0.9644023050663196,-126.07398439288572,-1.367868237182852,8.596394279091905,24.868726379200325,-40.27593565004363,3.53,1.88,,,,86.7,2932.0,6.3,718054,643377,543877,608336,666397,456781,571657,650489,572191,666135,54.24,,,,,,,,63,4,Sweeper,3,4,4,3,4,3,4,3,Strategic,Standard,47.0,0.0,0.053
