pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SI,2023-05-24,91.2,-1.97,5.52,"Jeffers, Ryan",680777,543101,home_run,hit_into_play,,,,,7,Ryan Jeffers homers (2) on a fly ball to left center field.,R,R,R,MIN,SF,X,,fly_ball,3,2,2023,-1.45,1.0,-0.58,1.78,,,,0,6,Bot,85.55,65.42,,,666165,,,6.649732219074402,-132.56505669016042,-5.679772541585609,-18.548288132996426,27.939746603864094,-19.296482324268805,3.27,1.6,433.0,109.9,23.0,91.6,2173.0,6.5,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,53.97,0.991,1.939,2.0,1.0,0.0,3.0,6.0,57,6,Sinker,6,1,6,1,1,7,7,1,Standard,Standard,222.0,0.011,0.921,ryan jeffers,
SI,2023-05-24,91.7,-1.97,5.67,"Jeffers, Ryan",680777,543101,field_out,hit_into_play,,,,,6,Ryan Jeffers lines out sharply to right fielder Michael Conforto.,R,R,R,MIN,SF,X,9.0,line_drive,1,2,2023,-1.43,1.21,0.38,2.31,670242.0,,,2,3,Bot,179.17,95.54,,,666165,,,9.061581573466087,-133.25167561795203,-5.274217574425545,-18.99470922917498,28.37917920753811,-16.72550061040009,3.27,1.6,289.0,102.3,15.0,92.1,2322.0,6.6,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,53.89,0.671,0.665,0.0,1.0,0.0,0.0,4.0,33,4,Sinker,5,1,5,1,1,5,5,1,Standard,Standard,222.0,-0.013,-0.305,ryan jeffers,
SI,2023-05-24,93.6,-1.89,5.64,"Jeffers, Ryan",680777,543101,walk,ball,,,,,14,Ryan Jeffers walks.,R,R,R,MIN,SF,B,,,3,2,2023,-1.33,0.91,1.09,1.39,,670242.0,,0,2,Bot,,,,,666165,,,10.622943635419624,-135.86690314116194,-7.304086226594303,-18.678417037274837,26.198070298635592,-19.48998366694241,3.37,1.6,,,,94.2,2320.0,6.5,718047,543101,666165,664774,689172,669477,543063,571745,573262,624424,53.98,,,0.7,1.0,0.0,0.0,,19,6,Sinker,2,1,2,1,1,2,2,1,Standard,Standard,215.0,0.021,0.323,ryan jeffers,
ST,2023-05-24,80.2,1.89,5.6,"Jeffers, Ryan",680777,573124,walk,ball,,,,,13,Ryan Jeffers walks.,R,R,L,MIN,SF,B,,,3,1,2023,-1.35,-0.01,-1.9,1.26,650489.0,,,1,8,Bot,,,,,666165,,,-5.778648542181086,-116.73245002622376,-2.8885579697166506,-11.374006108676536,20.90680028013394,-31.93058804395369,3.22,1.6,,,,79.7,2716.0,5.8,718047,573124,666165,664774,669477,527038,543063,571745,689172,624424,54.68,,,0.7,1.0,0.0,0.0,,74,5,Sweeper,7,1,7,1,1,7,7,1,Strategic,Standard,283.0,0.0,0.168,ryan jeffers,
SI,2023-05-22,92.2,1.66,5.62,"Jeffers, Ryan",680777,518397,hit_by_pitch,hit_by_pitch,,,,,13,Ryan Jeffers hit by pitch.,R,R,L,MIN,SF,B,,,1,0,2023,1.19,0.26,-2.16,0.24,,,,0,9,Bot,,,,,672275,,,-12.223117991035656,-133.63834705514486,-8.3991998335671,16.775341638089614,26.41242208574744,-27.42271115526066,3.26,1.59,,,,92.0,2240.0,6.2,718067,518397,672275,527038,689172,669477,543063,669369,573262,624424,54.27,,,0.7,1.0,0.0,0.0,,72,2,Sinker,1,4,1,4,4,1,1,4,Standard,Standard,130.0,0.045,0.356,ryan jeffers,
FC,2023-05-21,85.8,-2.25,5.71,"Jeffers, Ryan",680777,660271,hit_by_pitch,hit_by_pitch,,,,,11,Ryan Jeffers hit by pitch.,R,R,R,LAA,MIN,B,,,1,0,2023,0.49,-0.09,-2.17,3.59,,,,2,5,Top,,,,,595453,,,-0.8135360399855585,-124.94377823859386,1.4066053005098471,5.350897949749203,24.60838747353101,-33.60123202859441,3.27,1.6,,,,86.1,2378.0,6.4,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,54.12,,,0.7,1.0,0.0,0.0,,35,2,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,111.0,-0.017,0.118,ryan jeffers,
SI,2023-05-21,91.9,-1.73,5.79,"Jeffers, Ryan",680777,660271,field_out,hit_into_play,,,,,11,Ryan Jeffers lines out softly to first baseman Jared Walsh.,R,R,R,LAA,MIN,X,3.0,line_drive,1,1,2023,-0.96,0.71,-1.04,3.07,,,,1,3,Top,149.26,168.86,,,595453,,,3.8949009092014206,-133.71077696433443,-2.5921024584158485,-12.40127584016538,31.02113095747784,-23.26927627634664,3.27,1.6,102.0,41.7,35.0,92.7,2275.0,6.9,718080,660271,595453,665120,650859,570482,687263,666160,545361,592669,53.58,0.177,0.159,0.0,1.0,0.0,0.0,1.0,17,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,262.0,0.018,-0.165,ryan jeffers,
FF,2023-05-21,95.0,-1.05,5.55,"Jeffers, Ryan",680777,606625,strikeout,called_strike,,,,,12,Ryan Jeffers called out on strikes.,R,R,R,LAA,MIN,S,2.0,,1,2,2023,-0.58,1.43,0.88,2.61,571657.0,650489.0,456781.0,1,7,Top,,,,,595453,,,6.374597400864784,-138.1530917734712,-5.290080867587965,-8.793739321923868,30.37299882937829,-12.854221126325092,3.34,1.69,,,,95.7,2393.0,6.7,718080,606625,595453,665120,650859,570482,687263,666160,545361,592669,53.79,,,0.0,1.0,0.0,0.0,,52,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,195.0,0.122,-0.516,ryan jeffers,
SL,2023-05-21,90.7,-1.88,5.59,"Jeffers, Ryan",680777,608032,field_out,hit_into_play,,,,,8,Ryan Jeffers lines out sharply to right fielder Hunter Renfroe.,R,R,R,LAA,MIN,X,9.0,line_drive,1,1,2023,0.42,0.59,-0.04,1.61,,,650489.0,2,9,Top,181.73,95.26,,,642136,,,3.721829750377943,-132.1361828424453,-5.345475474709974,4.200098454464881,26.40340083013055,-24.373477894748643,3.27,1.6,293.0,105.9,14.0,91.2,2207.0,6.4,718080,608032,642136,665120,650859,570482,687263,666160,545361,592669,54.13,0.74,0.727,0.0,1.0,0.0,0.0,5.0,72,3,Slider,4,2,2,4,2,4,2,4,Standard,Standard,158.0,0.035,-0.232,ryan jeffers,
SL,2023-05-19,89.3,1.16,6.19,"Jeffers, Ryan",680777,672282,field_out,hit_into_play,,,,,1,Ryan Jeffers flies out to center fielder Mickey Moniak.,R,R,L,LAA,MIN,X,8.0,fly_ball,2,1,2023,-0.22,0.34,-0.38,3.09,,,,0,5,Top,99.58,50.2,,,595453,,,-3.293190748676281,-130.0432750766623,-2.3462116607672927,-1.8342140703809653,26.64595870183328,-28.01605876208977,3.27,1.6,373.0,98.0,25.0,88.8,1866.0,5.9,718106,672282,595453,592273,650859,570482,687263,621493,666160,592669,54.63,0.417,0.645,0.0,1.0,0.0,0.0,5.0,33,4,Slider,3,0,0,3,0,3,0,3,Standard,Standard,151.0,0.022,-0.278,ryan jeffers,
SL,2023-05-19,91.9,1.28,6.16,"Jeffers, Ryan",680777,672282,walk,ball,,,,,13,Ryan Jeffers walks.,R,R,L,LAA,MIN,B,,,3,2,2023,0.13,0.08,-0.98,1.03,,,,2,2,Top,,,,,595453,,,-5.9631596187972455,-133.63912661500035,-7.280686385008706,2.806633257227805,28.96972243337552,-29.813891351953234,3.22,1.6,,,,91.3,2160.0,6.0,718106,672282,595453,592273,650859,570482,687263,621493,666160,592669,54.5,,,0.7,1.0,0.0,0.0,,10,6,Slider,0,0,0,0,0,0,0,0,Standard,Standard,137.0,-0.014,0.112,ryan jeffers,
CH,2023-05-19,85.7,1.11,6.32,"Jeffers, Ryan",680777,519043,field_out,hit_into_play,,,,,7,Ryan Jeffers pops out to second baseman Luis Rengifo.,R,R,L,LAA,MIN,X,4.0,popup,1,1,2023,1.43,1.04,-0.29,2.02,,,666135.0,1,8,Top,127.93,131.12,,,642136,,,-6.232516275923456,-124.49737100939826,-5.973478479677141,16.176404223886014,26.88743967497033,-20.29931355808596,3.27,1.6,174.0,89.9,64.0,85.9,2127.0,6.7,718106,519043,642136,592273,650859,570482,687263,621493,666160,592669,53.84,0.009,0.01,0.0,1.0,0.0,0.0,3.0,65,3,Changeup,5,4,4,5,4,5,4,5,Standard,Standard,111.0,0.068,-0.282,ryan jeffers,
CU,2023-05-19,77.9,-2.39,4.94,"Jeffers, Ryan",680777,623474,field_out,hit_into_play,,,,,3,Ryan Jeffers flies out to right fielder Hunter Renfroe.,R,R,R,LAA,MIN,X,9.0,fly_ball,0,1,2023,1.09,0.72,0.73,2.89,,666135.0,,2,6,Top,184.84,115.11,,,595453,,,4.583200686622144,-113.35529806095792,1.1267964233290997,8.546932041956556,21.226543128827263,-26.428541773914656,3.27,1.6,255.0,89.9,49.0,76.0,2805.0,4.9,718106,623474,595453,592273,650859,570482,687263,621493,666160,592669,55.56,0.009,0.009,0.0,1.0,0.0,0.0,3.0,45,2,Curveball,3,3,3,3,3,3,3,3,Standard,Standard,76.0,0.053,-0.269,ryan jeffers,
ST,2023-05-17,85.1,-2.17,5.21,"Jeffers, Ryan",680777,623465,strikeout,swinging_strike,,,,,9,Ryan Jeffers strikes out swinging.,R,R,R,LAD,MIN,S,2.0,,1,2,2023,1.29,-0.09,0.58,1.64,,,571657.0,2,9,Top,,,,,669257,,,3.889263906932787,-124.04139666933828,-1.9485159346524623,12.672405979928964,23.17732439751185,-32.96515304986309,3.27,1.6,,,,85.9,2362.0,6.6,718136,623465,669257,518692,678246,571970,621035,572204,681546,605141,53.93,,,0.0,1.0,0.0,0.0,,76,4,Sweeper,7,3,3,7,3,7,3,7,Standard,Standard,64.0,0.003,-0.176,ryan jeffers,
FF,2023-05-16,91.7,1.36,6.1,"Jeffers, Ryan",680777,477132,strikeout,called_strike,,,,,7,Ryan Jeffers called out on strikes.,R,R,L,LAD,MIN,S,2.0,,2,2,2023,-0.45,1.55,-0.68,1.68,621439.0,,,2,3,Top,,,,,605131,,,-4.231929255460536,-133.34721102652833,-8.718345770727833,-4.49583970168029,28.677567605929667,-12.03582635207914,3.23,1.62,,,,92.5,2421.0,6.8,718141,477132,605131,518692,605141,571970,500743,444482,681546,518792,53.69,,,0.0,1.0,0.0,0.0,,23,5,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,171.0,0.037,-0.329,ryan jeffers,
