pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-22,84.1,-2.58,5.95,"Jiménez, Joe",500743,641729,double,hit_into_play,,,,,8,Miguel Rojas doubles (4) on a sharp line drive to left fielder Eddie Rosario.,R,R,R,ATL,LAD,X,7.0,line_drive,1,0,2023,0.32,0.13,-0.12,1.88,,,,2,6,Top,24.39,94.52,,,669221,,,5.1622292360226085,-122.4976733303439,-3.3905713567065545,2.309331637152418,22.88138568427297,-30.430257650001348,3.3,1.59,311.0,102.0,16.0,85.9,1916,7.2,718074,641729,669221,621566,645277,663586,606115,592696,671739,660670,53.26,0.563,0.619,1.25,1.0,1.0,1.0,4.0,51,2,Slider,5,6,6,5,6,5,6,5,Standard,Standard,109,-0.027,0.201
SL,2023-05-22,84.0,-2.49,5.99,"Jiménez, Joe",500743,641729,,ball,,,,,11,Miguel Rojas doubles (4) on a sharp line drive to left fielder Eddie Rosario.,R,R,R,ATL,LAD,B,,,0,0,2023,0.32,0.21,-0.76,3.52,,,,2,6,Top,,,,,669221,,,3.4319062722009157,-122.34199565097477,0.2451139164605063,2.5704233204416647,23.684386526909496,-30.30025542095613,3.19,1.5,,,,85.4,2041,7.1,718074,641729,669221,621566,645277,663586,606115,592696,671739,660670,53.42,,,,,,,,51,1,Slider,5,6,6,5,6,5,6,5,Standard,Standard,109,0.0,0.021
FF,2023-05-22,94.4,-2.45,6.01,"Jiménez, Joe",681546,641729,field_out,hit_into_play,,,,,1,James Outman pops out to first baseman Matt Olson in foul territory.,R,L,R,ATL,LAD,X,3.0,popup,2,2,2023,-0.84,1.4,-0.47,3.09,,,,1,6,Top,194.09,146.51,,,669221,,,7.149930543426369,-137.32091881821324,-5.1170445068765655,-12.227802673649483,29.16982618134919,-13.528174197918853,3.41,1.69,210.0,104.8,62.0,96.0,2328,7.1,718074,641729,669221,621566,645277,663586,606115,592696,671739,660670,53.37,0.014,0.014,0.0,1.0,0.0,0.0,3.0,50,7,4-Seam Fastball,5,6,6,5,6,5,6,5,Standard,Standard,214,0.018,-0.153
SL,2023-05-22,85.8,-2.54,5.91,"Jiménez, Joe",681546,641729,,ball,,,,,14,James Outman pops out to first baseman Matt Olson in foul territory.,R,L,R,ATL,LAD,B,,,1,2,2023,0.39,0.07,1.52,2.06,,,,1,6,Top,,,,,669221,,,8.964879191918074,-124.77810917555848,-3.041191233045073,2.375575642549256,23.744558472870445,-31.01723200984687,3.41,1.41,,,,87.3,2169,7.2,718074,641729,669221,621566,645277,663586,606115,592696,671739,660670,53.32,,,,,,,,50,6,Slider,5,6,6,5,6,5,6,5,Strategic,Standard,122,0.0,0.031
FF,2023-05-22,95.9,-2.4,6.08,"Jiménez, Joe",681546,641729,,foul,,,,,2,James Outman pops out to first baseman Matt Olson in foul territory.,R,L,R,ATL,LAD,S,,,1,2,2023,-0.67,1.47,-0.07,3.19,,,,1,6,Top,,,,,669221,,,7.7641122816516575,-139.41809461313153,-5.428655594422626,-10.433984884300562,30.764179502098028,-11.880232627226816,3.41,1.69,260.0,82.3,28.0,97.0,2386,6.9,718074,641729,669221,621566,645277,663586,606115,592696,671739,660670,53.57,,,,,,,,50,5,4-Seam Fastball,5,6,6,5,6,5,6,5,Standard,Standard,212,0.0,0.0
FF,2023-05-22,96.0,-2.54,6.12,"Jiménez, Joe",681546,641729,,ball,,,,,11,James Outman pops out to first baseman Matt Olson in foul territory.,R,L,R,ATL,LAD,B,,,0,2,2023,-0.73,1.46,-0.84,4.21,,,,1,6,Top,,,,,669221,,,6.258399625045432,-139.68701618536838,-2.8148858962673744,-11.03327702467613,31.997202285000267,-12.591370782042082,3.46,1.69,,,,97.5,2394,7.2,718074,641729,669221,621566,645277,663586,606115,592696,671739,660670,53.3,,,,,,,,50,4,4-Seam Fastball,5,6,6,5,6,5,6,5,Standard,Standard,216,0.0,0.014
FF,2023-05-22,96.5,-2.35,6.09,"Jiménez, Joe",681546,641729,,foul,,,,,2,James Outman pops out to first baseman Matt Olson in foul territory.,R,L,R,ATL,LAD,S,,,0,2,2023,-0.75,1.52,-0.15,3.25,,,,1,6,Top,,,,,669221,,,7.665546808958027,-140.35103983426345,-5.5421566412928,-11.620464104304949,31.4843003629082,-10.934232322938556,3.41,1.69,75.0,96.1,77.0,97.8,2322,7.0,718074,641729,669221,621566,645277,663586,606115,592696,671739,660670,53.47,,,,,,,,50,3,4-Seam Fastball,5,6,6,5,6,5,6,5,Strategic,Standard,212,0.0,0.0
FF,2023-05-22,95.1,-2.38,6.01,"Jiménez, Joe",681546,641729,,foul,,,,,2,James Outman pops out to first baseman Matt Olson in foul territory.,R,L,R,ATL,LAD,S,,,0,1,2023,-0.99,1.47,-0.19,3.42,,,,1,6,Top,,,,,669221,,,8.072461028351185,-138.26555915689264,-4.483010053194242,-14.50365445544274,31.954857725975547,-12.48610899855874,3.41,1.69,58.0,92.5,82.0,96.2,2428,7.1,718074,641729,669221,621566,645277,663586,606115,592696,671739,660670,53.44,,,,,,,,50,2,4-Seam Fastball,5,6,6,5,6,5,6,5,Standard,Standard,215,0.0,-0.037
FF,2023-05-22,96.0,-2.5,6.08,"Jiménez, Joe",681546,641729,,swinging_strike,,,,,2,James Outman pops out to first baseman Matt Olson in foul territory.,R,L,R,ATL,LAD,S,,,0,0,2023,-0.65,1.49,0.17,3.04,,,,1,6,Top,,,,,669221,,,8.607171650335372,-139.38032537075495,-5.834021067937399,-10.42908172257738,33.24906292379249,-11.59478792957667,3.41,1.69,,,,96.6,2474,6.9,718074,641729,669221,621566,645277,663586,606115,592696,671739,660670,53.58,,,,,,,,50,1,4-Seam Fastball,5,6,6,5,6,5,6,5,Standard,Standard,217,0.0,-0.028
FF,2023-05-22,95.0,-2.32,6.03,"Jiménez, Joe",678246,641729,strikeout,called_strike,,,,,9,Miguel Vargas called out on strikes.,R,R,R,ATL,LAD,S,2.0,,3,2,2023,-0.67,1.49,0.71,1.75,,,,0,6,Top,,,,,669221,,,9.538920478544926,-137.71593111455078,-8.952697394476955,-10.635019052136858,31.48609840399748,-11.345076354534203,3.44,1.58,,,,95.9,2413,7.1,718074,641729,669221,621566,645277,663586,606115,592696,671739,660670,53.4,,,0.0,1.0,0.0,0.0,,49,6,4-Seam Fastball,5,6,6,5,6,5,6,5,Standard,Standard,213,0.024,-0.315
