pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SI,2023-05-25,91.0,-1.88,6.43,"Judge, Aaron",592450,502043,field_out,hit_into_play,,,,,2,Aaron Judge lines out sharply to center fielder Ryan McKenna.,R,R,R,NYY,BAL,X,8.0,line_drive,0,0,2023,-1.38,0.87,-0.18,3.34,,,,0,6,Bot,118.54,62.89,,,668939,,,7.290594382345549,-132.33683668825367,-3.777089253920115,-17.74343988344077,27.145432216394404,-21.36154417265814,3.82,1.82,338.0,101.6,21.0,92.1,2217.0,6.9,718029,502043,668939,656811,624428,683002,622761,669720,663630,623993,53.59,0.517,0.676,0.0,1.0,0.0,0.0,5.0,46,1,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,211.0,-0.04,-0.235,aaron judge,
SI,2023-05-25,92.4,-1.74,6.5,"Judge, Aaron",592450,502043,field_out,hit_into_play,,,,,8,"Aaron Judge grounds out, shortstop Jorge Mateo to first baseman Ryan O'Hearn.",R,R,R,NYY,BAL,X,6.0,ground_ball,0,0,2023,-1.34,0.89,0.23,2.2,,,,0,4,Bot,108.54,168.79,,,668939,,,8.07151322961972,-134.26096217182342,-7.134402482105836,-18.013937279233588,29.239215418088445,-20.06218159073678,3.82,1.82,6.0,95.6,-18.0,93.6,2130.0,7.1,718029,502043,668939,656811,624428,683002,622761,669720,663630,623993,53.44,0.163,0.155,0.0,1.0,0.0,0.0,2.0,28,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,212.0,-0.027,-0.235,aaron judge,
SI,2023-05-25,96.8,-2.46,5.16,"Judge, Aaron",592450,666974,walk,ball,,,,,14,Aaron Judge walks.,R,R,R,NYY,BAL,B,,,3,2,2023,-1.82,-0.14,0.93,1.4,,,,0,9,Bot,,,,,668939,,,13.179384846008231,-140.2954991389322,-4.130552884557911,-27.08228103239343,31.97101873660015,-33.277796950076386,3.9,1.82,,,,96.6,2157.0,6.4,718029,666974,668939,656811,624428,683002,622761,669720,663630,623993,54.1,,,0.7,1.0,0.0,0.0,,67,7,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,261.0,0.045,0.316,aaron judge,
ST,2023-05-25,82.5,-2.44,6.33,"Judge, Aaron",592450,502043,strikeout,swinging_strike,,,,,8,Aaron Judge strikes out swinging.,R,R,R,NYY,BAL,S,2.0,,1,2,2023,0.79,0.14,0.26,2.01,,,650402.0,0,1,Bot,,,,,668939,,,4.649153877257542,-120.03902258644592,-3.547514931702916,6.587310995628594,25.7610836947356,-30.32530793557172,3.82,1.82,,,,82.9,2366.0,6.8,718029,502043,668939,656811,624428,683002,622761,669720,663630,623993,53.66,,,0.0,1.0,0.0,0.0,,8,4,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,77.0,-0.033,-0.256,aaron judge,
FC,2023-05-24,88.8,-1.13,6.87,"Judge, Aaron",592450,669330,walk,ball,,,,,14,Aaron Judge walks.,R,R,R,NYY,BAL,B,,,3,1,2023,0.33,1.28,1.75,1.63,,,,1,5,Bot,,,,,543510,,,6.329424065789924,-128.73984145897563,-9.268376590313425,2.037492037269631,32.60313269186298,-16.017710044964982,3.94,1.77,,,,87.8,2450.0,6.4,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.13,,,0.7,1.0,0.0,0.0,,38,5,Cutter,5,1,5,1,1,5,5,1,Standard,Standard,190.0,0.006,0.167,aaron judge,
CU,2023-05-24,74.0,-1.0,6.9,"Judge, Aaron",592450,669330,field_out,hit_into_play,,,,,6,Aaron Judge flies out sharply to center fielder Cedric Mullins.,R,R,R,NYY,BAL,X,8.0,fly_ball,0,1,2023,0.83,-0.85,0.3,2.83,,,,2,3,Bot,130.67,53.19,,,543510,,,1.209511495317387,-107.63998679659092,0.5658375187820559,6.153359270750366,21.454095683733293,-39.08397574271077,3.83,1.8,361.0,101.7,38.0,73.8,2589.0,6.5,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,53.99,0.357,0.725,0.0,1.0,0.0,0.0,5.0,22,2,Curveball,2,0,2,0,0,2,2,0,Standard,Standard,41.0,-0.008,-0.082,aaron judge,
FF,2023-05-24,92.9,-2.68,4.72,"Judge, Aaron",592450,571710,walk,ball,,,,,14,Aaron Judge walks.,R,R,R,NYY,BAL,B,,,3,1,2023,-1.0,0.81,1.03,0.96,641432.0,650402.0,,1,7,Bot,,,,,543510,,,11.658599497956004,-134.64222983583107,-5.541322111761833,-14.781718597938063,31.30757725524267,-21.24770743085485,4.04,1.83,,,,92.4,2280.0,6.4,718040,571710,543510,663624,624428,683002,622761,669720,656775,623993,54.14,,,0.7,1.0,0.0,0.0,,63,5,4-Seam Fastball,5,9,5,9,9,5,5,9,Standard,Standard,241.0,0.032,0.161,aaron judge,
FF,2023-05-24,97.6,0.29,7.06,"Judge, Aaron",592450,642585,walk,ball,,,,,12,Aaron Judge walks.,R,R,R,NYY,BAL,B,,,3,2,2023,-0.79,1.63,0.92,5.03,,,,2,9,Bot,,,,,543510,,,3.5561180844152047,-142.02896348243212,-3.680343011258113,-11.480886035383795,34.23321019579746,-9.57208952347418,3.99,1.72,,,,98.0,2257.0,6.6,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.87,,,0.7,1.0,0.0,0.0,,78,6,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,179.0,0.009,0.112,aaron judge,
CH,2023-05-24,86.1,-1.32,6.86,"Judge, Aaron",592450,669330,field_out,hit_into_play,,,,,8,Aaron Judge pops out to shortstop Jorge Mateo.,R,R,R,NYY,BAL,X,6.0,popup,3,2,2023,-1.48,1.14,0.24,2.1,,,,1,1,Bot,106.0,156.43,,,543510,,,6.736998523391347,-125.11131826099376,-7.367749200527204,-16.92965420313805,24.808376744488665,-18.89253120530443,3.83,1.8,122.0,79.5,65.0,86.3,2417.0,6.5,718040,669330,543510,663624,624428,687401,622761,669720,656775,623993,54.02,0.001,0.0,0.0,1.0,0.0,0.0,3.0,5,7,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,208.0,-0.016,-0.211,aaron judge,
SL,2023-05-23,89.0,-1.38,6.1,"Judge, Aaron",592450,680694,field_out,hit_into_play,,,,,9,Aaron Judge lines out to left fielder Austin Hays.,R,R,R,NYY,BAL,X,7.0,line_drive,2,2,2023,0.85,-0.07,0.67,2.08,,665828.0,650402.0,0,5,Bot,73.09,100.25,,,668939,,,3.249554904341599,-129.49761682393031,-3.637756462796462,8.808404711845391,29.358280806413003,-32.33870502492146,3.88,1.8,279.0,86.0,22.0,89.4,2666.0,6.7,718058,680694,668939,663624,624428,683002,622761,669720,656775,679631,53.77,0.323,0.294,0.0,1.0,0.0,0.0,3.0,41,5,Slider,1,4,1,4,4,1,1,4,Standard,Standard,52.0,-0.065,-0.281,aaron judge,
