pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SI,2023-05-23,91.3,-2.05,5.55,"Julks, Corey",667452,607067,field_out,hit_into_play,,,,,4,"Corey Julks grounds out, third baseman Owen Miller to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,X,5.0,ground_ball,1,1,2023,-0.96,0.71,-0.59,2.2,,,,1,5,Top,95.93,168.19,,,605170,,,5.784300993470672,-132.87757621921335,-4.09083483913826,-12.63266732140593,28.655306061956725,-23.07258210197098,3.25,1.55,21.0,78.6,-4.0,91.8,2049.0,6.6,718056,607067,605170,642133,668930,680911,642715,592885,686894,605119,53.9,0.114,0.103,0.0,1.0,0.0,0.0,2.0,35,3,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,216.0,0.019,-0.165,corey julks,
FF,2023-05-23,94.4,-2.1,5.52,"Julks, Corey",667452,607067,strikeout,called_strike,,,,,9,Corey Julks called out on strikes.,R,R,R,MIL,HOU,S,2.0,,2,2,2023,-0.6,1.27,0.79,1.64,,,,1,3,Top,,,,,605170,,,8.922059280840113,-137.06050058184687,-7.244251526724254,-9.547368988067648,31.15284610485802,-14.71412816036728,3.22,1.55,,,,94.8,2106.0,6.7,718056,607067,605170,642133,668930,680911,642715,592885,686894,605119,53.79,,,0.0,1.0,0.0,0.0,,17,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,221.0,0.018,-0.153,corey julks,
SL,2023-05-23,91.1,-2.44,5.4,"Julks, Corey",667452,665625,strikeout,swinging_strike_blocked,,,,,14,Corey Julks strikes out swinging.,R,R,R,MIL,HOU,S,2.0,,0,2,2023,0.12,0.19,1.29,0.54,,,,2,7,Top,,,,,605170,,,9.16387415877619,-132.3600482879458,-6.779973643351158,-0.4948770391518847,27.2197498740747,-28.65234438879993,3.25,1.55,,,,91.7,2476.0,6.7,718056,665625,605170,642133,668930,680911,642715,592885,686894,605119,53.83,,,0.0,1.0,0.0,0.0,,51,3,Slider,2,0,0,2,0,2,0,2,Standard,Standard,72.0,0.013,-0.057,corey julks,
FC,2023-05-22,94.9,-0.73,5.8,"Julks, Corey",667452,669203,single,hit_into_play,,,,,9,Corey Julks singles on a line drive to right fielder Brian Anderson.   Jose Abreu to 2nd.,R,R,R,MIL,HOU,X,9.0,line_drive,2,2,2023,0.13,0.89,0.45,1.84,,,547989.0,1,4,Top,180.71,117.33,,,661388,,,2.82593886532382,-138.10981560559006,-6.776147444368927,1.0770381067608437,28.174071454884576,-19.524305247768645,3.25,1.56,142.0,95.3,7.0,95.9,2639.0,6.7,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.82,0.563,0.513,0.9,1.0,1.0,0.0,4.0,28,5,Cutter,1,2,2,1,2,1,2,1,Standard,Standard,192.0,-0.035,0.541,corey julks,
SI,2023-05-22,95.7,-0.65,5.87,"Julks, Corey",667452,669203,home_run,hit_into_play,,,,,5,Corey Julks homers (3) on a line drive to left center field.,R,R,R,MIL,HOU,X,,line_drive,2,1,2023,-0.78,0.95,-0.16,2.12,,,,1,2,Top,73.57,45.25,,,661388,,,3.0900504606408266,-139.3516619809978,-6.492671110246999,-10.893386889256496,30.65317645683412,-18.55939392913078,3.25,1.56,401.0,108.2,17.0,96.6,2492.0,6.7,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.77,0.651,0.839,2.0,1.0,0.0,3.0,6.0,10,4,Sinker,0,0,0,0,1,0,1,0,Standard,Standard,196.0,-0.111,0.97,corey julks,
FF,2023-05-22,99.5,-0.91,6.52,"Julks, Corey",667452,656730,double,hit_into_play,,,,,2,Corey Julks doubles (6) on a fly ball to right fielder Brian Anderson.   Alex Bregman scores.    Yordan Alvarez scores.    Jeremy Pena to 3rd.,R,R,R,MIL,HOU,X,9.0,fly_ball,0,2,2023,-0.45,1.56,0.05,3.17,608324.0,670541.0,665161.0,2,8,Top,190.05,137.85,,,661388,,,3.7180165701327454,-144.73675997404737,-7.492469108482394,-7.204532268624174,33.97279861932823,-8.708093654798926,3.25,1.56,210.0,68.6,40.0,100.1,2578.0,6.6,718068,656730,661388,642133,680911,670712,668930,621438,686894,605119,53.87,0.52,0.498,1.25,1.0,1.0,1.0,3.0,71,5,4-Seam Fastball,2,10,10,2,12,2,12,2,Standard,Standard,201.0,-0.001,2.531,corey julks,
SI,2023-05-22,95.6,-3.27,5.42,"Julks, Corey",667452,664776,field_out,hit_into_play,,,,,8,"Corey Julks grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,X,6.0,ground_ball,2,1,2023,-1.56,0.65,-0.18,1.63,,,,1,7,Top,104.13,143.37,,,661388,,,11.907971156795451,-138.50916676666935,-5.879024779098102,-22.884207113773893,33.18102528528035,-22.57720308586393,3.25,1.56,12.0,108.1,-8.0,97.2,2356.0,7.6,718068,664776,661388,642133,668930,680911,642715,592885,621438,605119,52.91,0.337,0.303,0.0,1.0,0.0,0.0,2.0,57,4,Sinker,1,10,10,1,10,1,10,1,Standard,Standard,234.0,0.0,-0.202,corey julks,
SL,2023-05-22,90.0,-2.41,5.56,"Julks, Corey",667452,665625,field_out,hit_into_play,,,,,14,"Corey Julks grounds out, second baseman Brice Turang to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,X,4.0,ground_ball,0,2,2023,0.0,0.29,0.7,1.22,,,,0,6,Top,128.93,145.81,,,661388,,,7.87248403416167,-130.72991000750525,-5.479890860596702,-1.6938398108034232,28.821345699381908,-27.815487146500445,3.25,1.56,6.0,72.5,-12.0,91.6,2433.0,7.4,718068,665625,661388,642133,668930,680911,642715,592885,621438,605119,53.06,0.051,0.046,0.0,1.0,0.0,0.0,2.0,45,3,Slider,1,5,5,1,5,1,5,1,Standard,Standard,221.0,0.007,-0.149,corey julks,
ST,2023-05-20,79.7,1.52,4.8,"Julks, Corey",667452,676664,field_out,hit_into_play,,,,,13,Corey Julks flies out to left fielder JJ Bleday in foul territory.,R,R,L,HOU,OAK,X,7.0,fly_ball,2,2,2023,-1.42,-0.12,-0.92,1.79,,676801.0,,1,4,Bot,57.57,136.12,,,669127,,,-2.7089903375505737,-116.0167194375014,0.466488133114741,-12.013043320509686,25.77287599120926,-33.55689729843036,3.29,1.59,228.0,93.5,56.0,79.7,2404.0,6.7,718098,676664,669127,676116,643393,607054,669397,668709,665923,657656,53.81,0.006,0.005,0.0,1.0,0.0,0.0,3.0,32,6,Sweeper,2,1,2,1,1,2,2,1,Standard,Standard,289.0,-0.032,-0.269,corey julks,
SL,2023-05-20,82.5,1.45,4.83,"Julks, Corey",667452,676664,strikeout,swinging_strike,,,,,14,Corey Julks strikes out swinging.,R,R,L,HOU,OAK,S,2.0,,0,2,2023,0.11,0.54,1.0,2.25,663656.0,665161.0,676801.0,2,1,Bot,,,,,669127,,,-1.225970895715516,-120.18208857446308,-0.3498761394642143,1.311565432732805,25.566311587337584,-27.153944986268726,3.29,1.59,,,,82.7,2184.0,6.6,718098,676664,669127,676116,643393,607054,669397,668709,665923,657656,53.93,,,0.0,1.0,0.0,0.0,,12,3,Slider,2,0,2,0,0,2,2,0,Standard,Standard,235.0,-0.049,-0.479,corey julks,
