pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-25,86.6,-1.9,5.72,"Junis, Jakob",686894,596001,walk,ball,,,,,14,Joey Wiemer walks.   Rowdy Tellez to 2nd.,R,R,R,MIL,SF,B,,,3,2,2023,1.08,0.16,1.37,1.98,,,642133.0,2,5,Bot,,,,,672275,,,5.568753132134391,-126.02885911666584,-3.004902917602983,10.268495417466688,26.916084099215126,-30.05914834771066,3.15,1.43,,,,85.9,2593.0,5.9,718028,596001,672275,664774,642731,605204,669477,571745,573262,624424,54.55,,,0.7,1.0,0.0,0.0,,38,6,Slider,0,1,0,1,1,0,0,1,Standard,Standard,48.0,0.03,0.208
SL,2023-05-25,87.6,-1.91,5.6,"Junis, Jakob",686894,596001,,ball,,,,,14,Joey Wiemer walks.   Rowdy Tellez to 2nd.,R,R,R,MIL,SF,B,,,2,2,2023,1.33,-0.04,1.89,0.69,,,642133.0,2,5,Bot,,,,,672275,,,6.394917279441134,-127.41148445325652,-5.584657455823685,12.98592483967952,28.38603454714788,-31.57976599318537,3.15,1.43,,,,87.0,2374.0,6.1,718028,596001,672275,664774,642731,605204,669477,571745,573262,624424,54.38,,,,,,,,38,5,Slider,0,1,0,1,1,0,0,1,Standard,Standard,44.0,0.0,0.056
SL,2023-05-25,85.1,-1.98,5.69,"Junis, Jakob",686894,596001,,called_strike,,,,,14,Joey Wiemer walks.   Rowdy Tellez to 2nd.,R,R,R,MIL,SF,S,,,2,1,2023,1.13,0.02,0.88,1.66,,,642133.0,2,5,Bot,,,,,672275,,,4.402827863608534,-123.86922162109911,-3.109247461978596,10.66117603036766,26.772749431294574,-31.57233773302541,3.15,1.43,,,,84.4,2460.0,6.0,718028,596001,672275,664774,642731,605204,669477,571745,573262,624424,54.48,,,,,,,,38,4,Slider,0,1,0,1,1,0,0,1,Standard,Standard,48.0,0.0,-0.063
SL,2023-05-25,85.7,-1.96,5.7,"Junis, Jakob",686894,596001,,ball,,,,,14,Joey Wiemer walks.   Rowdy Tellez to 2nd.,R,R,R,MIL,SF,B,,,1,1,2023,1.21,0.01,1.49,1.68,,,642133.0,2,5,Bot,,,,,672275,,,5.659870511071512,-124.67921846809716,-3.2100018223701854,11.359681483299331,26.52658305799071,-31.55324344622315,3.15,1.43,,,,85.0,2581.0,6.0,718028,596001,672275,664774,642731,605204,669477,571745,573262,624424,54.54,,,,,,,,38,3,Slider,0,1,0,1,1,0,0,1,Standard,Standard,55.0,0.0,0.037
SL,2023-05-25,86.8,-1.97,5.7,"Junis, Jakob",686894,596001,,swinging_strike,,,,,14,Joey Wiemer walks.   Rowdy Tellez to 2nd.,R,R,R,MIL,SF,S,,,1,0,2023,0.58,0.33,1.32,1.58,,,642133.0,2,5,Bot,,,,,672275,,,6.651820338303103,-126.3353691445146,-4.386317180118831,4.983144332734224,24.020386039269585,-27.959378326674702,3.15,1.43,,,,86.6,2338.0,6.0,718028,596001,672275,664774,642731,605204,669477,571745,573262,624424,54.51,,,,,,,,38,2,Slider,0,1,0,1,1,0,0,1,Standard,Standard,56.0,0.0,-0.037
SL,2023-05-25,86.2,-2.01,5.67,"Junis, Jakob",686894,596001,,ball,,,,,14,Joey Wiemer walks.   Rowdy Tellez to 2nd.,R,R,R,MIL,SF,B,,,0,0,2023,0.88,0.07,0.82,0.97,,,642133.0,2,5,Bot,,,,,672275,,,4.918148323599649,-125.40476675256244,-5.052948003383076,8.269771553527033,25.90602024244997,-30.594630598776025,3.15,1.43,,,,85.7,2413.0,6.1,718028,596001,672275,664774,642731,605204,669477,571745,573262,624424,54.44,,,,,,,,38,1,Slider,0,1,0,1,1,0,0,1,Standard,Standard,58.0,0.0,0.027
SI,2023-05-25,95.8,-1.71,5.63,"Junis, Jakob",642133,596001,single,hit_into_play,,,,,3,Rowdy Tellez singles on a line drive to left fielder Mitch Haniger.,R,L,R,MIL,SF,X,7.0,line_drive,2,2,2023,-1.23,0.83,0.38,3.15,,,,2,5,Bot,78.23,107.04,,,672275,,,8.26401605316368,-139.4096166524434,-2.878609080148302,-17.801066216226264,29.07435396152671,-20.86910673005285,3.53,1.67,259.0,94.5,15.0,96.1,2288.0,6.3,718028,596001,672275,664774,642731,605204,669477,571745,573262,624424,54.21,0.857,0.845,0.9,1.0,1.0,0.0,4.0,37,6,Sinker,0,1,0,1,1,0,0,1,Strategic,Standard,215.0,0.02,0.149
SL,2023-05-25,85.9,-1.97,5.78,"Junis, Jakob",642133,596001,,foul,,,,,6,Rowdy Tellez singles on a line drive to left fielder Mitch Haniger.,R,L,R,MIL,SF,S,,,2,2,2023,1.06,-0.11,0.51,2.53,,,,2,5,Bot,,,,,672275,,,3.719132705255876,-125.12010945400168,-1.2796840492736636,10.520585782461184,23.689764106520443,-33.263110406409545,3.53,1.67,5.0,100.6,-27.0,85.8,2417.0,6.0,718028,596001,672275,664774,642731,605204,669477,571745,573262,624424,54.49,,,,,,,,37,5,Slider,0,1,0,1,1,0,0,1,Strategic,Standard,57.0,0.0,0.0
SL,2023-05-25,84.4,-1.93,5.75,"Junis, Jakob",642133,596001,,called_strike,,,,,13,Rowdy Tellez singles on a line drive to left fielder Mitch Haniger.,R,L,R,MIL,SF,S,,,2,1,2023,0.89,-0.56,-0.92,1.69,,,,2,5,Bot,,,,,672275,,,0.576885798791362,-122.99149386977902,-1.9921656659687264,8.933357314209895,24.779271783706957,-37.6289325834515,3.53,1.67,,,,83.8,2272.0,5.8,718028,596001,672275,664774,642731,605204,669477,571745,573262,624424,54.68,,,,,,,,37,4,Slider,0,1,0,1,1,0,0,1,Strategic,Standard,53.0,0.0,-0.03
CH,2023-05-25,87.8,-1.84,5.63,"Junis, Jakob",642133,596001,,ball,,,,,13,Rowdy Tellez singles on a line drive to left fielder Mitch Haniger.,R,L,R,MIL,SF,B,,,1,1,2023,-0.87,0.31,-0.13,1.43,,,,2,5,Bot,,,,,672275,,,5.91420040493946,-127.85972785565068,-4.765569334382107,-10.723025563534025,23.83044778669284,-28.05640686289687,3.53,1.67,,,,88.0,1188.0,6.1,718028,596001,672275,664774,642731,605204,669477,571745,573262,624424,54.36,,,,,,,,37,3,Changeup,0,1,0,1,1,0,0,1,Strategic,Standard,231.0,0.0,0.023
