pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,2023-05-24,83.5,0.0,6.54,"Karinchak, James",640449,675916,strikeout,called_strike,,,,,6,Clint Frazier called out on strikes.,R,R,R,CLE,CWS,S,2.0,,3,2,2023,0.08,-0.8,0.35,2.34,,,,2,9,Top,,,,,681807,,,0.6439922348996965,-121.8092554206843,-1.8036524054232208,0.692379751466107,20.07018845853901,-40.11505953249102,3.21,1.53,,,,83.9,2461.0,6.1,718048,675916,681807,605137,665926,608070,642708,680757,664702,672356,54.44,,,0.0,1.0,0.0,0.0,,61,7,Curveball,0,6,6,0,6,0,6,0,Standard,Standard,25.0,0.0,-0.131
CU,2023-05-24,82.6,0.13,6.55,"Karinchak, James",640449,675916,,ball,,,,,14,Clint Frazier called out on strikes.,R,R,R,CLE,CWS,B,,,2,2,2023,-0.17,-0.67,0.72,0.38,,,,2,9,Top,,,,,681807,,,1.6604200216286504,-120.31840952289625,-6.2570327026070345,-1.990094768043083,22.669211285653205,-37.72481103778957,3.18,1.46,,,,82.4,2358.0,6.0,718048,675916,681807,605137,665926,608070,642708,680757,664702,672356,54.45,,,,,,,,61,6,Curveball,0,6,6,0,6,0,6,0,Standard,Standard,11.0,0.0,0.041
CU,2023-05-24,83.1,0.07,6.59,"Karinchak, James",640449,675916,,ball,,,,,14,Clint Frazier called out on strikes.,R,R,R,CLE,CWS,B,,,1,2,2023,0.12,-0.79,1.28,0.99,,,,2,9,Top,,,,,681807,,,2.533260770575067,-121.0508086697984,-4.866830611198907,0.7038108517631753,21.371382639884576,-39.3557994316206,3.23,1.48,,,,82.9,2489.0,5.9,718048,675916,681807,605137,665926,608070,642708,680757,664702,672356,54.59,,,,,,,,61,5,Curveball,0,6,6,0,6,0,6,0,Standard,Standard,28.0,0.0,0.018
FF,2023-05-24,94.5,0.17,6.72,"Karinchak, James",640449,675916,,foul,,,,,1,Clint Frazier called out on strikes.,R,R,R,CLE,CWS,S,,,1,2,2023,-0.21,1.73,-0.59,3.03,,,,2,9,Top,,,,,681807,,,-1.5195195900663463,-137.47742441876673,-7.740233636767741,-2.2670703878273675,31.68955194906967,-8.744009273645652,3.33,1.58,210.0,71.8,27.0,94.1,2349.0,6.2,718048,675916,681807,605137,665926,608070,642708,680757,664702,672356,54.32,,,,,,,,61,4,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,197.0,0.0,0.0
FF,2023-05-24,93.3,0.16,6.69,"Karinchak, James",640449,675916,,ball,,,,,11,Clint Frazier called out on strikes.,R,R,R,CLE,CWS,B,,,0,2,2023,-0.26,1.65,-1.0,3.46,,,,2,9,Top,,,,,681807,,,-2.414411783819328,-135.75557569708562,-6.143165190349685,-2.6071315068024785,31.272560053473345,-10.61519775079562,3.19,1.49,,,,92.9,2266.0,6.2,718048,675916,681807,605137,665926,608070,642708,680757,664702,672356,54.32,,,,,,,,61,3,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,194.0,0.0,0.014
FF,2023-05-24,93.8,-0.03,6.67,"Karinchak, James",640449,675916,,foul,,,,,5,Clint Frazier called out on strikes.,R,R,R,CLE,CWS,S,,,0,1,2023,-0.11,1.59,-0.05,2.77,,,,2,9,Top,,,,,681807,,,0.1628270352347689,-136.51097586375923,-7.887768933694949,-1.3706736357500169,27.43839495827885,-10.793660250067369,3.33,1.58,217.0,87.2,58.0,93.9,2270.0,6.2,718048,675916,681807,605137,665926,608070,642708,680757,664702,672356,54.33,,,,,,,,61,2,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,197.0,0.0,-0.025
CU,2023-05-24,82.1,-0.1,6.64,"Karinchak, James",640449,675916,,called_strike,,,,,1,Clint Frazier called out on strikes.,R,R,R,CLE,CWS,S,,,0,0,2023,-0.13,-0.75,-0.57,2.86,,,,2,9,Top,,,,,681807,,,-0.8063824536171305,-119.72016301718692,-0.7047731822857269,-1.1187581889684728,19.172817581686274,-39.56602645534727,3.17,1.49,,,,82.2,2441.0,5.9,718048,675916,681807,605137,665926,608070,642708,680757,664702,672356,54.64,,,,,,,,61,1,Curveball,0,6,6,0,6,0,6,0,Standard,Standard,23.0,0.0,-0.021
CU,2023-05-24,82.9,-0.05,6.64,"Karinchak, James",669394,675916,strikeout,swinging_strike_blocked,,,,,14,Jake Burger strikes out swinging.,R,R,R,CLE,CWS,S,2.0,,1,2,2023,-0.11,-0.75,0.48,0.16,,,,1,9,Top,,,,,681807,,,1.422135669245076,-120.71455124699834,-6.9518165752130034,-1.369683588452029,19.986353441728472,-38.615127410794365,3.23,1.46,,,,82.9,2466.0,5.9,718048,675916,681807,605137,665926,608070,642708,680757,664702,672356,54.59,,,0.0,1.0,0.0,0.0,,60,4,Curveball,0,6,6,0,6,0,6,0,Standard,Standard,12.0,0.001,-0.122
CU,2023-05-24,82.7,0.03,6.65,"Karinchak, James",669394,675916,,foul,,,,,14,Jake Burger strikes out swinging.,R,R,R,CLE,CWS,S,,,1,1,2023,-0.07,-0.7,0.56,0.47,,,,1,9,Top,,,,,681807,,,1.3374396679419918,-120.51708874932156,-6.330865334352832,-0.859535279937559,19.54422059086363,-38.201796955232936,3.23,1.46,,,,82.9,2421.0,6.0,718048,675916,681807,605137,665926,608070,642708,680757,664702,672356,54.54,,,,,,,,60,3,Curveball,0,6,6,0,6,0,6,0,Standard,Standard,20.0,0.0,-0.044
CU,2023-05-24,81.9,-0.05,6.59,"Karinchak, James",669394,675916,,called_strike,,,,,8,Jake Burger strikes out swinging.,R,R,R,CLE,CWS,S,,,1,0,2023,-0.02,-0.95,0.22,1.48,,,,1,9,Top,,,,,681807,,,0.6318716322012833,-119.36756870958337,-3.176430249277292,-0.2743494001421327,22.837465973576013,-40.85052451988469,3.28,1.56,,,,81.6,2475.0,6.0,718048,675916,681807,605137,665926,608070,642708,680757,664702,672356,54.53,,,,,,,,60,2,Curveball,0,6,6,0,6,0,6,0,Standard,Standard,25.0,0.0,-0.035
CU,2023-05-24,82.2,-0.25,6.62,"Karinchak, James",669394,675916,,ball,,,,,13,Jake Burger strikes out swinging.,R,R,R,CLE,CWS,B,,,0,0,2023,-0.29,-0.68,-0.53,1.18,,,,1,9,Top,,,,,681807,,,-0.0825099786374626,-119.73523701567208,-4.454165677614448,-2.782996256545833,23.907906163862823,-37.98844014549697,3.33,1.6,,,,81.6,2394.0,5.9,718048,675916,681807,605137,665926,608070,642708,680757,664702,672356,54.6,,,,,,,,60,1,Curveball,0,6,6,0,6,0,6,0,Standard,Standard,28.0,0.0,0.028
FF,2023-05-24,93.0,-0.16,6.57,"Karinchak, James",656514,675916,field_out,hit_into_play,,,,,6,Adam Haseley pops out to third baseman Jose Ramirez in foul territory.,R,L,R,CLE,CWS,X,5.0,popup,0,0,2023,-0.23,1.74,0.31,2.32,,,,0,9,Top,92.14,195.88,,,681807,,,1.7160522507958316,-135.17542081947826,-8.890622005143552,-3.1668888425285844,30.824090985966382,-9.123006855318712,3.11,1.55,84.0,82.0,78.0,92.9,2285.0,6.4,718048,675916,681807,605137,665926,608070,642708,680757,664702,672356,54.08,0.02,0.025,0.0,1.0,0.0,0.0,3.0,59,1,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,197.0,0.0,-0.235
FF,2023-05-23,95.2,-0.13,6.6,"Karinchak, James",643217,675916,field_out,hit_into_play,,,,,5,Andrew Benintendi flies out to left fielder Steven Kwan.,R,L,R,CLE,CWS,X,7.0,fly_ball,0,0,2023,-0.07,1.6,0.11,2.69,,,,2,8,Top,78.91,85.85,,,572287,,,0.7857159406668305,-138.43926349734616,-8.20527383014102,-1.1029052099369818,30.20733595768895,-9.974591782045527,3.27,1.47,304.0,86.5,31.0,95.2,2425.0,6.3,718063,675916,572287,647304,665926,608070,642708,680757,686823,672356,54.22,0.037,0.044,0.0,1.0,0.0,0.0,3.0,60,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,189.0,0.006,-0.103
FF,2023-05-23,95.4,-0.03,6.65,"Karinchak, James",683734,675916,strikeout,swinging_strike,,,,,11,Andrew Vaughn strikes out swinging.,R,R,R,CLE,CWS,S,2.0,,0,2,2023,-0.3,1.73,-0.12,3.26,,,,1,8,Top,,,,,572287,,,0.424204221242481,-138.77420306487366,-7.149069123192159,-3.924600980855394,31.780843537481072,-8.38384858309398,3.1,1.42,,,,95.3,2401.0,6.3,718063,675916,572287,647304,665926,608070,642708,680757,686823,672356,54.18,,,0.0,1.0,0.0,0.0,,59,3,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,196.0,0.009,-0.107
CU,2023-05-23,84.0,-0.22,6.59,"Karinchak, James",683734,675916,,called_strike,,,,,9,Andrew Vaughn strikes out swinging.,R,R,R,CLE,CWS,S,,,0,1,2023,-0.17,-0.65,0.6,1.28,,,,1,8,Top,,,,,572287,,,2.214967336086288,-122.37715836192294,-4.6249538467149085,-2.179593419550157,23.91956110844898,-37.9842277486656,2.97,1.35,,,,83.7,2482.0,6.0,718063,675916,572287,647304,665926,608070,642708,680757,686823,672356,54.52,,,,,,,,59,2,Curveball,2,4,4,2,4,2,4,2,Standard,Standard,25.0,0.0,-0.037
CU,2023-05-23,84.1,-0.25,6.66,"Karinchak, James",683734,675916,,called_strike,,,,,3,Andrew Vaughn strikes out swinging.,R,R,R,CLE,CWS,S,,,0,0,2023,-0.16,-0.49,0.8,2.77,,,,1,8,Top,,,,,572287,,,2.7371152638964507,-122.51287336588533,-1.691078223045796,-2.1498275990080016,23.27024055480392,-36.99349155890819,3.1,1.47,,,,83.9,2348.0,6.0,718063,675916,572287,647304,665926,608070,642708,680757,686823,672356,54.47,,,,,,,,59,1,Curveball,2,4,4,2,4,2,4,2,Standard,Standard,24.0,0.0,-0.028
CU,2023-05-23,83.1,-0.23,6.57,"Karinchak, James",660162,675916,field_out,hit_into_play,,,,,11,Yoan Moncada flies out to center fielder Will Brennan.,R,L,R,CLE,CWS,X,8.0,fly_ball,0,2,2023,-0.01,-0.71,-0.96,2.94,,,,0,8,Top,110.95,96.46,,,572287,,,-1.6546740714955157,-121.08308630981414,-0.4841611630386153,0.2605905764838545,23.218862767737125,-39.292028801242296,3.22,1.38,259.0,75.0,35.0,82.7,2388.0,5.9,718063,675916,572287,647304,665926,608070,642708,680757,686823,672356,54.59,0.16,0.15,0.0,1.0,0.0,0.0,3.0,58,3,Curveball,2,4,4,2,4,2,4,2,Strategic,Standard,31.0,0.011,-0.149
CU,2023-05-23,83.9,-0.2,6.52,"Karinchak, James",660162,675916,,swinging_strike,,,,,14,Yoan Moncada flies out to center fielder Will Brennan.,R,L,R,CLE,CWS,S,,,0,1,2023,-0.25,-0.66,0.35,-0.12,,,,0,8,Top,,,,,572287,,,1.750322971358036,-122.08661364214156,-7.639542077409044,-2.8331322426811054,23.512422549245542,-37.52980040954127,3.22,1.38,,,,83.6,2529.0,6.0,718063,675916,572287,647304,665926,608070,642708,680757,686823,672356,54.46,,,,,,,,58,2,Curveball,2,4,4,2,4,2,4,2,Strategic,Standard,7.0,0.0,-0.049
CU,2023-05-23,83.0,-0.07,6.59,"Karinchak, James",660162,675916,,called_strike,,,,,9,Yoan Moncada flies out to center fielder Will Brennan.,R,L,R,CLE,CWS,S,,,0,0,2023,-0.29,-0.77,0.74,1.52,,,,0,8,Top,,,,,572287,,,2.3959815443909203,-120.8791528450748,-3.6533859644974296,-3.264219839401407,22.53698169863939,-39.22120197043613,3.27,1.47,,,,82.8,2443.0,6.0,718063,675916,572287,647304,665926,608070,642708,680757,686823,672356,54.46,,,,,,,,58,1,Curveball,2,4,4,2,4,2,4,2,Standard,Standard,24.0,0.0,-0.037
FF,2023-05-19,95.6,0.25,6.6,"Karinchak, James",592192,675916,strikeout,swinging_strike,,,,,11,Mark Canha strikes out swinging.,R,R,R,NYM,CLE,S,2.0,,1,2,2023,-0.19,1.79,-0.61,3.49,,,668901.0,2,7,Bot,,,,,595956,,,-1.8337118791207576,-139.04867688360287,-6.578992347154609,-1.9936094474815893,32.10361575226914,-7.736825382001109,3.26,1.51,,,,95.4,2335.0,6.3,718119,675916,595956,672356,665926,608070,642708,680757,664702,686823,54.23,,,0.0,1.0,0.0,0.0,,68,4,4-Seam Fastball,7,7,7,7,7,7,7,7,Standard,Standard,194.0,-0.041,-0.176
CU,2023-05-19,84.0,0.14,6.57,"Karinchak, James",592192,675916,,called_strike,,,,,8,Mark Canha strikes out swinging.,R,R,R,NYM,CLE,S,,,1,1,2023,-0.21,-0.69,-0.09,1.57,,,668901.0,2,7,Bot,,,,,595956,,,-0.1143684831339634,-122.41357863326334,-3.8028624886398177,-2.098411644426951,24.239237001602504,-38.58891725753206,3.26,1.51,,,,83.6,2584.0,5.9,718119,675916,595956,672356,665926,608070,642708,680757,664702,686823,54.56,,,,,,,,68,3,Curveball,7,7,7,7,7,7,7,7,Standard,Standard,6.0,0.0,-0.056
