pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-24,84.8,-2.98,5.42,"Kauffmann, Karl",650333,666154,double,hit_into_play,,,,,8,Luis Arraez doubles (11) on a sharp line drive to center fielder Randal Grichuk.   Jonathan Davis scores.    Jorge Soler scores.,R,L,R,COL,MIA,X,8.0,line_drive,2,1,2023,-0.56,0.4,0.03,1.49,,641505.0,624585.0,1,5,Top,155.27,50.19,,,553869,,,8.270501044541202,-123.38821380494116,-3.753491575435453,-7.261864267075718,21.952829919516045,-27.57417878731112,3.17,1.53,299.0,100.9,17.0,86.3,1175,7.0,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,53.51,0.5,0.596,1.25,1.0,1.0,1.0,4.0,39,4,Changeup,1,3,3,1,5,1,5,1,Standard,Standard,243,-0.124,1.45
FF,2023-05-24,89.2,-2.77,5.64,"Kauffmann, Karl",650333,666154,,ball,,,,,11,Luis Arraez doubles (11) on a sharp line drive to center fielder Randal Grichuk.   Jonathan Davis scores.    Jorge Soler scores.,R,L,R,COL,MIA,B,,,1,1,2023,-0.76,0.63,-1.26,3.18,,641505.0,624585.0,1,5,Top,,,,,553869,,,5.302403402462049,-129.9329451556079,-1.4401772905911887,-9.678618059534822,22.562011797709896,-24.91126973692942,3.16,1.51,,,,89.9,2100,6.3,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,54.24,,,,,,,,39,3,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,227,0.0,0.078
CH,2023-05-24,85.2,-3.09,5.44,"Kauffmann, Karl",650333,666154,,foul,,,,,8,Luis Arraez doubles (11) on a sharp line drive to center fielder Randal Grichuk.   Jonathan Davis scores.    Jorge Soler scores.,R,L,R,COL,MIA,S,,,1,0,2023,-0.75,0.13,0.19,1.61,,641505.0,624585.0,1,5,Top,,,,,553869,,,9.23921615751354,-123.91488366578255,-3.053906152915543,-9.3964666856038,20.49843924090577,-30.41817150131424,3.17,1.53,7.0,85.4,-14.0,86.1,1294,6.5,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,53.97,,,,,,,,39,2,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,241,0.0,-0.117
CH,2023-05-24,84.4,-3.05,5.51,"Kauffmann, Karl",650333,666154,,ball,,,,,13,Luis Arraez doubles (11) on a sharp line drive to center fielder Randal Grichuk.   Jonathan Davis scores.    Jorge Soler scores.,R,L,R,COL,MIA,B,,,0,0,2023,-0.7,0.18,-1.08,1.91,,641505.0,624585.0,1,5,Top,,,,,553869,,,6.024589225952544,-122.99315116530532,-2.517260657907431,-8.17860213779265,19.860979140979357,-30.1018920411727,3.09,1.49,,,,85.8,1292,6.7,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,53.83,,,,,,,,39,1,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,241,0.0,0.11
SL,2023-05-24,82.4,-2.98,5.56,"Kauffmann, Karl",624585,666154,single,hit_into_play,,,,,9,Jorge Soler singles on a fly ball to center fielder Randal Grichuk.   Jonathan Davis to 2nd.,R,R,R,COL,MIA,X,8.0,fly_ball,1,0,2023,0.2,0.08,0.35,2.05,,,641505.0,1,5,Top,184.3,70.61,,,553869,,,7.202420736939592,-120.06468384404587,-1.750716826848019,0.9225815637706842,17.834484143008094,-31.308183467509963,3.5,1.7,386.0,101.5,36.0,83.3,2314,6.3,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,54.18,0.389,0.749,0.9,1.0,1.0,0.0,5.0,38,2,Slider,1,3,3,1,3,1,3,1,Standard,Standard,139,-0.026,0.456
FF,2023-05-24,88.7,-2.71,5.6,"Kauffmann, Karl",624585,666154,,ball,,,,,14,Jorge Soler singles on a fly ball to center fielder Randal Grichuk.   Jonathan Davis to 2nd.,R,R,R,COL,MIA,B,,,0,0,2023,-0.72,0.99,1.34,2.24,,,641505.0,1,5,Top,,,,,553869,,,11.507943843586864,-128.72596115800775,-4.330612448048555,-10.122243583560492,22.16430762333712,-20.398184175578177,3.49,1.75,,,,89.9,2191,6.8,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,53.7,,,,,,,,38,1,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,224,0.0,0.045
FF,2023-05-24,89.8,-2.88,5.63,"Kauffmann, Karl",542932,666154,sac_fly,hit_into_play,,,,,4,Jon Berti out on a sacrifice fly to right fielder Kris Bryant.   Jacob Stallings scores.,R,R,R,COL,MIA,X,9.0,fly_ball,0,0,2023,-0.87,1.03,-0.37,2.39,607732.0,,641505.0,0,5,Top,188.44,65.68,,,553869,,,8.062641185473908,-130.65257569485803,-4.279455289879293,-11.54594875001257,23.895452995371294,-19.667980910094897,3.28,1.53,364.0,94.1,27.0,90.5,2206,6.4,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,54.06,0.149,0.203,0.0,1.0,0.0,0.0,3.0,37,1,4-Seam Fastball,1,2,2,1,3,1,3,1,Standard,Standard,223,0.01,-0.369
SL,2023-05-24,82.2,-3.04,5.56,"Kauffmann, Karl",641505,666154,single,hit_into_play,,,,,11,Jonathan Davis singles on a fly ball to right fielder Kris Bryant.   Jacob Stallings to 3rd.,R,R,R,COL,MIA,X,9.0,fly_ball,1,0,2023,0.33,0.32,-0.91,2.75,,607732.0,,0,5,Top,146.75,112.33,,,553869,,,4.177841697383448,-119.9161782956301,-0.6101327773457184,2.6304610627050744,18.541642869628152,-29.13721974997804,3.25,1.55,220.0,67.8,43.0,83.1,2227,6.3,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,54.2,0.414,0.393,0.9,1.0,1.0,0.0,3.0,36,2,Slider,1,2,2,1,2,1,2,1,Strategic,Standard,146,-0.062,0.627
FF,2023-05-24,89.7,-2.67,5.67,"Kauffmann, Karl",641505,666154,,ball,,,,,14,Jonathan Davis singles on a fly ball to right fielder Kris Bryant.   Jacob Stallings to 3rd.,R,R,R,COL,MIA,B,,,0,0,2023,-0.6,1.26,0.48,1.14,,607732.0,,0,5,Top,,,,,553869,,,9.122323725614546,-130.1975916970704,-7.957597600118176,-8.552089112787032,23.977423875609016,-16.396252694900756,2.93,1.28,,,,90.8,2148,6.8,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,53.7,,,,,,,,36,1,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,223,0.0,0.069
FF,2023-05-24,90.4,-2.76,5.62,"Kauffmann, Karl",607732,666154,double,hit_into_play,,,,,6,Jacob Stallings doubles (4) on a sharp fly ball to right fielder Kris Bryant.,R,R,R,COL,MIA,X,9.0,fly_ball,2,1,2023,-0.69,1.16,0.57,2.35,,,,0,5,Top,189.08,70.6,,,553869,,,9.752879536595554,-131.47349908747648,-4.77146886555625,-9.803182182270518,23.060728758596525,-17.880360476303654,3.25,1.54,381.0,100.3,23.0,91.0,2245,6.3,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,54.21,0.494,0.707,1.25,1.0,1.0,1.0,5.0,35,4,4-Seam Fastball,1,2,2,1,2,1,2,1,Strategic,Standard,225,-0.066,0.577
SI,2023-05-24,88.3,-2.72,5.51,"Kauffmann, Karl",607732,666154,,ball,,,,,13,Jacob Stallings doubles (4) on a sharp fly ball to right fielder Kris Bryant.,R,R,R,COL,MIA,B,,,1,1,2023,-1.06,0.6,-1.62,1.79,,,,0,5,Top,,,,,553869,,,4.910482533371216,-128.65427631698577,-4.37946758427687,-12.81143587042488,22.41925387464294,-24.781574027992846,3.14,1.51,,,,89.6,2044,6.6,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,53.86,,,,,,,,35,3,Sinker,1,2,2,1,2,1,2,1,Strategic,Standard,228,0.0,0.05
SL,2023-05-24,81.0,-2.85,5.55,"Kauffmann, Karl",607732,666154,,ball,,,,,14,Jacob Stallings doubles (4) on a sharp fly ball to right fielder Kris Bryant.,R,R,R,COL,MIA,B,,,0,1,2023,0.52,0.03,1.02,1.35,,,,0,5,Top,,,,,553869,,,7.676400256693888,-117.8970938500942,-2.9340209981509853,3.668411359718315,18.49404489310908,-31.59163085921652,3.19,1.49,,,,81.7,2197,6.3,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,54.16,,,,,,,,35,2,Slider,1,2,2,1,2,1,2,1,Strategic,Standard,114,0.0,0.03
FF,2023-05-24,88.4,-2.9,5.5,"Kauffmann, Karl",607732,666154,,called_strike,,,,,8,Jacob Stallings doubles (4) on a sharp fly ball to right fielder Kris Bryant.,R,R,R,COL,MIA,S,,,0,0,2023,-0.59,1.12,-0.05,1.68,,,,0,5,Top,,,,,553869,,,8.181571655144984,-128.60598173684508,-5.6653909543441126,-8.062145404183246,23.162052424149252,-18.699702223405744,3.16,1.47,,,,89.1,2102,6.5,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,54.04,,,,,,,,35,1,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,227,0.0,-0.037
FF,2023-05-24,90.0,-2.89,5.5,"Kauffmann, Karl",621563,666154,field_out,hit_into_play,,,,,13,"Joey Wendle grounds out, shortstop Ezequiel Tovar to first baseman Mike Moustakas.",R,L,R,COL,MIA,X,6.0,ground_ball,3,2,2023,-0.88,0.96,-1.03,2.38,,493329.0,,2,4,Top,126.12,147.58,,,553869,,,6.563387904241031,-131.02602312168167,-3.933946990276018,-11.448215263942696,24.37304696758541,-20.48526257127681,3.31,1.61,46.0,96.0,0.0,91.5,2150,6.9,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,53.58,0.397,0.377,0.0,1.0,0.0,0.0,2.0,31,7,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,225,0.035,-0.333
SI,2023-05-24,90.6,-2.83,5.65,"Kauffmann, Karl",621563,666154,,foul,,,,,11,"Joey Wendle grounds out, shortstop Ezequiel Tovar to first baseman Mike Moustakas.",R,L,R,COL,MIA,S,,,3,2,2023,-1.05,0.43,-1.29,3.24,,493329.0,,2,4,Top,,,,,553869,,,6.069591908547954,-131.9513233504793,-1.0535729270408791,-13.498296192397802,26.230404942670518,-27.068792361062066,3.31,1.61,211.0,69.4,41.0,90.7,2164,6.2,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,54.32,,,,,,,,31,6,Sinker,1,2,2,1,2,1,2,1,Standard,Standard,225,0.0,0.0
CH,2023-05-24,85.9,-2.8,5.65,"Kauffmann, Karl",621563,666154,,ball,,,,,11,"Joey Wendle grounds out, shortstop Ezequiel Tovar to first baseman Mike Moustakas.",R,L,R,COL,MIA,B,,,2,2,2023,-0.57,0.0,-1.15,2.84,,493329.0,,2,4,Top,,,,,553869,,,5.0375155720151685,-125.12163806916628,-0.4511408451159008,-6.917078626814363,23.02042760030486,-32.33721346648192,3.3,1.58,,,,85.9,1218,6.0,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,54.47,,,,,,,,31,5,Changeup,1,2,2,1,2,1,2,1,Standard,Standard,238,0.0,0.094
CH,2023-05-24,86.0,-2.85,5.5,"Kauffmann, Karl",621563,666154,,ball,,,,,13,"Joey Wendle grounds out, shortstop Ezequiel Tovar to first baseman Mike Moustakas.",R,L,R,COL,MIA,B,,,1,2,2023,-0.82,0.19,-0.12,0.58,650559.0,,493329.0,2,4,Top,,,,,553869,,,8.172490054108934,-124.98572382872784,-5.896533130011965,-10.078702588979809,21.52480622411338,-29.27434491349552,3.28,1.63,,,,87.0,1415,6.7,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,53.84,,,,,,,,31,4,Changeup,1,1,1,1,2,1,2,1,Standard,Standard,235,-0.114,0.057
CH,2023-05-24,86.1,-3.02,5.33,"Kauffmann, Karl",621563,666154,,swinging_strike,,,,,14,"Joey Wendle grounds out, shortstop Ezequiel Tovar to first baseman Mike Moustakas.",R,L,R,COL,MIA,S,,,1,1,2023,-0.68,0.09,0.77,1.15,650559.0,,493329.0,2,4,Top,,,,,553869,,,10.490157484822864,-125.1331872783844,-4.00702667269682,-8.97142302877056,20.93611454545761,-30.647113322576487,3.31,1.61,,,,87.6,1344,6.9,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,53.56,,,,,,,,31,3,Changeup,1,1,1,1,1,1,1,1,Standard,Standard,244,0.0,-0.13
CH,2023-05-24,85.5,-3.09,5.41,"Kauffmann, Karl",621563,666154,,swinging_strike,,,,,14,"Joey Wendle grounds out, shortstop Ezequiel Tovar to first baseman Mike Moustakas.",R,L,R,COL,MIA,S,,,1,0,2023,-0.8,0.15,0.26,1.0,650559.0,,493329.0,2,4,Top,,,,,553869,,,9.6604384701029,-124.1980869003864,-4.548906699524946,-10.028337611769068,21.06728212996144,-29.93739185412281,3.31,1.61,,,,87.3,1334,7.2,718036,666154,553869,519058,605612,641857,678662,595777,545341,592178,53.31,,,,,,,,31,2,Changeup,1,1,1,1,1,1,1,1,Standard,Standard,243,0.0,-0.109
