pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-22,90.9,-4.25,3.8,"Kelley, Trevor",643376,665001,fielders_choice_out,hit_into_play,,,,,8,"Danny Jansen reaches on a fielder's choice out, third baseman Isaac Paredes unassisted.   Whit Merrifield out at 3rd.",R,R,R,TB,TOR,X,5.0,ground_ball,1,2,2023,-1.83,0.17,0.02,1.78,,593160.0,,2,2,Top,102.86,172.82,,,542194,,,14.73545517616962,-131.53436370874547,0.5948305783675498,-24.392141200405465,28.90380975408324,-30.5952606986097,3.2,1.49,1.0,78.3,-57.0,91.4,2239,7.0,718077,665001,542194,650490,664040,670623,677551,668227,642350,670042,53.54,0.289,0.26,0.0,1.0,0.0,0.0,2.0,11,5,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,253,0.034,-0.224
SI,2023-05-22,90.6,-4.32,3.83,"Kelley, Trevor",643376,665001,,foul,,,,,6,"Danny Jansen reaches on a fielder's choice out, third baseman Isaac Paredes unassisted.   Whit Merrifield out at 3rd.",R,R,R,TB,TOR,S,,,1,2,2023,-1.75,0.28,0.36,2.52,,593160.0,,2,2,Top,,,,,542194,,,15.5118842412743,-130.8982363839746,2.2026931260346023,-23.435084666882187,28.539890004119247,-29.81659489598844,3.2,1.49,267.0,83.9,37.0,90.9,2179,6.9,718077,665001,542194,650490,664040,670623,677551,668227,642350,670042,53.57,,,,,,,,11,4,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,256,0.0,0.0
SI,2023-05-22,90.1,-4.44,3.58,"Kelley, Trevor",643376,665001,,foul,,,,,11,"Danny Jansen reaches on a fielder's choice out, third baseman Isaac Paredes unassisted.   Whit Merrifield out at 3rd.",R,R,R,TB,TOR,S,,,1,1,2023,-1.64,0.21,-1.38,2.72,,593160.0,,2,2,Top,,,,,542194,,,11.157066285291254,-130.6579948075057,3.4828865254841856,-21.19291140864483,28.1318089780774,-30.82275809497392,3.2,1.49,,,,90.5,2116,6.8,718077,665001,542194,650490,664040,670623,677551,668227,642350,670042,53.72,,,,,,,,11,3,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,257,0.0,-0.073
ST,2023-05-22,76.0,-4.56,3.32,"Kelley, Trevor",643376,665001,,ball,,,,,14,"Danny Jansen reaches on a fielder's choice out, third baseman Isaac Paredes unassisted.   Whit Merrifield out at 3rd.",R,R,R,TB,TOR,B,,,0,1,2023,1.42,0.61,2.88,2.17,,,593160.0,2,2,Top,,,,,542194,,,13.039776730096692,-109.75310281343874,3.860093648935999,8.440761444365641,24.03418524513864,-28.53126087207751,3.2,1.55,,,,75.3,2522,6.8,718077,665001,542194,650490,664040,670623,677551,668227,642350,670042,53.72,,,,,,,,11,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,78,-0.01,0.026
ST,2023-05-22,76.5,-4.67,3.34,"Kelley, Trevor",643376,665001,,called_strike,,,,,6,"Danny Jansen reaches on a fielder's choice out, third baseman Isaac Paredes unassisted.   Whit Merrifield out at 3rd.",R,R,R,TB,TOR,S,,,0,0,2023,1.31,0.67,0.42,2.56,,,593160.0,2,2,Top,,,,,542194,,,8.32723822975661,-110.9114203572865,4.348548451747698,8.859558995232957,23.793889684473903,-28.001998628538274,3.34,1.6,,,,75.5,2520,6.2,718077,665001,542194,650490,664040,670623,677551,668227,642350,670042,54.29,,,,,,,,11,1,Sweeper,0,0,0,0,0,0,0,0,Strategic,Standard,84,0.0,-0.036
ST,2023-05-22,76.7,-4.45,3.37,"Kelley, Trevor",593160,665001,single,hit_into_play,,,,,6,Whit Merrifield singles on a ground ball to left fielder Randy Arozarena.,R,R,R,TB,TOR,X,7.0,ground_ball,0,1,2023,1.48,0.97,0.35,2.17,,,,2,2,Top,70.65,110.15,,,542194,,,7.495424511016576,-111.36000038275496,2.891000336666143,10.568858809523224,23.407255259642064,-25.120386340748155,3.32,1.55,131.0,84.3,11.0,76.4,2541,6.6,718077,665001,542194,650490,664040,670623,677551,668227,642350,670042,53.93,0.54,0.504,0.9,1.0,1.0,0.0,4.0,10,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,90,-0.014,0.157
SI,2023-05-22,90.4,-4.38,3.89,"Kelley, Trevor",593160,665001,,called_strike,,,,,3,Whit Merrifield singles on a ground ball to left fielder Randy Arozarena.,R,R,R,TB,TOR,S,,,0,0,2023,-1.75,0.31,0.6,2.96,,,,2,2,Top,,,,,542194,,,16.237954477928923,-130.59184981953274,3.1206392091144237,-23.429199826546075,27.573610628836683,-29.70017141237092,3.32,1.6,,,,90.9,2382,7.0,718077,665001,542194,650490,664040,670623,677551,668227,642350,670042,53.49,,,,,,,,10,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,254,0.0,-0.021
SI,2023-05-22,89.4,-4.39,3.85,"Kelley, Trevor",672386,665001,field_out,hit_into_play,,,,,8,"Alejandro Kirk grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,R,TB,TOR,X,6.0,ground_ball,2,2,2023,-1.76,-0.03,0.09,1.9,,,,1,2,Top,109.52,154.07,,,542194,,,14.770458001947818,-129.26181740106358,1.37241870783149,-22.85369204312191,27.979821204815803,-33.076140572348145,3.02,1.41,6.0,97.7,-17.0,89.3,2151,6.7,718077,665001,542194,650490,664040,670623,677551,668227,642350,670042,53.82,0.163,0.147,0.0,1.0,0.0,0.0,2.0,9,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,254,0.017,-0.153
ST,2023-05-22,78.8,-4.35,3.4,"Kelley, Trevor",672386,665001,,ball,,,,,14,"Alejandro Kirk grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,R,TB,TOR,B,,,1,2,2023,1.22,0.67,2.08,1.33,,,,1,2,Top,,,,,542194,,,11.718977770405347,-114.1819180640474,1.2558634936119852,8.085824021646628,24.26365400172694,-26.96257196621656,3.02,1.41,,,,78.6,2525,6.7,718077,665001,542194,650490,664040,670623,677551,668227,642350,670042,53.79,,,,,,,,9,4,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,90,0.0,0.031
SI,2023-05-22,88.6,-4.42,3.71,"Kelley, Trevor",672386,665001,,ball,,,,,6,"Alejandro Kirk grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,R,TB,TOR,B,,,0,2,2023,-1.75,0.22,0.59,2.24,,,,1,2,Top,,,,,542194,,,15.937775052310949,-127.8984320666118,2.151812310441989,-22.603908774597183,27.39370216390681,-30.53966429663051,2.98,1.44,,,,88.5,2170,6.8,718077,665001,542194,650490,664040,670623,677551,668227,642350,670042,53.72,,,,,,,,9,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,257,0.0,0.014
SI,2023-05-22,89.5,-4.42,3.62,"Kelley, Trevor",672386,665001,,foul,,,,,5,"Alejandro Kirk grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,R,TB,TOR,S,,,0,1,2023,-1.58,-0.03,0.1,2.46,,,,1,2,Top,,,,,542194,,,14.46518440126994,-129.40326970304469,3.306108996164715,-20.81391478045701,28.24067632016418,-33.53780149374633,3.02,1.41,279.0,93.9,19.0,89.2,2094,6.6,718077,665001,542194,650490,664040,670623,677551,668227,642350,670042,53.93,,,,,,,,9,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,256,0.0,-0.037
SI,2023-05-22,89.8,-4.36,3.7,"Kelley, Trevor",672386,665001,,called_strike,,,,,6,"Alejandro Kirk grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,R,TB,TOR,S,,,0,0,2023,-1.69,0.4,0.52,2.54,,,,1,2,Top,,,,,542194,,,15.738402365085422,-129.69919455570192,2.4003469194390123,-22.45324976644317,28.54086324771484,-28.50315595237336,3.02,1.48,,,,90.0,2103,7.0,718077,665001,542194,650490,664040,670623,677551,668227,642350,670042,53.53,,,,,,,,9,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,258,0.0,-0.028
SL,2023-05-22,82.0,-4.48,3.54,"Kelley, Trevor",662139,665001,field_out,hit_into_play,,,,,4,Daulton Varsho flies out to right fielder Luke Raley.,R,L,R,TB,TOR,X,9.0,fly_ball,2,1,2023,0.22,0.45,-0.36,2.66,,,,0,2,Top,185.81,94.17,,,542194,,,8.964384763619938,-119.0102036681683,3.841399016884882,0.1786963305851066,25.338483404108707,-29.04225083958266,3.35,1.51,299.0,97.9,47.0,82.3,2448,6.9,718077,665001,542194,650490,664040,670623,677551,668227,642350,670042,53.64,0.014,0.023,0.0,1.0,0.0,0.0,3.0,8,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,95,0.023,-0.278
