pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-04-25,94.3,2.89,5.64,"Kerr, Ray",621020,678061,field_out,hit_into_play,,,,,5,"Dansby Swanson grounds out, third baseman Manny Machado to first baseman Jake Cronenworth.",R,R,L,CHC,SD,X,5.0,ground_ball,1,0,2023,1.02,1.3,0.27,2.67,663538.0,,,2,8,Bot,101.21,161.5,,,543592,,,-9.001028682460685,-136.91392321071217,-4.842818869294827,14.88157987925738,31.46374957700185,-14.87435934455046,3.43,1.61,56.0,80.6,3.0,93.3,2167,5.9,718426,678061,543592,630105,673490,592518,593428,665742,663757,665487,54.59,0.249,0.238,0.0,1.0,0.0,0.0,2.0,70,2,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,140,0.0,-0.405
SI,2023-04-25,92.8,2.71,5.56,"Kerr, Ray",663538,678061,triple,hit_into_play,,,,,13,Nico Hoerner triples (1) on a ground ball to left fielder Juan Soto.   Trey Mancini scores.    Yan Gomes scores.    Nelson Velazquez scores.,R,R,L,CHC,SD,X,7.0,ground_ball,2,1,2023,1.2,1.11,-0.86,2.25,641820.0,543228.0,676369.0,2,8,Bot,32.26,103.44,,,543592,,,-11.665206307387871,-134.49508274632188,-5.000201502059397,17.209794806584032,30.886685675764284,-17.80165349249875,3.12,1.53,106.0,99.8,5.0,91.8,2108,6.0,718426,678061,543592,630105,673490,592518,593428,665742,663757,665487,54.46,0.56,0.522,1.6,1.0,1.0,2.0,4.0,69,4,Sinker,3,0,3,0,0,6,6,0,Standard,Standard,141,0.021,2.442
FF,2023-04-25,92.6,2.64,5.79,"Kerr, Ray",663538,678061,,called_strike,,,,,12,Nico Hoerner triples (1) on a ground ball to left fielder Juan Soto.   Trey Mancini scores.    Yan Gomes scores.    Nelson Velazquez scores.,R,R,L,CHC,SD,S,,,2,0,2023,0.99,1.05,0.22,3.5,641820.0,543228.0,676369.0,2,8,Bot,,,,,543592,,,-8.248372895348957,-134.63275246981584,-2.2989489509847765,13.854214044036928,30.508704054452757,-19.070659777751413,3.12,1.57,,,,91.7,1966,5.9,718426,678061,543592,630105,673490,592518,593428,665742,663757,665487,54.58,,,,,,,,69,3,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,142,0.0,-0.084
FF,2023-04-25,94.6,2.47,5.66,"Kerr, Ray",663538,678061,,ball,,,,,1,Nico Hoerner triples (1) on a ground ball to left fielder Juan Soto.   Trey Mancini scores.    Yan Gomes scores.    Nelson Velazquez scores.,R,R,L,CHC,SD,B,,,1,0,2023,0.7,1.24,-0.77,2.98,641820.0,543228.0,676369.0,2,8,Bot,,,,,543592,,,-9.945101285135491,-137.39354838274616,-4.003624202701025,11.140161643784433,32.85902903246143,-15.74022752045888,3.1,1.55,,,,93.7,2108,6.1,718426,678061,543592,630105,673490,592518,593428,665742,663757,665487,54.44,,,,,,,,69,2,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,143,0.0,0.157
FF,2023-04-25,93.7,2.81,5.63,"Kerr, Ray",663538,678061,,ball,,,,,12,Nico Hoerner triples (1) on a ground ball to left fielder Juan Soto.   Trey Mancini scores.    Yan Gomes scores.    Nelson Velazquez scores.,R,R,L,CHC,SD,B,,,0,0,2023,0.57,1.32,0.03,4.71,641820.0,543228.0,676369.0,2,8,Bot,,,,,543592,,,-8.374383416775597,-136.2439255531269,0.4501837323415149,8.97945037970223,29.99060477745273,-16.014805821688647,3.1,1.53,,,,92.9,2202,5.9,718426,678061,543592,630105,673490,592518,593428,665742,663757,665487,54.62,,,,,,,,69,1,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,138,0.0,0.039
CU,2023-04-21,83.3,2.63,5.68,"Kerr, Ray",668942,678061,strikeout,swinging_strike,,,,,13,Josh Rojas strikes out swinging.,R,L,L,AZ,SD,S,2.0,,2,2,2023,-0.05,-0.06,-0.25,0.81,,,,2,7,Bot,,,,,664954,,,-6.464877230937786,-121.1293558088997,-4.570156191789957,0.7889065737777828,24.766475911272416,-32.04052742860664,3.43,1.7,,,,82.5,2069,5.9,718484,678061,664954,630105,673490,592518,593428,665742,663757,665487,54.58,,,0.0,1.0,0.0,0.0,,51,5,Curveball,2,0,2,0,0,2,2,0,Standard,Standard,340,-0.006,-0.09
CU,2023-04-21,83.1,2.62,5.55,"Kerr, Ray",668942,678061,,ball,,,,,13,Josh Rojas strikes out swinging.,R,L,L,AZ,SD,B,,,1,2,2023,-0.1,-0.11,-0.86,1.26,,,,2,7,Bot,,,,,664954,,,-7.714362168972442,-120.79270451091364,-3.135865696460831,0.4667969028467335,23.114500925822288,-32.87216710867028,3.52,1.74,,,,82.6,1934,6.0,718484,678061,664954,630105,673490,592518,593428,665742,663757,665487,54.54,,,,,,,,51,4,Curveball,2,0,2,0,0,2,2,0,Standard,Standard,326,0.0,0.018
FF,2023-04-21,97.3,2.55,5.72,"Kerr, Ray",668942,678061,,ball,,,,,14,Josh Rojas strikes out swinging.,R,L,L,AZ,SD,B,,,0,2,2023,0.9,1.14,1.1,1.91,,,,2,7,Bot,,,,,664954,,,-5.883142874857448,-141.42017488550883,-7.18273223452697,13.409446140884627,34.2152590172699,-15.430801302613164,3.56,1.7,,,,96.1,2260,5.8,718484,678061,664954,630105,673490,592518,593428,665742,663757,665487,54.68,,,,,,,,51,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,144,0.0,0.014
FF,2023-04-21,95.3,2.79,5.68,"Kerr, Ray",668942,678061,,called_strike,,,,,6,Josh Rojas strikes out swinging.,R,L,L,AZ,SD,S,,,0,1,2023,1.07,1.06,0.42,2.67,,,,2,7,Bot,,,,,664954,,,-8.542769300128414,-138.48450385601512,-4.574760167693116,15.635087360324652,31.178652928945304,-17.70606714704903,3.52,1.7,,,,94.3,2262,5.8,718484,678061,664954,630105,673490,592518,593428,665742,663757,665487,54.68,,,,,,,,51,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,140,0.0,-0.025
FF,2023-04-21,95.6,2.77,5.68,"Kerr, Ray",668942,678061,,called_strike,,,,,5,Josh Rojas strikes out swinging.,R,L,L,AZ,SD,S,,,0,0,2023,1.04,0.98,-0.25,2.73,,,,2,7,Bot,,,,,664954,,,-10.207337535831424,-138.82561998239763,-4.278675343539913,15.793996176295764,32.50650271219456,-18.75682280563901,3.52,1.64,,,,94.6,2203,5.9,718484,678061,664954,630105,673490,592518,593428,665742,663757,665487,54.58,,,,,,,,51,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,143,0.0,-0.021
FF,2023-04-21,95.9,2.76,5.5,"Kerr, Ray",672695,678061,field_out,hit_into_play,,,,,6,"Geraldo Perdomo grounds out, shortstop Xander Bogaerts to first baseman Jake Cronenworth.",R,R,L,AZ,SD,X,6.0,ground_ball,2,1,2023,0.87,1.34,0.43,2.68,,,,1,7,Bot,119.23,144.54,,,664954,,,-8.046723267082413,-139.3498241640419,-4.832878754462058,13.106482074965925,31.77094892904062,-13.78669950467845,3.32,1.58,7.0,91.7,-20.0,95.2,2330,6.0,718484,678061,664954,630105,673490,592518,593428,665742,663757,665487,54.51,0.117,0.113,0.0,1.0,0.0,0.0,2.0,50,4,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,142,-0.007,-0.202
FF,2023-04-21,95.1,2.73,5.61,"Kerr, Ray",672695,678061,,ball,,,,,11,"Geraldo Perdomo grounds out, shortstop Xander Bogaerts to first baseman Jake Cronenworth.",R,R,L,AZ,SD,B,,,1,1,2023,0.7,1.33,-1.18,3.29,,,,1,7,Bot,,,,,664954,,,-11.730019407666434,-137.99491468167363,-3.379638060783744,11.478607049645705,30.278371547732704,-14.538908085873,3.46,1.67,,,,94.5,2271,6.1,718484,678061,664954,630105,673490,592518,593428,665742,663757,665487,54.44,,,,,,,,50,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,143,0.0,0.037
CU,2023-04-21,81.9,2.59,5.61,"Kerr, Ray",672695,678061,,ball,,,,,14,"Geraldo Perdomo grounds out, shortstop Xander Bogaerts to first baseman Jake Cronenworth.",R,R,L,AZ,SD,B,,,0,1,2023,-0.01,0.02,0.01,0.87,,,,1,7,Bot,,,,,664954,,,-5.782240350290336,-119.20269884539522,-4.174437132011162,1.0124812967422137,22.696706820140516,-31.382399260962817,3.39,1.58,,,,81.6,1751,6.0,718484,678061,664954,630105,673490,592518,593428,665742,663757,665487,54.45,,,,,,,,50,2,Curveball,2,0,2,0,0,2,2,0,Standard,Standard,336,0.0,0.021
CU,2023-04-21,80.9,2.65,5.58,"Kerr, Ray",672695,678061,,swinging_strike,,,,,13,"Geraldo Perdomo grounds out, shortstop Xander Bogaerts to first baseman Jake Cronenworth.",R,R,L,AZ,SD,S,,,0,0,2023,0.04,-0.36,-0.65,1.36,,,,1,7,Bot,,,,,664954,,,-7.399869114143536,-117.64992595652816,-2.0718061443969384,1.791990732310326,22.94482850410951,-35.28018001302827,3.32,1.58,,,,80.3,1776,6.0,718484,678061,664954,630105,673490,592518,593428,665742,663757,665487,54.52,,,,,,,,50,1,Curveball,2,0,2,0,0,2,2,0,Standard,Standard,334,0.0,-0.028
CU,2023-04-21,82.7,2.67,5.54,"Kerr, Ray",677950,678061,strikeout,called_strike,,,,,6,Alek Thomas called out on strikes.,R,L,L,AZ,SD,S,2.0,,2,2,2023,-0.01,-0.22,0.68,2.5,,,,0,7,Bot,,,,,664954,,,-4.516284506717907,-120.43487656262393,-0.0055772518946501,0.8504720943492102,24.08327346132348,-34.535999190647594,3.23,1.47,,,,82.2,1802,6.0,718484,678061,664954,630105,673490,592518,593428,665742,663757,665487,54.5,,,0.0,1.0,0.0,0.0,,49,9,Curveball,2,0,2,0,0,2,2,0,Standard,Strategic,324,-0.01,-0.205
