pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SI,2023-05-25,92.2,-2.32,5.74,"Kirk, Alejandro",672386,621107,single,hit_into_play,,,,,4,"Alejandro Kirk singles on a ground ball to left fielder Randy Arozarena, deflected by third baseman Taylor Walls.",R,R,R,TB,TOR,X,5.0,ground_ball,0,0,2023,-1.58,0.63,-0.45,2.11,,,,0,7,Top,99.81,156.76,,,642336,,,8.358173434684076,-133.98032265244137,-4.835235471666555,-20.881620795268383,29.68267665626127,-23.70265227740668,3.04,1.42,39.0,87.1,0.0,93.8,2133.0,7.4,718032,621107,642336,670042,664040,670764,677551,668227,622534,666139,53.15,0.234,0.211,0.9,1.0,1.0,0.0,2.0,52,1,Sinker,5,1,1,5,1,5,1,5,Standard,Standard,228.0,-0.026,0.394,alejandro kirk,
FF,2023-05-25,94.0,-1.88,5.79,"Kirk, Alejandro",672386,621107,field_out,hit_into_play,,,,,3,Alejandro Kirk lines out to right fielder Josh Lowe.,R,R,R,TB,TOR,X,9.0,line_drive,2,2,2023,-0.73,1.14,0.3,2.99,,656305.0,,2,4,Top,209.4,94.67,,,642336,,,7.322520076991348,-136.768230536826,-4.09371684294213,-10.809327590101937,29.92514088537786,-17.12605747401129,3.04,1.42,329.0,97.7,20.0,94.6,2153.0,6.6,718032,621107,642336,670042,664040,670764,677551,668227,622534,666139,53.85,0.303,0.406,0.0,1.0,0.0,0.0,4.0,34,5,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,225.0,0.02,-0.239,alejandro kirk,
CH,2023-05-25,87.1,-2.04,6.05,"Kirk, Alejandro",672386,621107,single,hit_into_play,,,,,14,Alejandro Kirk singles on a ground ball to left fielder Randy Arozarena.,R,R,R,TB,TOR,X,7.0,ground_ball,1,2,2023,-1.46,0.2,0.59,0.98,,,,0,2,Top,84.22,102.47,,,642336,,,9.396736174454404,-126.41735251738136,-6.3948675987701815,-17.6667653158915,27.171180328384544,-28.854454447340437,3.04,1.42,163.0,74.5,14.0,87.5,1592.0,6.8,718032,621107,642336,670042,664040,670764,677551,668227,622534,666139,53.69,0.489,0.448,0.9,1.0,1.0,0.0,4.0,13,6,Changeup,2,1,1,2,1,2,1,2,Standard,Standard,229.0,-0.04,0.453,alejandro kirk,
CH,2023-05-25,86.5,4.18,5.38,"Kirk, Alejandro",672386,518617,single,hit_into_play,,,,,12,Alejandro Kirk singles on a line drive to right fielder Josh Lowe.,R,R,L,TB,TOR,X,9.0,line_drive,1,1,2023,1.44,0.6,1.12,2.53,,,,1,9,Top,173.65,98.64,,,642336,,,-10.223773184778114,-125.4985753604031,-1.7687451889454255,17.261959791691947,25.69832251776416,-25.65328267081717,3.04,1.42,224.0,86.3,15.0,86.3,1417.0,6.4,718032,518617,642336,670042,664040,670764,677551,668227,622534,666139,54.13,0.963,0.898,0.9,1.0,1.0,0.0,4.0,70,3,Changeup,6,1,1,6,1,6,1,6,Standard,Standard,104.0,-0.003,0.278,alejandro kirk,
FF,2023-05-24,96.8,0.59,6.2,"Kirk, Alejandro",672386,663556,field_out,hit_into_play,,,,,4,Alejandro Kirk pops out to first baseman Luke Raley in foul territory.,R,R,L,TB,TOR,X,3.0,popup,0,1,2023,0.86,1.62,-0.72,2.33,,,656305.0,1,7,Top,159.14,201.26,,,542194,,,-5.541893201696472,-140.62480913707907,-8.566909791183893,12.710715451891966,33.88493082238241,-8.93079978898223,3.04,1.41,71.0,67.4,81.0,97.9,2325.0,7.1,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.37,0.003,0.003,0.0,1.0,0.0,0.0,3.0,53,2,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,142.0,0.018,-0.256,alejandro kirk,
FF,2023-05-24,97.9,-0.28,6.83,"Kirk, Alejandro",672386,664126,field_out,hit_into_play,,,,,13,Alejandro Kirk pops out to third baseman Isaac Paredes in foul territory.,R,R,R,TB,TOR,X,5.0,popup,1,0,2023,-0.28,1.64,-0.87,2.17,,,,1,9,Top,90.47,196.07,,,542194,,,-0.945022982429816,-142.25061587984706,-10.862487893435931,-3.5261572590411623,33.3672408037641,-7.6513650993690545,3.04,1.41,86.0,76.5,75.0,98.1,2346.0,6.6,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,53.94,0.001,0.0,0.0,1.0,0.0,0.0,3.0,72,2,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,188.0,0.004,-0.2,alejandro kirk,
SI,2023-05-22,91.1,2.85,5.28,"Kirk, Alejandro",672386,676596,field_out,hit_into_play,,,,,6,"Alejandro Kirk grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,L,TB,TOR,X,6.0,ground_ball,3,2,2023,1.41,-0.03,0.34,2.07,,,,0,7,Top,113.15,158.3,,,542194,,,-9.364616439010849,-132.35767735548652,-2.104343440296504,18.598369117195208,27.444182525056867,-32.22567946509083,3.02,1.41,2.0,87.1,-53.0,91.5,1630.0,6.5,718077,676596,542194,650490,664040,670623,677551,668227,642350,670042,53.98,0.18,0.162,0.0,1.0,0.0,0.0,2.0,49,6,Sinker,5,2,2,5,2,5,2,5,Standard,Standard,109.0,0.022,-0.315,alejandro kirk,
SI,2023-05-22,90.3,2.93,5.24,"Kirk, Alejandro",672386,676596,field_out,hit_into_play,,,,,5,"Alejandro Kirk grounds out sharply, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,L,TB,TOR,X,6.0,ground_ball,2,0,2023,1.59,0.22,0.25,1.93,,656305.0,,1,4,Top,101.32,139.18,,,542194,,,-10.078355550522216,-131.12312705595582,-2.712115405833026,20.48811842059182,29.06086674146885,-29.253409452783423,3.02,1.41,10.0,100.8,-12.0,90.3,1723.0,6.5,718077,676596,542194,650490,664040,670623,677551,668227,642350,670042,53.97,0.217,0.195,0.0,1.0,0.0,0.0,2.0,30,3,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,111.0,0.024,-0.394,alejandro kirk,
SI,2023-05-22,89.4,-4.39,3.85,"Kirk, Alejandro",672386,665001,field_out,hit_into_play,,,,,8,"Alejandro Kirk grounds out, shortstop Wander Franco to first baseman Yandy Diaz.",R,R,R,TB,TOR,X,6.0,ground_ball,2,2,2023,-1.76,-0.03,0.09,1.9,,,,1,2,Top,109.52,154.07,,,542194,,,14.770458001947818,-129.26181740106358,1.37241870783149,-22.85369204312191,27.979821204815803,-33.076140572348145,3.02,1.41,6.0,97.7,-17.0,89.3,2151.0,6.7,718077,665001,542194,650490,664040,670623,677551,668227,642350,670042,53.82,0.163,0.147,0.0,1.0,0.0,0.0,2.0,9,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,254.0,0.017,-0.153,alejandro kirk,
SL,2023-05-22,88.9,-1.88,6.17,"Kirk, Alejandro",672386,641793,single,hit_into_play,,,,,6,Alejandro Kirk singles on a ground ball to center fielder Jose Siri.,R,R,R,TB,TOR,X,8.0,ground_ball,1,0,2023,-0.02,0.53,0.62,2.26,,,,1,9,Top,114.97,86.29,,,542194,,,6.144727032588427,-129.29396341378697,-4.652579155050667,-1.5142157120981463,27.343392348611577,-25.49097143519873,3.02,1.41,8.0,98.2,-15.0,88.8,2221.0,6.3,718077,641793,542194,650490,664040,670623,677551,668227,642350,670042,54.19,0.214,0.21,0.9,1.0,1.0,0.0,2.0,66,2,Slider,6,3,3,6,3,6,3,6,Standard,Standard,205.0,-0.02,0.243,alejandro kirk,
