pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-04-21,91.8,-2.71,5.13,"Knehr, Reiss",682998,663753,strikeout,called_strike,,,,,13,Corbin Carroll called out on strikes.,R,L,R,AZ,SD,S,2.0,,3,2,2023,-0.39,1.2,-0.88,1.88,,,606466.0,2,8,Bot,,,,,664954,,,5.549633996525166,-133.5538561962412,-5.067006033479451,-5.780836809370693,27.98132375419289,-16.884406319313975,3.02,1.46,,,,93.2,2247.0,7.0,718484,663753,664954,572761,630105,592518,593428,665742,663757,665487,53.46,,,0.0,1.0,0.0,0.0,,65,6,4-Seam Fastball,9,0,9,0,0,9,9,0,Standard,Standard,222.0,0.0,-0.262
FF,2023-04-21,92.0,-2.76,5.12,"Knehr, Reiss",682998,663753,,called_strike,,,,,13,Corbin Carroll called out on strikes.,R,L,R,AZ,SD,S,,,3,1,2023,-0.56,1.2,-1.01,1.78,,,606466.0,2,8,Bot,,,,,664954,,,5.72553966147894,-133.84330564072127,-5.32545021487824,-7.927139341909305,27.492657187966483,-16.737321576307785,3.05,1.53,,,,93.1,2281.0,6.9,718484,663753,664954,572761,630105,592518,593428,665742,663757,665487,53.63,,,,,,,,65,5,4-Seam Fastball,9,0,9,0,0,9,9,0,Standard,Standard,226.0,0.0,-0.083
FC,2023-04-21,86.5,-2.7,5.29,"Knehr, Reiss",682998,663753,,ball,,,,,9,Corbin Carroll called out on strikes.,R,L,R,AZ,SD,B,,,2,1,2023,0.24,0.49,0.57,1.52,,,606466.0,2,8,Bot,,,,,664954,,,7.406203618075887,-125.825408852338,-3.853479349624027,1.1546228848473463,23.840145993776748,-26.43246486102657,3.05,1.53,,,,87.9,2308.0,7.1,718484,663753,664954,572761,630105,592518,593428,665742,663757,665487,53.43,,,,,,,,65,4,Cutter,9,0,9,0,0,9,9,0,Standard,Standard,170.0,0.0,0.076
FF,2023-04-21,92.6,-2.75,5.12,"Knehr, Reiss",682998,663753,,called_strike,,,,,8,Corbin Carroll called out on strikes.,R,L,R,AZ,SD,S,,,2,0,2023,-0.62,1.21,0.0,1.75,,,606466.0,2,8,Bot,,,,,664954,,,8.454891810092048,-134.57107809035602,-5.5178186904882045,-9.287209835161107,28.328542060285397,-16.38496987025398,3.1,1.47,,,,93.8,2265.0,7.0,718484,663753,664954,572761,630105,592518,593428,665742,663757,665487,53.52,,,,,,,,65,3,4-Seam Fastball,9,0,9,0,0,9,9,0,Standard,Standard,226.0,0.0,-0.032
CU,2023-04-21,77.9,-2.76,5.39,"Knehr, Reiss",682998,663753,,ball,,,,,14,Corbin Carroll called out on strikes.,R,L,R,AZ,SD,B,,,1,0,2023,1.22,-0.1,1.47,2.14,,,606466.0,2,8,Bot,,,,,664954,,,6.921263204102967,-113.21181114729274,0.2276433950307681,8.974678080236098,23.01986730897323,-33.34251011169168,2.93,1.47,,,,78.3,2469.0,6.9,718484,663753,664954,572761,630105,592518,593428,665742,663757,665487,53.6,,,,,,,,65,2,Curveball,9,0,9,0,0,9,9,0,Standard,Standard,51.0,0.0,0.033
CU,2023-04-21,79.8,-2.79,5.31,"Knehr, Reiss",682998,663753,,blocked_ball,,,,,14,Corbin Carroll called out on strikes.,R,L,R,AZ,SD,B,,,0,0,2023,0.95,-0.54,1.1,0.59,,,606466.0,2,8,Bot,,,,,664954,,,6.8283733210892645,-116.00662717685348,-2.582455567461748,7.170800073991664,23.274330712852148,-36.75302087728125,3.06,1.47,,,,80.3,2469.0,6.9,718484,663753,664954,572761,630105,592518,593428,665742,663757,665487,53.65,,,,,,,,65,1,Curveball,9,0,9,0,0,9,9,0,Standard,Standard,39.0,0.0,0.027
FF,2023-04-21,93.2,-2.59,5.28,"Knehr, Reiss",606466,663753,single,hit_into_play,,,,,5,Ketel Marte singles on a line drive to right fielder Fernando Tatis Jr.  Geraldo Perdomo scores.,R,L,R,AZ,SD,X,9.0,line_drive,0,0,2023,-0.77,1.19,0.27,2.68,672695.0,,,2,8,Bot,182.58,116.13,,,664954,,,9.1456021523809,-135.4782461219325,-3.569457479781108,-11.406555836504836,28.49865651172332,-16.938195983931447,3.55,1.71,250.0,90.3,16.0,94.5,2297.0,7.0,718484,663753,664954,572761,630105,592518,593428,665742,663757,665487,53.5,0.926,0.862,0.9,1.0,1.0,0.0,4.0,64,1,4-Seam Fastball,8,0,8,0,0,9,9,0,Strategic,Standard,224.0,0.0,0.862
CU,2023-04-21,78.8,-2.77,5.35,"Knehr, Reiss",668942,663753,field_out,hit_into_play,,,,,8,"Josh Rojas grounds out, shortstop Xander Bogaerts to first baseman Matt Carpenter.   Alek Thomas scores.    Geraldo Perdomo to 3rd.",R,L,R,AZ,SD,X,6.0,ground_ball,0,1,2023,1.04,-0.36,-0.16,1.75,677950.0,672695.0,,1,8,Bot,114.17,149.63,,,664954,,,3.7586941452111327,-114.69518978491443,-0.2401832702593993,8.318532787141434,24.073305892804044,-35.47484571378637,3.43,1.7,6.0,63.0,-16.0,79.2,2404.0,6.8,718484,663753,664954,572761,630105,592518,593428,665742,663757,665487,53.67,0.051,0.049,0.0,1.0,0.0,0.0,2.0,63,2,Curveball,7,0,7,0,0,8,8,0,Standard,Standard,52.0,0.0,-0.26
FF,2023-04-21,93.7,-2.52,5.28,"Knehr, Reiss",668942,663753,,foul,,,,,9,"Josh Rojas grounds out, shortstop Xander Bogaerts to first baseman Matt Carpenter.   Alek Thomas scores.    Geraldo Perdomo to 3rd.",R,L,R,AZ,SD,S,,,0,0,2023,-0.62,1.38,0.78,1.92,677950.0,672695.0,,1,8,Bot,,,,,664954,,,9.982198728554376,-135.98951120097297,-5.999871077470945,-9.90048372384749,30.93106096252979,-13.853200654029967,3.43,1.7,181.0,71.6,62.0,94.4,2243.0,6.9,718484,663753,664954,572761,630105,592518,593428,665742,663757,665487,53.6,,,,,,,,63,1,4-Seam Fastball,7,0,7,0,0,7,7,0,Standard,Standard,223.0,0.0,-0.09
FC,2023-04-21,88.7,-2.88,5.32,"Knehr, Reiss",672695,663753,double,hit_into_play,,,,,3,Geraldo Perdomo doubles (5) on a line drive to right fielder Fernando Tatis Jr.  Pavin Smith scores.    Gabriel Moreno scores.    Alek Thomas to 3rd.,R,L,R,AZ,SD,X,9.0,line_drive,0,0,2023,0.47,0.76,0.52,2.9,656976.0,672515.0,677950.0,1,8,Bot,186.12,142.97,,,664954,,,7.404496989300953,-129.12648965976277,-1.4828163706853088,3.871993044367577,25.192453623999565,-23.57512278504881,3.32,1.58,204.0,94.8,14.0,90.0,2223.0,6.9,718484,663753,664954,572761,630105,592518,593428,665742,663757,665487,53.6,0.929,0.905,1.25,1.0,1.0,1.0,4.0,62,1,Cutter,5,0,5,0,0,7,7,0,Standard,Standard,187.0,0.003,1.892
