pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SL,2023-04-13,85.8,-1.29,5.92,"Kreidler, Ryan",668952,542914,field_out,hit_into_play,,,,,1,Ryan Kreidler pops out to first baseman Brandon Belt on the infield fly rule.,R,R,R,TOR,DET,X,3.0,popup,1,2,2023,0.34,-0.18,-0.64,3.21,,679529.0,668731.0,1,8,Top,150.89,167.47,,,672386,,,0.8488543041245007,-125.01385887928102,0.223401099334533,3.3510017238766063,25.539439731893296,-34.36778828954514,3.16,1.54,122.0,77.8,68.0,85.6,2227,6.1,718593,542914,672386,474832,624415,669289,666182,593160,662139,543807,54.41,0.003,0.003,0.0,1.0,0.0,0.0,3.0,65,5,Slider,1,2,2,1,2,1,2,1,Standard,Standard,80,0.04,-0.356,ryan kreidler,
FF,2023-04-12,96.3,-2.4,5.75,"Kreidler, Ryan",668952,592332,field_out,hit_into_play,,,,,8,"Ryan Kreidler grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero Jr.",R,R,R,TOR,DET,X,6.0,ground_ball,3,2,2023,-1.07,1.35,0.15,1.57,,668731.0,,1,8,Top,109.59,162.33,,,643376,,,9.245197453994184,-139.71878397626526,-8.636493873815237,-16.026028524610226,30.62866490035083,-12.667446849944255,3.42,1.61,3.0,106.1,-25.0,97.1,2318,6.8,718603,592332,643376,665489,593160,669289,666182,662139,595281,543807,53.68,0.134,0.121,0.0,1.0,0.0,0.0,2.0,54,6,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,217,0.018,-0.338,ryan kreidler,
FF,2023-04-12,95.1,-2.38,5.96,"Kreidler, Ryan",668952,592332,field_out,hit_into_play,,,,,13,"Ryan Kreidler grounds out, third baseman Santiago Espinal to first baseman Vladimir Guerrero Jr.",R,R,R,TOR,DET,X,5.0,ground_ball,1,1,2023,-1.2,1.3,-0.86,1.92,,606992.0,,0,6,Top,100.45,170.47,,,643376,,,6.697979871258576,-138.12522781842566,-7.839801989694888,-16.9254068254965,31.58586600844823,-13.89183976394876,3.42,1.61,6.0,97.1,-17.0,95.1,2318,6.4,718603,592332,643376,665489,593160,669289,666182,662139,595281,543807,54.07,0.16,0.144,0.0,1.0,0.0,0.0,2.0,37,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,220,0.063,-0.247,ryan kreidler,
FF,2023-04-12,95.5,-2.5,5.9,"Kreidler, Ryan",668952,592332,field_out,hit_into_play,,,,,1,"Ryan Kreidler grounds out, third baseman Santiago Espinal to first baseman Vladimir Guerrero Jr.",R,R,R,TOR,DET,X,5.0,ground_ball,0,1,2023,-0.68,1.35,-0.43,3.13,,,,2,3,Top,99.44,170.47,,,643376,,,6.996900430019904,-138.8246445167816,-4.693429052762776,-10.363862416198293,30.92040660756374,-13.846234152939186,3.42,1.61,28.0,93.3,-5.0,95.6,2187,6.4,718603,592332,643376,665489,593160,669289,666182,662139,595281,543807,54.14,0.251,0.243,0.0,1.0,0.0,0.0,2.0,16,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,207,0.011,-0.082,ryan kreidler,
SL,2023-04-08,85.1,-1.48,5.61,"Kreidler, Ryan",668952,518489,strikeout,swinging_strike_blocked,,,,,14,Ryan Kreidler strikes out swinging.,R,R,R,DET,BOS,S,2.0,,0,2,2023,0.48,-0.16,1.09,0.53,682985.0,,595879.0,2,9,Bot,,,,,657136,,,5.1110120119818045,-123.76288054868608,-5.292405672424598,3.820110303558534,25.84967346101451,-32.897423568576,3.42,1.61,,,,85.8,2462,6.9,718667,518489,657136,671213,624414,644374,571771,608701,594807,606132,53.6,,,0.0,1.0,0.0,0.0,,85,3,Slider,5,14,5,14,14,5,5,14,Standard,Standard,94,0.0,-0.343,ryan kreidler,
CH,2023-04-06,83.2,3.46,5.03,"Kreidler, Ryan",668952,519242,field_out,hit_into_play,,,,,6,"Ryan Kreidler grounds out, shortstop Enrique Hernandez to first baseman Triston Casas.",R,R,L,DET,BOS,X,6.0,ground_ball,0,1,2023,1.32,0.11,0.7,2.21,,,,1,4,Bot,118.8,176.72,,,624512,,,-8.854067643715847,-120.85989905537124,-0.2308673197423389,14.639997187025084,21.675893107723844,-31.272008042468745,3.44,1.62,27.0,65.5,-1.0,83.0,1924,6.1,718690,519242,624512,671213,624414,646240,571771,807799,594807,657077,54.41,0.14,0.143,0.0,1.0,0.0,0.0,2.0,32,2,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,96,-0.015,-0.144,ryan kreidler,
SL,2023-04-06,78.8,3.1,5.43,"Kreidler, Ryan",668952,519242,strikeout,swinging_strike,,,,,7,Ryan Kreidler strikes out swinging.,R,R,L,DET,BOS,S,2.0,,1,2,2023,-0.8,-0.45,-0.77,1.53,,,,1,2,Bot,,,,,624512,,,-6.879233784001095,-114.59878609076252,-0.7455428155142434,-5.6098512299171945,23.356184742996906,-36.16864415717374,3.44,1.62,,,,78.1,2139,6.1,718690,519242,624512,671213,624414,646240,571771,807799,594807,657077,54.41,,,0.0,1.0,0.0,0.0,,15,4,Slider,2,0,2,0,0,2,2,0,Standard,Standard,322,-0.011,-0.122,ryan kreidler,
SL,2023-04-05,79.9,-2.19,5.65,"Kreidler, Ryan",668952,664299,strikeout,swinging_strike,,,,,14,Ryan Kreidler strikes out swinging.,R,R,R,HOU,DET,S,2.0,,2,2,2023,1.1,0.56,0.19,1.38,,,606992.0,1,5,Top,,,,,663967,,,3.1452671897175657,-116.3413180603819,-3.755284320166351,9.473051373875288,21.13627992387455,-26.59348862297355,3.44,1.62,,,,79.3,2546,5.8,718696,664299,663967,547989,682073,608324,665161,667452,676801,663656,54.72,,,0.0,1.0,0.0,0.0,,36,7,Slider,4,1,1,4,1,4,1,4,Standard,Standard,84,0.028,-0.272,ryan kreidler,
FF,2023-04-05,92.3,-1.84,5.73,"Kreidler, Ryan",668952,664299,field_out,hit_into_play,,,,,3,"Ryan Kreidler grounds out, first baseman Jose Abreu to pitcher Cristian Javier.   Zach McKinstry to 3rd.",R,R,R,HOU,DET,X,3.0,ground_ball,1,2,2023,-0.6,1.46,0.62,3.21,,656716.0,,1,3,Top,148.54,162.85,,,663967,,,7.548498261200924,-134.22363888866917,-3.738352711292871,-8.892700263292292,29.71577043022946,-13.940242668961464,3.44,1.62,10.0,73.2,-16.0,91.8,2207,6.1,718696,664299,663967,547989,682073,608324,665161,667452,676801,663656,54.41,0.046,0.041,0.0,1.0,0.0,0.0,2.0,18,4,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,199,0.034,-0.196,ryan kreidler,
CH,2023-04-04,91.3,0.58,6.27,"Kreidler, Ryan",668952,664285,single,hit_into_play,,,,,5,Ryan Kreidler singles on a line drive to right fielder Kyle Tucker.,R,R,L,HOU,DET,X,9.0,line_drive,0,0,2023,1.46,0.49,0.27,2.87,,,,2,7,Top,165.96,70.55,,,455117,,,-3.8851775035337774,-132.96258764627328,-3.701654800308704,18.18182051847403,28.928230271901928,-25.724762657247613,3.45,1.62,293.0,96.2,18.0,90.7,1820,5.9,718705,664285,455117,547989,643289,608324,665161,670541,676694,663656,54.58,0.414,0.433,0.9,1.0,1.0,0.0,4.0,51,1,Changeup,2,3,3,2,3,2,3,2,Standard,Standard,139,-0.014,0.136,ryan kreidler,
