pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-24,92.2,-0.9,5.74,"Laureano, Ramón",657656,682243,field_out,hit_into_play,,,,,9,Ramon Laureano lines out to shortstop J.  P. Crawford.,R,R,R,SEA,OAK,X,6.0,line_drive,1,0,2023,-0.14,1.68,0.64,1.9,,,,0,5,Top,108.38,146.18,,,663728,,,4.212269866039997,-134.0749621746176,-7.631285273572013,-2.605507524766308,27.630763253201607,-10.417594649602805,3.08,1.41,144.0,87.5,9.0,92.4,2511.0,6.4,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.14,0.506,0.455,0.0,1.0,0.0,0.0,4.0,39,2,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,194.0,0.011,-0.274,ramón laureano,
FF,2023-05-24,96.1,-0.73,5.74,"Laureano, Ramón",657656,682243,strikeout,called_strike,,,,,8,Ramon Laureano called out on strikes.,R,R,R,SEA,OAK,S,2.0,,3,2,2023,-0.1,1.74,-0.16,1.65,,,,2,2,Top,,,,,663728,,,1.743627477201154,-139.68570788779056,-9.172996856724623,-1.7545964085702734,32.2929486019722,-7.51423653684802,3.16,1.52,,,,96.0,2660.0,6.3,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.17,,,0.0,1.0,0.0,0.0,,10,8,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,199.0,0.01,-0.131,ramón laureano,
FF,2023-05-24,99.2,-2.92,5.05,"Laureano, Ramón",657656,666374,strikeout,swinging_strike,,,,,1,Ramon Laureano strikes out swinging.,R,R,R,SEA,OAK,S,2.0,,2,2,2023,-0.85,1.12,-0.5,3.11,,,668709.0,0,7,Top,,,,,663728,,,8.663912993980324,-144.3470622717404,-2.557789992873348,-13.899253308332076,32.163873914939686,-16.025180453771636,3.08,1.41,,,,99.9,2401.0,6.6,718037,666374,663728,664059,543939,676609,641487,666211,677594,672284,53.93,,,0.0,1.0,0.0,0.0,,56,5,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,228.0,0.015,-0.304,ramón laureano,
SI,2023-05-24,91.6,2.24,5.25,"Laureano, Ramón",657656,642048,strikeout,swinging_strike,,,,,6,Ramon Laureano strikes out swinging.,R,R,L,SEA,OAK,S,2.0,,3,2,2023,1.3,0.34,0.47,1.93,,,667670.0,0,9,Top,,,,,663728,,,-7.305846473541782,-133.2193280202651,-3.2969270547444185,17.08776050970002,26.9556485943277,-27.609954518958197,3.08,1.41,,,,92.1,2350.0,6.5,718037,642048,663728,664059,543939,676609,641487,666211,677594,672284,54.02,,,0.0,1.0,0.0,0.0,,72,6,Sinker,6,1,1,6,1,6,1,6,Strategic,Standard,123.0,0.007,-0.459,ramón laureano,
FC,2023-05-23,85.9,2.03,5.4,"Laureano, Ramón",657656,594835,single,hit_into_play,,,,,1,Ramon Laureano singles on a line drive to left fielder Jarred Kelenic.,R,R,L,SEA,OAK,X,7.0,line_drive,1,1,2023,0.02,0.74,-0.44,2.73,,,,1,6,Top,72.22,104.93,,,608596,,,-5.914148627708928,-125.1699584562901,-1.65362475417291,1.2890893413789462,22.61426924647187,-24.22458957432117,3.06,1.42,219.0,82.5,17.0,86.6,2075.0,6.4,718050,594835,608596,664034,543939,553993,641487,672284,677594,606192,54.08,0.954,0.89,0.9,1.0,1.0,0.0,4.0,42,3,Cutter,3,2,2,3,2,3,2,3,Standard,Standard,143.0,-0.041,0.278,ramón laureano,
CU,2023-05-23,79.2,2.18,5.32,"Laureano, Ramón",657656,594835,single,hit_into_play,,,,,9,Ramon Laureano singles on a line drive to right fielder Teoscar Hernandez.   Esteury Ruiz scores.    Ramon Laureano to 2nd.,R,R,L,SEA,OAK,X,9.0,line_drive,1,1,2023,-0.12,-1.01,0.71,1.74,,665923.0,,1,1,Top,185.48,133.84,,,608596,,,-2.976173453122695,-115.28388005197854,0.9219554252429772,-0.4330715302782503,23.89048666228853,-41.55298837181173,3.06,1.42,156.0,78.2,13.0,78.5,2297.0,6.0,718050,594835,608596,664034,543939,553993,641487,672284,677594,606192,54.47,0.463,0.417,0.9,1.0,1.0,0.0,4.0,3,3,Curveball,0,0,0,0,1,0,1,0,Strategic,Standard,327.0,-0.099,0.734,ramón laureano,
FF,2023-05-23,91.9,-3.69,4.35,"Laureano, Ramón",657656,623149,strikeout,called_strike,,,,,6,Ramon Laureano called out on strikes.,R,R,R,SEA,OAK,S,2.0,,1,2,2023,-0.95,1.17,0.35,2.01,,,,1,9,Top,,,,,608596,,,12.382964479460696,-133.33219993614017,-2.62113157731165,-13.929671223073957,27.12331701814123,-17.789651255890103,2.97,1.42,,,,92.6,2611.0,6.7,718050,623149,608596,664059,543939,553993,641487,672284,677594,606192,53.77,,,0.0,1.0,0.0,0.0,,63,6,4-Seam Fastball,3,2,2,3,2,3,2,3,Standard,Standard,240.0,0.052,-0.122,ramón laureano,
FF,2023-05-22,94.7,1.51,5.45,"Laureano, Ramón",657656,642100,strikeout,called_strike,,,,,13,Ramon Laureano called out on strikes.,R,R,L,SEA,OAK,S,2.0,,3,2,2023,0.76,1.4,-0.9,1.81,,,,2,8,Top,,,,,663728,,,-7.90506384056051,-137.48268425090728,-6.884368360774541,11.372873683566208,31.623937195896907,-13.047893400149784,3.14,1.44,,,,93.9,2311.0,6.1,718062,642100,663728,664034,676609,553993,641487,572041,677594,606192,54.44,,,0.0,1.0,0.0,0.0,,68,7,4-Seam Fastball,8,2,2,8,2,8,2,8,Standard,Standard,141.0,0.0,-0.131,ramón laureano,
CU,2023-05-21,84.6,0.63,6.04,"Laureano, Ramón",657656,664285,strikeout,swinging_strike_blocked,,,,,13,Ramon Laureano strikes out swinging.,R,R,L,HOU,OAK,S,2.0,,2,2,2023,-0.57,-1.2,-0.99,0.09,669397.0,,,2,9,Top,,,,,455117,,,-2.6396942265835874,-123.13611376735876,-5.02360886694176,-5.182765376535637,27.87873195147789,-43.34227110384952,3.06,1.42,,,,83.8,2988.0,6.1,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.41,,,0.0,1.0,0.0,0.0,,64,5,Curveball,2,0,0,2,0,2,0,2,Standard,Standard,327.0,0.034,-0.329,ramón laureano,
SI,2023-05-21,95.7,0.24,6.38,"Laureano, Ramón",657656,664285,field_out,hit_into_play,,,,,2,"Ramon Laureano grounds out, second baseman Jose Altuve to first baseman Jose Abreu.",R,R,L,HOU,OAK,X,4.0,ground_ball,1,1,2023,1.44,0.56,-0.1,2.66,,,,0,7,Top,141.8,146.3,,,455117,,,-4.113915793939553,-139.18293443132487,-5.346782687554521,19.59519499453128,35.03712896755633,-23.819634949120125,3.06,1.42,4.0,94.4,-32.0,94.5,2224.0,5.9,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.62,0.069,0.066,0.0,1.0,0.0,0.0,2.0,47,3,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,147.0,0.033,-0.228,ramón laureano,
CU,2023-05-21,82.1,0.77,6.11,"Laureano, Ramón",657656,664285,strikeout,swinging_strike_blocked,,,,,13,Ramon Laureano strikes out swinging.,R,R,L,HOU,OAK,S,2.0,,2,2,2023,-0.78,-1.23,-0.67,-0.96,,,,1,4,Top,,,,,455117,,,-1.7455192037841878,-119.42046978675064,-6.90958391471725,-6.968819864185139,27.02456621709478,-42.46739332760045,3.06,1.42,,,,80.9,3025.0,5.9,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.62,,,0.0,1.0,0.0,0.0,,23,5,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,330.0,0.019,-0.153,ramón laureano,
CU,2023-05-21,80.6,0.65,6.22,"Laureano, Ramón",657656,664285,strikeout,swinging_strike,,,,,7,Ramon Laureano strikes out swinging.,R,R,L,HOU,OAK,S,2.0,,2,2,2023,-0.54,-1.25,-0.6,1.68,,,,2,1,Top,,,,,455117,,,-1.7451056722798577,-117.2596034744774,-0.8868380976171314,-4.461550220050517,26.84906984845157,-43.609101209002695,3.06,1.42,,,,79.2,2851.0,5.8,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.68,,,0.0,1.0,0.0,0.0,,3,5,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,337.0,0.01,-0.09,ramón laureano,
SL,2023-05-20,91.3,-1.51,6.06,"Laureano, Ramón",657656,686613,field_out,hit_into_play,,,,,6,"Ramon Laureano grounds out, third baseman Alex Bregman to first baseman Jose Abreu.",R,R,R,HOU,OAK,X,5.0,ground_ball,2,0,2023,0.38,0.38,0.5,2.25,,,667670.0,2,4,Top,107.91,162.85,,,455117,,,4.271075181363917,-132.82427988786054,-4.517742896383642,3.504530355715082,29.95441657079935,-26.881623669343103,3.06,1.44,4.0,80.0,-30.0,91.7,2100.0,6.6,718098,686613,455117,547989,514888,608324,665161,670541,676801,663656,53.87,0.051,0.046,0.0,1.0,0.0,0.0,2.0,29,3,Slider,2,1,1,2,1,2,1,2,Standard,Standard,172.0,0.029,-0.303,ramón laureano,
SL,2023-05-20,93.4,-1.33,6.31,"Laureano, Ramón",657656,686613,field_out,hit_into_play,,,,,1,"Ramon Laureano grounds out, second baseman Jose Altuve to first baseman Jose Abreu.",R,R,R,HOU,OAK,X,4.0,ground_ball,1,1,2023,0.38,0.65,-0.33,2.9,,,,1,2,Top,130.45,145.01,,,455117,,,1.7469987035384038,-135.9496011421786,-4.4545914885412685,4.255036297450613,30.991892216921112,-23.37987003419444,3.06,1.44,4.0,87.9,-33.0,93.6,2178.0,6.5,718098,686613,455117,547989,514888,608324,665161,670541,676801,663656,54.01,0.06,0.054,0.0,1.0,0.0,0.0,2.0,14,3,Slider,2,0,0,2,0,2,0,2,Standard,Standard,182.0,0.016,-0.165,ramón laureano,
SL,2023-05-20,90.7,-0.43,5.99,"Laureano, Ramón",657656,519151,field_out,hit_into_play,,,,,9,"Ramon Laureano grounds out, third baseman Alex Bregman to first baseman Jose Abreu.   Jace Peterson to 2nd.",R,R,R,HOU,OAK,X,5.0,ground_ball,0,1,2023,0.38,0.34,0.44,1.74,,,607054.0,1,9,Top,113.98,186.5,,,455117,,,1.355714959695416,-132.11579776702024,-5.427560156986781,4.203215703422547,28.7181033054999,-27.17920734021955,3.06,1.44,1.0,71.3,-49.0,90.5,2819.0,6.2,718098,519151,455117,547989,514888,608324,665161,670541,676801,663656,54.34,0.243,0.241,0.0,1.0,0.0,0.0,2.0,66,2,Slider,3,2,2,3,2,3,2,3,Standard,Standard,150.0,0.057,-0.338,ramón laureano,
SL,2023-05-20,89.0,-1.24,6.27,"Laureano, Ramón",657656,592773,field_out,hit_into_play,,,,,6,Ramon Laureano lines out to center fielder Chas McCormick.,R,R,R,HOU,OAK,X,8.0,line_drive,0,0,2023,0.09,-0.03,0.43,2.06,,,,1,7,Top,101.13,55.63,,,455117,,,3.882712611864623,-129.72903348279206,-4.274538283497591,0.3094389521003657,23.7075831507785,-31.94748831264935,3.06,1.44,359.0,97.9,23.0,88.8,2636.0,5.8,718098,592773,455117,547989,514888,608324,665161,670541,676801,663656,54.73,0.331,0.447,0.0,1.0,0.0,0.0,5.0,48,1,Slider,2,2,2,2,2,2,2,2,Standard,Standard,40.0,0.028,-0.172,ramón laureano,
