pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,96.9,-1.34,6.15,"Leclerc, José",656582,600917,walk,ball,,,,,11,Connor Joe walks.   Ke'Bryan Hayes to 3rd.    Ji Hwan Bae to 2nd.,R,R,R,PIT,TEX,B,,,3,1,2023,-0.2,1.53,-0.16,3.76,,663647.0,678225.0,1,8,Bot,,,,,641680,,,3.5729694069060223,-141.11319484261043,-4.281307470858547,-3.450575036750228,32.419528931501375,-10.964025694938698,3.13,1.5,,,,95.6,2480.0,5.5,718045,600917,641680,663993,543760,673962,669701,669352,665750,666969,54.96,,,0.7,1.0,0.0,0.0,,67,5,4-Seam Fastball,2,3,2,3,3,2,2,3,Standard,Standard,193.0,0.153,0.349
SL,2023-05-24,83.3,-1.65,6.14,"Leclerc, José",656582,600917,,ball,,,,,14,Connor Joe walks.   Ke'Bryan Hayes to 3rd.    Ji Hwan Bae to 2nd.,R,R,R,PIT,TEX,B,,,2,1,2023,0.56,0.18,0.36,0.91,,663647.0,678225.0,1,8,Bot,,,,,641680,,,3.482887920832285,-121.25784320621555,-5.890875424075471,4.854233618855267,22.562384443453347,-29.46991447605002,3.08,1.42,,,,82.3,2481.0,5.5,718045,600917,641680,663993,543760,673962,669701,669352,665750,666969,55.01,,,,,,,,67,4,Slider,2,3,2,3,3,2,2,3,Standard,Standard,119.0,0.0,0.213
FC,2023-05-24,90.7,-1.67,6.2,"Leclerc, José",656582,600917,,called_strike,,,,,1,Connor Joe walks.   Ke'Bryan Hayes to 3rd.    Ji Hwan Bae to 2nd.,R,R,R,PIT,TEX,S,,,2,0,2023,0.43,0.34,-0.53,2.83,,663647.0,678225.0,1,8,Bot,,,,,641680,,,1.9243388611938528,-132.17831684893753,-3.2425247131999053,4.644151709330357,27.15502963070205,-27.73042513274972,3.11,1.42,,,,90.3,2540.0,5.9,718045,600917,641680,663993,543760,673962,669701,669352,665750,666969,54.63,,,,,,,,67,3,Cutter,2,3,2,3,3,2,2,3,Standard,Standard,157.0,0.0,-0.207
FF,2023-05-24,96.7,-1.24,6.22,"Leclerc, José",656582,600917,,ball,,,,,12,Connor Joe walks.   Ke'Bryan Hayes to 3rd.    Ji Hwan Bae to 2nd.,R,R,R,PIT,TEX,B,,,1,0,2023,-0.15,1.54,0.12,3.95,,663647.0,678225.0,1,8,Bot,,,,,641680,,,3.921729758395014,-140.74400565824055,-3.970209372935863,-2.926754471373448,32.66233187403267,-10.98424148720745,3.13,1.42,,,,95.8,2548.0,5.8,718045,600917,641680,663993,543760,673962,669701,669352,665750,666969,54.71,,,,,,,,67,2,4-Seam Fastball,2,3,2,3,3,2,2,3,Standard,Standard,197.0,0.0,0.167
SL,2023-05-24,83.1,-1.68,6.07,"Leclerc, José",656582,600917,,blocked_ball,,,,,14,Connor Joe walks.   Ke'Bryan Hayes to 3rd.    Ji Hwan Bae to 2nd.,R,R,R,PIT,TEX,B,,,0,0,2023,0.34,0.93,0.28,0.78,,663647.0,678225.0,1,8,Bot,,,,,641680,,,3.813505207656315,-120.895965466841,-7.4633787592200065,2.621420088674025,23.403000737892583,-21.85039120707241,2.98,1.42,,,,83.0,2372.0,6.2,718045,600917,641680,663993,543760,673962,669701,669352,665750,666969,54.28,,,,,,,,67,1,Slider,2,3,2,3,3,2,2,3,Standard,Standard,80.0,0.0,0.11
CH,2023-05-24,88.8,-1.29,6.18,"Leclerc, José",467793,600917,single,hit_into_play,,,,,13,Carlos Santana singles on a fly ball to center fielder Leody Taveras.   Ke'Bryan Hayes to 2nd.,R,L,R,PIT,TEX,X,8.0,fly_ball,1,0,2023,-1.36,1.09,-1.28,2.11,,,663647.0,1,8,Bot,127.37,101.71,,,641680,,,2.8105623499379213,-129.1968970736022,-6.081434505623536,-15.745657543900824,28.106001351428937,-18.93219174216474,3.4,1.62,244.0,73.0,35.0,87.5,2142.0,5.6,718045,600917,641680,663993,543760,673962,669701,669352,665750,666969,54.9,0.374,0.38,0.9,1.0,1.0,0.0,3.0,66,2,Changeup,2,3,2,3,3,2,2,3,Strategic,Standard,205.0,0.091,0.456
CH,2023-05-24,89.3,-1.23,6.05,"Leclerc, José",467793,600917,,ball,,,,,13,Carlos Santana singles on a fly ball to center fielder Leody Taveras.   Ke'Bryan Hayes to 2nd.,R,L,R,PIT,TEX,B,,,0,0,2023,-1.1,1.12,-0.56,1.0,,,663647.0,1,8,Bot,,,,,641680,,,3.904596291125613,-129.70666491204724,-8.605713772128214,-13.197436118845644,29.616814201550035,-17.858755485357662,3.23,1.68,,,,87.8,2085.0,5.7,718045,600917,641680,663993,543760,673962,669701,669352,665750,666969,54.84,,,,,,,,66,1,Changeup,2,3,2,3,3,2,2,3,Strategic,Standard,204.0,0.0,0.045
FF,2023-05-24,96.4,-0.8,6.22,"Leclerc, José",663647,600917,single,hit_into_play,,,,,2,Ke'Bryan Hayes singles on a sharp ground ball to center fielder Leody Taveras.,R,R,R,PIT,TEX,X,8.0,ground_ball,1,2,2023,-0.3,1.53,0.23,3.03,,,,1,8,Bot,123.31,91.56,,,641680,,,3.3940636522792693,-140.36325668936945,-6.319305470961879,-4.735801604872624,31.39666212852943,-10.779317548923844,3.14,1.5,60.0,107.1,1.0,95.5,2648.0,5.7,718045,600917,641680,663993,543760,673962,669701,669352,665750,666969,54.82,0.514,0.492,0.9,1.0,1.0,0.0,4.0,65,4,4-Seam Fastball,2,3,2,3,3,2,2,3,Standard,Standard,189.0,0.07,0.322
FC,2023-05-24,89.1,-1.32,6.19,"Leclerc, José",663647,600917,,foul,,,,,14,Ke'Bryan Hayes singles on a sharp ground ball to center fielder Leody Taveras.,R,R,R,PIT,TEX,S,,,1,1,2023,0.47,0.46,0.56,1.18,,,,1,8,Bot,,,,,641680,,,3.606810374832538,-129.69352350461855,-7.241952314184831,4.684394636261427,24.157874126330817,-25.80658423718924,3.14,1.5,155.0,64.1,55.0,88.8,2522.0,5.8,718045,600917,641680,663993,543760,673962,669701,669352,665750,666969,54.66,,,,,,,,65,3,Cutter,2,3,2,3,3,2,2,3,Standard,Standard,154.0,0.0,-0.044
SL,2023-05-24,83.5,-1.67,6.08,"Leclerc, José",663647,600917,,called_strike,,,,,11,Ke'Bryan Hayes singles on a sharp ground ball to center fielder Leody Taveras.,R,R,R,PIT,TEX,S,,,1,0,2023,-0.07,0.63,-0.41,3.26,,,,1,8,Bot,,,,,641680,,,2.9821284922254265,-121.62853908898214,-1.345666783578099,-1.2337925717246658,22.607304935858775,-25.824083022335,3.07,1.43,,,,82.4,2466.0,5.4,718045,600917,641680,663993,543760,673962,669701,669352,665750,666969,55.13,,,,,,,,65,2,Slider,2,3,2,3,3,2,2,3,Standard,Standard,107.0,0.0,-0.035
SL,2023-05-24,83.1,-1.45,6.13,"Leclerc, José",663647,600917,,ball,,,,,12,Ke'Bryan Hayes singles on a sharp ground ball to center fielder Leody Taveras.,R,R,R,PIT,TEX,B,,,0,0,2023,0.55,0.42,1.38,2.55,,,,1,8,Bot,,,,,641680,,,5.35175268303251,-121.0581030160662,-2.6138875583059984,4.504413953444969,21.67811784798797,-27.72706969056601,3.03,1.37,,,,82.5,2501.0,5.6,718045,600917,641680,663993,543760,673962,669701,669352,665750,666969,54.89,,,,,,,,65,1,Slider,2,3,2,3,3,2,2,3,Standard,Standard,100.0,0.0,0.028
CH,2023-05-24,88.9,-1.11,6.17,"Leclerc, José",668804,600917,field_out,hit_into_play,,,,,7,"Bryan Reynolds grounds out, pitcher Jose Leclerc to first baseman Nathaniel Lowe.",R,L,R,PIT,TEX,X,1.0,ground_ball,2,2,2023,-0.89,1.04,-0.78,1.54,,,,0,8,Bot,128.25,176.98,,,641680,,,2.6216722944130333,-129.37052087390052,-7.45217351125259,-10.545663995131155,23.26781595058857,-19.24339943731924,3.03,1.48,2.0,64.3,-39.0,88.1,1956.0,5.5,718045,600917,641680,663993,543760,673962,669701,669352,665750,666969,55.04,0.106,0.095,0.0,1.0,0.0,0.0,2.0,64,5,Changeup,2,3,2,3,3,2,2,3,Strategic,Standard,196.0,-0.062,-0.205
