pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-25,86.6,2.6,5.34,"Lovelady, Richard",664034,663992,force_out,hit_into_play,,,,,4,"Ty France pops into a force out, shortstop Nick Allen to second baseman Tony Kemp.   Jose Caballero out at 2nd.    Ty France to 1st.",R,R,L,SEA,OAK,X,6.0,popup,0,1,2023,-0.56,0.37,-0.48,2.51,,,676609.0,1,8,Bot,105.88,144.99,,,669127,,,-6.393269940506625,-126.04498835826166,-1.374413681720692,-4.8600419281105545,23.111052534457016,-28.15144957081967,3.16,1.39,159.0,85.1,62.0,89.4,2408.0,7.8,718025,663992,669127,676116,643393,607054,669397,668709,665923,664913,52.73,0.023,0.03,0.0,1.0,0.0,0.0,3.0,56,2,Slider,2,2,2,2,2,2,2,2,Standard,Standard,255.0,-0.056,-0.256
SL,2023-05-25,86.5,2.69,5.29,"Lovelady, Richard",664034,663992,,called_strike,,,,,12,"Ty France pops into a force out, shortstop Nick Allen to second baseman Tony Kemp.   Jose Caballero out at 2nd.    Ty France to 1st.",R,R,L,SEA,OAK,S,,,0,0,2023,-0.56,0.53,0.84,3.15,,,676609.0,1,8,Bot,,,,,669127,,,-3.34608968490688,-126.1082768904868,-0.0161813138386798,-5.342101738545044,24.03328669989498,-26.71365764814132,3.21,1.45,,,,89.0,2527.0,7.6,718025,663992,669127,676116,643393,607054,669397,668709,665923,664913,52.87,,,,,,,,56,1,Slider,2,2,2,2,2,2,2,2,Standard,Standard,223.0,0.0,-0.056
FF,2023-05-25,92.3,2.41,5.38,"Lovelady, Richard",641487,663992,strikeout,swinging_strike,,,,,12,J.P. Crawford strikes out swinging.,R,L,L,SEA,OAK,S,2.0,,1,2,2023,0.71,1.15,0.79,3.85,,,676609.0,0,8,Bot,,,,,669127,,,-5.8015999452388485,-134.38933406223927,-0.6418750853657733,9.838347687503212,25.64734155157604,-18.221890267709558,3.34,1.57,,,,94.8,2390.0,7.4,718025,663992,669127,676116,643393,607054,669397,668709,665923,664913,53.08,,,0.0,1.0,0.0,0.0,,55,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,131.0,-0.063,-0.256
SI,2023-05-25,91.8,2.33,5.43,"Lovelady, Richard",641487,663992,,swinging_strike,,,,,12,J.P. Crawford strikes out swinging.,R,L,L,SEA,OAK,S,,,1,1,2023,1.12,0.87,0.75,3.48,,,676609.0,0,8,Bot,,,,,669127,,,-6.612610230181756,-133.6553074799915,-1.0129704653972629,14.892925733281832,28.046878977417396,-21.71124542859764,3.34,1.57,,,,94.2,2232.0,7.6,718025,663992,669127,676116,643393,607054,669397,668709,665923,664913,52.9,,,,,,,,55,3,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,138.0,0.0,-0.073
SL,2023-05-25,85.4,2.74,5.36,"Lovelady, Richard",641487,663992,,ball,,,,,12,J.P. Crawford strikes out swinging.,R,L,L,SEA,OAK,B,,,0,1,2023,-0.64,0.11,1.35,3.15,,,676609.0,0,8,Bot,,,,,669127,,,-2.032298339962112,-124.60294407422556,0.7572178143877657,-6.389100241440394,20.078604744108446,-31.314496902602727,3.43,1.62,,,,88.3,2252.0,7.5,718025,663992,669127,676116,643393,607054,669397,668709,665923,664913,52.98,,,,,,,,55,2,Slider,2,2,2,2,2,2,2,2,Standard,Standard,248.0,0.0,0.025
SI,2023-05-25,91.5,2.54,5.45,"Lovelady, Richard",641487,663992,,foul_bunt,,,,,12,J.P. Crawford strikes out swinging.,R,L,L,SEA,OAK,S,,,0,0,2023,0.79,0.4,1.5,3.43,,,676609.0,0,8,Bot,,,,,669127,,,-4.435273296266626,-133.26131146323698,-0.120117556799231,10.303131332401572,26.54398818263096,-27.51260312959337,3.34,1.57,178.0,,,94.2,2251.0,7.7,718025,663992,669127,676116,643393,607054,669397,668709,665923,664913,52.83,,,,,,,,55,1,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,143.0,0.0,-0.051
SL,2023-05-25,86.5,2.84,5.27,"Lovelady, Richard",676609,663992,walk,ball,,,,,14,Jose Caballero walks.,R,R,L,SEA,OAK,B,,,3,2,2023,-0.45,-0.09,0.43,0.58,,,,0,8,Bot,,,,,669127,,,-4.959394608946413,-125.89513814900528,-4.957128456051707,-3.87852458687639,23.42939792955346,-32.35915103725314,3.03,1.35,,,,89.0,2411.0,7.6,718025,663992,669127,676116,643393,607054,669397,668709,665923,664913,52.89,,,0.7,1.0,0.0,0.0,,54,7,Slider,2,2,2,2,2,2,2,2,Standard,Standard,247.0,0.064,0.316
SL,2023-05-25,85.9,2.75,5.25,"Lovelady, Richard",676609,663992,,foul,,,,,8,Jose Caballero walks.,R,R,L,SEA,OAK,S,,,3,2,2023,-0.36,0.16,-0.17,1.43,,,,0,8,Bot,,,,,669127,,,-6.286200652343947,-124.93475862836024,-3.134251819249063,-2.491789686154153,25.562928930806777,-30.038965648503403,2.94,1.33,11.0,97.3,-8.0,87.3,2282.0,7.3,718025,663992,669127,676116,643393,607054,669397,668709,665923,664913,53.23,,,,,,,,54,6,Slider,2,2,2,2,2,2,2,2,Standard,Standard,209.0,0.0,0.0
FF,2023-05-25,90.3,2.59,5.3,"Lovelady, Richard",676609,663992,,called_strike,,,,,8,Jose Caballero walks.,R,R,L,SEA,OAK,S,,,3,1,2023,0.44,1.15,-0.03,1.54,,,,0,8,Bot,,,,,669127,,,-7.606074751843727,-131.3679030162144,-6.059873530911017,6.511372585352708,24.679266955611737,-17.71648465429561,2.98,1.35,,,,92.7,2385.0,7.5,718025,663992,669127,676116,643393,607054,669397,668709,665923,664913,53.0,,,,,,,,54,5,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,137.0,0.0,-0.085
FF,2023-05-25,90.9,2.63,5.45,"Lovelady, Richard",676609,663992,,ball,,,,,12,Jose Caballero walks.,R,R,L,SEA,OAK,B,,,2,1,2023,0.67,1.05,0.25,3.75,,,,0,8,Bot,,,,,669127,,,-7.612614917985582,-132.38060451249066,-0.6936633392866283,9.434071512412878,24.905570240874187,-19.733999692856887,3.01,1.35,,,,93.6,2328.0,7.5,718025,663992,669127,676116,643393,607054,669397,668709,665923,664913,52.95,,,,,,,,54,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,139.0,0.0,0.122
