pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SL,2023-05-25,84.6,-2.63,5.54,"Lowe, Brandon",664040,666201,strikeout,swinging_strike,,,,,14,Brandon Lowe strikes out swinging.,R,L,R,TB,TOR,S,2.0,,1,2,2023,0.38,0.08,1.34,1.26,666139.0,677551.0,668227.0,2,2,Bot,,,,,672386,,,8.662024158246684,-122.87408857536872,-3.78193271783309,2.0066145965230207,26.33047249265599,-30.796526569947712,3.32,1.51,,,,85.8,2221,7.4,718032,666201,672386,665489,624415,656305,666182,662139,595281,664770,53.14,,,0.0,1.0,0.0,0.0,,22,4,Slider,3,1,3,1,1,3,3,1,Standard,Standard,47,-0.048,-0.488,brandon lowe,
FF,2023-05-25,86.9,-4.09,2.13,"Lowe, Brandon",664040,643256,single,hit_into_play,,,,,7,Brandon Lowe singles on a ground ball to center fielder Kevin Kiermaier.   Randy Arozarena to 3rd.,R,L,R,TB,TOR,X,8.0,ground_ball,1,1,2023,-1.28,-0.04,-0.38,1.69,,,668227.0,1,7,Bot,144.61,84.06,,,672386,,,11.507895802693128,-125.938847242844,5.269120586483669,-15.96645052556086,25.08957961990775,-33.99785956575727,3.32,1.51,11.0,104.5,-8.0,86.9,2228,6.5,718032,643256,672386,665489,624415,656305,666182,662139,595281,664770,54.03,0.306,0.275,0.9,1.0,1.0,0.0,2.0,59,3,4-Seam Fastball,6,1,6,1,1,6,6,1,Strategic,Standard,286,0.003,0.532,brandon lowe,
FF,2023-05-25,93.2,-2.21,6.32,"Lowe, Brandon",664040,670950,field_out,hit_into_play,,,,,1,Brandon Lowe lines out sharply to center fielder Kevin Kiermaier.,R,L,R,TB,TOR,X,8.0,line_drive,0,1,2023,-0.7,1.77,-0.81,3.23,,,,0,5,Bot,131.26,50.16,,,672386,,,5.135977594370489,-135.57932575255748,-6.017600660308342,-9.778457370685167,31.21153338485925,-9.244096614281457,3.32,1.51,369.0,104.7,16.0,92.9,2285,6.2,718032,670950,672386,665489,624415,656305,666182,662139,595281,664770,54.26,0.594,0.715,0.0,1.0,0.0,0.0,5.0,42,2,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,201,-0.005,-0.198,brandon lowe,
SL,2023-05-25,82.9,-2.73,5.64,"Lowe, Brandon",664040,666201,strikeout,swinging_strike_blocked,,,,,13,"Rays challenged (play at 1st), call on the field was overturned: Brandon Lowe strikes out swinging.   Randy Arozarena to 3rd.    Brandon Lowe to 1st.  Wild pitch by pitcher Alek Manoah.",R,L,R,TB,TOR,S,,,2,2,2023,1.03,0.21,-0.01,1.11,,668227.0,,1,1,Bot,,,,,672386,,,4.233842330138682,-120.48962794509978,-4.209368711142044,8.945948008328829,26.88630264065352,-29.45891012892855,3.32,1.51,,,,83.2,2290,6.9,718032,666201,672386,665489,624415,656305,666182,662139,595281,664770,53.63,,,0.7,1.0,0.0,0.0,,10,5,Slider,1,1,1,1,1,1,1,1,Standard,Standard,54,0.045,0.705,brandon lowe,
FF,2023-05-22,92.4,-1.5,5.5,"Lowe, Brandon",664040,605135,double_play,hit_into_play,,,,,3,"Rays challenge (tag play): Rays challenged (home-plate collision): Brandon Lowe lines into a double play, center fielder Kevin Kiermaier to catcher Alejandro Kirk.   Wander Franco out at home.",R,L,R,TB,TOR,X,8.0,line_drive,1,2,2023,-0.47,1.11,0.34,2.91,677551.0,,,1,5,Bot,125.16,87.85,,,672386,,,5.685659046591405,-134.4927278385631,-3.1817488549998423,-6.910886479318289,29.02393475764098,-18.26089403781571,3.34,1.51,278.0,79.1,25.0,92.4,2216,6.2,718077,605135,672386,665489,593160,656305,666182,662139,595281,543807,54.26,0.523,0.52,0.0,1.0,0.0,0.0,4.0,41,4,4-Seam Fastball,4,2,4,2,2,4,4,2,Strategic,Standard,217,-0.067,0.014,brandon lowe,
SI,2023-05-22,91.2,-1.7,5.25,"Lowe, Brandon",664040,605135,field_out,hit_into_play,,,,,4,Brandon Lowe flies out to left fielder Daulton Varsho.,R,L,R,TB,TOR,X,7.0,fly_ball,0,1,2023,-1.46,0.63,-0.62,2.62,,650490.0,677551.0,0,3,Bot,69.87,97.84,,,672386,,,5.8763950605789885,-132.71391253703874,-2.0565843394098824,-18.501608993299776,28.609907047186567,-24.51691076442328,3.34,1.51,287.0,85.5,45.0,91.4,1996,6.4,718077,605135,672386,665489,593160,656305,666182,662139,595281,543807,54.08,0.001,0.0,0.0,1.0,0.0,0.0,3.0,24,2,Sinker,3,0,3,0,0,3,3,0,Standard,Strategic,228,-0.023,-0.317,brandon lowe,
CU,2023-05-22,71.4,-1.2,5.91,"Lowe, Brandon",664040,605135,strikeout,swinging_strike,,,,,7,Brandon Lowe strikes out swinging.,R,L,R,TB,TOR,S,2.0,,2,2,2023,1.29,-1.33,-0.51,1.41,,,,2,1,Bot,,,,,672386,,,-0.8282988959967668,-103.86528461609495,1.1040970755571828,9.3642253149929,21.751053895599483,-42.0908080215006,3.34,1.51,,,,70.6,2335,6.3,718077,605135,672386,665489,593160,656305,666182,662139,595281,543807,54.21,,,0.0,1.0,0.0,0.0,,7,5,Curveball,0,0,0,0,0,0,0,0,Strategic,Strategic,36,-0.01,-0.09,brandon lowe,
FC,2023-05-22,85.8,-1.39,5.67,"Lowe, Brandon",664040,641672,walk,ball,,,,,14,Brandon Lowe walks.,R,L,R,TB,TOR,B,,,3,2,2023,0.54,0.27,0.01,1.1,,,,0,8,Bot,,,,,672386,,,2.2152803014763376,-124.95705993171362,-5.169087268814597,5.336405758017126,22.533620484693657,-28.60458076824181,3.34,1.5,,,,86.3,2537,6.4,718077,641672,672386,665489,593160,656305,666182,662139,595281,543807,54.14,,,0.7,1.0,0.0,0.0,,60,6,Cutter,6,2,6,2,2,6,6,2,Strategic,Standard,134,0.002,0.316,brandon lowe,
CU,2023-05-21,76.1,-2.44,5.28,"Lowe, Brandon",664040,642547,single,hit_into_play,,,,,7,Brandon Lowe singles on a ground ball to right fielder Brian Anderson.,R,L,R,TB,MIL,X,9.0,ground_ball,2,2,2023,0.36,-0.72,-0.28,1.72,,,,2,5,Bot,178.73,119.85,,,661388,,,3.933035577009644,-110.75782824389728,0.9867587816767192,2.1954181966271777,21.647294487184844,-38.4719760907182,3.35,1.52,87.0,96.2,5.0,76.9,2233,7.0,718081,642547,661388,642133,668930,680911,642715,592885,686894,605119,53.46,0.546,0.513,0.9,1.0,1.0,0.0,4.0,47,6,Curveball,3,6,3,6,6,3,3,6,Standard,Standard,49,0.014,0.149,brandon lowe,
FF,2023-05-21,96.8,-2.81,4.9,"Lowe, Brandon",664040,642547,strikeout,swinging_strike,,,,,4,Brandon Lowe strikes out swinging.,R,L,R,TB,MIL,S,2.0,,1,2,2023,-0.75,1.4,-0.59,2.12,,,,0,4,Bot,,,,,661388,,,7.750265731709849,-140.65562842259692,-5.101874820579692,-11.755007050286649,32.12943531835538,-12.652212144991786,3.35,1.52,,,,98.0,2448,7.1,718081,642547,661388,642133,668930,680911,642715,592885,686894,605119,53.43,,,0.0,1.0,0.0,0.0,,30,4,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,217,-0.023,-0.175,brandon lowe,
