pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,2023-05-16,79.5,-1.09,5.71,"Lugo, Seth",686469,607625,field_out,hit_into_play,,,,,4,Vinnie Pasquantino grounds out to first baseman Jake Cronenworth.,R,L,R,SD,KC,X,3.0,ground_ball,0,1,2023,0.72,-1.63,-0.56,2.35,,521692.0,,2,2,Top,145.74,185.13,,,664954,,,-0.1790731414514889,-115.55474341027268,2.552743147460206,6.359643151551266,25.999789387910063,-47.374234402809,3.36,1.64,2.0,,-54.0,77.6,3235.0,5.5,718144,607625,664954,630105,596059,673490,593428,665742,663757,665487,55.0,,,0.0,,0.0,0.0,,16,2,Curveball,0,5,5,0,5,0,5,0,Strategic,Standard,35.0,0.011,-0.269
CU,2023-05-16,80.4,-1.09,5.63,"Lugo, Seth",686469,607625,,called_strike,,,,,9,Vinnie Pasquantino grounds out to first baseman Jake Cronenworth.,R,L,R,SD,KC,S,,,0,0,2023,0.68,-1.61,0.32,1.61,,521692.0,,2,2,Top,,,,,664954,,,1.8142394599739489,-117.04111407273984,0.8792072181084061,5.771278876817205,25.404784657722256,-47.229095729843074,3.53,1.73,,,,78.9,3175.0,5.5,718144,607625,664954,630105,596059,673490,593428,665742,663757,665487,54.97,,,,,,,,16,1,Curveball,0,5,5,0,5,0,5,0,Strategic,Standard,35.0,0.0,-0.056
SI,2023-05-16,93.3,-1.1,5.36,"Lugo, Seth",521692,607625,double,hit_into_play,,,,,6,Salvador Perez doubles (10) on a sharp line drive to left fielder Juan Soto.   Nate Eaton scores.    Bobby Witt Jr.  scores.,R,R,R,SD,KC,X,7.0,line_drive,1,0,2023,-1.5,1.09,0.45,2.55,,681987.0,677951.0,2,2,Top,92.64,76.56,,,664954,,,7.251357700532561,-135.56695081637068,-3.76693656060741,-20.124723933783656,34.44746577379864,-18.137938428820224,3.54,1.68,316.0,109.6,15.0,92.3,2414.0,6.1,718144,607625,664954,630105,596059,673490,593428,665742,663757,665487,54.36,0.677,0.782,1.25,1.0,1.0,1.0,6.0,15,2,Sinker,0,3,3,0,5,0,5,0,Standard,Standard,212.0,-0.112,1.518
SL,2023-05-16,88.2,-0.98,5.58,"Lugo, Seth",521692,607625,,ball,,,,,14,Salvador Perez doubles (10) on a sharp line drive to left fielder Juan Soto.   Nate Eaton scores.    Bobby Witt Jr.  scores.,R,R,R,SD,KC,B,,,0,0,2023,0.26,0.61,1.72,1.2,,681987.0,677951.0,2,2,Top,,,,,664954,,,5.9981025609331535,-128.0688239328967,-5.6239047292892,1.223436996848103,33.176058749201395,-24.377933054907285,3.6,1.78,,,,86.8,2588.0,6.1,718144,607625,664954,630105,596059,673490,593428,665742,663757,665487,54.42,,,,,,,,15,1,Slider,0,3,3,0,3,0,3,0,Standard,Standard,160.0,0.0,0.071
CU,2023-05-16,81.0,-0.96,5.74,"Lugo, Seth",677951,607625,single,hit_into_play,,,,,9,Bobby Witt Jr.  singles on a line drive to left fielder Juan Soto.   Matt Duffy scores.    Nate Eaton to 2nd.,R,R,R,SD,KC,X,7.0,line_drive,0,2,2023,0.78,-1.62,0.46,2.0,622110.0,,681987.0,2,2,Top,96.58,108.61,,,664954,,,1.6666847575029795,-117.63746346552084,1.6344590260412994,6.578146483399004,30.259247821946797,-47.55665538111478,3.41,1.62,188.0,79.2,13.0,78.8,3345.0,5.7,718144,607625,664954,630105,596059,673490,593428,665742,663757,665487,54.8,0.537,0.501,0.9,1.0,1.0,0.0,4.0,14,4,Curveball,0,2,2,0,3,0,3,0,Standard,Standard,30.0,-0.079,1.171
FF,2023-05-16,95.6,-0.82,5.79,"Lugo, Seth",677951,607625,,foul,,,,,12,Bobby Witt Jr.  singles on a line drive to left fielder Juan Soto.   Matt Duffy scores.    Nate Eaton to 2nd.,R,R,R,SD,KC,S,,,0,2,2023,-0.5,1.62,0.19,3.78,622110.0,,681987.0,2,2,Top,,,,,664954,,,3.782387164171336,-139.03929184022545,-3.256673939559392,-7.3517556546144,35.20912202846716,-10.72413676527428,3.41,1.62,261.0,77.8,37.0,94.8,2330.0,6.2,718144,607625,664954,630105,596059,673490,593428,665742,663757,665487,54.34,,,,,,,,14,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,203.0,0.0,0.0
CU,2023-05-16,81.6,-1.01,5.64,"Lugo, Seth",677951,607625,,swinging_strike,,,,,13,Bobby Witt Jr.  singles on a line drive to left fielder Juan Soto.   Matt Duffy scores.    Nate Eaton to 2nd.,R,R,R,SD,KC,S,,,0,1,2023,0.58,-1.67,-0.08,1.49,622110.0,,681987.0,2,2,Top,,,,,664954,,,0.9628781011424116,-118.66537446970187,0.6618296694559309,5.095112552476708,29.492827656557942,-48.08337366931917,3.41,1.62,,,,79.8,3243.0,5.7,718144,607625,664954,630105,596059,673490,593428,665742,663757,665487,54.75,,,,,,,,14,2,Curveball,0,2,2,0,2,0,2,0,Standard,Standard,30.0,0.0,-0.109
SL,2023-05-16,89.2,-1.2,5.55,"Lugo, Seth",677951,607625,,foul,,,,,2,Bobby Witt Jr.  singles on a line drive to left fielder Juan Soto.   Matt Duffy scores.    Nate Eaton to 2nd.,R,R,R,SD,KC,S,,,0,0,2023,0.45,0.55,0.23,3.07,622110.0,,681987.0,2,2,Top,,,,,664954,,,2.5702162625287897,-129.846781162476,-1.2209495065437084,4.486733496747538,28.287810581855872,-25.951537805417946,3.41,1.62,123.0,74.0,11.0,88.6,2484.0,6.0,718144,607625,664954,630105,596059,673490,593428,665742,663757,665487,54.53,,,,,,,,14,1,Slider,0,2,2,0,2,0,2,0,Standard,Standard,156.0,0.0,-0.098
SI,2023-05-16,93.4,-1.1,5.4,"Lugo, Seth",681987,607625,force_out,hit_into_play,,,,,2,"Nate Eaton grounds into a force out, shortstop Xander Bogaerts to second baseman Rougned Odor.   MJ Melendez scores.    Matt Duffy to 3rd.    Freddy Fermin out at 2nd.    Nate Eaton to 1st.",R,R,R,SD,KC,X,6.0,ground_ball,1,0,2023,-1.38,1.04,-0.25,3.16,669004.0,622110.0,666023.0,1,2,Top,114.32,146.62,,,664954,,,5.20980807794866,-135.8246134784322,-2.245652552667117,-18.271932489132634,32.75073127091265,-19.104783728473524,3.27,1.57,38.0,85.6,-2.0,92.6,2287.0,6.1,718144,607625,664954,630105,596059,673490,593428,665742,663757,665487,54.43,0.226,0.203,0.0,1.0,0.0,0.0,2.0,13,2,Sinker,0,1,1,0,2,0,2,0,Standard,Standard,210.0,-0.009,-0.857
CU,2023-05-16,80.5,-0.98,5.71,"Lugo, Seth",681987,607625,,ball,,,,,14,"Nate Eaton grounds into a force out, shortstop Xander Bogaerts to second baseman Rougned Odor.   MJ Melendez scores.    Matt Duffy to 3rd.    Freddy Fermin out at 2nd.    Nate Eaton to 1st.",R,R,R,SD,KC,B,,,0,0,2023,0.7,-1.63,1.13,1.5,669004.0,622110.0,666023.0,1,2,Top,,,,,664954,,,3.3133351645880915,-117.05811778574292,0.6163053954571924,5.481896610325879,28.173123732527014,-47.28877464872451,3.36,1.65,,,,78.9,3293.0,5.8,718144,607625,664954,630105,596059,673490,593428,665742,663757,665487,54.67,,,,,,,,13,1,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,37.0,0.0,0.087
