pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-24,87.5,-1.95,5.67,"López, Reynaldo",681807,625643,strikeout,swinging_strike,,,,,9,David Fry strikes out swinging.,R,R,R,CLE,CWS,S,2.0,,0,2,2023,0.51,-0.11,0.35,2.02,,,664702.0,2,8,Bot,,,,,664874,,,4.485764615036088,-127.48737072819496,-2.5118809504658124,4.830820494786137,22.928171655771653,-33.142867164520005,3.37,1.53,,,,88.1,2376.0,6.3,718048,625643,664874,683734,663853,660162,641313,643217,656514,640449,54.16,,,0.0,1.0,0.0,0.0,,58,4,Slider,0,6,0,6,6,0,0,6,Standard,Standard,128.0,-0.002,-0.169
SL,2023-05-24,90.6,-2.01,5.56,"López, Reynaldo",681807,625643,,foul,,,,,14,David Fry strikes out swinging.,R,R,R,CLE,CWS,S,,,0,2,2023,0.61,0.19,0.89,0.78,,,664702.0,2,8,Bot,,,,,664874,,,5.946818092489657,-131.86753534053958,-6.489527556671583,6.041740713761179,25.177073658899843,-28.84626590084572,3.37,1.53,,,,91.1,2381.0,6.3,718048,625643,664874,683734,663853,660162,641313,643217,656514,640449,54.17,,,,,,,,58,3,Slider,0,6,0,6,6,0,0,6,Standard,Standard,154.0,0.0,0.0
FF,2023-05-24,98.2,-1.73,5.75,"López, Reynaldo",681807,625643,,foul,,,,,1,David Fry strikes out swinging.,R,R,R,CLE,CWS,S,,,0,1,2023,-0.53,1.42,-0.38,3.4,,,664702.0,2,8,Bot,,,,,664874,,,4.925145705104144,-142.91583663470286,-4.178719043547769,-8.411020859132519,34.8954872205089,-12.039539570487255,3.37,1.53,,,,98.7,2180.0,6.7,718048,625643,664874,683734,663853,660162,641313,643217,656514,640449,53.83,,,,,,,,58,2,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,212.0,0.0,-0.038
SL,2023-05-24,86.3,-1.98,5.75,"López, Reynaldo",681807,625643,,foul,,,,,5,David Fry strikes out swinging.,R,R,R,CLE,CWS,S,,,0,0,2023,0.46,0.33,0.16,2.29,,,664702.0,2,8,Bot,,,,,664874,,,4.171899505393486,-125.76985032857316,-2.778700197508488,4.183230449740695,22.072101848981557,-28.321601055733478,3.37,1.53,318.0,97.4,45.0,87.1,2427.0,6.4,718048,625643,664874,683734,663853,660162,641313,643217,656514,640449,54.1,,,,,,,,58,1,Slider,0,6,0,6,6,0,0,6,Standard,Standard,134.0,0.0,-0.036
FF,2023-05-24,98.8,-1.69,5.79,"López, Reynaldo",664702,625643,single,hit_into_play,,,,,1,Myles Straw singles on a line drive to right fielder Clint Frazier.,R,R,R,CLE,CWS,X,9.0,line_drive,0,2,2023,-0.7,1.15,-0.75,3.18,,,,2,8,Bot,166.63,110.97,,,664874,,,4.213579630686759,-143.89455380452512,-4.414899103216594,-10.709317273984723,31.38138594504082,-15.406790026876276,3.3,1.53,208.0,72.7,23.0,99.5,2243.0,6.5,718048,625643,664874,683734,663853,660162,641313,643217,656514,640449,53.99,0.971,0.888,0.9,1.0,1.0,0.0,4.0,57,3,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,211.0,0.001,0.182
FF,2023-05-24,97.1,-1.71,5.85,"López, Reynaldo",664702,625643,,foul,,,,,11,Myles Straw singles on a line drive to right fielder Clint Frazier.,R,R,R,CLE,CWS,S,,,0,1,2023,-0.84,1.14,-1.06,3.17,,,,2,8,Bot,,,,,664874,,,3.6889509565368814,-141.43794024793212,-4.300079539913702,-12.074941493726191,31.820593689039484,-16.108747235359154,3.3,1.53,191.0,67.0,41.0,97.7,2225.0,6.5,718048,625643,664874,683734,663853,660162,641313,643217,656514,640449,53.96,,,,,,,,57,2,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,207.0,0.0,-0.025
FF,2023-05-24,98.1,-1.74,5.82,"López, Reynaldo",664702,625643,,called_strike,,,,,6,Myles Straw singles on a line drive to right fielder Clint Frazier.,R,R,R,CLE,CWS,S,,,0,0,2023,-0.37,1.31,0.54,2.69,,,,2,8,Bot,,,,,664874,,,7.058413064644902,-142.8676424808781,-6.143670395028899,-6.410695262552261,26.984256428244915,-12.913432996439456,3.48,1.58,,,,99.4,2242.0,6.6,718048,625643,664874,683734,663853,660162,641313,643217,656514,640449,53.94,,,,,,,,57,1,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,205.0,0.0,-0.021
CU,2023-05-24,76.3,-1.78,5.99,"López, Reynaldo",665926,625643,single,hit_into_play,,,,,4,"Andres Gimenez singles on a line drive to right fielder Clint Frazier.  Andres Gimenez out at 2nd on the throw, right fielder Clint Frazier to shortstop Tim Anderson.",R,L,R,CLE,CWS,X,9.0,line_drive,0,1,2023,0.78,-0.67,-0.51,2.06,,,,1,8,Bot,207.28,106.66,,,664874,,,1.2690678939450024,-111.22453063540664,-0.0855415355623843,6.271687922566456,18.898788032502587,-37.924094086198615,3.14,1.46,271.0,85.9,22.0,76.3,2332.0,6.1,718048,625643,664874,683734,663853,660162,641313,643217,656514,640449,54.44,0.323,0.294,0.9,1.0,1.0,0.0,3.0,56,2,Curveball,0,6,0,6,6,0,0,6,Standard,Standard,73.0,-0.002,0.299
FF,2023-05-24,97.0,-1.76,5.87,"López, Reynaldo",665926,625643,,foul,,,,,2,"Andres Gimenez singles on a line drive to right fielder Clint Frazier.  Andres Gimenez out at 2nd on the throw, right fielder Clint Frazier to shortstop Tim Anderson.",R,L,R,CLE,CWS,S,,,0,0,2023,-0.38,1.39,-0.14,3.0,,,,1,8,Bot,,,,,664874,,,5.229081711169688,-141.0203004946841,-5.266043545006284,-6.402974858495695,35.293778196249406,-12.714998670404674,3.14,1.46,248.0,82.2,26.0,96.9,2165.0,6.5,718048,625643,664874,683734,663853,660162,641313,643217,656514,640449,54.01,,,,,,,,56,1,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,210.0,0.0,-0.028
FF,2023-05-24,97.0,-1.82,5.81,"López, Reynaldo",672356,625643,field_out,hit_into_play,,,,,13,Gabriel Arias lines out to right fielder Clint Frazier.,R,R,R,CLE,CWS,X,9.0,line_drive,2,1,2023,-0.77,1.2,-1.23,2.25,,,,0,8,Bot,173.5,86.2,,,664874,,,3.3452338676925994,-141.18561247157427,-6.804596324401228,-11.037780476578464,29.779730071247897,-14.7244955990933,3.35,1.52,304.0,94.6,24.0,97.8,2171.0,6.5,718048,625643,664874,683734,663853,660162,641313,643217,656514,640449,53.96,0.22,0.264,0.0,1.0,0.0,0.0,5.0,55,4,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,217.0,-0.004,-0.278
SL,2023-05-24,87.2,-1.87,5.72,"López, Reynaldo",672356,625643,,ball,,,,,14,Gabriel Arias lines out to right fielder Clint Frazier.,R,R,R,CLE,CWS,B,,,1,1,2023,0.61,0.07,1.42,0.21,,,,0,8,Bot,,,,,664874,,,6.672564596202423,-126.90663558486696,-7.333022323113007,5.461002524080566,22.53052660397698,-30.250269095378677,3.43,1.52,,,,87.9,2363.0,6.4,718048,625643,664874,683734,663853,660162,641313,643217,656514,640449,54.07,,,,,,,,55,3,Slider,0,6,0,6,6,0,0,6,Standard,Standard,143.0,0.0,0.05
SL,2023-05-24,87.4,-1.88,5.82,"López, Reynaldo",672356,625643,,ball,,,,,12,Gabriel Arias lines out to right fielder Clint Frazier.,R,R,R,CLE,CWS,B,,,0,1,2023,0.68,0.25,1.12,2.51,,,,0,8,Bot,,,,,664874,,,5.838225295866056,-127.3520264798172,-2.4337479152823427,6.400603331490541,22.597234169177096,-29.197423915458234,3.43,1.48,,,,87.9,2349.0,6.2,718048,625643,664874,683734,663853,660162,641313,643217,656514,640449,54.26,,,,,,,,55,2,Slider,0,6,0,6,6,0,0,6,Standard,Standard,151.0,0.0,0.03
FF,2023-05-24,96.5,-1.7,5.87,"López, Reynaldo",672356,625643,,called_strike,,,,,5,Gabriel Arias lines out to right fielder Clint Frazier.,R,R,R,CLE,CWS,S,,,0,0,2023,-0.41,1.54,0.25,2.53,,,,0,8,Bot,,,,,664874,,,6.153760613465139,-140.24077799020287,-6.853048795340288,-6.88011463791522,32.35573708215618,-10.478727439707123,3.45,1.52,,,,96.8,2234.0,6.6,718048,625643,664874,683734,663853,660162,641313,643217,656514,640449,53.9,,,,,,,,55,1,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,209.0,0.0,-0.037
FF,2023-05-20,99.3,-1.47,5.9,"López, Reynaldo",677951,625643,strikeout,swinging_strike,,,,,2,Bobby Witt Jr.  strikes out swinging.,R,R,R,CWS,KC,S,2.0,,1,2,2023,-0.95,1.32,-0.25,3.26,668472.0,,658668.0,2,7,Top,,,,,664874,,,5.545093913395499,-144.40554553351424,-4.839103255796209,-14.641898795100424,35.89002533521614,-12.819884752315344,3.44,1.64,,,,98.7,2258.0,6.1,718104,625643,664874,683734,593643,660162,641313,643217,673357,656514,54.37,,,0.0,1.0,0.0,0.0,,54,6,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,213.0,0.026,-0.381
FF,2023-05-20,98.2,-1.61,5.89,"López, Reynaldo",677951,625643,,foul,,,,,11,Bobby Witt Jr.  strikes out swinging.,R,R,R,CWS,KC,S,,,1,2,2023,-1.07,1.39,-1.65,4.22,668472.0,,658668.0,2,7,Top,,,,,664874,,,2.3857405764187174,-143.07913135908476,-2.295625479777209,-15.273504548949676,32.66451833104067,-12.725355230082169,3.44,1.64,20.0,52.4,-10.0,98.6,2202.0,6.4,718104,625643,664874,683734,593643,660162,641313,643217,673357,656514,54.06,,,,,,,,54,5,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,210.0,0.0,0.0
