pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-04-26,77.1,-2.31,5.72,"Maeda, Kenta",518934,628317,,ball,,,,,14,DJ LeMahieu strikes out swinging.,R,R,R,MIN,NYY,B,,,0,0,2023,1.18,-0.15,1.34,1.78,,519203.0,,0,4,Top,,,,,543877,,,5.601890921755344,-112.16672634341349,-1.0490804745987408,8.7354205160844,22.408162926921168,-33.42382506723323,3.34,1.59,,,,76.6,2393.0,6.2,718417,628317,543877,608336,456781,650489,621043,663616,624503,596146,54.31,,,,,,,,33,1,Slider,1,9,9,1,9,1,9,1,Standard,Standard,45.0,0.0,0.069
FF,2023-04-26,87.8,-2.26,5.81,"Maeda, Kenta",519203,628317,double,hit_into_play,,,,,2,Anthony Rizzo doubles (5) on a sharp line drive to right fielder Max Kepler.   Anthony Volpe scores.    Aaron Judge scores.,R,L,R,MIN,NYY,X,9.0,line_drive,0,2,2023,-0.58,1.2,0.21,3.37,,683011.0,592450.0,0,4,Top,173.86,58.74,,,543877,,,7.146492723579868,-127.83557431985922,-2.3453729580606466,-7.649587133711114,22.440281256069508,-18.66935161388229,3.76,1.8,314.0,100.9,15.0,88.0,2121.0,6.0,718417,628317,543877,608336,456781,650489,621043,663616,624503,596146,54.46,0.649,0.656,1.25,1.0,1.0,1.0,4.0,32,3,4-Seam Fastball,1,7,7,1,9,1,9,1,Standard,Standard,212.0,-0.02,1.681
FF,2023-04-26,88.8,-2.19,5.77,"Maeda, Kenta",519203,628317,,foul_tip,,,,,4,Anthony Rizzo doubles (5) on a sharp line drive to right fielder Max Kepler.   Anthony Volpe scores.    Aaron Judge scores.,R,L,R,MIN,NYY,S,,,0,1,2023,-0.73,1.43,-0.53,2.52,,683011.0,592450.0,0,4,Top,,,,,543877,,,5.57594006056269,-129.2565101404724,-4.969339397016537,-9.286386868092222,24.212017582389347,-15.24546714533284,3.76,1.8,,,,89.2,2239.0,6.3,718417,628317,543877,608336,456781,650489,621043,663616,624503,596146,54.18,,,,,,,,32,2,4-Seam Fastball,1,7,7,1,7,1,7,1,Standard,Standard,214.0,0.0,-0.138
FF,2023-04-26,88.3,-2.25,5.77,"Maeda, Kenta",519203,628317,,called_strike,,,,,8,Anthony Rizzo doubles (5) on a sharp line drive to right fielder Max Kepler.   Anthony Volpe scores.    Aaron Judge scores.,R,L,R,MIN,NYY,S,,,0,0,2023,-0.78,1.27,-0.26,1.88,,683011.0,592450.0,0,4,Top,,,,,543877,,,6.431101104606194,-128.3741235032073,-6.034743669063202,-9.911844212107006,25.343886795475377,-17.026097082029807,3.71,1.83,,,,88.2,2274.0,6.2,718417,628317,543877,608336,456781,650489,621043,663616,624503,596146,54.35,,,,,,,,32,1,4-Seam Fastball,1,7,7,1,7,1,7,1,Standard,Standard,215.0,0.0,-0.111
CU,2023-04-26,76.7,-2.03,6.01,"Maeda, Kenta",592450,628317,walk,ball,,,,,14,Aaron Judge walks.,R,R,R,MIN,NYY,B,,,3,2,2023,1.01,-1.08,0.87,0.88,,683011.0,,0,4,Top,,,,,543877,,,4.294455662776933,-111.7163496677272,-1.874351988544899,7.62615367545796,20.8488362572003,-41.1031078397573,3.95,1.77,,,,76.3,2717.0,6.1,718417,628317,543877,608336,456781,650489,621043,663616,624503,596146,54.44,,,0.7,1.0,0.0,0.0,,31,6,Curveball,1,7,7,1,7,1,7,1,Strategic,Standard,38.0,-0.003,0.323
FS,2023-04-26,83.5,-2.15,5.85,"Maeda, Kenta",592450,628317,,ball,,,,,14,Aaron Judge walks.,R,R,R,MIN,NYY,B,,,2,2,2023,-1.22,0.51,0.75,1.15,,683011.0,,0,4,Top,,,,,543877,,,9.06632645822349,-121.26844484962167,-5.429476296931887,-13.789448745513912,21.75215459466385,-26.26816811019372,4.01,1.83,,,,83.6,1595.0,6.2,718417,628317,543877,608336,456781,650489,621043,663616,624503,596146,54.25,,,,,,,,31,5,Split-Finger,1,7,7,1,7,1,7,1,Standard,Standard,241.0,0.0,0.134
CU,2023-04-26,75.6,-1.98,6.04,"Maeda, Kenta",592450,628317,,called_strike,,,,,2,Aaron Judge walks.,R,R,R,MIN,NYY,S,,,2,1,2023,1.05,-1.08,0.22,3.37,,683011.0,,0,4,Top,,,,,543877,,,2.685499071922605,-110.00024921555392,3.414599529839172,8.087532370151527,19.312671537944777,-41.75860488988475,3.89,1.8,,,,75.1,2500.0,5.9,718417,628317,543877,608336,456781,650489,621043,663616,624503,596146,54.56,,,,,,,,31,4,Curveball,1,7,7,1,7,1,7,1,Strategic,Standard,41.0,0.0,-0.123
FS,2023-04-26,81.8,-2.3,5.83,"Maeda, Kenta",592450,628317,,foul,,,,,5,Aaron Judge walks.,R,R,R,MIN,NYY,S,,,2,0,2023,-0.74,-0.07,-0.24,3.17,,683011.0,,0,4,Top,,,,,543877,,,6.05745892077026,-119.14810823883288,0.615864793365144,-8.169399526897402,20.59714052929315,-33.13746701973931,3.94,1.87,180.0,66.9,42.0,81.9,1295.0,6.0,718417,628317,543877,608336,456781,650489,621043,663616,624503,596146,54.45,,,,,,,,31,3,Split-Finger,1,7,7,1,7,1,7,1,Strategic,Standard,253.0,0.0,-0.089
SL,2023-04-26,82.0,-2.24,5.66,"Maeda, Kenta",592450,628317,,ball,,,,,14,Aaron Judge walks.,R,R,R,MIN,NYY,B,,,1,0,2023,0.12,0.29,2.15,1.65,,683011.0,,0,4,Top,,,,,543877,,,9.645661318877517,-119.11491474031692,-3.0118286587753333,-0.733023437411449,23.66078267912472,-29.04546565802221,3.95,1.8,,,,81.6,2319.0,6.2,718417,628317,543877,608336,456781,650489,621043,663616,624503,596146,54.29,,,,,,,,31,2,Slider,1,7,7,1,7,1,7,1,Strategic,Standard,182.0,0.0,0.073
FS,2023-04-26,83.1,-2.34,5.85,"Maeda, Kenta",592450,628317,,ball,,,,,13,Aaron Judge walks.,R,R,R,MIN,NYY,B,,,0,0,2023,-0.79,-0.1,-1.62,1.87,,683011.0,,0,4,Top,,,,,543877,,,3.19295125197128,-121.0615168203125,-2.4660897536509,-8.4038828624288,23.34116060315676,-32.90033963435956,3.95,1.83,,,,82.9,1409.0,6.1,718417,628317,543877,608336,456781,650489,621043,663616,624503,596146,54.4,,,,,,,,31,1,Split-Finger,1,7,7,1,7,1,7,1,Strategic,Strategic,244.0,0.0,0.069
SL,2023-04-26,82.3,-2.28,5.64,"Maeda, Kenta",683011,628317,double,hit_into_play,,,,,9,Anthony Volpe doubles (2) on a fly ball to center fielder Nick Gordon.   Kyle Higashioka scores.    Oswaldo Cabrera scores.,R,R,R,MIN,NYY,X,8.0,fly_ball,1,1,2023,0.12,0.31,0.42,1.39,543309.0,665828.0,,0,4,Top,81.6,54.96,,,543877,,,5.891376327694482,-119.61756797777012,-3.6404134487102495,-0.0881472901456331,25.313933644514982,-28.659889384948663,3.09,1.51,354.0,95.6,25.0,81.8,2409.0,6.2,718417,628317,543877,608336,456781,650489,621043,663616,624503,596146,54.25,0.289,0.389,1.25,1.0,1.0,1.0,5.0,30,3,Slider,1,5,5,1,7,1,7,1,Strategic,Standard,180.0,-0.029,1.242
