pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FC,2023-05-23,92.5,-2.47,5.41,"Marcano, Tucupita",672779,543135,field_out,hit_into_play,,,,,5,"Tucupita Marcano bunt grounds out softly, pitcher Nathan Eovaldi to first baseman Nathaniel Lowe.",R,L,R,PIT,TEX,X,1.0,ground_ball,2,1,2023,-0.07,0.61,-0.04,2.15,,,,2,7,Bot,120.02,185.36,,,641680,,,6.3940232998395885,-134.5413712702405,-3.859619447904276,-2.2476056805577262,29.317868428946973,-24.139513363199544,3.22,1.57,1.0,50.0,-58.0,93.1,2388.0,6.7,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,53.82,0.22,0.198,0.0,1.0,0.0,0.0,1.0,54,4,Cutter,1,5,1,5,5,1,1,5,Strategic,Standard,196,-0.005,-0.014,tucupita marcano,
FC,2023-05-23,91.9,-2.4,5.51,"Marcano, Tucupita",672779,543135,field_out,hit_into_play,,,,,6,Tucupita Marcano grounds out to first baseman Nathaniel Lowe.,R,L,R,PIT,TEX,X,3.0,ground_ball,0,1,2023,-0.03,0.57,0.72,2.13,,,,2,4,Bot,127.3,184.05,,,641680,,,7.995075618176459,-133.72861850760046,-4.020828436213216,-1.958333258699368,26.821996290856145,-24.607578237292284,3.22,1.57,5.0,74.8,-22.0,92.5,2316.0,6.5,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,54.01,0.034,0.031,0.0,1.0,0.0,0.0,2.0,32,2,Cutter,1,2,1,2,2,1,1,2,Strategic,Standard,199,-0.013,-0.082,tucupita marcano,
FS,2023-05-23,90.2,-2.5,5.54,"Marcano, Tucupita",672779,543135,field_out,hit_into_play,,,,,7,"Tucupita Marcano grounds out, second baseman Marcus Semien to first baseman Nathaniel Lowe.",R,L,R,PIT,TEX,X,4.0,ground_ball,1,0,2023,-1.13,-0.1,-0.48,1.83,,,,1,2,Bot,140.12,154.31,,,641680,,,7.498408019659767,-131.26271487453874,-3.098317453947081,-14.678273413407018,26.818931416568585,-32.863839989115114,3.22,1.57,4.0,62.1,-25.0,91.1,1735.0,6.8,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,53.72,0.057,0.051,0.0,1.0,0.0,0.0,2.0,15,2,Split-Finger,0,2,0,2,2,0,0,2,Strategic,Standard,243,-0.017,-0.2,tucupita marcano,
SI,2023-05-22,89.2,-2.54,5.54,"Marcano, Tucupita",672779,641540,walk,ball,,,,,11,Tucupita Marcano walks.,R,L,R,PIT,TEX,B,,,3,1,2023,-0.98,0.82,-1.24,3.57,,,,2,6,Bot,,,,,641680,,,5.2967188067688085,-129.88107151450865,-0.5692899523717931,-12.21147760875122,26.859591189815067,-22.93437973372522,3.29,1.58,,,,90.0,1937.0,6.7,718075,641540,641680,663993,543760,673962,608369,543257,665750,666969,53.8,,,0.7,1.0,0.0,0.0,,46,5,Sinker,1,1,1,1,1,1,1,1,Strategic,Standard,216,0.019,0.066,tucupita marcano,
CH,2023-05-22,84.5,-2.55,5.43,"Marcano, Tucupita",672779,641540,single,hit_into_play,,,,,5,Tucupita Marcano singles on a ground ball to right fielder Adolis Garcia.   Carlos Santana to 3rd.,R,L,R,PIT,TEX,X,9.0,ground_ball,0,0,2023,-1.41,0.54,-0.12,2.55,,,467793.0,1,4,Bot,178.12,127.23,,,641680,,,8.547961021184408,-122.84617846039954,-1.4494903333943618,-15.916877459022198,23.876587493470872,-26.6435217316178,3.2,1.56,6.0,83.3,-23.0,85.4,1670.0,6.9,718075,641540,641680,663993,543760,673962,608369,543257,665750,666969,53.63,0.049,0.044,0.9,1.0,1.0,0.0,2.0,30,1,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,245,0.06,0.501,tucupita marcano,
SI,2023-05-22,91.1,-2.51,5.49,"Marcano, Tucupita",672779,641540,field_out,hit_into_play,,,,,5,"Tucupita Marcano grounds out, first baseman Nathaniel Lowe to pitcher Dane Dunning.   Ke'Bryan Hayes to 3rd.",R,L,R,PIT,TEX,X,3.0,ground_ball,0,0,2023,-0.96,0.65,-0.26,2.26,,663647.0,,0,2,Bot,144.18,163.59,,,641680,,,7.809841387539491,-132.49349014155996,-3.660267229608889,-12.92474282860358,27.102582238516533,-23.913652145995684,3.2,1.56,12.0,98.0,-11.0,92.2,1938.0,6.9,718075,641540,641680,663993,543760,673962,608369,543257,665750,666969,53.6,0.249,0.265,0.0,1.0,0.0,0.0,2.0,14,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,212,-0.011,-0.285,tucupita marcano,
SL,2023-05-22,86.0,-0.82,5.71,"Marcano, Tucupita",672779,669618,home_run,hit_into_play,,,,,1,Tucupita Marcano hits a grand slam (2) to center field.   Jack Suwinski scores.    Carlos Santana scores.    Ke'Bryan Hayes scores.,R,L,R,PIT,TEX,X,,fly_ball,2,2,2023,0.28,0.64,-0.57,2.94,669261.0,467793.0,663647.0,2,7,Bot,115.09,14.51,,,641680,,,0.032126130945886,-125.30569226111815,-1.6598523419682245,2.93575432414124,24.65430094811634,-25.291126848373167,3.2,1.56,419.0,104.4,22.0,85.9,2291.0,6.1,718075,669618,641680,663993,543760,673962,608369,543257,665750,666969,54.39,0.766,1.234,2.0,1.0,0.0,3.0,6.0,58,5,Slider,2,1,2,1,1,6,6,1,Standard,Standard,182,0.176,3.455,tucupita marcano,
CH,2023-05-21,89.7,-1.75,5.51,"Marcano, Tucupita",672779,518876,double,hit_into_play,,,,,8,Tucupita Marcano doubles (4) on a line drive to right fielder Corbin Carroll.   Connor Joe scores.    Rodolfo Castro scores.,R,L,R,PIT,AZ,X,9.0,line_drive,3,2,2023,-1.52,0.0,0.1,1.78,656582.0,,666801.0,1,5,Bot,196.3,112.68,,,645444,,,7.779578377692023,-130.43732624300563,-3.2125599107985505,-18.96624305030338,27.63517391700662,-31.736693833617657,3.2,1.56,275.0,105.5,18.0,89.5,2268.0,6.2,718091,518876,645444,572233,606466,668942,672695,666971,666150,682998,54.27,0.56,0.745,1.25,1.0,1.0,1.0,6.0,37,6,Changeup,1,3,1,3,3,3,3,3,Standard,Standard,242,0.228,1.263,tucupita marcano,
FC,2023-05-21,91.4,-1.88,5.53,"Marcano, Tucupita",672779,518876,field_out,hit_into_play,,,,,2,"Tucupita Marcano grounds out, pitcher Merrill Kelly to first baseman Christian Walker.",R,L,R,PIT,AZ,X,1.0,ground_ball,0,1,2023,-0.26,1.15,-0.18,3.2,,,,0,3,Bot,128.42,183.59,,,645444,,,4.831614653906159,-133.2655033999815,-2.560369085908522,-3.967179131354472,24.260706258822932,-18.04158780677573,3.2,1.56,3.0,79.5,-44.0,91.9,2308.0,6.1,718091,518876,645444,572233,606466,668942,672695,666971,666150,682998,54.39,0.109,0.098,0.0,1.0,0.0,0.0,2.0,21,2,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,218,-0.027,-0.198,tucupita marcano,
FF,2023-05-21,93.6,-1.62,6.01,"Marcano, Tucupita",672779,543518,field_out,hit_into_play,,,,,3,"Tucupita Marcano grounds out, first baseman Christian Walker to pitcher Scott McGough.",R,L,R,PIT,AZ,X,3.0,ground_ball,0,0,2023,-0.69,1.67,0.28,2.69,,,,1,7,Bot,163.57,161.77,,,645444,,,6.387691442167856,-136.03484439853992,-6.460743605741967,-9.993587742609744,28.82134395184622,-10.23599879747107,3.2,1.56,61.0,93.7,2.0,93.0,2403.0,5.9,718091,543518,645444,572233,606466,656896,672695,666971,666150,682998,54.56,0.431,0.402,0.0,1.0,0.0,0.0,4.0,58,1,4-Seam Fastball,3,7,3,7,7,3,3,7,Strategic,Standard,204,-0.01,-0.172,tucupita marcano,
