pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SL,2023-05-25,82.2,-2.72,5.6,"Margot, Manuel",622534,666201,field_out,hit_into_play,,,,,14,Manuel Margot grounds out to first baseman Vladimir Guerrero Jr.  Luke Raley scores.,R,R,R,TB,TOR,X,3.0,ground_ball,2,1,2023,1.31,0.12,0.55,1.31,670042.0,,,1,3,Bot,146.79,174.6,,,672386,,,4.925584886316186,-119.60000560285636,-3.4240512574705217,11.481409651921624,25.061475722204523,-30.500895272254585,3.32,1.57,3.0,33.8,-27.0,83.2,2160,7.2,718032,666201,672386,665489,624415,656305,666182,662139,595281,664770,53.35,0.291,0.269,0.0,1.0,0.0,0.0,1.0,29,4,Slider,4,1,4,1,1,5,5,1,Strategic,Standard,49,0.015,-0.301,manuel margot,
SL,2023-05-25,80.6,-2.63,5.55,"Margot, Manuel",622534,666201,strikeout,swinging_strike,,,,,14,Manuel Margot strikes out swinging.,R,R,R,TB,TOR,S,2.0,,3,2,2023,1.45,-0.06,0.96,1.73,,670042.0,,0,2,Bot,,,,,672386,,,5.330673157171269,-117.21590208149053,-1.5895837055340565,11.969638269795462,26.12562141862217,-32.63631427637281,3.32,1.57,,,,81.6,2118,7.4,718032,666201,672386,665489,624415,656305,666182,662139,595281,664770,53.09,,,0.0,1.0,0.0,0.0,,17,9,Slider,2,1,2,1,1,2,2,1,Strategic,Standard,54,-0.037,-0.487,manuel margot,
CH,2023-05-25,83.5,-2.34,6.23,"Margot, Manuel",622534,670950,field_out,hit_into_play,,,,,13,Manuel Margot flies out to left fielder Daulton Varsho.,R,R,R,TB,TOR,X,7.0,fly_ball,0,1,2023,-1.65,0.14,-0.55,1.31,,,,1,6,Bot,42.15,103.13,,,672386,,,7.359516479066253,-121.34587352712192,-5.14760668061912,-17.75705944241177,23.91532116031511,-29.98114054449976,3.32,1.57,311.0,91.0,43.0,83.4,2562,6.3,718032,670950,672386,665489,624415,656305,666182,662139,595281,664770,54.22,0.006,0.006,0.0,1.0,0.0,0.0,3.0,50,2,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,243,-0.003,-0.144,manuel margot,
SL,2023-05-25,85.8,1.96,6.31,"Margot, Manuel",622534,641835,field_out,hit_into_play,,,,,9,Manuel Margot lines out to first baseman Vladimir Guerrero Jr.,R,R,L,TB,TOR,X,3.0,line_drive,0,1,2023,-0.13,-0.18,0.55,1.83,,,,1,8,Bot,160.84,160.61,,,672386,,,-3.0783704994661645,-124.99692088696384,-4.017395034172195,-0.7380729177300196,25.62543953072964,-33.40939100722225,3.32,1.57,110.0,100.7,4.0,86.3,2385,6.6,718032,641835,672386,665489,624415,656305,666182,662139,595281,664770,53.95,0.56,0.551,0.0,1.0,0.0,0.0,4.0,67,2,Slider,6,1,6,1,1,6,6,1,Strategic,Standard,329,0.0,-0.144,manuel margot,
SL,2023-05-24,90.3,2.22,5.47,"Margot, Manuel",622534,579328,triple,hit_into_play,,,,,5,Manuel Margot triples (1) on a line drive to right fielder Nathan Lukes.   Christian Bethancourt scores.,R,R,L,TB,TOR,X,9.0,line_drive,2,2,2023,-0.04,0.5,0.19,2.52,,542194.0,,1,4,Bot,166.15,68.22,,,643376,,,-5.021443746175831,-131.51785959707584,-2.4822115643678897,0.6128611408368894,28.16709455472922,-26.09718114294675,3.33,1.56,254.0,97.1,11.0,91.3,2296,6.9,718044,579328,643376,665489,676391,656305,666182,593160,662139,664770,53.62,0.826,0.804,1.6,1.0,1.0,2.0,4.0,33,5,Slider,3,1,3,1,1,4,4,1,Strategic,Standard,153,0.087,1.34,manuel margot,
SL,2023-05-24,90.1,2.11,5.56,"Margot, Manuel",622534,579328,field_out,hit_into_play,,,,,4,"Manuel Margot grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero Jr.",R,R,L,TB,TOR,X,6.0,ground_ball,0,0,2023,-0.05,0.8,-0.41,2.26,,,,1,2,Bot,114.97,158.91,,,643376,,,-6.241434232954086,-131.1063101073986,-3.9793116058898352,0.7231000753631449,26.711441077908823,-22.341494441157604,3.33,1.56,2.0,91.4,-42.0,91.3,2427,6.9,718044,579328,643376,665489,676391,656305,666182,593160,662139,664770,53.56,0.091,0.094,0.0,1.0,0.0,0.0,2.0,16,1,Slider,3,0,3,0,0,3,3,0,Standard,Standard,165,-0.008,-0.172,manuel margot,
CU,2023-05-24,81.7,-2.52,5.15,"Margot, Manuel",622534,554340,field_out,hit_into_play,,,,,9,"Manuel Margot grounds out, third baseman Matt Chapman to first baseman Vladimir Guerrero Jr.  Jose Siri to 2nd.",R,R,R,TB,TOR,X,5.0,ground_ball,0,2,2023,1.04,-0.66,0.43,2.0,,,642350.0,1,8,Bot,108.31,176.45,,,672386,,,4.625584547905667,-118.93030911896716,0.7434270031216077,8.931712479492123,23.48362863420004,-38.7581520531729,3.33,1.56,1.0,83.8,-57.0,81.2,2767,6.0,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.53,0.271,0.247,0.0,1.0,0.0,0.0,2.0,68,5,Curveball,6,3,6,3,3,6,6,3,Standard,Standard,79,-0.002,-0.278,manuel margot,
FF,2023-05-24,100.3,-0.54,5.75,"Margot, Manuel",622534,663878,single,hit_into_play,,,,,8,"Manuel Margot singles on a sharp ground ball to third baseman Matt Chapman, deflected by pitcher Nate Pearson.",R,R,R,TB,TOR,X,1.0,ground_ball,2,2,2023,-0.68,1.54,0.03,1.99,,,,2,6,Bot,127.67,179.48,,,672386,,,3.2241976379885013,-145.85429402315543,-8.731196144622276,-10.47095983794194,34.66552583622506,-8.292940279940105,3.33,1.56,36.0,108.7,-1.0,100.9,2394,6.7,718044,663878,672386,665489,676391,656305,666182,593160,662139,664770,53.8,0.494,0.451,0.9,1.0,1.0,0.0,4.0,49,9,4-Seam Fastball,5,1,5,1,1,5,5,1,Strategic,Standard,211,0.002,0.149,manuel margot,
CU,2023-05-24,85.0,2.03,5.55,"Margot, Manuel",622534,579328,field_out,hit_into_play,,,,,5,Manuel Margot grounds out sharply to first baseman Vladimir Guerrero Jr.,R,R,L,TB,TOR,X,3.0,ground_ball,0,1,2023,-0.53,-0.17,0.12,2.26,,,,0,1,Bot,153.09,163.75,,,643376,,,-3.438872800971636,-123.93699279113376,-1.1311632392623452,-4.928378626113254,21.787901318260577,-33.91288882482138,3.33,1.56,31.0,103.4,-2.0,86.2,2319,6.7,718044,579328,643376,665489,676391,656305,666182,593160,662139,664770,53.81,0.369,0.337,0.0,1.0,0.0,0.0,4.0,4,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,270,-0.021,-0.198,manuel margot,
SL,2023-05-21,80.7,-2.88,4.68,"Margot, Manuel",622534,642547,single,hit_into_play,,,,,9,Manuel Margot singles on a line drive to left fielder Christian Yelich.,R,R,R,TB,MIL,X,7.0,line_drive,3,2,2023,0.88,0.44,0.35,1.56,,,,2,4,Bot,64.73,105.61,,,661388,,,5.593460673922914,-117.4182616833251,-1.0989726266141835,6.999482408257455,23.0871255093561,-28.085056425898298,3.34,1.57,244.0,72.9,23.0,81.8,2341,7.1,718081,642547,661388,642133,668930,680911,642715,592885,686894,605119,53.36,0.971,0.888,0.9,1.0,1.0,0.0,4.0,35,6,Slider,3,3,3,3,3,3,3,3,Standard,Standard,68,0.015,0.108,manuel margot,
