pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-24,94.6,2.03,5.9,"Marte, Ketel",606466,624133,field_out,hit_into_play,,,,,9,Ketel Marte lines out to center fielder Brandon Marsh.,R,R,L,PHI,AZ,X,8.0,line_drive,2,2,2023,0.51,0.83,0.29,1.86,,,,0,5,Top,155.36,75.86,,,596117,,,-5.666822207524738,-137.63599454346195,-6.740139677179691,7.6891419404901615,28.069441980343512,-20.364125919637136,3.48,1.69,315.0,94.4,18.0,95.0,1810,6.3,718043,624133,596117,665019,681082,664761,607208,656941,669016,592206,54.18,0.509,0.486,0.0,1.0,0.0,0.0,4.0,34,6,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,135,0.004,-0.205,ketel marte,
FC,2023-05-24,89.8,2.01,5.99,"Marte, Ketel",606466,624133,field_out,hit_into_play,,,,,1,"Ketel Marte grounds out, third baseman Alec Bohm to first baseman Kody Clemens.",R,R,L,PHI,AZ,X,5.0,ground_ball,1,1,2023,-0.11,0.56,-0.58,3.16,,645444.0,,0,3,Top,106.57,162.89,,,596117,,,-6.1826521300103074,-130.84484759120096,-2.2973255441940443,-0.1784658234339532,23.900755527998182,-25.383837349163286,3.48,1.69,12.0,79.6,-13.0,90.7,2024,6.4,718043,624133,596117,665019,681082,664761,607208,656941,669016,592206,54.06,0.074,0.067,0.0,1.0,0.0,0.0,2.0,16,3,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,155,0.041,-0.247,ketel marte,
SL,2023-05-24,80.4,2.92,5.98,"Marte, Ketel",606466,607755,single,hit_into_play,,,,,8,Ketel Marte singles on a ground ball to left fielder Kyle Schwarber.,R,R,L,PHI,AZ,X,7.0,ground_ball,0,1,2023,-1.23,-0.26,0.27,1.93,,,,0,7,Top,99.29,162.4,,,596117,,,-3.535885778175283,-117.16199659510028,-1.8260875899729443,-10.70365230446165,21.82053671728186,-34.444362750517016,3.48,1.69,22.0,104.9,-4.0,80.3,2603,6.1,718043,607755,596117,665019,681082,664761,607208,656941,669016,592206,54.38,0.357,0.321,0.9,1.0,1.0,0.0,2.0,55,2,Slider,3,5,5,3,5,3,5,3,Standard,Standard,318,-0.023,0.43,ketel marte,
FF,2023-05-24,98.1,-1.7,5.71,"Marte, Ketel",606466,628708,field_out,hit_into_play,,,,,13,"Ketel Marte grounds out, first baseman Kody Clemens to pitcher Yunior Marte.",R,L,R,PHI,AZ,X,3.0,ground_ball,2,2,2023,-1.15,0.99,-0.04,1.31,,,,0,9,Top,165.76,163.42,,,596117,,,7.111257841680248,-142.53596833384043,-8.670415063203192,-17.26423934557666,32.014396828733005,-16.870389543455996,3.48,1.69,2.0,94.6,-33.0,97.8,2339,6.2,718043,628708,596117,665019,681082,664761,607208,656941,669016,592206,54.33,0.069,0.062,0.0,1.0,0.0,0.0,2.0,71,5,4-Seam Fastball,3,5,5,3,5,3,5,3,Strategic,Standard,221,0.007,-0.205,ketel marte,
FC,2023-05-24,87.9,2.02,6.04,"Marte, Ketel",606466,624133,single,hit_into_play,,,,,7,Ketel Marte singles on a ground ball to left fielder Kyle Schwarber.,R,R,L,PHI,AZ,X,7.0,ground_ball,1,2,2023,-0.54,0.39,-0.75,1.71,,,,0,1,Top,92.47,135.6,,,596117,,,-5.576904234082812,-127.91511801181326,-5.157135522756978,-4.742333199502417,26.72905314444453,-27.049274893523027,3.48,1.69,91.0,84.7,6.0,87.5,2113,6.1,718043,624133,596117,665019,681082,664761,607208,656941,669016,592206,54.43,0.431,0.411,0.9,1.0,1.0,0.0,4.0,1,4,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,174,-0.036,0.453,ketel marte,
FC,2023-05-23,90.2,-1.49,6.49,"Marte, Ketel",606466,592229,field_out,hit_into_play,,,,,5,Ketel Marte flies out to left fielder Kyle Schwarber.,R,L,R,PHI,AZ,X,7.0,fly_ball,1,1,2023,0.28,0.8,0.27,2.73,,,,1,7,Top,61.01,135.45,,,592663,,,3.767809527643714,-131.2853227118273,-5.126408388466569,2.4771490573889503,25.920071289479985,-22.00965383909613,3.47,1.7,227.0,75.3,45.0,89.8,2246,5.9,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.64,0.149,0.16,0.0,1.0,0.0,0.0,3.0,48,3,Cutter,1,3,3,1,3,1,3,1,Standard,Standard,191,0.011,-0.165,ketel marte,
SL,2023-05-23,88.8,-1.43,6.49,"Marte, Ketel",606466,592229,field_out,hit_into_play,,,,,14,"Ketel Marte grounds out, second baseman Bryson Stott to first baseman Kody Clemens.",R,L,R,PHI,AZ,X,4.0,ground_ball,1,0,2023,0.11,0.87,0.9,2.05,,,,0,5,Top,134.5,159.47,,,592663,,,5.403783962983545,-129.23410020225063,-6.659008817963755,0.2844744007262407,24.24407588771345,-21.231010491138125,3.47,1.7,24.0,63.6,-3.0,88.4,2119,5.8,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.69,0.126,0.121,0.0,1.0,0.0,0.0,2.0,33,2,Slider,1,3,3,1,3,1,3,1,Standard,Standard,197,0.017,-0.274,ketel marte,
SI,2023-05-23,95.0,-1.53,6.42,"Marte, Ketel",606466,592229,triple,hit_into_play,,,,,5,Ketel Marte triples (4) on a ground ball to right fielder Nick Castellanos.   Geraldo Perdomo scores.,R,L,R,PHI,AZ,X,9.0,ground_ball,1,0,2023,-1.18,0.58,-0.08,2.38,,,672695.0,0,3,Top,218.23,112.74,,,592663,,,6.37073336729418,-138.0555189025648,-6.14712059149007,-16.526437354089836,31.740026130798764,-23.603559878292124,3.47,1.7,4.0,106.1,-30.0,94.0,2114,5.9,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.63,0.137,0.129,1.6,1.0,1.0,2.0,2.0,18,2,Sinker,1,2,2,1,3,1,3,1,Standard,Standard,206,-0.141,1.367,ketel marte,
SL,2023-05-23,85.0,1.97,5.62,"Marte, Ketel",606466,621381,strikeout,called_strike,,,,,13,Ketel Marte called out on strikes.,R,R,L,PHI,AZ,S,2.0,,0,2,2023,-0.71,0.27,-0.61,1.48,,,,0,1,Top,,,,,592663,,,-4.596049568346252,-123.7264464779226,-3.926801870638808,-6.419619378036584,24.721907113113712,-28.83351486059537,3.42,1.6,,,,85.0,2920,6.3,718060,621381,592663,665019,681082,624641,607208,656941,656495,592206,54.22,,,0.0,1.0,0.0,0.0,,1,3,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,293,0.022,-0.149,ketel marte,
FF,2023-05-23,98.1,-1.66,5.74,"Marte, Ketel",606466,628708,field_out,hit_into_play,,,,,5,Ketel Marte flies out to center fielder Dalton Guthrie.,R,L,R,PHI,AZ,X,8.0,fly_ball,1,1,2023,-1.1,1.06,-0.21,2.47,,,,0,9,Top,136.25,51.46,,,592663,,,6.428209893496707,-142.81019769549877,-5.832658991162656,-16.476269599095595,29.71617352114886,-16.504983124130657,3.47,1.7,366.0,92.7,26.0,97.9,2257,5.9,718060,628708,592663,665019,681082,664761,607208,656941,656495,592206,54.57,0.186,0.259,0.0,1.0,0.0,0.0,3.0,69,3,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,221,0.016,-0.228,ketel marte,
