pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,2023-04-30,82.3,-1.02,5.95,"Winder, Josh",669004,680739,double,hit_into_play,,,,,5,MJ Melendez doubles (5) on a sharp line drive to right fielder Max Kepler.   Vinnie Pasquantino to 3rd.,R,L,R,MIN,KC,X,9.0,line_drive,1,1,2023,0.12,-0.37,0.08,2.58,,,686469.0,2,9,Top,211.36,113.06,,,543877,,,2.2677959292829835,-119.90454903670803,-0.4186149991956167,0.7158725197308574,22.48065397145584,-35.92015769450179,3.44,1.67,298.0,102.7,19.0,82.2,2248,6.1,718362,680739,543877,608336,593871,456781,621043,663616,624503,596146,54.43,0.483,0.65,1.25,1.0,1.0,1.0,5.0,76,3,Curveball,8,4,4,8,4,8,4,8,Strategic,Standard,25,-0.011,0.764
FF,2023-04-30,94.0,-1.07,6.01,"Winder, Josh",669004,680739,,foul,,,,,6,MJ Melendez doubles (5) on a sharp line drive to right fielder Max Kepler.   Vinnie Pasquantino to 3rd.,R,L,R,MIN,KC,S,,,1,0,2023,-1.16,1.34,0.59,2.8,,,686469.0,2,9,Top,,,,,543877,,,6.855221921568496,-136.5864304174081,-5.5252022923570125,-16.07724072065649,31.34218168305325,-14.423469616594204,3.44,1.67,4.0,73.7,-34.0,93.6,2226,6.2,718362,680739,543877,608336,593871,456781,621043,663616,624503,596146,54.29,,,,,,,,76,2,4-Seam Fastball,8,4,4,8,4,8,4,8,Strategic,Standard,210,0.0,-0.037
CU,2023-04-30,81.3,-1.03,6.13,"Winder, Josh",669004,680739,,ball,,,,,13,MJ Melendez doubles (5) on a sharp line drive to right fielder Max Kepler.   Vinnie Pasquantino to 3rd.,R,L,R,MIN,KC,B,,,0,0,2023,-0.03,-0.53,-0.24,1.2,,,686469.0,2,9,Top,,,,,543877,,,1.8170443761362576,-118.29629090928238,-3.334806649968109,-0.6963491110637754,24.81582114853182,-36.68424240479749,3.44,1.71,,,,80.6,2200,6.0,718362,680739,543877,608336,593871,456781,621043,663616,624503,596146,54.48,,,,,,,,76,1,Curveball,8,4,4,8,4,8,4,8,Strategic,Standard,24,0.0,0.027
CH,2023-04-30,88.9,-1.07,6.02,"Winder, Josh",686469,680739,single,hit_into_play,,,,,13,Vinnie Pasquantino singles on a fly ball to left fielder Trevor Larnach.   Jackie Bradley Jr.  scores.    Bobby Witt Jr.  scores.,R,L,R,MIN,KC,X,7.0,fly_ball,1,1,2023,-1.32,0.3,-0.65,1.35,598265.0,677951.0,,2,9,Top,96.58,117.11,,,543877,,,3.76699103506073,-129.25122800129938,-5.953659810255103,-15.506590315914368,29.09322058019257,-27.69413624521002,3.57,1.66,212.0,68.9,35.0,88.3,1291,6.2,718362,680739,543877,608336,593871,456781,621043,663616,624503,596146,54.34,0.757,0.705,0.9,1.0,1.0,0.0,4.0,75,3,Changeup,8,2,2,8,4,8,4,8,Strategic,Standard,233,-0.001,1.502
FF,2023-04-30,94.4,-0.95,6.06,"Winder, Josh",686469,680739,,ball,,,,,12,Vinnie Pasquantino singles on a fly ball to left fielder Trevor Larnach.   Jackie Bradley Jr.  scores.    Bobby Witt Jr.  scores.,R,L,R,MIN,KC,B,,,0,1,2023,-0.63,1.44,1.77,3.27,598265.0,677951.0,,2,9,Top,,,,,543877,,,8.429473083466833,-137.18443214020417,-4.723054011641309,-9.856927435593793,32.4994476323382,-13.136366806352893,3.69,1.71,,,,93.7,2181,6.1,718362,680739,543877,608336,593871,456781,621043,663616,624503,596146,54.38,,,,,,,,75,2,4-Seam Fastball,8,2,2,8,2,8,2,8,Strategic,Standard,212,0.0,0.084
CH,2023-04-30,89.5,-1.06,6.0,"Winder, Josh",686469,680739,,called_strike,,,,,5,Vinnie Pasquantino singles on a fly ball to left fielder Trevor Larnach.   Jackie Bradley Jr.  scores.    Bobby Witt Jr.  scores.,R,L,R,MIN,KC,S,,,0,0,2023,-1.15,0.15,-0.08,2.75,598265.0,,677951.0,2,9,Top,,,,,543877,,,4.867248618105737,-130.36774192879938,-2.4130655936201566,-14.18194793894999,24.282745009583596,-30.138765657482686,3.6,1.68,,,,90.0,1276,6.3,718362,680739,543877,608336,593871,456781,621043,663616,624503,596146,54.19,,,,,,,,75,1,Changeup,8,2,2,8,2,8,2,8,Strategic,Standard,246,-0.001,-0.098
SL,2023-04-30,86.0,-1.15,5.95,"Winder, Josh",677951,680739,force_out,hit_into_play,,,,,14,"Bobby Witt Jr.  grounds into a force out, second baseman Jorge Polanco to shortstop Carlos Correa.   Jackie Bradley Jr.  to 3rd.    Matt Duffy out at 2nd.    Bobby Witt Jr.  to 1st.",R,R,R,MIN,KC,X,4.0,ground_ball,1,2,2023,0.09,0.11,0.81,1.49,,598265.0,622110.0,1,9,Top,146.1,154.07,,,543877,,,4.472779528641961,-125.13445006836776,-4.5767984990131785,0.0977798403517267,24.540523448017236,-30.269248961150225,3.54,1.66,8.0,76.4,-9.0,86.0,2236,6.2,718362,680739,543877,608336,593871,456781,621043,663616,624503,596146,54.26,0.069,0.066,0.0,1.0,0.0,0.0,2.0,74,5,Slider,8,2,2,8,2,8,2,8,Standard,Standard,70,0.004,-0.504
FF,2023-04-30,93.9,-1.0,6.04,"Winder, Josh",677951,680739,,foul,,,,,14,"Bobby Witt Jr.  grounds into a force out, second baseman Jorge Polanco to shortstop Carlos Correa.   Jackie Bradley Jr.  to 3rd.    Matt Duffy out at 2nd.    Bobby Witt Jr.  to 1st.",R,R,R,MIN,KC,S,,,1,2,2023,-0.99,1.44,0.91,2.26,,598265.0,622110.0,1,9,Top,,,,,543877,,,7.129489033917278,-136.569265607701,-7.291137430346054,-13.84717018260246,27.347697920108395,-12.659926399156786,3.54,1.66,219.0,74.9,35.0,94.2,2184,6.3,718362,680739,543877,608336,593871,456781,621043,663616,624503,596146,54.21,,,,,,,,74,4,4-Seam Fastball,8,2,2,8,2,8,2,8,Standard,Standard,212,0.0,0.0
FF,2023-04-30,94.6,-1.11,6.03,"Winder, Josh",677951,680739,,ball,,,,,14,"Bobby Witt Jr.  grounds into a force out, second baseman Jorge Polanco to shortstop Carlos Correa.   Jackie Bradley Jr.  to 3rd.    Matt Duffy out at 2nd.    Bobby Witt Jr.  to 1st.",R,R,R,MIN,KC,B,,,0,2,2023,-1.06,1.76,1.19,2.33,,598265.0,622110.0,1,9,Top,,,,,543877,,,8.322854852027783,-137.3191588292086,-7.818414949033485,-15.25279474488542,31.619163406506527,-8.350343091240546,3.43,1.63,,,,94.1,2148,6.2,718362,680739,543877,608336,593871,456781,621043,663616,624503,596146,54.3,,,,,,,,74,3,4-Seam Fastball,8,2,2,8,2,8,2,8,Standard,Standard,213,0.0,0.089
SL,2023-04-30,85.2,-1.16,5.98,"Winder, Josh",677951,680739,,foul,,,,,5,"Bobby Witt Jr.  grounds into a force out, second baseman Jorge Polanco to shortstop Carlos Correa.   Jackie Bradley Jr.  to 3rd.    Matt Duffy out at 2nd.    Bobby Witt Jr.  to 1st.",R,R,R,MIN,KC,S,,,0,1,2023,0.05,0.39,0.2,2.9,,598265.0,622110.0,1,9,Top,,,,,543877,,,3.0842749740599538,-124.17720394984946,-1.8206827496929447,0.0074454516608337,21.539949921322037,-27.957625747914747,3.54,1.66,100.0,72.1,8.0,85.4,2208,6.1,718362,680739,543877,608336,593871,456781,621043,663616,624503,596146,54.44,,,,,,,,74,2,Slider,8,2,2,8,2,8,2,8,Standard,Standard,86,0.0,-0.116
