pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SL,2023-05-23,89.6,-1.42,5.81,"McGuire, Reese",624512,656288,strikeout,swinging_strike,,,,,13,Reese McGuire strikes out swinging.,R,L,R,LAA,BOS,S,2.0,,1,2,2023,0.03,-0.26,-0.03,0.82,,,,1,5,Top,,,,,642136,,,3.3450670533309577,-130.31127103946744,-5.707944598835498,-0.3959146271641039,29.00115510421295,-34.02100002707537,3.31,1.63,,,,88.6,2804.0,5.9,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.65,,,0.0,1.0,0.0,0.0,,33,5,Slider,1,0,0,1,0,1,0,1,Standard,Standard,18.0,0.023,-0.122,reese mcguire,
FF,2023-05-23,95.5,-1.09,5.99,"McGuire, Reese",624512,656288,strikeout,foul_tip,,,,,11,Reese McGuire strikes out on a foul tip.,R,L,R,LAA,BOS,S,2.0,,0,2,2023,-0.85,1.25,-0.76,4.21,,671213.0,665839.0,2,2,Top,,,,,642136,,,2.7620757683649457,-139.0642733738559,-1.8451546691581504,-11.619147640474818,32.74978466481873,-15.813551033743424,3.31,1.63,,,,95.0,2159.0,6.1,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.44,,,0.0,1.0,0.0,0.0,,15,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,211.0,0.047,-0.277,reese mcguire,
CH,2023-05-21,81.5,-1.45,6.55,"McGuire, Reese",624512,608379,single,hit_into_play,,,,,9,Reese McGuire singles on a soft ground ball to catcher Brett Sullivan.   Raimel Tapia to 2nd.,R,L,R,SD,BOS,X,2.0,ground_ball,0,0,2023,-1.17,1.11,0.49,1.51,,,606132.0,2,5,Top,124.66,200.02,,,664954,,,6.646577870429185,-118.31256406507396,-6.785194422790269,-12.309410322590429,25.322789677198895,-20.61555576310351,3.31,1.63,1.0,41.5,-64.0,81.5,1601.0,6.7,718079,608379,664954,630105,596059,673490,593428,665742,663757,665487,53.8,0.217,0.204,0.9,1.0,1.0,0.0,1.0,37,1,Changeup,6,0,0,6,0,6,0,6,Standard,Standard,238.0,-0.006,0.313,reese mcguire,
CU,2023-05-21,75.8,-1.74,6.47,"McGuire, Reese",624512,608379,field_out,hit_into_play,,,,,2,Reese McGuire lines out to center fielder Trent Grisham.,R,L,R,SD,BOS,X,8.0,line_drive,0,1,2023,1.04,-0.81,-0.17,3.16,,,,1,3,Top,133.07,70.1,,,664954,,,1.3954866261531462,-110.20392029267772,1.7464874276683575,8.106464749950906,22.88048186665095,-39.30749932021502,3.31,1.63,350.0,95.6,25.0,75.3,2251.0,6.4,718079,608379,664954,630105,596059,673490,593428,665742,663757,665487,54.14,0.289,0.389,0.0,1.0,0.0,0.0,5.0,20,2,Curveball,4,0,0,4,0,4,0,4,Strategic,Standard,33.0,0.011,-0.144,reese mcguire,
FC,2023-05-21,90.7,-2.04,6.02,"McGuire, Reese",624512,607259,single,hit_into_play,,,,,7,Reese McGuire singles on a line drive to center fielder Trent Grisham.,R,L,R,SD,BOS,X,8.0,line_drive,3,1,2023,0.17,1.04,-0.31,1.62,,,,1,8,Top,128.45,103.1,,,664954,,,3.934514892453408,-132.02995795036412,-7.303113836085184,1.208194465847424,26.78807407094552,-18.628469267419483,3.31,1.63,143.0,95.2,7.0,90.3,2400.0,5.9,718079,607259,664954,630105,596059,673490,593428,665742,663757,665487,54.57,0.563,0.513,0.9,1.0,1.0,0.0,4.0,58,5,Cutter,7,0,0,7,0,7,0,7,Strategic,Standard,195.0,-0.001,0.164,reese mcguire,
CH,2023-05-16,88.6,-2.79,4.89,"McGuire, Reese",624512,622491,field_out,hit_into_play,,,,,13,Reese McGuire grounds out to first baseman Ty France.   Triston Casas to 2nd.,R,L,R,BOS,SEA,X,3.0,ground_ball,0,0,2023,-1.53,0.08,-0.18,1.39,,,671213.0,1,4,Bot,150.25,172.77,,,663728,,,9.504776265731715,-128.74932834883165,-2.665175582084279,-18.9758808711674,25.138214546816823,-30.90451288740303,3.34,1.64,21.0,98.7,-3.0,88.3,2001.0,6.0,718149,622491,663728,664034,543939,553993,641487,672284,677594,606192,54.47,0.32,0.308,0.0,1.0,0.0,0.0,2.0,36,1,Changeup,4,4,4,4,4,4,4,4,Strategic,Strategic,250.0,-0.02,-0.394,reese mcguire,
CH,2023-05-16,87.8,-2.83,4.87,"McGuire, Reese",624512,622491,strikeout,swinging_strike,,,,,7,Reese McGuire strikes out swinging.,R,L,R,BOS,SEA,S,2.0,,1,2,2023,-1.47,0.36,-0.48,2.09,,,665839.0,2,1,Bot,,,,,663728,,,8.726400325928687,-127.58930551259516,-1.3409999023270558,-17.799167071239484,26.145910564130627,-28.16786351770812,3.34,1.64,,,,87.8,2049.0,6.4,718149,622491,663728,664034,543939,553993,641487,672284,677594,606192,54.15,,,0.0,1.0,0.0,0.0,,11,4,Changeup,4,0,4,0,0,4,4,0,Standard,Strategic,251.0,-0.009,-0.176,reese mcguire,
CH,2023-05-16,88.9,-2.6,5.14,"McGuire, Reese",624512,672730,single,hit_into_play,,,,,7,Reese McGuire singles on a fly ball to center fielder Julio Rodriguez.,R,L,R,BOS,SEA,X,8.0,fly_ball,2,1,2023,-1.69,0.26,-0.5,1.56,,,,1,8,Bot,146.84,98.01,,,663728,,,8.668874271379593,-129.02138747908464,-3.164679927206922,-20.73465848449493,29.94697629562415,-28.77884918411513,3.34,1.64,245.0,74.9,26.0,88.2,2011.0,6.2,718149,672730,663728,664034,543939,553993,641487,672284,677594,606192,54.27,0.714,0.66,0.9,1.0,1.0,0.0,4.0,70,4,Changeup,8,4,8,4,4,8,8,4,Strategic,Strategic,252.0,0.002,0.241,reese mcguire,
SI,2023-05-16,91.9,2.07,5.26,"McGuire, Reese",624512,642048,field_out,hit_into_play,,,,,12,"Reese McGuire grounds out, second baseman Kolten Wong to first baseman Ty France.",R,L,L,BOS,SEA,X,4.0,ground_ball,3,2,2023,1.58,0.14,1.05,2.96,,,,1,6,Bot,143.47,157.4,,,663728,,,-6.032928414877866,-133.81239616391954,-0.2952003216670807,20.242993858311653,28.233561104529905,-30.626192150122197,3.34,1.64,5.0,52.7,-27.0,92.6,2314.0,6.6,718149,642048,663728,664034,543939,553993,641487,672284,677594,606192,53.9,0.137,0.133,0.0,1.0,0.0,0.0,1.0,53,6,Sinker,7,4,7,4,4,7,7,4,Strategic,Strategic,123.0,-0.006,-0.211,reese mcguire,
CU,2023-05-14,76.3,-1.82,6.65,"McGuire, Reese",624512,571945,field_out,hit_into_play,,,,,7,"Reese McGuire grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",R,L,R,BOS,STL,X,5.0,ground_ball,0,1,2023,0.7,-1.39,-0.78,1.91,,,,0,5,Bot,114.56,167.91,,,668800,,,0.922075222131004,-110.97258644117429,-0.3085446299840686,5.515710095869685,23.3221374449578,-43.67524434642653,3.34,1.64,4.0,66.7,-24.0,75.8,2524.0,6.4,718187,571945,668800,502671,669357,571448,657557,676475,663457,680977,54.12,0.06,0.071,0.0,1.0,0.0,0.0,2.0,42,2,Curveball,1,4,1,4,4,1,1,4,Strategic,Standard,29.0,-0.025,-0.198,reese mcguire,
CU,2023-05-14,72.8,-1.69,6.6,"McGuire, Reese",624512,571945,field_out,hit_into_play,,,,,5,Reese McGuire flies out to left fielder Brendan Donovan.,R,L,R,BOS,STL,X,7.0,fly_ball,1,1,2023,0.74,-1.36,-0.07,2.66,,,665839.0,1,2,Bot,87.84,84.32,,,668800,,,1.9741058562424112,-105.8009153878178,1.9648055001096592,5.046271771408329,21.57894951178425,-42.897863120653085,3.34,1.64,300.0,87.2,34.0,72.2,2460.0,6.4,718187,571945,668800,502671,669357,571448,657557,680977,666185,663457,54.12,0.017,0.015,0.0,1.0,0.0,0.0,3.0,18,3,Curveball,1,2,1,2,2,1,1,2,Standard,Standard,33.0,-0.032,-0.282,reese mcguire,
