pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SL,2023-05-25,82.7,2.64,5.97,"McMahon, Ryan",641857,666129,walk,blocked_ball,,,,,13,Ryan McMahon walks.,R,L,L,COL,MIA,B,,,3,2,2023,-0.72,-0.53,-1.3,-0.06,,545341.0,,1,4,Bot,,,,,663743,,,-7.630442443385303,-120.2023319096146,-6.236031299277357,-5.425279949353928,23.753093335051005,-36.27094661071898,3.39,1.53,,,,83.1,2263.0,6.7,718033,666129,663743,493329,669364,516416,542932,650559,641505,641658,53.83,,,0.7,1.0,0.0,0.0,,34,6,Slider,0,2,0,2,2,0,0,2,Standard,Standard,336.0,0.029,0.296,ryan mcmahon,
FC,2023-05-25,88.6,-2.0,5.63,"McMahon, Ryan",641857,623211,walk,ball,,,,,13,Ryan McMahon walks.   Kris Bryant to 3rd.    Elias Diaz to 2nd.,R,L,R,COL,MIA,B,,,3,2,2023,-0.09,0.59,-0.88,1.06,,592178.0,553869.0,1,9,Bot,,,,,607732,,,2.8818784559547392,-129.12242088900746,-6.415524713817251,-1.450836795072229,20.793705106806065,-24.604916510137684,3.5,1.64,,,,88.5,2270.0,5.7,718033,623211,607732,493329,669364,516416,542932,650559,641505,641658,54.83,,,0.7,1.0,0.0,0.0,,86,6,Cutter,6,6,6,6,6,6,6,6,Standard,Standard,210.0,0.126,0.661,ryan mcmahon,
SL,2023-05-25,84.6,2.69,5.91,"McMahon, Ryan",641857,666129,single,hit_into_play,,,,,13,Ryan McMahon singles on a line drive to center fielder Jonathan Davis.,R,L,L,COL,MIA,X,8.0,line_drive,1,2,2023,-0.37,-0.06,-0.05,0.97,,,,1,2,Bot,141.33,58.34,,,663743,,,-5.6783666682239335,-123.10885686182276,-5.121999816973981,-2.768952224342673,22.174378254520228,-32.08604336925308,3.49,1.63,292.0,99.6,15.0,85.3,2346.0,6.5,718033,666129,663743,493329,669364,516416,542932,650559,641505,641658,53.96,0.717,0.683,0.9,1.0,1.0,0.0,4.0,14,5,Slider,0,0,0,0,0,0,0,0,Standard,Strategic,319.0,0.026,0.322,ryan mcmahon,
FF,2023-05-25,96.0,2.82,6.16,"McMahon, Ryan",641857,677053,strikeout,swinging_strike,,,,,3,Ryan McMahon strikes out swinging.,R,L,L,COL,MIA,S,2.0,,1,2,2023,0.66,1.21,0.63,3.5,,,,1,6,Bot,,,,,663743,,,-7.3508017476833984,-139.70252884128467,-4.2543763504857415,10.247756645268357,28.810789211352205,-15.460203628186475,3.49,1.63,,,,97.0,2378.0,6.7,718033,677053,663743,493329,669364,516416,542932,650559,641505,641658,53.81,,,0.0,1.0,0.0,0.0,,52,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,149.0,-0.024,-0.122,ryan mcmahon,
FF,2023-05-25,91.4,-3.67,6.1,"McMahon, Ryan",641857,571670,double,hit_into_play,,,,,5,"Ryan McMahon doubles (14) on a sharp line drive to right fielder Garrett Hampson.   Randal Grichuk scores.  Ryan McMahon out at 3rd on the throw, right fielder Garrett Hampson to second baseman Xavier Edwards to third baseman Jean Segura.",R,L,R,COL,MIA,X,9.0,line_drive,1,0,2023,-0.52,0.88,0.25,2.64,,,545341.0,1,8,Bot,169.13,33.68,,,663743,,,11.019658051785484,-132.84336802593415,-4.835001628673119,-8.079722295675204,22.459196307449645,-20.9001210504208,3.49,1.63,370.0,108.9,18.0,92.4,2179.0,6.5,718033,571670,663743,493329,669364,516416,542932,650559,641505,641658,53.99,0.749,1.025,1.25,1.0,1.0,1.0,6.0,68,2,4-Seam Fastball,2,2,2,2,2,3,3,2,Standard,Standard,224.0,0.243,0.875,ryan mcmahon,
CH,2023-05-24,90.9,-2.0,6.1,"McMahon, Ryan",641857,645261,field_out,hit_into_play,,,,,7,Ryan McMahon flies out to left fielder Bryan De La Cruz.,R,L,R,COL,MIA,X,7.0,fly_ball,1,1,2023,-0.9,0.18,-0.52,2.07,,,,2,6,Bot,57.19,69.82,,,607732,,,5.609962419092794,-132.35594503215182,-4.616072904615197,-11.775543250728251,25.70197160537201,-29.37350313940269,3.51,1.63,361.0,93.1,30.0,90.9,2070.0,6.0,718036,645261,607732,493329,650333,542932,621563,650559,641505,624585,54.47,0.131,0.196,0.0,1.0,0.0,0.0,3.0,53,3,Changeup,2,7,2,7,7,2,2,7,Strategic,Standard,238.0,-0.003,-0.097,ryan mcmahon,
SI,2023-05-24,95.2,-2.13,6.22,"McMahon, Ryan",641857,645261,field_out,hit_into_play,,,,,7,"Ryan McMahon grounds out, shortstop Joey Wendle to first baseman Yuli Gurriel.",R,L,R,COL,MIA,X,6.0,ground_ball,1,0,2023,-1.04,0.81,-0.46,1.84,,,,0,4,Bot,132.18,148.19,,,607732,,,6.63872006917379,-138.45968644842563,-7.674667048282951,-14.800432361095918,26.55549079975258,-20.327721523844023,3.51,1.63,101.0,81.8,8.0,95.0,2409.0,5.9,718036,645261,607732,493329,650333,542932,621563,650559,641505,624585,54.62,0.38,0.353,0.0,1.0,0.0,0.0,4.0,32,2,Sinker,1,2,1,2,2,1,1,2,Strategic,Standard,230.0,-0.03,-0.274,ryan mcmahon,
SL,2023-05-24,89.7,-2.09,6.19,"McMahon, Ryan",641857,645261,walk,ball,,,,,11,Ryan McMahon walks.,R,L,R,COL,MIA,B,,,3,2,2023,0.08,0.2,-0.87,2.81,,,,1,2,Bot,,,,,607732,,,2.832106614581076,-130.86114400745635,-2.933803587682193,0.4816963409428041,22.62869340900693,-29.49523477364217,3.5,1.61,,,,90.1,2451.0,6.0,718036,645261,607732,493329,650333,542932,621563,650559,641505,624585,54.53,,,0.7,1.0,0.0,0.0,,14,6,Slider,1,0,1,0,0,1,1,0,Standard,Standard,144.0,0.022,0.235,ryan mcmahon,
SL,2023-05-24,88.4,2.79,4.95,"McMahon, Ryan",641857,656945,strikeout,swinging_strike_blocked,,,,,13,Ryan McMahon strikes out swinging.,R,L,L,COL,MIA,S,2.0,,1,2,2023,-0.49,-0.47,-0.49,0.47,,,,2,9,Bot,,,,,607732,,,-7.157054700900793,-128.63659726255923,-3.99682375459392,-4.084301619782866,24.152639626309732,-36.90755322034051,3.51,1.63,,,,91.1,2885.0,7.7,718036,656945,607732,493329,669364,542932,621563,650559,641505,641658,52.82,,,0.0,1.0,0.0,0.0,,75,4,Slider,2,10,2,10,10,2,2,10,Standard,Strategic,285.0,0.0,-0.071,ryan mcmahon,
CU,2023-05-23,83.1,-2.04,5.99,"McMahon, Ryan",641857,691587,field_out,hit_into_play,,,,,7,Ryan McMahon flies out to left fielder Bryan De La Cruz.,R,L,R,COL,MIA,X,7.0,fly_ball,1,1,2023,0.46,0.01,-0.61,1.74,,545341.0,,1,4,Bot,74.18,121.89,,,663743,,,2.3869701514200723,-121.01417930453415,-3.345101790543154,4.061051423370722,23.64208667186576,-31.59398569159228,3.51,1.63,232.0,75.3,49.0,84.0,2404.0,6.8,718051,691587,663743,493329,650333,516416,542932,650559,641658,624585,53.65,0.089,0.08,0.0,1.0,0.0,0.0,3.0,28,3,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,135.0,-0.047,-0.315,ryan mcmahon,
