pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-25,93.5,-2.01,6.75,"Mikolas, Miles",656413,571945,strikeout,swinging_strike,,,,,12,Stuart Fairchild strikes out swinging.,R,R,R,CIN,STL,S,2.0,,0,2,2023,-0.66,1.36,0.88,3.19,,,,2,7,Bot,,,,,668800,,,8.852475852906226,-135.82277901260085,-6.3619404615337,-10.130250600273715,30.521989944588785,-14.055423217691624,3.4,1.57,,,,92.9,2321.0,6.1,718030,571945,668800,676475,669242,680977,657557,660766,663457,640458,54.41,,,0.0,1.0,0.0,0.0,,52,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,208.0,-0.02,-0.057
SI,2023-05-25,93.4,-2.56,6.16,"Mikolas, Miles",656413,571945,,foul,,,,,1,Stuart Fairchild strikes out swinging.,R,R,R,CIN,STL,S,,,0,2,2023,-0.9,1.25,-0.36,2.95,,,,2,7,Bot,,,,,668800,,,7.596968926694265,-135.6919584176851,-5.17931354503584,-12.833871262647966,31.88756982557276,-15.799333485188743,3.4,1.57,138.0,75.4,13.0,92.8,2355.0,6.2,718030,571945,668800,676475,669242,680977,657557,660766,663457,640458,54.32,,,,,,,,52,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,228.0,0.0,0.0
SL,2023-05-25,85.8,-2.13,6.79,"Mikolas, Miles",656413,571945,,foul,,,,,14,Stuart Fairchild strikes out swinging.,R,R,R,CIN,STL,S,,,0,1,2023,0.28,0.43,0.84,2.02,,,,2,7,Bot,,,,,668800,,,6.416246843951628,-124.7698733311084,-5.86785457046614,1.6433058031279983,25.594455328808674,-26.626660593947104,3.4,1.57,168.0,66.2,38.0,85.4,2340.0,6.1,718030,571945,668800,676475,669242,680977,657557,660766,663457,640458,54.42,,,,,,,,52,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,139.0,0.0,-0.025
CU,2023-05-25,74.3,-2.17,6.8,"Mikolas, Miles",656413,571945,,called_strike,,,,,14,Stuart Fairchild strikes out swinging.,R,R,R,CIN,STL,S,,,0,0,2023,0.85,-1.14,1.09,1.87,,,,2,7,Bot,,,,,668800,,,5.174764923245129,-107.99029980958043,-0.7366903881710775,5.539458275027188,21.842440258038728,-41.055278288258805,3.4,1.48,,,,73.7,2461.0,6.3,718030,571945,668800,676475,669242,680977,657557,660766,663457,640458,54.24,,,,,,,,52,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,31.0,0.0,-0.021
CU,2023-05-25,74.7,-2.07,6.76,"Mikolas, Miles",669222,571945,field_out,hit_into_play,,,,,9,"Nick Senzel grounds out, third baseman Brendan Donovan to first baseman Alec Burleson.",R,R,R,CIN,STL,X,5.0,ground_ball,2,2,2023,0.77,-1.33,0.74,2.03,,,,1,7,Bot,104.51,170.97,,,668800,,,4.394298235533496,-108.56921741785344,-0.0321833952638637,5.109133318902267,22.85001560866412,-42.82097965035968,3.23,1.53,3.0,86.9,-31.0,73.8,2561.0,6.1,718030,571945,668800,676475,669242,680977,657557,660766,663457,640458,54.37,0.074,0.071,0.0,1.0,0.0,0.0,2.0,51,6,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,33.0,-0.028,-0.153
CH,2023-05-25,86.1,-2.18,6.54,"Mikolas, Miles",669222,571945,,ball,,,,,13,"Nick Senzel grounds out, third baseman Brendan Donovan to first baseman Alec Burleson.",R,R,R,CIN,STL,B,,,1,2,2023,-1.45,1.01,-0.4,1.36,,,,1,7,Bot,,,,,668800,,,7.16638651709141,-124.94695387156212,-8.121413716748105,-16.590648719653526,24.71444278192138,-20.09277976229794,3.19,1.56,,,,86.3,1676.0,6.5,718030,571945,668800,676475,669242,680977,657557,660766,663457,640458,53.98,,,,,,,,51,5,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,224.0,0.0,0.031
FF,2023-05-25,93.7,-2.04,6.8,"Mikolas, Miles",669222,571945,,ball,,,,,12,"Nick Senzel grounds out, third baseman Brendan Donovan to first baseman Alec Burleson.",R,R,R,CIN,STL,B,,,0,2,2023,-0.54,1.41,0.49,3.87,,,,1,7,Bot,,,,,668800,,,7.74721529021114,-136.10481663929596,-4.8928674994070285,-8.559672469310355,32.05480321497223,-13.821663364842678,3.23,1.56,,,,93.3,2290.0,6.3,718030,571945,668800,676475,669242,680977,657557,660766,663457,640458,54.19,,,,,,,,51,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,206.0,0.0,0.014
SL,2023-05-25,86.1,-2.15,6.76,"Mikolas, Miles",669222,571945,,foul,,,,,12,"Nick Senzel grounds out, third baseman Brendan Donovan to first baseman Alec Burleson.",R,R,R,CIN,STL,S,,,0,2,2023,0.27,0.34,1.04,2.76,,,,1,7,Bot,,,,,668800,,,6.986484435417604,-125.26737838201294,-3.928938907529207,1.4186834557788297,25.655566367609485,-28.031643606253414,3.23,1.53,205.0,74.8,50.0,85.6,2343.0,6.0,718030,571945,668800,676475,669242,680977,657557,660766,663457,640458,54.48,,,,,,,,51,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,124.0,0.0,0.0
FF,2023-05-25,91.3,-1.97,6.87,"Mikolas, Miles",669222,571945,,swinging_strike,,,,,11,"Nick Senzel grounds out, third baseman Brendan Donovan to first baseman Alec Burleson.",R,R,R,CIN,STL,S,,,0,1,2023,-0.48,1.18,-1.0,3.63,,,,1,7,Bot,,,,,668800,,,3.4387361480281413,-132.90697108912718,-4.776336919207358,-6.4225600786590284,28.369819559243844,-17.37282808564973,3.23,1.53,,,,90.9,2184.0,6.0,718030,571945,668800,676475,669242,680977,657557,660766,663457,640458,54.49,,,,,,,,51,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,206.0,0.0,-0.037
CU,2023-05-25,74.4,-2.08,6.85,"Mikolas, Miles",669222,571945,,called_strike,,,,,8,"Nick Senzel grounds out, third baseman Brendan Donovan to first baseman Alec Burleson.",R,R,R,CIN,STL,S,,,0,0,2023,0.49,-1.54,0.26,1.91,,,,1,7,Bot,,,,,668800,,,3.933564246346819,-108.07694270577872,-0.0101118738197045,2.877832409007448,23.69281059649665,-44.24241244849871,3.14,1.48,,,,73.4,2468.0,6.3,718030,571945,668800,676475,669242,680977,657557,660766,663457,640458,54.24,,,,,,,,51,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,34.0,0.0,-0.028
