pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,94.9,-0.71,5.74,"Miller, Bryce",669127,682243,strikeout,swinging_strike,,,,,12,Shea Langeliers strikes out swinging.,R,R,R,SEA,OAK,S,2.0,,1,2,2023,-0.47,1.68,0.55,3.51,665923.0,,676116.0,2,6,Top,,,,,663728,,,4.329869346237858,-138.1101741021016,-3.9597108909630254,-6.910473904442126,29.67649953949475,-9.988439482783592,3.21,1.45,,,,94.9,2552.0,6.2,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.28,,,0.0,1.0,0.0,0.0,,51,5,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,196.0,0.018,-0.381
FF,2023-05-24,95.4,-0.9,5.73,"Miller, Bryce",669127,682243,,ball,,,,,11,Shea Langeliers strikes out swinging.,R,R,R,SEA,OAK,B,,,0,2,2023,-0.65,1.55,-0.51,4.28,665923.0,,676116.0,2,6,Top,,,,,663728,,,2.494845862893708,-139.06719196899883,-1.7064223796713271,-8.980178150366395,29.451620791387818,-11.866819537191953,3.21,1.58,,,,95.9,2526.0,6.4,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.12,,,,,,,,51,4,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,195.0,0.0,0.038
FF,2023-05-24,94.2,-0.76,5.7,"Miller, Bryce",669127,682243,,foul,,,,,5,Shea Langeliers strikes out swinging.,R,R,R,SEA,OAK,S,,,0,2,2023,-0.51,1.61,0.1,2.59,665923.0,,676116.0,2,6,Top,,,,,663728,,,3.393893335241679,-137.11332137306934,-5.975530707458657,-7.233884851858678,28.902681952972024,-10.687555472573267,3.21,1.45,173.0,80.3,62.0,94.4,2522.0,6.3,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.24,,,,,,,,51,3,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,204.0,0.0,0.0
FF,2023-05-24,94.6,-0.89,5.63,"Miller, Bryce",669127,682243,,called_strike,,,,,6,Shea Langeliers strikes out swinging.,R,R,R,SEA,OAK,S,,,0,1,2023,-0.45,1.6,0.61,2.25,665923.0,,676116.0,2,6,Top,,,,,663728,,,4.891564908615432,-137.5595754866791,-6.696663063584908,-6.770837827641932,30.497740131935128,-10.56212682003085,3.36,1.62,,,,94.5,2580.0,6.3,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.22,,,,,,,,51,2,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,208.0,0.0,-0.109
FF,2023-05-24,93.6,-0.95,5.6,"Miller, Bryce",669127,682243,,called_strike,,,,,7,Shea Langeliers strikes out swinging.,R,R,R,SEA,OAK,S,,,0,0,2023,-0.68,1.45,-0.56,1.9,665923.0,,676116.0,2,6,Top,,,,,663728,,,2.507280984723207,-136.13216227735924,-6.983993031164117,-9.04373150896211,29.95977684064224,-12.869779231815349,3.28,1.54,,,,93.7,2558.0,6.4,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.1,,,,,,,,51,1,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,202.0,0.0,-0.098
FF,2023-05-24,94.3,-0.96,5.63,"Miller, Bryce",664913,682243,field_out,hit_into_play,,,,,8,Seth Brown flies out to right fielder Jarred Kelenic.   Esteury Ruiz to 3rd.,R,L,R,SEA,OAK,X,9.0,fly_ball,3,1,2023,-0.61,1.51,0.16,1.97,,665923.0,676116.0,1,6,Top,173.3,68.7,,,663728,,,4.277855294723381,-137.10550239102085,-7.154118416370086,-8.601634490989031,30.43849462870896,-11.684738800290926,3.42,1.68,342.0,92.4,29.0,94.2,2676.0,6.3,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.2,0.123,0.186,0.0,1.0,0.0,0.0,3.0,50,5,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,200.0,0.021,-0.757
FF,2023-05-24,93.7,-1.06,5.65,"Miller, Bryce",664913,682243,,ball,,,,,13,Seth Brown flies out to right fielder Jarred Kelenic.   Esteury Ruiz to 3rd.,R,L,R,SEA,OAK,B,,,2,1,2023,-0.75,1.65,-1.3,1.97,,665923.0,676116.0,1,6,Top,,,,,663728,,,1.029200339599248,-136.3726375929118,-7.40541678106001,-9.518047602723083,30.506545113117404,-10.200273513797782,3.43,1.69,,,,93.6,2571.0,6.3,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.23,,,,,,,,50,4,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,205.0,0.0,0.213
FF,2023-05-24,92.9,-1.09,5.62,"Miller, Bryce",664913,682243,,foul,,,,,3,Seth Brown flies out to right fielder Jarred Kelenic.   Esteury Ruiz to 3rd.,R,L,R,SEA,OAK,S,,,2,0,2023,-0.25,1.63,0.79,2.88,,665923.0,676116.0,1,6,Top,,,,,663728,,,5.347083621287197,-135.23987496374968,-4.8392014873605,-4.157185395597843,27.6555656607939,-11.252326268391004,3.42,1.68,172.0,70.3,58.0,93.3,2525.0,6.4,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.12,,,,,,,,50,3,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,206.0,0.0,-0.207
CH,2023-05-24,82.8,-1.54,5.03,"Miller, Bryce",664913,682243,,ball,,,,,14,Seth Brown flies out to right fielder Jarred Kelenic.   Esteury Ruiz to 3rd.,R,L,R,SEA,OAK,B,,,1,0,2023,-1.31,0.66,0.99,1.36,,665923.0,676116.0,1,6,Top,,,,,663728,,,8.378107288749996,-120.35128449778809,-3.206307466211697,-14.337653838973258,22.566178684652023,-25.346778543487037,3.54,1.74,,,,83.3,2163.0,6.6,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,53.92,,,,,,,,50,2,Changeup,5,0,0,5,0,5,0,5,Standard,Standard,239.0,0.0,0.167
CH,2023-05-24,81.5,-1.4,5.19,"Miller, Bryce",664913,682243,,ball,,,,,14,Seth Brown flies out to right fielder Jarred Kelenic.   Esteury Ruiz to 3rd.,R,L,R,SEA,OAK,B,,,0,0,2023,-1.43,0.75,0.76,1.51,,665923.0,676116.0,1,6,Top,,,,,663728,,,7.644958723435469,-118.52704688483796,-3.169540005402235,-14.906976527384606,20.58538561232201,-24.72047878420036,3.51,1.75,,,,82.2,2127.0,6.6,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,53.94,,,,,,,,50,1,Changeup,5,0,0,5,0,5,0,5,Strategic,Standard,229.0,0.0,0.11
FF,2023-05-24,92.1,-1.18,5.59,"Miller, Bryce",676116,682243,single,hit_into_play,,,,,11,Ryan Noda singles on a fly ball to left fielder AJ Pollock.   Esteury Ruiz to 2nd.,R,L,R,SEA,OAK,X,7.0,fly_ball,0,0,2023,-0.56,1.54,-0.11,3.47,,,665923.0,1,6,Top,98.56,123.78,,,663728,,,3.932311720073935,-134.0951232997217,-2.9532250917213863,-7.538202424019593,27.42120699592756,-13.085610903690638,3.33,1.61,196.0,65.1,44.0,92.7,2402.0,6.5,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.0,0.289,0.26,0.9,1.0,1.0,0.0,3.0,49,1,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,208.0,-0.019,0.501
FF,2023-05-24,94.2,-0.9,5.77,"Miller, Bryce",665923,682243,hit_by_pitch,hit_by_pitch,,,,,11,"Mariners challenged (hit by pitch), call on the field was upheld: Esteury Ruiz hit by pitch.",R,R,R,SEA,OAK,B,,,0,0,2023,-0.61,1.62,-1.32,2.8,,,,1,6,Top,,,,,663728,,,0.2686131883882243,-137.11518646334247,-5.595483905899826,-7.7243025769362035,31.44654829385377,-10.67606590444723,2.91,1.41,,,,94.1,2383.0,6.3,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.19,,,0.7,1.0,0.0,0.0,,48,1,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,204.0,-0.011,0.275
FF,2023-05-24,94.0,-1.2,5.56,"Miller, Bryce",643393,682243,field_out,hit_into_play,,,,,1,"Tony Kemp grounds out, second baseman Jose Caballero to first baseman Sam Haggerty.",R,L,R,SEA,OAK,X,4.0,ground_ball,3,2,2023,-0.6,1.41,-0.4,2.89,,,,0,6,Top,147.45,151.07,,,663728,,,3.4030952247052557,-136.82435309166402,-4.325165439369286,-8.255101447890853,30.15386966499429,-13.763183862497804,3.12,1.44,40.0,91.2,-1.0,94.2,2551.0,6.4,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.13,0.271,0.25,0.0,1.0,0.0,0.0,2.0,47,6,4-Seam Fastball,5,0,0,5,0,5,0,5,Strategic,Standard,199.0,0.01,-0.315
