pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
CH,2023-05-25,86.0,-1.72,6.03,"Moncada, Yoán",660162,656412,strikeout,swinging_strike,,,,,13,Yoan Moncada strikes out swinging.,R,L,R,DET,CWS,S,2.0,,2,2,2023,-1.59,0.85,-0.43,1.24,,,,1,4,Top,,,,,606992,,,6.196673536174761,-125.01391652204012,-6.779914597633115,-17.90685409997918,24.572716144120022,-22.04997251362562,3.27,1.42,,,,85.3,2145,5.8,718031,656412,606992,679529,628451,656716,595879,668731,682985,663837,54.67,,,0.0,1.0,0.0,0.0,,27,6,Changeup,0,1,1,0,1,0,1,0,Strategic,Strategic,238,0.016,-0.153,yoán moncada,
FF,2023-05-25,93.8,-1.6,6.15,"Moncada, Yoán",660162,656412,field_out,hit_into_play,,,,,8,Yoan Moncada grounds out to first baseman Spencer Torkelson.,R,L,R,DET,CWS,X,3.0,ground_ball,1,2,2023,-1.04,1.34,0.05,1.55,,,,0,2,Top,155.05,163.94,,,606992,,,6.472328369328655,-136.29081349059044,-9.086465292640154,-14.320512627497203,27.55865714214943,-13.706982337131446,3.27,1.42,1.0,90.5,-46.0,93.2,2401,5.8,718031,656412,606992,679529,628451,656716,595879,668731,682985,663837,54.68,0.123,0.117,0.0,1.0,0.0,0.0,2.0,8,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Strategic,214,0.023,-0.175,yoán moncada,
SL,2023-05-25,84.8,-1.43,5.32,"Moncada, Yoán",660162,542585,field_out,hit_into_play,,,,,6,"Yoan Moncada grounds out, second baseman Andy Ibanez to first baseman Spencer Torkelson.",R,L,R,DET,CWS,X,4.0,ground_ball,3,2,2023,0.45,-0.01,0.69,2.45,,,,0,7,Top,151.55,149.96,,,606992,,,4.050214704987594,-123.4445864280086,-0.3356842140784017,3.709849320893977,25.5179500869354,-32.47813283152286,3.27,1.42,47.0,92.6,0.0,84.2,2676,6.0,718031,542585,606992,679529,628451,670097,595879,656716,682985,663837,54.51,0.357,0.321,0.0,1.0,0.0,0.0,2.0,55,8,Slider,5,2,2,5,2,5,2,5,Strategic,Standard,111,0.022,-0.315,yoán moncada,
SI,2023-05-24,94.1,-1.13,6.29,"Moncada, Yoán",660162,615698,walk,ball,,,,,11,Yoan Moncada walks.,R,L,R,CLE,CWS,B,,,3,2,2023,-0.81,1.49,-1.16,3.35,,,,0,4,Top,,,,,595956,,,1.7248446697429136,-137.03017641461304,-5.232802551474502,-10.582943596651328,31.286377072171923,-12.515149911454754,3.29,1.52,,,,94.2,2200,6.4,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.14,,,0.7,1.0,0.0,0.0,,21,6,Sinker,0,1,1,0,1,0,1,0,Strategic,Standard,217,-0.035,0.316,yoán moncada,
FF,2023-05-24,95.5,1.64,6.3,"Moncada, Yoán",660162,656529,field_out,hit_into_play,,,,,4,"Yoan Moncada grounds out, third baseman Jose Ramirez to first baseman Josh Bell.",R,R,L,CLE,CWS,X,5.0,ground_ball,1,1,2023,0.54,1.3,-0.67,2.45,,,,1,8,Top,106.0,161.77,,,681807,,,-7.411572346879413,-138.89221044587433,-7.624420745819588,8.386214193766872,25.153335840573195,-13.882569840169296,3.27,1.41,18.0,72.6,-6.0,97.8,2289,7.2,718048,656529,681807,605137,665926,608070,642708,680757,664702,672356,53.3,0.097,0.091,0.0,1.0,0.0,0.0,2.0,53,3,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,154,0.0,-0.165,yoán moncada,
SL,2023-05-24,85.3,-0.16,5.82,"Moncada, Yoán",660162,669212,field_out,hit_into_play,,,,,6,Yoan Moncada grounds out to first baseman Josh Bell.,R,L,R,CLE,CWS,X,3.0,ground_ball,1,2,2023,0.18,0.45,0.77,2.4,,,,1,5,Top,151.45,167.83,,,595956,,,1.8326038618388176,-124.25751491916644,-2.673141711710993,1.486661090594227,24.090013806433006,-27.2296019179977,3.27,1.41,3.0,70.7,-35.0,85.7,2243,6.4,718048,669212,595956,605137,665926,608070,642708,680757,664702,672356,54.11,0.066,0.059,0.0,1.0,0.0,0.0,2.0,33,4,Slider,0,6,6,0,6,0,6,0,Standard,Standard,98,0.002,-0.122,yoán moncada,
FS,2023-05-24,85.6,-0.98,6.41,"Moncada, Yoán",660162,615698,field_out,hit_into_play,,,,,13,"Yoan Moncada grounds out softly, third baseman Jose Ramirez to first baseman Josh Bell.",R,L,R,CLE,CWS,X,5.0,ground_ball,0,2,2023,-1.0,0.21,-1.36,1.23,,,,2,1,Top,109.03,159.35,,,595956,,,1.1135310215604612,-124.69503767033788,-6.500523352295655,-10.718765816873216,21.17059536735823,-29.003260586919403,3.27,1.41,57.0,58.0,7.0,86.4,989,6.4,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.09,0.129,0.116,0.0,1.0,0.0,0.0,1.0,3,3,Split-Finger,0,0,0,0,0,0,0,0,Strategic,Standard,245,0.01,-0.057,yoán moncada,
ST,2023-05-23,79.4,2.4,5.2,"Moncada, Yoán",660162,671106,force_out,hit_into_play,,,,,8,"Yoan Moncada grounds into a force out, shortstop Amed Rosario to second baseman Andres Gimenez.   Luis Robert Jr.  out at 2nd.",R,R,L,CLE,CWS,X,6.0,ground_ball,0,0,2023,-1.16,0.31,-0.19,1.81,,641313.0,673357.0,2,6,Top,106.54,153.18,,,572287,,,-3.5132696436281843,-115.52197008217446,-1.1727220988734155,-9.539184207929171,23.904341888061936,-29.383782495161352,3.22,1.38,8.0,85.5,-13.0,79.2,2209,6.4,718063,671106,572287,647304,665926,608070,642708,680757,686823,672356,54.08,0.111,0.107,0.0,1.0,0.0,0.0,2.0,41,1,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,302,0.065,-0.468,yoán moncada,
FF,2023-05-23,91.4,2.37,5.18,"Moncada, Yoán",660162,671106,field_out,hit_into_play,,,,,5,Yoan Moncada flies out to center fielder Will Brennan.,R,R,L,CLE,CWS,X,8.0,fly_ball,1,1,2023,0.51,1.47,-0.17,2.43,,,673357.0,2,4,Top,150.77,57.94,,,572287,,,-7.568186804120563,-132.93297299011795,-4.28150840860132,7.587937554295743,27.90172785653968,-13.959915501225485,3.22,1.38,353.0,94.1,26.0,92.5,2237,6.9,718063,671106,572287,647304,665926,608070,642708,680757,686823,672356,53.59,0.177,0.227,0.0,1.0,0.0,0.0,3.0,24,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,148,0.029,-0.232,yoán moncada,
FF,2023-05-23,90.3,2.2,5.4,"Moncada, Yoán",660162,671106,field_out,hit_into_play,,,,,5,"Yoan Moncada grounds out, second baseman Andres Gimenez to first baseman Josh Naylor.",R,R,L,CLE,CWS,X,4.0,ground_ball,0,0,2023,0.61,1.36,-0.07,2.24,,,,0,2,Top,139.53,149.62,,,572287,,,-7.045947120884724,-131.33424302441128,-4.8899646723544095,8.534680502171506,27.236361015347384,-15.58506357854076,3.22,1.38,9.0,101.1,-13.0,91.5,2168,7.0,718063,671106,572287,647304,665926,608070,642708,680757,686823,672356,53.48,0.197,0.177,0.0,1.0,0.0,0.0,2.0,7,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,152,0.023,-0.235,yoán moncada,
