pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-24,86.1,-1.19,5.84,"Moreta, Dauri",669701,664294,strikeout,swinging_strike,,,,,4,Josh H.   Smith strikes out swinging.,R,L,R,PIT,TEX,S,2.0,,0,2,2023,-1.08,0.04,-0.76,2.42,,,,2,8,Top,,,,,641511,,,3.164864033812568,-125.37229284612668,-1.9131931026594324,-12.003563271046335,26.96767620085501,-31.52446106255753,3.21,1.51,,,,85.0,2033,5.7,718045,664294,641511,467793,666801,663647,572008,668804,669261,656582,54.84,,,0.0,1.0,0.0,0.0,,63,3,Slider,2,3,3,2,3,2,3,2,Strategic,Standard,286,0.012,-0.057
SL,2023-05-24,84.9,-1.36,5.79,"Moreta, Dauri",669701,664294,,swinging_strike,,,,,14,Josh H.   Smith strikes out swinging.,R,L,R,PIT,TEX,S,,,0,1,2023,-0.57,-0.52,0.35,-0.28,,,,2,8,Top,,,,,641511,,,5.140882851830398,-123.51168450660356,-6.867159420999032,-6.870297454146505,23.3072195757336,-36.44539833260483,3.21,1.51,,,,85.0,2046,6.2,718045,664294,641511,467793,666801,663647,572008,668804,669261,656582,54.26,,,,,,,,63,2,Slider,2,3,3,2,3,2,3,2,Standard,Standard,288,0.0,-0.025
SL,2023-05-24,84.8,-1.16,5.83,"Moreta, Dauri",669701,664294,,called_strike,,,,,5,Josh H.   Smith strikes out swinging.,R,L,R,PIT,TEX,S,,,0,0,2023,-0.4,-0.4,0.12,2.0,,,,2,8,Top,,,,,641511,,,3.7800488144527375,-123.55091326125893,-1.8804062870754212,-4.784769043814332,23.51106402211317,-36.11568804332636,3.16,1.42,,,,85.0,2092,6.2,718045,664294,641511,467793,666801,663647,572008,668804,669261,656582,54.27,,,,,,,,63,1,Slider,2,3,3,2,3,2,3,2,Standard,Standard,288,0.0,-0.021
FF,2023-05-24,94.7,-0.99,5.98,"Moreta, Dauri",543257,664294,field_out,hit_into_play,,,,,3,Robbie Grossman grounds out to first baseman Carlos Santana.,R,L,R,PIT,TEX,X,3.0,ground_ball,1,0,2023,-0.88,1.33,0.33,2.75,,,,1,8,Top,154.48,166.01,,,641511,,,5.410992994102747,-137.62524750544546,-5.6707821407654855,-12.445425824235228,32.82723453540137,-14.233000813544876,3.01,1.44,4.0,71.8,-32.0,94.3,2278,6.3,718045,664294,641511,467793,666801,663647,572008,668804,669261,656582,54.22,0.069,0.062,0.0,1.0,0.0,0.0,2.0,62,2,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,211,0.016,-0.2
FF,2023-05-24,95.3,-0.96,6.04,"Moreta, Dauri",543257,664294,,ball,,,,,11,Robbie Grossman grounds out to first baseman Carlos Santana.,R,L,R,PIT,TEX,B,,,0,0,2023,-0.9,1.42,-0.36,3.41,,,,1,8,Top,,,,,641511,,,3.562778124158916,-138.72414997869046,-4.411795827232613,-12.42526043086164,32.15124748956711,-13.094962970177908,3.18,1.47,,,,94.4,2375,5.8,718045,664294,641511,467793,666801,663647,572008,668804,669261,656582,54.68,,,,,,,,62,1,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,213,0.0,0.028
SL,2023-05-24,84.6,-1.35,5.89,"Moreta, Dauri",641680,664294,field_out,hit_into_play,,,,,6,Jonah Heim lines out softly to third baseman Ke'Bryan Hayes.,R,L,R,PIT,TEX,X,5.0,line_drive,0,1,2023,-0.43,-0.15,0.44,2.42,,,,0,8,Top,113.31,145.2,,,641511,,,4.974923540582974,-123.20442806808371,-1.4633716097858689,-5.35857871304435,23.705353425107464,-33.677712100600644,3.48,1.67,144.0,52.0,33.0,83.8,2039,5.7,718045,664294,641511,467793,666801,663647,572008,668804,669261,656582,54.82,0.177,0.159,0.0,1.0,0.0,0.0,1.0,61,2,Slider,2,3,3,2,3,2,3,2,Strategic,Standard,298,0.022,-0.198
SL,2023-05-24,83.6,-1.31,5.96,"Moreta, Dauri",641680,664294,,called_strike,,,,,12,Jonah Heim lines out softly to third baseman Ke'Bryan Hayes.,R,L,R,PIT,TEX,S,,,0,0,2023,-0.62,-0.23,0.4,3.43,,,,0,8,Top,,,,,641511,,,5.125405259369505,-121.76081006450516,1.0287398336861986,-7.130127555444608,23.201876446709942,-34.925184145700406,3.3,1.41,,,,83.5,2102,6.1,718045,664294,641511,467793,666801,663647,572008,668804,669261,656582,54.43,,,,,,,,61,1,Slider,2,3,3,2,3,2,3,2,Strategic,Standard,281,0.0,-0.037
SL,2023-05-24,84.8,-1.4,5.78,"Moreta, Dauri",673962,664294,strikeout,swinging_strike,,,,,14,Josh Jung strikes out swinging.,R,R,R,PIT,TEX,S,2.0,,2,2,2023,-0.66,-0.01,0.19,1.29,,608369.0,,2,7,Top,,,,,641511,,,5.026245773002449,-123.47649548174378,-4.175907484189991,-7.739661753417439,24.158669560671417,-31.6621938039384,3.67,1.76,,,,85.0,2010,6.3,718045,664294,641511,467793,666801,663647,572008,668804,669261,656582,54.16,,,0.0,1.0,0.0,0.0,,56,5,Slider,2,3,3,2,3,2,3,2,Standard,Standard,283,0.04,-0.237
SL,2023-05-24,84.8,-1.2,5.86,"Moreta, Dauri",673962,664294,,ball,,,,,14,Josh Jung strikes out swinging.,R,R,R,PIT,TEX,B,,,1,2,2023,-0.69,-0.16,1.09,0.41,,,608369.0,2,7,Top,,,,,641511,,,6.728568401752945,-123.3026102158058,-6.114225671656088,-8.338056892455517,23.18986398151968,-32.84224746532385,3.67,1.73,,,,85.0,1998,6.4,718045,664294,641511,467793,666801,663647,572008,668804,669261,656582,54.13,,,,,,,,56,4,Slider,2,3,3,2,3,2,3,2,Standard,Standard,287,-0.014,0.03
SL,2023-05-24,84.1,-1.18,5.8,"Moreta, Dauri",673962,664294,,foul,,,,,9,Josh Jung strikes out swinging.,R,R,R,PIT,TEX,S,,,1,1,2023,-0.44,-0.24,0.44,2.13,,,608369.0,2,7,Top,,,,,641511,,,4.604529613253753,-122.39254159925903,-1.6423475750335657,-5.332088478992317,24.51127806983058,-34.445242454646845,3.67,1.76,,,,83.5,1816,5.9,718045,664294,641511,467793,666801,663647,572008,668804,669261,656582,54.57,,,,,,,,56,3,Slider,2,3,3,2,3,2,3,2,Standard,Standard,292,0.0,-0.056
