pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FC,2023-05-23,82.8,-0.96,6.41,"Myers, Wil",571976,425794,walk,ball,,,,,14.0,Wil Myers walks.,R,R,R,CIN,STL,B,,,3,0,2023,0.59,0.75,1.72,1.45,,669222.0,,2,6,Bot,,,,,575929,,,4.961932327620547,-120.4598963901325,-6.287246312241786,4.784310301185787,24.049380028890777,-23.85214761194149,3.32,1.55,,,,82.8,2367.0,6.4,718059,425794,575929,680977,669242,669357,657557,676475,663457,640458,54.13,,,0.7,1.0,0.0,0.0,,54,4,Cutter,5,7,5,7,7,5,5,7,Standard,Standard,185.0,0.02,0.038,wil myers,
CU,2023-05-23,69.7,-1.02,6.61,"Myers, Wil",571976,425794,field_out,hit_into_play,,,,,6.0,"Wil Myers grounds out, second baseman Tommy Edman to first baseman Brendan Donovan.",R,R,R,CIN,STL,X,4.0,ground_ball,0,1,2023,1.09,-1.26,0.66,2.81,,,,0,5,Bot,136.98,139.46,,,575929,,,1.4214742395702786,-101.31466694044369,2.6607552153456417,7.069403138279427,20.57372003392556,-41.51200645974431,3.42,1.55,54.0,88.9,1.0,68.6,2576.0,6.0,718059,425794,575929,680977,669242,669357,657557,676475,663457,640458,54.48,0.297,0.282,0.0,1.0,0.0,0.0,2.0,42,2,Curveball,3,7,3,7,7,3,3,7,Standard,Standard,40.0,-0.018,-0.198,wil myers,
SI,2023-05-23,88.2,-0.89,6.27,"Myers, Wil",571976,425794,field_out,hit_into_play,,,,,6.0,"Wil Myers grounds out, third baseman Nolan Arenado to first baseman Brendan Donovan.",R,R,R,CIN,STL,X,5.0,ground_ball,2,2,2023,-1.4,1.16,0.59,2.37,,,,2,2,Bot,106.11,155.76,,,575929,,,6.537997485195096,-128.17616208377063,-5.787119938753518,-16.82639265058568,27.6596975793793,-18.39458682420157,3.42,1.55,2.0,48.5,-57.0,88.3,2209.0,6.5,718059,425794,575929,680977,669357,571448,657557,676475,663457,669242,53.99,0.229,0.206,0.0,1.0,0.0,0.0,1.0,18,5,Sinker,1,3,1,3,3,1,1,3,Standard,Standard,206.0,-0.011,-0.09,wil myers,
SL,2023-05-23,90.5,-0.25,6.22,"Myers, Wil",571976,664854,field_out,hit_into_play,,,,,2.0,"Wil Myers grounds out, shortstop Paul DeJong to first baseman Brendan Donovan.",R,R,R,CIN,STL,X,6.0,ground_ball,0,2,2023,0.06,0.2,0.23,3.01,,,,1,9,Bot,96.78,143.19,,,575929,,,1.0808147650910704,-131.81793134635234,-2.510710669704224,0.4683526591805568,27.257486597541572,-29.559643911604475,3.42,1.55,57.0,80.2,2.0,91.2,2570.0,6.6,718059,664854,575929,680977,669242,669357,657557,676475,663457,640458,53.88,0.209,0.2,0.0,1.0,0.0,0.0,2.0,75,3,Slider,5,8,5,8,8,5,5,8,Standard,Standard,118.0,-0.012,-0.107,wil myers,
CH,2023-05-22,84.7,1.76,6.51,"Myers, Wil",571976,656756,field_out,hit_into_play,,,,,5.0,"Wil Myers grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",R,R,L,CIN,STL,X,5.0,ground_ball,0,2,2023,0.83,1.22,0.06,2.32,663886.0,669222.0,,2,3,Bot,100.75,165.55,,,668800,,,-5.683508549321197,-123.24927040452218,-5.955563026989895,9.541213122134904,23.085755346157097,-18.75704765137594,3.4,1.54,87.0,96.4,4.0,85.6,1834.0,6.7,718071,656756,668800,502671,669357,571448,657557,660766,640458,669242,53.77,0.506,0.502,0.0,1.0,0.0,0.0,4.0,31,3,Changeup,4,3,4,3,3,4,4,3,Standard,Standard,128.0,-0.052,-0.287,wil myers,
CH,2023-05-22,83.5,1.79,6.54,"Myers, Wil",571976,656756,strikeout,swinging_strike,,,,,7.0,Wil Myers strikes out swinging.,R,R,L,CIN,STL,S,2.0,,3,2,2023,0.69,1.14,-0.55,2.12,,,,0,2,Bot,,,,,668800,,,-6.805643880653153,-121.40189622444954,-6.080291223175234,8.06852196981366,21.68572549034806,-19.933383755159507,3.4,1.54,,,,84.5,1735.0,6.8,718071,656756,668800,502671,669357,571448,657557,660766,640458,669242,53.68,,,0.0,1.0,0.0,0.0,,18,6,Changeup,2,3,2,3,3,2,2,3,Standard,Standard,130.0,-0.025,-0.315,wil myers,
FF,2023-05-22,97.1,-1.78,6.06,"Myers, Wil",571976,669467,field_out,hit_into_play,,,,,5.0,"Wil Myers grounds out, second baseman Nolan Gorman to first baseman Paul Goldschmidt.   Tyler Stephenson scores.    Nick Senzel to 3rd.",R,R,R,CIN,STL,X,4.0,ground_ball,0,0,2023,-0.31,0.8,-0.21,2.42,663886.0,669222.0,,1,5,Bot,132.28,164.34,,,668800,,,4.9260853014148696,-141.27627809027024,-6.07311447728063,-5.340529496179643,32.49985355743053,-20.23282976055165,3.4,1.54,2.0,81.6,-55.0,97.6,2279.0,6.6,718071,669467,668800,502671,669357,571448,657557,640458,663457,669242,53.91,0.249,0.227,0.0,1.0,0.0,0.0,2.0,49,1,4-Seam Fastball,4,4,4,4,4,5,5,4,Strategic,Standard,190.0,0.024,-0.35,wil myers,
SL,2023-05-22,82.8,-1.92,6.76,"Myers, Wil",571976,606149,walk,ball,,,,,14.0,Wil Myers walks.,R,R,R,CIN,STL,B,,,3,2,2023,0.04,0.14,0.31,0.87,,,,1,8,Bot,,,,,668663,,,4.961506760687373,-120.45003384553962,-7.166703593805876,-0.5454811415809556,22.576395896211743,-29.650328091606475,3.28,1.43,,,,82.0,2292.0,5.7,718071,606149,668663,502671,669357,571448,657557,680977,663457,669242,54.82,,,0.7,1.0,0.0,0.0,,70,6,Slider,5,5,5,5,5,5,5,5,Standard,Standard,181.0,0.047,0.235,wil myers,
CH,2023-05-20,87.9,-0.95,6.15,"Myers, Wil",571976,666745,strikeout,called_strike,,,,,6.0,Wil Myers called out on strikes.,R,R,R,CIN,NYY,S,2.0,,1,2,2023,-1.33,0.56,0.63,2.53,,,,1,4,Bot,,,,,666163,,,6.588831586108819,-127.8368234822266,-3.8207680970882754,-15.935678558855924,25.66358064454947,-25.4913940671635,3.32,1.54,,,,88.1,1752.0,6.4,718095,666745,666163,519203,650402,518934,683011,643396,664056,641343,54.14,,,0.0,1.0,0.0,0.0,,32,4,Changeup,2,1,2,1,1,2,2,1,Standard,Standard,237.0,-0.015,-0.122,wil myers,
CU,2023-05-20,82.1,-1.19,5.95,"Myers, Wil",571976,666745,field_out,hit_into_play,,,,,6.0,"Wil Myers grounds out, third baseman DJ LeMahieu to first baseman Anthony Rizzo.",R,R,R,CIN,NYY,X,5.0,ground_ball,1,1,2023,1.15,-0.43,0.81,2.72,,,,2,2,Bot,109.03,167.83,,,666163,,,2.289942129314269,-119.62559738456623,0.0666001989546618,10.611749034263797,23.0163036462403,-36.54536165630943,3.4,1.54,3.0,65.9,-43.0,82.4,2150.0,6.4,718095,666745,666163,519203,650402,518934,683011,643396,664056,641343,54.11,0.169,0.167,0.0,1.0,0.0,0.0,2.0,15,3,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,43.0,-0.009,-0.097,wil myers,
