pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,2023-05-15,82.1,-1.11,5.77,"Naile, James",621438,664942,field_out,hit_into_play,,,,,2,Tyrone Taylor flies out to center fielder Lars Nootbaar.,R,R,R,STL,MIL,X,8.0,fly_ball,0,1,2023,1.07,-0.25,0.24,2.94,,,,2,9,Top,142.98,70.03,,,575929,,,0.9907698324660524,-119.60084472338237,0.6315719603996983,10.015378367465589,23.968368784469916,-34.895342917404655,3.26,1.56,323.0,97.7,42.0,82.0,2577,6.3,718166,664942,575929,668800,669242,680977,657557,676475,663457,660766,54.22,0.057,0.098,0.0,1.0,0.0,0.0,3.0,83,2,Curveball,18,1,1,18,1,18,1,18,Standard,Standard,59,0.0,-0.082
CU,2023-05-15,80.2,-1.27,5.71,"Naile, James",621438,664942,,foul,,,,,13,Tyrone Taylor flies out to center fielder Lars Nootbaar.,R,R,R,STL,MIL,S,,,0,0,2023,1.19,-0.55,-0.89,2.3,,,,2,9,Top,,,,,575929,,,-1.4172323264517472,-116.84718907362289,0.2283416707583043,11.146229709941537,23.415257575545468,-37.46907420236703,3.26,1.56,63.0,103.0,2.0,80.2,2423,6.4,718166,664942,575929,668800,669242,680977,657557,676475,663457,660766,54.14,,,,,,,,83,1,Curveball,18,1,1,18,1,18,1,18,Standard,Standard,63,0.0,-0.021
SI,2023-05-15,90.2,-1.03,5.78,"Naile, James",668930,664942,strikeout,foul_tip,,,,,11,Brice Turang strikes out on a foul tip.,R,L,R,STL,MIL,S,2.0,,3,2,2023,-1.21,0.18,-0.06,3.52,,,,1,9,Top,,,,,575929,,,4.9864237550308,-131.2125223025832,-0.013635394959762,-15.022801463214927,28.50953452075284,-30.313280069722413,3.33,1.54,,,,90.3,1530,6.4,718166,664942,575929,668800,669242,680977,657557,676475,663457,660766,54.05,,,0.0,1.0,0.0,0.0,,82,8,Sinker,18,1,1,18,1,18,1,18,Strategic,Standard,233,0.0,-0.211
SI,2023-05-15,90.0,-1.12,5.81,"Naile, James",668930,664942,,foul,,,,,2,Brice Turang strikes out on a foul tip.,R,L,R,STL,MIL,S,,,3,2,2023,-1.13,-0.2,0.12,2.92,,,,1,9,Top,,,,,575929,,,5.490728898910414,-130.84577266831042,-0.694134134262265,-14.178139683822575,30.527098763401707,-34.57555779975322,3.33,1.54,201.0,75.4,51.0,89.8,1509,6.5,718166,664942,575929,668800,669242,680977,657557,676475,663457,660766,54.05,,,,,,,,82,7,Sinker,18,1,1,18,1,18,1,18,Strategic,Standard,223,0.0,0.0
SI,2023-05-15,90.4,-0.94,5.85,"Naile, James",668930,664942,,foul,,,,,5,Brice Turang strikes out on a foul tip.,R,L,R,STL,MIL,S,,,3,2,2023,-0.88,-0.01,0.2,2.12,,,,1,9,Top,,,,,575929,,,4.7331912983237485,-131.4780899034076,-3.3024502255538124,-11.219435794924893,29.38677938808817,-31.744819942288142,3.33,1.54,255.0,81.5,29.0,90.5,1522,6.5,718166,664942,575929,668800,669242,680977,657557,676475,663457,660766,54.0,,,,,,,,82,6,Sinker,18,1,1,18,1,18,1,18,Standard,Standard,225,0.0,0.0
SI,2023-05-15,89.8,-1.14,5.84,"Naile, James",668930,664942,,called_strike,,,,,1,Brice Turang strikes out on a foul tip.,R,L,R,STL,MIL,S,,,3,1,2023,-1.11,-0.24,-0.63,3.23,,,,1,9,Top,,,,,575929,,,3.6228090423944543,-130.70293548414656,0.0400871226050894,-13.429668642647137,28.830157043724995,-35.12605329394038,3.19,1.5,,,,89.9,1527,6.4,718166,664942,575929,668800,669242,680977,657557,676475,663457,660766,54.07,,,,,,,,82,5,Sinker,18,1,1,18,1,18,1,18,Strategic,Standard,228,0.0,-0.069
SI,2023-05-15,89.3,-1.11,5.81,"Naile, James",668930,664942,,ball,,,,,11,Brice Turang strikes out on a foul tip.,R,L,R,STL,MIL,B,,,2,1,2023,-0.97,-0.15,-1.54,2.36,,,,1,9,Top,,,,,575929,,,0.9815314536298696,-130.0482520980815,-2.1914263737699518,-11.155035513727036,27.80257919896559,-33.59480821782526,3.17,1.5,,,,89.5,1544,6.4,718166,664942,575929,668800,669242,680977,657557,676475,663457,660766,54.1,,,,,,,,82,4,Sinker,18,1,1,18,1,18,1,18,Strategic,Standard,229,0.0,0.078
SI,2023-05-15,91.4,-1.26,5.79,"Naile, James",668930,664942,,ball,,,,,11,Brice Turang strikes out on a foul tip.,R,L,R,STL,MIL,B,,,1,1,2023,-1.03,-0.16,-0.97,3.54,,,,1,9,Top,,,,,575929,,,2.9514088460551124,-133.0677754233899,0.5941816758961427,-12.82412056207534,30.21858481465043,-34.446570628782986,3.17,1.48,,,,91.3,1467,6.3,718166,664942,575929,668800,669242,680977,657557,676475,663457,660766,54.17,,,,,,,,82,3,Sinker,18,1,1,18,1,18,1,18,Strategic,Standard,224,0.0,0.037
CU,2023-05-15,82.6,-1.13,5.91,"Naile, James",668930,664942,,ball,,,,,14,Brice Turang strikes out on a foul tip.,R,L,R,STL,MIL,B,,,0,1,2023,1.46,-0.4,0.29,0.51,,,,1,9,Top,,,,,575929,,,0.3784150977809868,-120.17002034374012,-4.966522622644817,14.038246051586636,24.893712789721675,-35.24645145673949,3.22,1.5,,,,82.5,2692,6.4,718166,664942,575929,668800,669242,680977,657557,676475,663457,660766,54.11,,,,,,,,82,2,Curveball,18,1,1,18,1,18,1,18,Standard,Standard,49,0.0,0.021
CU,2023-05-15,81.0,-1.14,5.93,"Naile, James",668930,664942,,called_strike,,,,,1,Brice Turang strikes out on a foul tip.,R,L,R,STL,MIL,S,,,0,0,2023,1.25,-0.15,-0.57,3.26,,,,1,9,Top,,,,,575929,,,-1.1128529695293752,-117.89595749708964,0.9597255900298178,11.821463567592843,23.264141549811512,-33.96632485412617,3.22,1.57,,,,80.8,2519,6.2,718166,664942,575929,668800,669242,680977,657557,676475,663457,660766,54.26,,,,,,,,82,1,Curveball,18,1,1,18,1,18,1,18,Strategic,Standard,50,0.0,-0.028
