pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-04-07,87.3,2.25,5.5,"Naughton, Packy",592885,676050,walk,ball,,,,,11,Christian Yelich walks.,R,L,L,MIL,STL,B,,,3,2,2023,0.05,0.42,-1.19,3.47,,,,2,8,Bot,,,,,575929,,,-8.32062633869874,-126.81194340398775,0.4453810634670057,2.300908971709869,27.18568410925343,-28.031801544871147,3.22,1.64,,,,86.5,2345.0,6.0,718674,676050,575929,502671,680977,571448,669242,676475,641933,691023,54.51,,,0.7,1.0,0.0,0.0,,71,7,Cutter,4,0,4,0,0,4,4,0,Strategic,Standard,203.0,0.0,0.112
SI,2023-04-07,92.4,2.39,5.48,"Naughton, Packy",592885,676050,,foul,,,,,4,Christian Yelich walks.,R,L,L,MIL,STL,S,,,3,2,2023,1.36,1.1,-0.49,2.54,,,,2,8,Bot,,,,,575929,,,-10.244451439819334,-134.1187416944919,-4.006971333844871,18.706522626139854,30.25480462338087,-18.211039419592616,3.25,1.65,222.0,78.3,49.0,91.9,1935.0,6.2,718674,676050,575929,502671,680977,571448,669242,676475,641933,691023,54.29,,,,,,,,71,6,Sinker,4,0,4,0,0,4,4,0,Strategic,Standard,142.0,0.0,0.0
FF,2023-04-07,89.3,2.24,5.56,"Naughton, Packy",592885,676050,,ball,,,,,13,Christian Yelich walks.,R,L,L,MIL,STL,B,,,2,2,2023,-0.14,0.67,-1.7,0.84,,,,2,8,Bot,,,,,575929,,,-9.342863418781228,-129.55564445050774,-6.896267920467144,0.5429696558286432,29.01691112346658,-23.288498993637752,3.23,1.75,,,,88.4,2415.0,6.1,718674,676050,575929,502671,680977,571448,669242,676475,641933,691023,54.44,,,,,,,,71,5,4-Seam Fastball,4,0,4,0,0,4,4,0,Strategic,Standard,175.0,0.0,0.041
FC,2023-04-07,88.3,2.33,5.59,"Naughton, Packy",592885,676050,,swinging_strike,,,,,13,Christian Yelich walks.,R,L,L,MIL,STL,S,,,2,1,2023,0.0,0.73,-0.72,1.08,,,,2,8,Bot,,,,,575929,,,-7.381751997457568,-128.27414338868505,-6.334239898898382,1.6391512786804503,28.24713654922336,-22.904980883274117,3.25,1.65,,,,87.5,2425.0,6.1,718674,676050,575929,502671,680977,571448,669242,676475,641933,691023,54.45,,,,,,,,71,4,Cutter,4,0,4,0,0,4,4,0,Standard,Standard,169.0,0.0,-0.03
CH,2023-04-07,85.0,2.3,5.57,"Naughton, Packy",592885,676050,,ball,,,,,13,Christian Yelich walks.,R,L,L,MIL,STL,B,,,1,1,2023,1.6,0.33,-0.29,1.47,,,,2,8,Bot,,,,,575929,,,-9.17506596300448,-123.35467610956678,-3.8321275174168665,18.21601038803664,26.77137224310635,-28.217713250602515,3.29,1.65,,,,83.8,1497.0,5.9,718674,676050,575929,502671,680977,571448,669242,676475,641933,691023,54.62,,,,,,,,71,3,Changeup,4,0,4,0,0,4,4,0,Strategic,Standard,126.0,0.0,0.023
FC,2023-04-07,89.1,2.41,5.55,"Naughton, Packy",592885,676050,,called_strike,,,,,8,Christian Yelich walks.,R,L,L,MIL,STL,S,,,1,0,2023,-0.14,0.75,-0.25,1.79,,,,2,8,Bot,,,,,575929,,,-6.198100620797517,-129.51929754292138,-4.70031917950979,-0.1835627954220327,29.665766239250644,-22.896140628387705,3.29,1.79,,,,88.2,2363.0,6.0,718674,676050,575929,502671,680977,571448,669242,676475,641933,691023,54.49,,,,,,,,71,2,Cutter,4,0,4,0,0,4,4,0,Strategic,Standard,170.0,0.0,-0.027
FF,2023-04-07,94.6,2.07,5.61,"Naughton, Packy",592885,676050,,ball,,,,,13,Christian Yelich walks.,R,L,L,MIL,STL,B,,,0,0,2023,0.74,1.29,-1.06,2.14,,,,2,8,Bot,,,,,575929,,,-9.74129771688476,-137.20256025492307,-6.146320418633646,11.627515623907913,33.46768173412079,-14.61210121862373,3.29,1.59,,,,93.6,2128.0,6.1,718674,676050,575929,502671,680977,571448,669242,676475,641933,691023,54.39,,,,,,,,71,1,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,159.0,0.0,0.021
CH,2023-04-07,85.8,2.3,5.59,"Naughton, Packy",686894,676050,field_out,hit_into_play,,,,,14,Joey Wiemer lines out to right fielder Jordan Walker.,R,R,L,MIL,STL,X,9.0,line_drive,0,1,2023,1.45,0.6,1.22,2.28,,,,1,8,Bot,203.22,106.54,,,575929,,,-5.433710064089193,-124.78661985481943,-2.698969440877833,16.229480702809457,27.18103153151901,-25.619659411308,3.55,1.63,297.0,90.4,23.0,84.8,1519.0,5.8,718674,676050,575929,502671,680977,571448,669242,676475,641933,691023,54.68,0.183,0.206,0.0,1.0,0.0,0.0,3.0,70,2,Changeup,4,0,4,0,0,4,4,0,Standard,Standard,129.0,0.0,-0.144
CH,2023-04-07,86.6,2.25,5.64,"Naughton, Packy",686894,676050,,foul,,,,,14,Joey Wiemer lines out to right fielder Jordan Walker.,R,R,L,MIL,STL,S,,,0,0,2023,1.51,0.56,0.13,1.44,,,,1,8,Bot,,,,,575929,,,-8.063081241415574,-125.78800996840988,-4.870848036925919,17.74450122852845,27.125730286137756,-25.36359785404144,3.55,1.63,,,,85.7,1540.0,5.9,718674,676050,575929,502671,680977,571448,669242,676475,641933,691023,54.57,,,,,,,,70,1,Changeup,4,0,4,0,0,4,4,0,Standard,Standard,128.0,0.0,-0.028
FF,2023-04-07,92.9,2.35,5.46,"Naughton, Packy",668930,676050,strikeout,called_strike,,,,,7,Brice Turang called out on strikes.,R,L,L,MIL,STL,S,2.0,,3,2,2023,0.6,1.29,-0.49,1.91,,,,0,8,Bot,,,,,575929,,,-8.549609520993041,-134.82520979931118,-6.026059509139475,9.326747960291796,31.48626021911957,-15.30855864097686,3.23,1.45,,,,92.2,1992.0,6.2,718674,676050,575929,502671,680977,571448,669242,676475,641933,691023,54.33,,,0.0,1.0,0.0,0.0,,69,6,4-Seam Fastball,4,0,4,0,0,4,4,0,Strategic,Standard,144.0,-0.001,-0.315
