pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SL,2023-04-29,89.2,-1.97,6.0,"Nevin, Tyler",663527,657508,home_run,hit_into_play,,,,,6,Tyler Nevin homers (1) on a fly ball to center field.   Riley Greene scores.    Javier Baez scores.,R,R,R,DET,BAL,X,,fly_ball,2,2,2023,0.19,0.28,0.31,2.84,682985.0,,595879.0,0,6,Bot,130.95,28.76,,,668939,,,5.204077377260268,-129.94150325348642,-2.409254696537389,1.1357138767580046,24.70202668121752,-28.745433457357912,3.56,1.65,421.0,105.4,25.0,89.5,2245,6.2,718401,657508,668939,663624,687401,683002,622761,669720,663630,623993,54.27,0.934,1.775,2.0,1.0,0.0,3.0,6.0,49,5,Slider,1,6,1,6,6,4,4,6,Standard,Standard,172,0.124,1.75,tyler nevin,
SI,2023-04-29,95.1,-2.28,5.18,"Nevin, Tyler",663527,666974,field_out,hit_into_play,,,,,5,Tyler Nevin flies out to right fielder Anthony Santander.,R,R,R,DET,BAL,X,9.0,fly_ball,1,0,2023,-1.39,-0.32,-0.14,2.75,,,,1,8,Bot,189.69,88.9,,,668939,,,8.660831906799606,-138.33363439531226,-0.0139866121091531,-19.759084148732637,29.98378240267678,-36.521843935288985,3.56,1.65,314.0,98.9,41.0,94.5,2025,5.9,718401,666974,668939,663624,687401,683002,622761,669720,663630,623993,54.63,0.077,0.127,0.0,1.0,0.0,0.0,3.0,66,2,Sinker,4,6,4,6,6,4,4,6,Standard,Standard,258,-0.028,-0.2,tyler nevin,
SL,2023-04-27,86.9,-0.33,6.42,"Nevin, Tyler",663527,641329,strikeout,called_strike,,,,,9,Tyler Nevin called out on strikes.,R,R,R,DET,BAL,S,2.0,,1,2,2023,0.8,0.18,0.74,1.8,656716.0,682985.0,665155.0,2,6,Bot,,,,,668939,,,0.9193734635730306,-126.51066784600548,-5.311987910118819,8.442818487010697,25.07134978534909,-29.34343923291621,3.56,1.65,,,,87.5,2358,6.6,718405,641329,668939,663624,687401,602104,622761,663630,656775,624428,53.9,,,0.0,1.0,0.0,0.0,,56,6,Slider,4,2,4,2,2,4,4,2,Standard,Standard,139,-0.039,-0.488,tyler nevin,
FF,2023-04-27,96.8,-0.29,6.84,"Nevin, Tyler",663527,642585,walk,ball,,,,,11,Tyler Nevin walks.,R,R,R,DET,BAL,B,,,3,2,2023,-0.45,1.72,-0.57,4.19,,,,0,9,Bot,,,,,668939,,,0.2901988207305014,-140.93979621479386,-5.502609106756887,-6.07576015161859,33.085437789147186,-8.193832880953241,3.56,1.65,,,,97.4,2354,6.6,718405,642585,668939,663624,687401,602104,622761,663630,656775,624428,53.85,,,0.7,1.0,0.0,0.0,,80,6,4-Seam Fastball,4,7,4,7,7,4,4,7,Standard,Standard,189,0.045,0.316,tyler nevin,
FF,2023-04-26,92.3,-2.47,5.27,"Nevin, Tyler",663527,657265,strikeout,foul_tip,,,,,5,Tyler Nevin strikes out on a foul tip.,R,R,R,MIL,DET,S,2.0,,0,2,2023,-0.78,1.31,-0.26,2.94,,570731.0,,1,8,Top,,,,,605170,,,7.354831026426921,-134.318873028928,-2.982566412131124,-10.970881225898871,28.057096308583656,-15.886852497570144,3.56,1.65,,,,92.8,2386,6.5,718419,657265,605170,642133,668930,670712,642715,592885,686894,605119,54.01,,,0.0,1.0,0.0,0.0,,64,3,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,229,0.031,-0.194,tyler nevin,
FF,2023-04-25,90.6,1.35,6.16,"Nevin, Tyler",663527,641778,field_out,hit_into_play,,,,,5,Tyler Nevin flies out to right fielder Brian Anderson.,R,R,L,MIL,DET,X,9.0,fly_ball,0,0,2023,0.88,1.57,-0.15,2.29,606992.0,,679529.0,2,2,Top,184.96,139.06,,,661388,,,-5.613432877587778,-131.70153103938617,-7.042531363083072,11.47136926774389,28.621552798725894,-12.606389372031584,3.55,1.65,209.0,90.6,60.0,90.3,2185,6.2,718428,641778,661388,642133,668930,680911,642715,592885,686894,605119,54.27,0.006,0.005,0.0,1.0,0.0,0.0,3.0,18,1,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,145,0.022,-0.549,tyler nevin,
FF,2023-04-25,91.1,1.42,6.17,"Nevin, Tyler",663527,641778,force_out,hit_into_play,,,,,8,"Tyler Nevin grounds into a force out, shortstop Willy Adames to second baseman Brice Turang.   Spencer Torkelson out at 2nd.",R,R,L,MIL,DET,X,6.0,ground_ball,2,0,2023,0.82,1.45,-0.07,2.1,663837.0,,679529.0,2,1,Top,116.24,162.09,,,661388,,,-5.482980606578344,-132.48367381739106,-7.403073677794528,10.881581898922285,28.67170458142569,-13.685541244527696,3.55,1.65,7.0,96.9,-17.0,90.7,2236,6.1,718428,641778,661388,642133,668930,680911,642715,592885,686894,605119,54.37,0.16,0.144,0.0,1.0,0.0,0.0,2.0,5,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,145,0.047,-0.765,tyler nevin,
SL,2023-04-23,77.4,-2.4,5.93,"Nevin, Tyler",663527,680570,field_out,hit_into_play,,,,,8,"Tyler Nevin grounds out, third baseman Gunnar Henderson to first baseman Ryan Mountcastle.",R,R,R,BAL,DET,X,5.0,ground_ball,0,0,2023,0.74,0.1,0.13,2.21,,,,0,4,Top,95.85,170.39,,,668939,,,4.118376316830089,-112.53693403216394,-1.053142751523161,5.351219073391629,23.539309462328625,-31.349879332926008,3.57,1.65,76.0,92.5,4.0,78.0,2107,7.1,718459,680570,668939,663624,602104,683002,622761,669720,656775,663630,53.4,0.434,0.417,0.0,1.0,0.0,0.0,4.0,25,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,73,0.027,-0.235,tyler nevin,
SL,2023-04-23,90.8,-2.35,6.27,"Nevin, Tyler",663527,657508,field_out,hit_into_play,,,,,6,"Tyler Nevin grounds out, shortstop Jorge Mateo to first baseman Ryan Mountcastle.",R,R,R,BAL,DET,X,6.0,ground_ball,0,0,2023,0.29,0.58,0.28,2.66,,,,2,6,Top,106.51,151.61,,,668939,,,5.947703145408621,-131.99987032583482,-4.24335188495717,1.846831239074003,33.39037629583718,-24.614258611248847,3.57,1.65,89.0,99.7,5.0,90.1,2182,6.3,718459,657508,668939,663624,602104,683002,622761,669720,656775,663630,54.17,0.56,0.522,0.0,1.0,0.0,0.0,4.0,40,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,130,0.016,-0.103,tyler nevin,
SI,2023-04-22,91.5,-2.07,6.43,"Nevin, Tyler",663527,502043,strikeout,called_strike,,,,,12,Tyler Nevin called out on strikes.,R,R,R,BAL,DET,S,2.0,,1,2,2023,-1.14,0.7,0.86,3.03,,,668731.0,0,5,Top,,,,,543510,,,9.989468706151776,-133.01252966740185,-4.314693689536601,-15.626709275960264,25.785607966239308,-23.16259820197619,3.67,1.73,,,,93.1,2050,7.1,718472,502043,543510,663624,624428,602104,683002,669720,656775,623993,53.44,,,0.0,1.0,0.0,0.0,,37,4,Sinker,5,0,0,5,0,5,0,5,Standard,Standard,206,0.019,-0.256,tyler nevin,
