pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-05-23,87.3,-2.32,5.87,"Nogosek, Stephen",664023,668665,walk,ball,,,,,14,Ian Happ walks.,R,L,R,CHC,NYM,B,,,3,1,2023,0.58,0.62,1.71,2.34,,621020.0,,2,8,Bot,,,,,596142,,,8.456552279602295,-126.94496138186922,-3.614774682891783,4.6672880186008925,24.854652800670657,-24.967219614349062,3.34,1.59,,,,87.1,2194.0,6.1,718055,668665,596142,624413,643446,683146,596019,502054,607043,516782,54.38,,,0.7,1.0,0.0,0.0,,71,5,Cutter,7,2,7,2,2,7,7,2,Strategic,Standard,183.0,0.001,0.049
FF,2023-05-23,93.0,-2.34,5.84,"Nogosek, Stephen",664023,668665,,called_strike,,,,,2,Ian Happ walks.,R,L,R,CHC,NYM,S,,,3,0,2023,-0.19,1.53,0.16,3.23,,621020.0,,2,8,Bot,,,,,596142,,,6.806083713385298,-135.28137637991566,-4.268921827863083,-3.847207791083477,29.17099277718262,-12.675417325732685,3.27,1.48,,,,92.6,2379.0,6.1,718055,668665,596142,624413,643446,683146,596019,502054,607043,516782,54.45,,,,,,,,71,4,4-Seam Fastball,7,2,7,2,2,7,7,2,Strategic,Standard,192.0,0.0,-0.011
FF,2023-05-23,93.0,-2.1,5.8,"Nogosek, Stephen",664023,668665,,ball,,,,,14,Ian Happ walks.,R,L,R,CHC,NYM,B,,,2,0,2023,-0.31,1.5,1.52,1.66,,621020.0,,2,8,Bot,,,,,596142,,,9.881881883674716,-135.0198437093093,-8.101048542347506,-5.838107902863564,27.528372606769747,-12.180778261768609,3.41,1.65,,,,92.6,2225.0,6.0,718055,668665,596142,624413,643446,683146,596019,502054,607043,516782,54.47,,,,,,,,71,3,4-Seam Fastball,7,2,7,2,2,7,7,2,Strategic,Standard,199.0,0.0,0.056
CH,2023-05-23,87.9,-2.61,5.62,"Nogosek, Stephen",664023,668665,,blocked_ball,,,,,14,Ian Happ walks.,R,L,R,CHC,NYM,B,,,1,0,2023,-0.9,0.85,0.19,-0.3,,621020.0,,2,8,Bot,,,,,596142,,,8.647697439310829,-127.50598778355818,-10.007325408213164,-11.546026735843816,24.543779179258568,-20.98605214757865,3.34,1.59,,,,88.0,1756.0,6.4,718055,668665,596142,624413,643446,683146,596019,502054,607043,516782,54.11,,,,,,,,71,2,Changeup,7,2,7,2,2,7,7,2,Strategic,Standard,228.0,0.0,0.029
FF,2023-05-23,94.1,-2.08,5.78,"Nogosek, Stephen",664023,668665,,ball,,,,,14,Ian Happ walks.,R,L,R,CHC,NYM,B,,,0,0,2023,-0.31,1.3,0.2,0.98,,621020.0,,2,8,Bot,,,,,596142,,,6.574297453117248,-136.70276519498998,-9.62207238191723,-5.317092911215718,28.9150184066286,-13.915546568424595,3.41,1.65,,,,93.9,2227.0,6.2,718055,668665,596142,624413,643446,683146,596019,502054,607043,516782,54.33,,,,,,,,71,1,4-Seam Fastball,7,2,7,2,2,7,7,2,Strategic,Standard,199.0,0.0,0.035
FF,2023-05-23,93.1,-1.85,5.93,"Nogosek, Stephen",621020,668665,field_error,hit_into_play,,,,,5,Dansby Swanson reaches on a throwing error by third baseman Brett Baty.   Dansby Swanson to 2nd.,R,R,R,CHC,NYM,X,5.0,ground_ball,3,2,2023,-0.09,1.17,-0.13,2.4,,,,2,8,Bot,102.31,159.9,,,596142,,,4.613987210798627,-135.57317857335903,-5.92063864387929,-2.0182958961502195,28.182837979807367,-16.598426003491326,3.44,1.59,13.0,99.1,-10.0,93.4,2213.0,6.3,718055,668665,596142,624413,643446,683146,596019,502054,607043,516782,54.18,0.257,0.275,0.9,1.0,0.0,0.0,2.0,70,8,4-Seam Fastball,7,2,7,2,2,7,7,2,Standard,Standard,196.0,0.0,0.123
CH,2023-05-23,87.2,-2.43,5.63,"Nogosek, Stephen",621020,668665,,ball,,,,,14,Dansby Swanson reaches on a throwing error by third baseman Brett Baty.   Dansby Swanson to 2nd.,R,R,R,CHC,NYM,B,,,2,2,2023,-1.02,0.63,0.57,0.67,,,,2,8,Bot,,,,,596142,,,9.3364702897425,-126.58528672546112,-7.106467503561075,-12.761562742987731,24.27367040868324,-24.11688061621249,3.56,1.68,,,,87.7,1344.0,6.6,718055,668665,596142,624413,643446,683146,596019,502054,607043,516782,53.92,,,,,,,,70,7,Changeup,7,2,7,2,2,7,7,2,Standard,Standard,224.0,0.0,0.041
ST,2023-05-23,77.7,-2.7,5.72,"Nogosek, Stephen",621020,668665,,foul,,,,,3,Dansby Swanson reaches on a throwing error by third baseman Brett Baty.   Dansby Swanson to 2nd.,R,R,R,CHC,NYM,S,,,2,2,2023,1.32,0.25,0.38,3.08,,,,2,8,Bot,,,,,596142,,,4.1509678198354205,-113.1498608628381,0.7740923404874225,10.626861718006817,20.21458763183659,-30.396624547259044,3.44,1.59,4.0,61.3,-36.0,77.6,2275.0,6.1,718055,668665,596142,624413,643446,683146,596019,502054,607043,516782,54.39,,,,,,,,70,6,Sweeper,7,2,7,2,2,7,7,2,Standard,Standard,64.0,0.0,0.0
FF,2023-05-23,93.3,-1.59,5.92,"Nogosek, Stephen",621020,668665,,ball,,,,,14,Dansby Swanson reaches on a throwing error by third baseman Brett Baty.   Dansby Swanson to 2nd.,R,R,R,CHC,NYM,B,,,1,2,2023,-0.01,1.39,1.84,2.59,,,,2,8,Bot,,,,,596142,,,8.86287488678834,-135.5943748935735,-5.85481745971237,-2.1029140981531684,29.337814935504078,-13.912846219814746,3.56,1.68,,,,93.3,2219.0,6.3,718055,668665,596142,624413,643446,683146,596019,502054,607043,516782,54.19,,,,,,,,70,5,4-Seam Fastball,7,2,7,2,2,7,7,2,Standard,Standard,187.0,0.0,0.018
FF,2023-05-23,94.0,-1.87,5.95,"Nogosek, Stephen",621020,668665,,foul,,,,,11,Dansby Swanson reaches on a throwing error by third baseman Brett Baty.   Dansby Swanson to 2nd.,R,R,R,CHC,NYM,S,,,1,2,2023,-0.16,1.42,-0.78,3.71,,,,2,8,Bot,,,,,596142,,,3.1765666714029344,-136.88403554640723,-3.2692358590068733,-2.730510186161121,29.58256432084089,-13.845602497028857,3.44,1.59,245.0,76.1,31.0,94.1,2228.0,6.3,718055,668665,596142,624413,643446,683146,596019,502054,607043,516782,54.24,,,,,,,,70,4,4-Seam Fastball,7,2,7,2,2,7,7,2,Standard,Standard,192.0,0.0,0.0
