pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-21,100.3,-2.48,6.0,"Greene, Hunter",643396,668881,strikeout,swinging_strike,,,,,3.0,Isiah Kiner-Falefa strikes out swinging.,R,R,R,CIN,NYY,S,2.0,,1,2,2023,-0.99,1.33,0.54,3.19,,683011.0,,2,7,Top,,,,,571912,,,10.679417395214308,-145.73837590132015,-5.56183634958342,-16.528832339850428,31.91012333963978,-12.002742852095524,3.25,1.48,,,,100.5,2413.0,6.3,718085,668881,571912,668715,621028,669222,680574,641584,656413,666181,54.19,,,0.0,1.0,0.0,0.0,,48,5,4-Seam Fastball,1,4,4,1,4,1,4,1,Strategic,Standard,224.0,0.015,-0.221
FF,2023-05-21,99.9,-2.44,6.06,"Greene, Hunter",643396,668881,,foul,,,,,12.0,Isiah Kiner-Falefa strikes out swinging.,R,R,R,CIN,NYY,S,,,1,2,2023,-0.96,1.31,0.4,3.44,,683011.0,,2,7,Top,,,,,571912,,,10.036858315012925,-145.13299681153995,-4.873376030701191,-15.929331492467613,35.04940245517095,-12.72899899796646,3.25,1.48,286.0,89.6,32.0,99.4,2337.0,6.2,718085,668881,571912,668715,621028,669222,680574,641584,656413,666181,54.32,,,,,,,,48,4,4-Seam Fastball,1,4,4,1,4,1,4,1,Strategic,Standard,218.0,0.0,0.0
SL,2023-05-21,89.9,-2.61,5.89,"Greene, Hunter",643396,668881,,ball,,,,,14.0,Isiah Kiner-Falefa strikes out swinging.,R,R,R,CIN,NYY,B,,,0,2,2023,0.36,0.34,0.88,1.84,,683011.0,,2,7,Top,,,,,571912,,,7.891073850322552,-130.7673997423863,-4.819851973992542,2.5427328240795264,25.84513639670076,-27.484080305513917,3.1,1.48,,,,90.0,2343.0,6.3,718085,668881,571912,668715,621028,669222,680574,641584,656413,666181,54.24,,,,,,,,48,3,Slider,1,4,4,1,4,1,4,1,Strategic,Standard,150.0,0.0,0.005
FF,2023-05-21,98.4,-2.53,6.13,"Greene, Hunter",643396,668881,,foul,,,,,11.0,Isiah Kiner-Falefa strikes out swinging.,R,R,R,CIN,NYY,S,,,0,1,2023,-1.03,1.14,-0.9,3.52,,683011.0,,2,7,Top,,,,,571912,,,6.800727662757142,-143.11837336980116,-4.237531911484826,-15.790182573074018,35.1139846010154,-15.69877337568956,3.25,1.48,,,,98.0,2251.0,6.2,718085,668881,571912,668715,621028,669222,680574,641584,656413,666181,54.26,,,,,,,,48,2,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,222.0,0.0,-0.051
FF,2023-05-21,97.9,-2.55,6.08,"Greene, Hunter",643396,668881,,called_strike,,,,,6.0,Isiah Kiner-Falefa strikes out swinging.,R,R,R,CIN,NYY,S,,,0,0,2023,-0.93,1.37,0.41,2.44,,683011.0,,2,7,Top,,,,,571912,,,10.075333227293491,-142.07952803647493,-7.491368361620637,-14.749819596186864,30.32752650738349,-11.974950097770096,3.12,1.48,,,,97.8,2257.0,6.2,718085,668881,571912,668715,621028,669222,680574,641584,656413,666181,54.25,,,,,,,,48,1,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,229.0,0.0,-0.056
SL,2023-05-21,89.9,-2.51,5.8,"Greene, Hunter",683011,668881,double,hit_into_play,,,,,5.0,Anthony Volpe doubles (5) on a ground ball to left fielder Jake Fraley.   Greg Allen scores.,R,R,R,CIN,NYY,X,7.0,ground_ball,1,2,2023,0.27,0.16,-0.19,2.07,656185.0,,,2,7,Top,56.7,112.79,,,571912,,,5.176098210463043,-130.70720368358934,-3.51429786835098,1.8288527609406369,30.674305171618716,-29.76443874978023,3.11,1.47,104.0,99.1,6.0,89.4,2472.0,6.3,718085,668881,571912,668715,621028,669222,680574,641584,656413,666181,54.24,0.563,0.521,1.25,1.0,1.0,1.0,4.0,47,4,Slider,1,3,3,1,4,1,4,1,Strategic,Standard,98.0,-0.078,1.026
SL,2023-05-21,91.1,-2.5,5.73,"Greene, Hunter",683011,668881,,blocked_ball,,,,,14.0,Anthony Volpe doubles (5) on a ground ball to left fielder Jake Fraley.   Greg Allen scores.,R,R,R,CIN,NYY,B,,,0,2,2023,-0.11,0.52,2.44,-1.39,,656185.0,,2,7,Top,,,,,571912,,,12.590930971734393,-131.50392790064484,-12.974189934332658,-4.137215752303435,30.01217938233568,-23.128654697824416,3.01,1.47,,,,90.4,2488.0,6.5,718085,668881,571912,668715,621028,669222,680574,641584,656413,666181,54.0,,,,,,,,47,3,Slider,1,3,3,1,3,1,3,1,Standard,Standard,156.0,-0.003,0.005
FF,2023-05-21,98.7,-2.47,6.05,"Greene, Hunter",683011,668881,,called_strike,,,,,3.0,Anthony Volpe doubles (5) on a ground ball to left fielder Jake Fraley.   Greg Allen scores.,R,R,R,CIN,NYY,S,,,0,1,2023,-1.07,1.54,0.61,3.14,,,656185.0,2,7,Top,,,,,571912,,,10.854349617973533,-143.17552064892493,-5.97125120627319,-17.310655905949968,34.541549468402785,-9.800630623588312,3.04,1.5,,,,98.2,2429.0,6.3,718085,668881,571912,668715,621028,669222,680574,641584,656413,666181,54.21,,,,,,,,47,2,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,220.0,-0.009,-0.038
SL,2023-05-21,88.6,-2.68,5.85,"Greene, Hunter",683011,668881,,foul,,,,,5.0,Anthony Volpe doubles (5) on a ground ball to left fielder Jake Fraley.   Greg Allen scores.,R,R,R,CIN,NYY,S,,,0,0,2023,0.21,0.42,-0.22,2.41,,,656185.0,2,7,Top,,,,,571912,,,5.5656028075781725,-128.90379381720393,-3.222692647917291,1.1883263601515488,26.251362740393915,-27.079093517671875,3.11,1.47,200.0,79.5,68.0,88.5,2347.0,6.2,718085,668881,571912,668715,621028,669222,680574,641584,656413,666181,54.33,,,,,,,,47,1,Slider,1,3,3,1,3,1,3,1,Standard,Standard,127.0,0.0,-0.036
FF,2023-05-21,99.8,-2.6,5.88,"Greene, Hunter",641343,668881,walk,ball,,,,,14.0,Jake Bauers walks.,R,L,R,CIN,NYY,B,,,3,1,2023,-0.84,1.18,1.31,1.98,,,,2,7,Top,,,,,571912,,,12.729784470465164,-144.57858142468362,-8.089322970855346,-14.80491639133782,34.01771613812632,-13.788099769618476,3.29,1.6,,,,99.6,2265.0,6.5,718085,668881,571912,668715,621028,669222,680574,641584,656413,666181,54.05,,,0.7,1.0,0.0,0.0,,46,5,4-Seam Fastball,1,3,3,1,3,1,3,1,Strategic,Standard,239.0,-0.008,0.066
