pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-12,79.3,-2.02,4.95,"Patton, Spencer",543257,607359,home_run,hit_into_play,,,,,6,Robbie Grossman homers (4) on a fly ball to right field.,R,L,R,OAK,TEX,X,,fly_ball,2,2,2023,1.4,-0.13,0.54,2.56,,,,2,6,Top,219.62,84.06,,,542208,,,2.960639363408187,-115.34054077836043,1.8650458282899811,11.8489937825918,23.17743863303201,-33.97699600291363,3.06,1.5,365.0,97.1,39.0,79.1,2104,6.3,718200,607359,542208,542583,672478,675656,669397,667670,665923,657656,54.18,0.109,0.184,2.0,1.0,0.0,3.0,3.0,54,5,Slider,4,4,4,4,5,4,5,4,Strategic,Standard,63,-0.183,1.013
FF,2023-05-12,91.4,-1.85,5.0,"Patton, Spencer",543257,607359,,ball,,,,,14,Robbie Grossman homers (4) on a fly ball to right field.,R,L,R,OAK,TEX,B,,,1,2,2023,-0.83,1.11,0.48,0.24,,,,2,6,Top,,,,,542208,,,7.656847052636256,-132.6984416234567,-8.496849894208657,-11.453733369284006,27.972395273730776,-17.40150986006047,3.06,1.5,,,,91.5,2165,6.4,718200,607359,542208,542583,672478,675656,669397,667670,665923,657656,54.06,,,,,,,,54,4,4-Seam Fastball,4,4,4,4,4,4,4,4,Strategic,Standard,220,0.0,0.018
FF,2023-05-12,91.1,-1.94,5.04,"Patton, Spencer",543257,607359,,ball,,,,,12,Robbie Grossman homers (4) on a fly ball to right field.,R,L,R,OAK,TEX,B,,,0,2,2023,-0.82,1.17,0.06,4.46,,,,2,6,Top,,,,,542208,,,6.830988810418102,-132.5619326511591,1.9438322620468425,-11.183418511814493,28.705715426581516,-19.019077590652014,3.09,1.5,,,,91.4,2118,6.5,718200,607359,542208,542583,672478,675656,669397,667670,665923,657656,54.01,,,,,,,,54,3,4-Seam Fastball,4,4,4,4,4,4,4,4,Strategic,Standard,216,0.0,0.014
SL,2023-05-12,79.8,-2.01,5.0,"Patton, Spencer",543257,607359,,called_strike,,,,,2,Robbie Grossman homers (4) on a fly ball to right field.,R,L,R,OAK,TEX,S,,,0,1,2023,1.58,-0.06,0.09,3.06,,,,2,6,Top,,,,,542208,,,1.6615311769204248,-116.07982461631862,2.664995655286172,13.803957200383074,24.14800263374746,-33.53746588362746,2.98,1.5,,,,79.4,1986,6.3,718200,607359,542208,542583,672478,675656,669397,667670,665923,657656,54.19,,,,,,,,54,2,Slider,4,4,4,4,4,4,4,4,Strategic,Standard,55,0.0,-0.025
FS,2023-05-12,83.7,-2.09,4.93,"Patton, Spencer",543257,607359,,called_strike,,,,,13,Robbie Grossman homers (4) on a fly ball to right field.,R,L,R,OAK,TEX,S,,,0,0,2023,-1.18,0.8,-0.9,2.03,,,,2,6,Top,,,,,542208,,,5.081430238673063,-121.803959597966,-1.8900594156185424,-12.70737835373018,23.060632052035206,-23.996861173743103,3.06,1.5,,,,84.0,1497,6.4,718200,607359,542208,542583,672478,675656,669397,667670,665923,657656,54.09,,,,,,,,54,1,Split-Finger,4,4,4,4,4,4,4,4,Standard,Standard,254,0.0,-0.021
FF,2023-05-12,90.8,-1.88,5.03,"Patton, Spencer",543760,607359,field_out,hit_into_play,,,,,3,"Marcus Semien grounds out, third baseman Kevin Smith to first baseman Jesus Aguilar.",R,R,R,OAK,TEX,X,5.0,ground_ball,3,1,2023,-0.47,1.23,0.3,2.86,,,,1,6,Top,94.04,166.06,,,542208,,,6.494817630274258,-132.16072918105667,-2.1605682377596542,-6.858110204844656,27.679665211648256,-17.48302804147159,3.34,1.65,44.0,73.7,1.0,91.2,2152,6.5,718200,607359,542208,542583,672478,675656,669397,667670,665923,657656,53.99,0.126,0.113,0.0,1.0,0.0,0.0,2.0,53,5,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,213,0.025,-0.28
FF,2023-05-12,91.5,-1.85,5.1,"Patton, Spencer",543760,607359,,foul,,,,,4,"Marcus Semien grounds out, third baseman Kevin Smith to first baseman Jesus Aguilar.",R,R,R,OAK,TEX,S,,,3,0,2023,-0.79,1.25,-0.28,2.21,,,,1,6,Top,,,,,542208,,,5.6933234799756445,-133.1714370022841,-4.115799534530082,-10.664821066884793,29.17588745886499,-16.629925959281007,3.34,1.65,19.0,96.3,-6.0,91.8,2177,6.5,718200,607359,542208,542583,672478,675656,669397,667670,665923,657656,53.98,,,,,,,,53,4,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,216,0.0,-0.049
SL,2023-05-12,80.0,-2.2,4.98,"Patton, Spencer",543760,607359,,ball,,,,,11,"Marcus Semien grounds out, third baseman Kevin Smith to first baseman Jesus Aguilar.",R,R,R,OAK,TEX,B,,,2,0,2023,1.17,0.05,-1.24,2.92,,,,1,6,Top,,,,,542208,,,-0.0941417214687694,-116.55055051644962,2.065026450726073,10.654682656959368,22.17457126665396,-32.30277375803618,3.12,1.65,,,,79.9,1696,6.2,718200,607359,542208,542583,672478,675656,669397,667670,665923,657656,54.34,,,,,,,,53,3,Slider,4,4,4,4,4,4,4,4,Standard,Standard,68,0.0,0.083
SL,2023-05-12,80.6,-2.07,4.95,"Patton, Spencer",543760,607359,,ball,,,,,14,"Marcus Semien grounds out, third baseman Kevin Smith to first baseman Jesus Aguilar.",R,R,R,OAK,TEX,B,,,1,0,2023,0.94,0.03,1.38,0.29,,,,1,6,Top,,,,,542208,,,5.895296017257414,-117.32361255287634,-3.777634871742201,7.633025818820442,21.67982208362352,-31.370082223585715,3.14,1.65,,,,80.8,2196,6.4,718200,607359,542208,542583,672478,675656,669397,667670,665923,657656,54.12,,,,,,,,53,2,Slider,4,4,4,4,4,4,4,4,Standard,Standard,55,0.0,0.046
SL,2023-05-12,81.2,-2.15,4.98,"Patton, Spencer",543760,607359,,ball,,,,,14,"Marcus Semien grounds out, third baseman Kevin Smith to first baseman Jesus Aguilar.",R,R,R,OAK,TEX,B,,,0,0,2023,1.22,0.22,1.94,1.47,,,,1,6,Top,,,,,542208,,,6.83505100636864,-118.17173838448768,-1.6920678890331486,10.175979851741191,21.702377322674387,-29.986623299008983,3.23,1.65,,,,81.5,2121,6.4,718200,607359,542208,542583,672478,675656,669397,667670,665923,657656,54.08,,,,,,,,53,1,Slider,4,4,4,4,4,4,4,4,Standard,Standard,59,0.0,0.028
