pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,player_first_name,player_last_name
SL,2023-05-24,80.4,-1.53,5.09,"Goldschmidt, Paul",502671,594902,strikeout,swinging_strike,,,,,14,Paul Goldschmidt strikes out swinging.,R,R,R,CIN,STL,S,2.0,,2,2,2023,0.8,0.18,1.26,2.13,,,,0,5,Top,,,,,663886,,,4.710702732526518,-117.01115308159902,-0.2066982176672438,6.437788872810006,22.15593858901757,-30.67950970729061,3.4,1.61,,,,81.1,2130.0,6.8,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.75,,,0.0,1.0,0.0,0.0,,44,6,Slider,6,2,2,6,2,6,2,6,Strategic,Standard,75.0,0.016,-0.205,Paul,Goldschmidt
SI,2023-05-24,93.6,-1.2,5.25,"Goldschmidt, Paul",502671,594902,,foul,,,,,3,Paul Goldschmidt strikes out swinging.,R,R,R,CIN,STL,S,,,2,2,2023,-1.02,1.49,0.79,2.94,,,,0,5,Top,,,,,663886,,,7.450909241914404,-136.12837977722305,-3.5515965034653303,-14.33893849208568,28.592000607356557,-13.004322692927662,3.4,1.61,218.0,86.0,59.0,94.2,2194.0,6.6,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.9,,,,,,,,44,5,Sinker,6,2,2,6,2,6,2,6,Strategic,Standard,214.0,0.0,0.0,Paul,Goldschmidt
CH,2023-05-24,85.9,-1.32,5.17,"Goldschmidt, Paul",502671,594902,,ball,,,,,13,Paul Goldschmidt strikes out swinging.,R,R,R,CIN,STL,B,,,1,2,2023,-1.4,0.5,-0.1,0.68,,,,0,5,Top,,,,,663886,,,5.799288535405198,-124.97517461735823,-5.441868254111187,-15.85618704395593,24.722492172758844,-26.06763187246941,3.4,1.61,,,,86.8,1614.0,6.8,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.7,,,,,,,,44,4,Changeup,6,2,2,6,2,6,2,6,Standard,Standard,241.0,0.0,0.03,Paul,Goldschmidt
FF,2023-05-24,91.5,-1.2,5.36,"Goldschmidt, Paul",502671,594902,,ball,,,,,11,Paul Goldschmidt strikes out swinging.,R,R,R,CIN,STL,B,,,0,2,2023,-0.65,1.24,-0.65,4.32,,,,0,5,Top,,,,,663886,,,2.8237295559451576,-133.28190429777322,0.5698581993524426,-8.392015620846115,28.929200741955743,-17.734334939560014,3.4,1.61,,,,91.8,2023.0,6.5,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,54.04,,,,,,,,44,3,4-Seam Fastball,6,2,2,6,2,6,2,6,Standard,Standard,213.0,0.0,0.026,Paul,Goldschmidt
SI,2023-05-24,91.4,-1.39,5.17,"Goldschmidt, Paul",502671,594902,,foul,,,,,7,Paul Goldschmidt strikes out swinging.,R,R,R,CIN,STL,S,,,0,1,2023,-1.23,0.76,-0.77,1.84,,,,0,5,Top,,,,,663886,,,4.286205912790487,-133.16817085080217,-4.281042682504342,-15.625254181887684,25.28653049381748,-22.3794356857026,3.4,1.61,273.0,85.7,32.0,93.0,1977.0,6.9,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.59,,,,,,,,44,2,Sinker,6,2,2,6,2,6,2,6,Standard,Standard,220.0,0.0,-0.049,Paul,Goldschmidt
SI,2023-05-24,91.1,-1.31,5.16,"Goldschmidt, Paul",502671,594902,,called_strike,,,,,4,Paul Goldschmidt strikes out swinging.,R,R,R,CIN,STL,S,,,0,0,2023,-1.18,0.72,-0.45,2.69,,,,0,5,Top,,,,,663886,,,4.719523944002459,-132.73779498037842,-1.9753284175890824,-15.00475597382327,23.3775529146982,-23.399766629179545,3.4,1.61,,,,92.5,1871.0,6.7,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.82,,,,,,,,44,1,Sinker,6,2,2,6,2,6,2,6,Standard,Standard,220.0,0.0,-0.037,Paul,Goldschmidt
SI,2023-05-24,92.7,-1.32,5.14,"Goldschmidt, Paul",502671,594902,field_out,hit_into_play,,,,,6,Paul Goldschmidt flies out to right fielder Stuart Fairchild.,R,R,R,CIN,STL,X,9.0,fly_ball,3,2,2023,-1.09,1.14,0.51,2.5,,,,0,3,Top,213.62,105.97,,,663886,,,7.122527539979333,-134.87675600319935,-3.5037025603484984,-14.832718630878444,26.732943819064445,-17.665343852098086,3.4,1.61,315.0,97.1,44.0,93.7,2101.0,6.7,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.8,0.017,0.025,0.0,1.0,0.0,0.0,3.0,23,6,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,216.0,0.017,-0.314,Paul,Goldschmidt
SL,2023-05-24,78.6,-1.4,5.09,"Goldschmidt, Paul",502671,594902,,ball,,,,,14,Paul Goldschmidt flies out to right fielder Stuart Fairchild.,R,R,R,CIN,STL,B,,,2,2,2023,1.03,-0.02,1.2,1.68,,,,0,3,Top,,,,,663886,,,3.75687809103818,-114.4669593224692,-0.5071098489389468,8.324467163827283,21.841997964109915,-32.43572714457047,3.4,1.61,,,,79.3,2135.0,6.8,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.7,,,,,,,,23,5,Slider,4,0,0,4,0,4,0,4,Standard,Standard,74.0,0.0,0.108,Paul,Goldschmidt
FF,2023-05-24,90.3,-1.29,5.32,"Goldschmidt, Paul",502671,594902,,ball,,,,,12,Paul Goldschmidt flies out to right fielder Stuart Fairchild.,R,R,R,CIN,STL,B,,,1,2,2023,-0.65,1.39,1.06,4.07,,,,0,3,Top,,,,,663886,,,7.303519265970729,-131.42074004694615,-0.1049677300521853,-9.005714537600445,26.85385689657635,-16.257322917237587,3.4,1.61,,,,91.4,2161.0,6.9,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.64,,,,,,,,23,4,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,211.0,0.0,0.03,Paul,Goldschmidt
SI,2023-05-24,93.2,-1.25,5.14,"Goldschmidt, Paul",502671,594902,,ball,,,,,14,Paul Goldschmidt flies out to right fielder Stuart Fairchild.,R,R,R,CIN,STL,B,,,0,2,2023,-1.18,0.97,1.15,2.35,,,,0,3,Top,,,,,663886,,,8.921351118173877,-135.43852691813402,-3.60985530732907,-16.451085258813485,27.719498222654877,-19.551259899338184,3.4,1.61,,,,95.0,2072.0,7.3,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.21,,,,,,,,23,3,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,225.0,0.0,0.026,Paul,Goldschmidt
