pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-12,96.5,-1.28,5.95,"Pederson, Joc",592626,669194,walk,ball,,,,,12,Joc Pederson walks.,R,L,R,AZ,SF,B,,,3,1,2023,-0.35,1.44,0.77,3.58,,,,2,3,Top,,,,,672515,,,6.308302276896852,-140.4939783065792,-4.082174081510925,-5.993723779593542,30.833891649163863,-12.32243997256163,3.45,1.77,,,,97.5,2267.0,6.8,718199,669194,672515,572233,606466,656896,605113,666971,666150,682998,53.75,,,0.7,1.0,0.0,0.0,,24,5,4-Seam Fastball,3,3,3,3,3,3,3,3,,,201.0,-0.015,0.066,joc pederson,
FF,2023-05-12,96.1,-1.33,5.78,"Pederson, Joc",592626,669194,home_run,hit_into_play,,,,,8,Joc Pederson homers (5) on a fly ball to right center field.    LaMonte Wade Jr.  scores.,R,L,R,AZ,SF,X,,fly_ball,3,2,2023,-0.37,1.45,0.24,1.96,,,664774.0,2,1,Top,210.88,55.63,,,672515,,,5.019243566031416,-139.7333461784221,-7.840501622326493,-5.943137065454257,31.65828187825901,-11.558578573105429,3.45,1.72,410.0,112.0,21.0,96.6,2347.0,6.6,718199,669194,672515,572233,606466,656896,605113,666971,666150,682998,53.87,0.971,1.791,2.0,1.0,0.0,3.0,6.0,4,6,4-Seam Fastball,0,0,0,0,2,0,2,0,Standard,Standard,206.0,-0.19,1.84,joc pederson,
FF,2023-05-12,93.4,0.46,6.08,"Pederson, Joc",592626,664948,walk,ball,,,,,13,Joc Pederson walks.   J.D. Davis to 2nd.,R,L,L,AZ,SF,B,,,3,0,2023,0.56,1.21,-1.6,2.25,,,605204.0,2,5,Top,,,,,672515,,,-6.481443661087192,-135.79749456946735,-6.710197038656612,8.408917515737222,30.45282262173209,-15.939531174884172,4.05,1.94,,,,92.6,2099.0,5.9,718199,664948,672515,572233,606466,656896,605113,666971,666150,682998,54.61,,,0.7,1.0,0.0,0.0,,42,4,4-Seam Fastball,4,4,4,4,4,4,4,4,Strategic,Standard,157.0,-0.027,0.088,joc pederson,
FF,2023-05-12,93.6,-1.65,6.04,"Pederson, Joc",592626,543518,hit_by_pitch,hit_by_pitch,,,,,12,Joc Pederson hit by pitch.,R,L,R,AZ,SF,B,,,0,2,2023,-0.95,1.44,2.01,3.52,,,,0,8,Top,,,,,672515,,,11.392254256398603,-135.8154046579511,-3.847997055155447,-14.32733074246875,31.53142589275216,-13.715490589802108,3.45,1.72,,,,92.2,2314.0,5.7,718199,543518,672515,656896,606466,668942,605113,682998,677950,666150,54.78,,,0.7,1.0,0.0,0.0,,67,3,4-Seam Fastball,7,4,4,7,4,7,4,7,Strategic,Standard,211.0,-0.041,0.481,joc pederson,
FC,2023-05-10,89.1,-1.93,5.13,"Pederson, Joc",592626,680686,field_out,hit_into_play,,,,,2,Joc Pederson flies out to left fielder Stone Garrett.,R,L,R,SF,WSH,X,7.0,fly_ball,0,0,2023,-0.05,0.67,-0.11,3.08,,669477.0,664774.0,2,7,Bot,90.22,121.4,,,656180,,,4.549729198901614,-129.79278932520958,-0.4732754893793857,-1.5085111756709768,25.26738066172588,-24.661062874193007,3.45,1.72,282.0,85.0,30.0,88.5,1976.0,5.7,718230,680686,656180,642086,671277,656308,545121,656448,669743,657041,54.8,0.057,0.086,0.0,1.0,0.0,0.0,3.0,65,1,Cutter,2,10,2,10,10,2,2,10,Standard,Standard,211.0,-0.002,-0.468,joc pederson,
CU,2023-05-10,83.1,-1.83,5.28,"Pederson, Joc",592626,680686,double,hit_into_play,,,,,13,Joc Pederson doubles (4) on a sharp line drive to center fielder Alex Call.,R,L,R,SF,WSH,X,8.0,line_drive,1,2,2023,0.17,-0.47,-0.5,1.54,,,,0,6,Bot,85.17,58.97,,,656180,,,2.692853266484101,-121.21599791828775,-1.3296569223159012,1.3148868422766904,18.915179372496883,-36.87175434241568,3.45,1.72,365.0,106.3,17.0,82.9,2464.0,5.6,718230,680686,656180,642086,671277,600869,545121,656448,669743,657041,54.9,0.577,0.663,1.25,1.0,1.0,1.0,5.0,52,6,Curveball,1,10,1,10,10,1,1,10,Standard,Strategic,41.0,0.003,0.679,joc pederson,
FC,2023-05-10,89.0,-1.69,5.27,"Pederson, Joc",592626,680686,walk,ball,,,,,12,Joc Pederson walks.,R,L,R,SF,WSH,B,,,3,2,2023,-0.07,0.64,0.86,3.86,,,,2,3,Bot,,,,,656180,,,6.338301370268191,-129.5456038313394,1.1408738846105768,-1.9547344800127755,23.97463310620377,-25.3358541181274,3.45,1.85,,,,88.4,2041.0,5.6,718230,680686,656180,642086,671277,600869,545121,656448,669743,657041,54.87,,,0.7,1.0,0.0,0.0,,29,6,Cutter,1,8,1,8,8,1,1,8,Strategic,Standard,193.0,0.003,0.112,joc pederson,
CU,2023-05-10,79.7,-2.41,5.42,"Pederson, Joc",592626,541640,field_out,hit_into_play,,,,,9,Joc Pederson flies out sharply to right fielder Lane Thomas.,R,L,R,SF,WSH,X,9.0,fly_ball,0,1,2023,0.61,-0.25,0.45,1.68,,,,1,9,Bot,193.13,95.04,,,656180,,,5.181408568471126,-116.00991566188912,-1.0070366307114682,4.573847122746872,21.38096277003765,-34.49432153918433,3.45,1.72,305.0,102.5,45.0,80.5,2494.0,6.8,718230,541640,656180,642086,671277,656308,545121,656448,669743,657041,53.69,0.074,0.128,0.0,1.0,0.0,0.0,3.0,82,2,Curveball,6,11,6,11,11,6,6,11,Standard,Standard,98.0,-0.002,-0.144,joc pederson,
CU,2023-05-10,81.4,-2.04,5.43,"Pederson, Joc",592626,680686,field_out,hit_into_play,,,,,13,"Joc Pederson grounds out, shortstop Ildemaro Vargas to first baseman Dominic Smith.",R,L,R,SF,WSH,X,6.0,ground_ball,1,0,2023,0.18,-0.51,-0.31,1.53,,,,1,1,Bot,125.05,139.54,,,656180,,,3.487177841138534,-118.65362570666532,-1.2445442435842176,1.110680678928296,20.620248880783283,-37.04432687422789,3.45,1.72,70.0,79.0,6.0,81.0,2434.0,5.7,718230,680686,656180,642086,671277,600869,545121,656448,669743,657041,54.81,0.269,0.242,0.0,1.0,0.0,0.0,2.0,5,2,Curveball,0,0,0,0,0,0,0,0,Standard,Strategic,46.0,-0.016,-0.2,joc pederson,
CU,2023-05-09,80.1,-1.59,5.93,"Pederson, Joc",592626,666168,strikeout,swinging_strike,,,,,13,Joc Pederson strikes out swinging.,R,L,R,SF,WSH,S,2.0,,3,2,2023,0.94,-1.02,-0.39,0.96,,605204.0,664774.0,2,7,Bot,,,,,660688,,,0.8555572741517433,-116.60655044658998,-2.2574240425137884,8.327630503459256,25.237042523804718,-41.104568511590536,3.46,1.71,,,,80.1,2375.0,6.6,718250,666168,660688,642086,671277,600869,682928,666906,669743,657041,53.89,,,0.0,1.0,0.0,0.0,,63,9,Curveball,4,1,4,1,1,4,4,1,Standard,Standard,57.0,-0.01,-0.471,joc pederson,
