pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-24,92.5,2.9,5.46,"Pollock, AJ",572041,686610,single,hit_into_play,,,,,3,AJ Pollock singles on a sharp line drive to center fielder Ramon Laureano.   Cal Raleigh to 3rd.    Jose Caballero to 2nd.,R,R,L,SEA,OAK,X,8.0,line_drive,0,0,2023,1.04,1.28,0.58,3.23,,663728.0,676609.0,1,4,Bot,150.27,61.1,,,669127,,,-8.292148779725414,-134.5339281122863,-2.684313225068215,14.450503702824616,29.124580930914902,-16.283009248573126,3.52,1.69,302.0,105.9,14.0,93.6,2354,6.9,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.55,0.74,0.727,0.9,1.0,1.0,0.0,5.0,31,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,133,0.07,0.934,aj pollock,
ST,2023-05-24,79.8,3.02,5.37,"Pollock, AJ",572041,686610,single,hit_into_play,,,,,6,AJ Pollock singles on a ground ball to shortstop Aledmys Diaz.   Cal Raleigh to 3rd.    Jose Caballero to 2nd.,R,R,L,SEA,OAK,X,6.0,ground_ball,2,2,2023,-1.09,-0.45,0.73,2.35,,663728.0,676609.0,1,2,Bot,108.92,154.62,,,669127,,,-3.006697085555148,-116.11549648908364,1.0175753014349378,-9.196086273894924,23.686213340603413,-36.66316568148197,3.52,1.69,5.0,79.5,-27.0,80.2,2038,6.8,718037,686610,669127,676116,643393,607054,649557,668709,657656,664913,53.72,0.043,0.039,0.9,1.0,1.0,0.0,2.0,14,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,297,0.062,1.013,aj pollock,
SI,2023-05-24,97.3,-2.06,6.14,"Pollock, AJ",572041,668674,force_out,hit_into_play,,,,,7,"AJ Pollock grounds into a force out, second baseman Tony Kemp to shortstop Aledmys Diaz.   Jose Caballero out at 2nd.    AJ Pollock to 1st.",R,R,R,SEA,OAK,X,4.0,ground_ball,2,1,2023,-1.14,0.87,-0.34,1.98,,,676609.0,0,5,Bot,146.44,150.06,,,669127,,,7.293175568428801,-141.5506632245901,-7.782984712694628,-16.90426442105266,27.405579865165222,-18.97040539384241,3.52,1.69,5.0,103.4,-20.0,98.9,1757,6.8,718037,668674,669127,676116,643393,607054,649557,668709,657656,664913,53.66,0.177,0.16,0.0,1.0,0.0,0.0,2.0,43,4,Sinker,5,0,5,0,0,5,5,0,Standard,Standard,219,-0.004,-0.557,aj pollock,
CU,2023-05-22,79.6,1.38,6.07,"Pollock, AJ",572041,666205,field_out,hit_into_play,,,,,8,AJ Pollock flies out to left fielder JJ Bleday.,R,R,L,SEA,OAK,X,7.0,fly_ball,0,0,2023,-0.55,-0.76,0.18,1.98,,,,0,4,Bot,68.75,80.47,,,669127,,,-1.5955062983131625,-115.86878762423302,-0.7591969951258188,-4.639567422101639,22.57100135275555,-39.11455358957039,3.5,1.69,324.0,87.1,32.0,79.1,2357,6.0,718062,666205,669127,676116,643393,607054,669397,668709,665923,664913,54.46,0.04,0.043,0.0,1.0,0.0,0.0,3.0,32,1,Curveball,5,0,5,0,0,5,5,0,Standard,Standard,325,-0.004,-0.235,aj pollock,
FF,2023-05-22,93.2,1.45,5.94,"Pollock, AJ",572041,666205,walk,ball,,,,,13,AJ Pollock walks.   Cal Raleigh to 2nd.,R,R,L,SEA,OAK,B,,,3,2,2023,0.06,0.84,-1.28,1.83,,,663728.0,1,2,Bot,,,,,669127,,,-7.1854997360729564,-135.46829724140412,-6.716781416145221,2.2720607948455336,28.041203666648503,-20.499836265654167,3.59,1.69,,,,93.8,2472,6.6,718062,666205,669127,676116,643393,607054,669397,668709,665923,664913,53.9,,,0.7,1.0,0.0,0.0,,14,6,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,139,0.023,0.306,aj pollock,
FF,2023-05-22,98.2,-2.65,5.28,"Pollock, AJ",572041,660261,field_out,hit_into_play,,,,,4,AJ Pollock lines out to center fielder Esteury Ruiz.,R,R,R,SEA,OAK,X,8.0,line_drive,2,2,2023,-1.11,1.07,-0.59,2.46,,,,1,7,Bot,154.64,83.2,,,669127,,,8.268978781308633,-142.78310842746086,-4.712820654840306,-17.033459405204486,31.27562034268888,-16.640636104900256,3.5,1.69,297.0,85.9,24.0,99.8,1715,7.1,718062,660261,669127,676116,643393,607054,669397,668709,665923,664913,53.39,0.149,0.134,0.0,1.0,0.0,0.0,3.0,62,5,4-Seam Fastball,8,0,8,0,0,8,8,0,Standard,Standard,230,0.0,-0.153,aj pollock,
CH,2023-05-22,82.9,-2.19,5.66,"Pollock, AJ",572041,661309,walk,ball,,,,,11,AJ Pollock walks.,R,R,R,SEA,OAK,B,,,3,2,2023,-1.22,-0.19,-1.34,3.8,,,,0,6,Bot,,,,,669127,,,4.283142869234197,-120.67580560071625,2.5735578204839227,-12.717869664331737,24.130434341054556,-34.76920571402243,3.55,1.71,,,,82.2,2168,5.9,718062,661309,669127,676116,643393,607054,669397,668709,665923,664913,54.62,,,0.7,1.0,0.0,0.0,,50,6,Changeup,6,0,6,0,0,6,6,0,Standard,Standard,291,0.002,0.316,aj pollock,
FF,2023-05-21,91.3,0.84,5.54,"Pollock, AJ",572041,694363,field_out,hit_into_play,,,,,5,"AJ Pollock grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",R,R,L,ATL,SEA,X,4.0,ground_ball,0,0,2023,0.71,0.92,0.12,2.36,,,,1,5,Top,128.95,138.91,,,518595,,,-3.3693510581511723,-133.02995040040622,-4.222292466528705,9.132547739881767,25.126262555446328,-20.57837586878896,3.5,1.69,8.0,106.1,-16.0,92.5,1995,6.7,718090,694363,518595,621566,645277,663586,606115,592696,671739,660670,53.85,0.186,0.167,0.0,1.0,0.0,0.0,2.0,34,1,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,130,0.023,-0.172,aj pollock,
SL,2023-05-21,86.4,0.65,5.63,"Pollock, AJ",572041,694363,strikeout,swinging_strike,,,,,13,AJ Pollock strikes out swinging.,R,R,L,ATL,SEA,S,2.0,,2,2,2023,-0.08,0.63,-1.1,1.9,,,,2,2,Top,,,,,518595,,,-4.049023416919934,-125.97486991925236,-4.070759682417549,-0.1250626167527927,21.700459032398022,-24.87572226323701,3.5,1.69,,,,87.7,2177,6.6,718090,694363,518595,621566,645277,663586,606115,592696,671739,660670,53.87,,,0.0,1.0,0.0,0.0,,12,5,Slider,1,1,1,1,1,1,1,1,Standard,Standard,159,0.01,-0.09,aj pollock,
ST,2023-05-21,80.5,-2.49,5.24,"Pollock, AJ",572041,543521,field_out,hit_into_play,,,,,14,"AJ Pollock grounds out, third baseman Austin Riley to first baseman Matt Olson.",R,R,R,ATL,SEA,X,5.0,ground_ball,2,1,2023,1.12,0.1,1.36,2.24,,,606192.0,2,7,Top,100.67,167.32,,,518595,,,6.469206353277584,-117.00684200771224,-0.1130221043581859,8.959711639142832,23.370712795287663,-31.4264427037479,3.5,1.69,5.0,68.3,-25.0,81.1,2833,6.9,718090,543521,518595,621566,645277,663586,606115,592696,671739,660670,53.61,0.051,0.054,0.0,1.0,0.0,0.0,2.0,50,4,Sweeper,3,1,1,3,1,3,1,3,Standard,Standard,51,0.033,-0.271,aj pollock,
