pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-04-04,89.7,-2.08,6.12,"Kuhnel, Joel",670156,669270,field_out,hit_into_play,,,,,13,"Miles Mastrobuoni grounds out, third baseman Spencer Steer to first baseman Jason Vosler.",R,L,R,CIN,CHC,X,5.0,ground_ball,0,2,2023,-1.11,0.44,-0.64,1.04,621550.0,543333.0,,2,8,Top,100.79,154.13,,,663886,,,5.98445870860624,-130.42626490333748,-7.665360592728652,-13.93379300992469,23.993116281627064,-25.844022635066008,2.92,1.46,78.0,61.3,9.0,91.2,1366,7.0,718716,669270,663886,613564,663697,668715,621028,666181,670770,571976,53.54,0.166,0.149,0.0,1.0,0.0,0.0,2.0,72,4,Changeup,3,11,11,3,11,3,11,3,Strategic,Standard,233,0.001,-0.287
SL,2023-04-04,87.7,-2.54,5.98,"Kuhnel, Joel",670156,669270,,foul,,,,,8,"Miles Mastrobuoni grounds out, third baseman Spencer Steer to first baseman Jason Vosler.",R,L,R,CIN,CHC,S,,,0,2,2023,0.67,0.48,-0.02,1.6,621550.0,543333.0,,2,8,Top,,,,,663886,,,4.763141245914469,-127.65612018915202,-5.572069150049986,6.475591319605626,23.800190963441256,-25.979131471920244,2.92,1.46,169.0,66.8,23.0,89.0,2318,6.9,718716,669270,663886,613564,663697,668715,621028,666181,670770,571976,53.62,,,,,,,,72,3,Slider,3,11,11,3,11,3,11,3,Strategic,Standard,176,0.0,0.0
SL,2023-04-04,87.1,-2.51,5.96,"Kuhnel, Joel",670156,669270,,called_strike,,,,,13,"Miles Mastrobuoni grounds out, third baseman Spencer Steer to first baseman Jason Vosler.",R,L,R,CIN,CHC,S,,,0,1,2023,0.28,0.4,-0.84,2.17,621550.0,543333.0,,2,8,Top,,,,,663886,,,3.4604898613701054,-126.97410977539724,-3.897664290750077,2.523347850477377,21.785024389113097,-27.353580558094333,3.01,1.46,,,,88.4,2314,6.6,718716,669270,663886,613564,663697,668715,621028,666181,670770,571976,53.88,,,,,,,,72,2,Slider,3,11,11,3,11,3,11,3,Strategic,Standard,135,0.0,-0.19
SL,2023-04-04,88.0,-2.68,6.03,"Kuhnel, Joel",670156,669270,,called_strike,,,,,1,"Miles Mastrobuoni grounds out, third baseman Spencer Steer to first baseman Jason Vosler.",R,L,R,CIN,CHC,S,,,0,0,2023,0.43,0.56,-0.34,2.93,621550.0,543333.0,,2,8,Top,,,,,663886,,,4.822042023328016,-128.1923667534435,-2.640597449971692,3.850950471826823,24.39000846068337,-25.689551466915937,3.06,1.46,,,,88.8,2318,6.6,718716,669270,663886,613564,663697,668715,621028,666181,670770,571976,53.92,,,,,,,,72,1,Slider,3,11,11,3,11,3,11,3,Strategic,Standard,177,0.0,-0.065
SI,2023-04-04,95.5,-1.88,6.25,"Kuhnel, Joel",543228,669270,field_out,hit_into_play,,,,,6,"Yan Gomes grounds out, shortstop Kevin Newman to first baseman Jason Vosler.",R,R,R,CIN,CHC,X,6.0,ground_ball,0,1,2023,-1.36,0.65,0.62,2.3,621550.0,543333.0,,1,8,Top,112.94,162.06,,,663886,,,9.756227743954264,-138.61293743096826,-6.297480197614028,-19.650743184028663,29.87368863931892,-22.58755874517725,3.08,1.43,3.0,90.4,-36.0,96.8,2199,7.1,718716,669270,663886,613564,663697,668715,621028,666181,670770,571976,53.43,0.069,0.066,0.0,1.0,0.0,0.0,2.0,71,2,Sinker,3,11,11,3,11,3,11,3,Strategic,Standard,223,0.0,-0.26
SI,2023-04-04,96.6,-1.89,6.19,"Kuhnel, Joel",543228,669270,,foul,,,,,1,"Yan Gomes grounds out, shortstop Kevin Newman to first baseman Jason Vosler.",R,R,R,CIN,CHC,S,,,0,0,2023,-1.51,0.67,-0.72,3.04,621550.0,543333.0,,1,8,Top,,,,,663886,,,6.637003502696419,-140.4289591150485,-4.398053732222296,-21.54703068562159,32.339356093290746,-22.448262586447196,3.08,1.43,70.0,58.0,79.0,97.6,2291,7.0,718716,669270,663886,613564,663697,668715,621028,666181,670770,571976,53.55,,,,,,,,71,1,Sinker,3,11,11,3,11,3,11,3,Strategic,Standard,229,0.0,-0.09
FF,2023-04-04,95.4,-2.23,6.03,"Kuhnel, Joel",543333,669270,double,hit_into_play,,,,,11,Eric Hosmer doubles (2) on a fly ball to center fielder TJ Friedl.   Trey Mancini scores.    Patrick Wisdom to 3rd.,R,L,R,CIN,CHC,X,8.0,fly_ball,0,2,2023,-0.72,1.14,-0.39,3.97,641820.0,621550.0,,1,8,Top,59.47,68.67,,,663886,,,6.497546179557323,-138.84777273070884,-2.36938072846195,-10.811495137617817,31.079594506419507,-17.141023786740874,3.76,1.78,361.0,97.2,36.0,96.2,2118,6.7,718716,669270,663886,613564,663697,668715,621028,666181,670770,571976,53.76,0.18,0.284,1.25,1.0,1.0,1.0,3.0,70,3,4-Seam Fastball,3,10,10,3,11,3,11,3,Strategic,Standard,232,-0.001,1.544
FF,2023-04-04,96.3,-2.32,6.08,"Kuhnel, Joel",543333,669270,,swinging_strike,,,,,3,Eric Hosmer doubles (2) on a fly ball to center fielder TJ Friedl.   Trey Mancini scores.    Patrick Wisdom to 3rd.,R,L,R,CIN,CHC,S,,,0,1,2023,-0.57,1.0,0.38,3.3,641820.0,621550.0,,1,8,Top,,,,,663886,,,8.543525322819153,-140.07504937452998,-4.124441946749935,-9.399192470041347,30.91816831289736,-18.26744668101235,3.76,1.78,,,,97.2,2182,6.8,718716,669270,663886,613564,663697,668715,621028,666181,670770,571976,53.72,,,,,,,,70,2,4-Seam Fastball,3,10,10,3,10,3,10,3,Strategic,Standard,229,0.0,-0.146
CH,2023-04-04,89.6,-2.26,6.18,"Kuhnel, Joel",543333,669270,,called_strike,,,,,4,Eric Hosmer doubles (2) on a fly ball to center fielder TJ Friedl.   Trey Mancini scores.    Patrick Wisdom to 3rd.,R,L,R,CIN,CHC,S,,,0,0,2023,-1.22,0.58,-0.46,2.54,641820.0,621550.0,,1,8,Top,,,,,663886,,,7.129150554016169,-130.36267251883612,-4.331785884355937,-15.36713110344074,25.237259748646668,-24.88286638088597,3.69,1.78,,,,91.2,1473,7.1,718716,669270,663886,613564,663697,668715,621028,666181,670770,571976,53.44,,,,,,,,70,1,Changeup,3,10,10,3,10,3,10,3,Strategic,Standard,231,0.0,-0.09
CH,2023-04-04,90.3,-2.11,6.27,"Kuhnel, Joel",621550,669270,double,hit_into_play,,,,,13,Patrick Wisdom doubles (2) on a line drive to left fielder Will Benson.   Ian Happ scores.    Trey Mancini to 3rd.,R,R,R,CIN,CHC,X,7.0,line_drive,0,2,2023,-1.12,0.5,-0.57,1.33,664023.0,,641820.0,1,8,Top,39.75,116.89,,,663886,,,6.30103810615789,-131.24748498956518,-7.554191117018692,-14.218449008119787,25.59280202125637,-25.00236295386456,3.28,1.56,233.0,90.1,16.0,91.7,1422,7.0,718716,669270,663886,613564,663697,668715,621028,666181,670770,571976,53.51,0.926,0.862,1.25,1.0,1.0,1.0,4.0,69,3,Changeup,3,9,9,3,10,3,10,3,Strategic,Standard,230,-0.003,1.45
