pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-21,82.4,1.38,5.37,"Pérez, Cionel",595281,672335,grounded_into_double_play,hit_into_play,,,,,5,"Kevin Kiermaier grounds into a double play, shortstop Joey Ortiz to second baseman Adam Frazier to first baseman Ryan Mountcastle.   Cavan Biggio out at 2nd.    Kevin Kiermaier out at 1st.",R,L,L,TOR,BAL,X,6.0,ground_ball,0,0,2023,-1.24,-0.48,0.19,2.57,656305.0,672386.0,624415.0,1,6,Bot,110.34,157.21,,,543510,,,-0.2780854249594227,-119.97575393114248,1.065181421631836,-11.936144805865796,23.561118456914944,-37.18748012086127,3.43,1.59,111.0,99.3,7.0,81.8,2502,5.9,718087,672335,543510,663624,624428,683002,687401,669720,656775,623993,54.59,0.589,0.532,0.0,1.0,0.0,0.0,4.0,52,1,Slider,1,2,1,2,2,1,1,2,Standard,Standard,330,-0.257,-0.77
FF,2023-05-21,96.1,1.31,5.46,"Pérez, Cionel",643376,672335,walk,ball,,,,,12,Danny Jansen walks.   Matt Chapman to 3rd.    Alejandro Kirk to 2nd.,R,R,L,TOR,BAL,B,,,3,0,2023,0.33,1.25,0.54,4.09,,656305.0,672386.0,1,6,Bot,,,,,543510,,,-2.779956576930064,-140.02518936829898,-0.8800710897824549,4.95714972424121,30.4440338475058,-15.752023824499457,3.16,1.3,,,,95.8,2096,6.0,718087,672335,543510,663624,624428,683002,687401,669720,656775,623993,54.51,,,0.7,1.0,0.0,0.0,,51,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,148,0.104,0.172
SI,2023-05-21,95.5,1.42,5.39,"Pérez, Cionel",643376,672335,,ball,,,,,12,Danny Jansen walks.   Matt Chapman to 3rd.    Alejandro Kirk to 2nd.,R,R,L,TOR,BAL,B,,,2,0,2023,1.25,0.63,1.16,3.0,,656305.0,672386.0,1,6,Bot,,,,,543510,,,-3.486162455849974,-139.11790216183778,-2.0708228494677825,17.035500000814707,32.0812731153233,-23.75261419583856,3.16,1.41,,,,94.8,2193,5.9,718087,672335,543510,663624,624428,683002,687401,669720,656775,623993,54.6,,,,,,,,51,3,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,148,0.0,0.183
SI,2023-05-21,95.8,1.43,5.4,"Pérez, Cionel",643376,672335,,ball,,,,,12,Danny Jansen walks.   Matt Chapman to 3rd.    Alejandro Kirk to 2nd.,R,R,L,TOR,BAL,B,,,1,0,2023,1.41,0.34,1.02,3.34,,656305.0,672386.0,1,6,Bot,,,,,543510,,,-4.240039853449581,-139.53852662703198,-0.637973897028127,19.419422257467467,30.50689630879405,-27.74502151941548,3.21,1.46,,,,95.4,2150,5.9,718087,672335,543510,663624,624428,683002,687401,669720,656775,623993,54.57,,,,,,,,51,2,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,148,0.0,0.167
FF,2023-05-21,95.8,1.52,5.49,"Pérez, Cionel",643376,672335,,ball,,,,,12,Danny Jansen walks.   Matt Chapman to 3rd.    Alejandro Kirk to 2nd.,R,R,L,TOR,BAL,B,,,0,0,2023,0.63,1.29,1.13,3.97,,656305.0,672386.0,1,6,Bot,,,,,543510,,,-2.4417053290806003,-139.61868398764025,-1.3397601866689612,8.764061987524947,31.171354699573417,-15.191416787108157,3.19,1.41,,,,95.4,2112,5.9,718087,672335,543510,663624,624428,683002,687401,669720,656775,623993,54.57,,,,,,,,51,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,144,0.0,0.11
SL,2023-05-18,84.4,1.41,5.49,"Pérez, Cionel",660271,672335,field_out,hit_into_play,,,,,4,Shohei Ohtani flies out to center fielder Ryan McKenna.,R,L,L,BAL,LAA,X,8.0,fly_ball,1,1,2023,-0.98,-0.19,-0.79,2.28,,545361.0,,1,7,Top,126.71,79.44,,,543510,,,-3.121791448789863,-122.73663725743717,-0.6240519062728409,-9.012758492747109,28.665278135640055,-34.12589829292488,3.56,1.66,298.0,83.3,34.0,82.8,2575,5.7,718128,672335,543510,663624,687401,683002,622761,669720,663630,623993,54.8,0.023,0.021,0.0,1.0,0.0,0.0,3.0,56,3,Slider,3,4,4,3,4,3,4,3,Standard,Standard,316,0.037,-0.315
FF,2023-05-18,94.7,1.19,5.5,"Pérez, Cionel",660271,672335,,ball,,,,,13,Shohei Ohtani flies out to center fielder Ryan McKenna.,R,L,L,BAL,LAA,B,,,0,1,2023,0.44,1.33,-2.04,1.73,,,545361.0,1,7,Top,,,,,543510,,,-9.349233640684114,-137.4331154185036,-7.042016158712414,7.832210231836939,32.98084211436206,-13.84699752663325,3.59,1.61,,,,93.7,2149,6.1,718128,672335,543510,663624,687401,683002,622761,669720,663630,623993,54.45,,,,,,,,56,2,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,163,-0.021,0.026
SL,2023-05-18,85.5,1.39,5.53,"Pérez, Cionel",660271,672335,,foul,,,,,5,Shohei Ohtani flies out to center fielder Ryan McKenna.,R,L,L,BAL,LAA,S,,,0,0,2023,-0.6,0.0,-0.08,2.5,,,545361.0,1,7,Top,,,,,543510,,,-2.2316325677015585,-124.3195217124122,-0.7177635112546998,-5.57569641658321,30.031756360990517,-32.24758398867184,3.56,1.66,,,,83.9,2537,5.8,718128,672335,543510,663624,687401,683002,622761,669720,663630,623993,54.72,,,,,,,,56,1,Slider,3,4,4,3,4,3,4,3,Standard,Standard,307,0.0,-0.056
FF,2023-05-18,96.3,1.27,5.46,"Pérez, Cionel",545361,672335,single,hit_into_play,,,,,8,Mike Trout singles on a sharp line drive to left fielder Austin Hays.,R,R,L,BAL,LAA,X,7.0,line_drive,0,2,2023,0.69,1.69,-0.2,2.2,,,,1,7,Top,79.67,70.51,,,543510,,,-5.444808470314316,-139.80391530597964,-6.739652863220201,10.39497171177846,37.43486630724448,-8.770138387967236,3.54,1.66,264.0,100.9,14.0,95.0,2234,6.1,718128,672335,543510,663624,687401,683002,622761,669720,663630,623993,54.39,0.786,0.8,0.9,1.0,1.0,0.0,4.0,55,3,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,147,-0.026,0.336
FF,2023-05-18,96.9,1.43,5.49,"Pérez, Cionel",545361,672335,,foul,,,,,9,Mike Trout singles on a sharp line drive to left fielder Austin Hays.,R,R,L,BAL,LAA,S,,,0,1,2023,0.8,1.47,0.51,2.17,,,,1,7,Top,,,,,543510,,,-4.2561295725642765,-140.95904008587036,-6.624820819378916,11.688883590619223,33.19442466941597,-11.325748711226083,3.54,1.66,254.0,81.6,37.0,96.2,2345,6.0,718128,672335,543510,663624,687401,683002,622761,669720,663630,623993,54.49,,,,,,,,55,2,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,147,0.0,-0.037
