pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-05-24,86.9,-1.05,6.24,"Quantrill, Cal",641313,615698,field_out,hit_into_play,,,,,9,Tim Anderson flies out to right fielder Gabriel Arias.,R,R,R,CLE,CWS,X,9.0,fly_ball,2,1,2023,0.26,0.82,0.52,1.94,,,,2,4,Top,202.23,108.72,,,595956,,,3.2343283687855764,-126.3650661628514,-5.718832736060664,2.021028393847148,28.4409228120042,-22.411385429155438,3.43,1.5,291.0,95.1,41.0,86.5,2230.0,6.3,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.21,0.023,0.024,0.0,1.0,0.0,0.0,3.0,28,4,Cutter,0,6,6,0,6,0,6,0,Standard,Standard,197.0,0.002,-0.12
CH,2023-05-24,85.5,-1.39,6.1,"Quantrill, Cal",641313,615698,,ball,,,,,13,Tim Anderson flies out to right fielder Gabriel Arias.,R,R,R,CLE,CWS,B,,,1,1,2023,-1.47,0.48,-1.22,2.33,,,,2,4,Top,,,,,595956,,,3.373651515144095,-124.43999704792289,-3.5495615800814004,-15.872934425048514,26.50975956578064,-26.66059030973984,3.41,1.57,,,,85.6,1493.0,6.5,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.03,,,,,,,,28,3,Changeup,0,6,6,0,6,0,6,0,Standard,Standard,232.0,0.0,0.023
FC,2023-05-24,86.7,-1.22,6.16,"Quantrill, Cal",641313,615698,,foul,,,,,9,Tim Anderson flies out to right fielder Gabriel Arias.,R,R,R,CLE,CWS,S,,,1,0,2023,0.11,0.82,0.77,1.66,,,,2,4,Top,,,,,595956,,,4.516854330780687,-126.18279404834432,-6.265935038084699,0.3130055476796607,25.24287985046836,-22.340497188089486,3.43,1.5,229.0,78.9,47.0,87.0,2355.0,6.5,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.05,,,,,,,,28,2,Cutter,0,6,6,0,6,0,6,0,Standard,Standard,156.0,0.0,-0.027
CU,2023-05-24,81.9,-0.94,6.44,"Quantrill, Cal",641313,615698,,ball,,,,,14,Tim Anderson flies out to right fielder Gabriel Arias.,R,R,R,CLE,CWS,B,,,0,0,2023,-0.11,-0.27,1.33,0.88,,,,2,4,Top,,,,,595956,,,5.360557853028299,-119.16945652191228,-5.501324498958622,-2.0851624952286483,22.53458560794805,-33.92856515678101,3.44,1.57,,,,82.1,2526.0,6.4,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.09,,,,,,,,28,1,Curveball,0,6,6,0,6,0,6,0,Standard,Standard,71.0,0.0,0.021
FC,2023-05-24,87.4,-1.18,6.24,"Quantrill, Cal",664874,615698,sac_fly,hit_into_play,,,,,14,Seby Zavala out on a sacrifice fly to left fielder Steven Kwan.   Romy Gonzalez scores.,R,R,R,CLE,CWS,X,7.0,line_drive,2,2,2023,0.44,0.57,0.24,1.07,663853.0,,,1,4,Top,85.33,97.68,,,595956,,,2.5144617872598576,-127.09164988538168,-7.458602185262527,4.212760918283388,27.74807662748925,-24.590631202453093,3.24,1.48,272.0,85.8,21.0,87.4,2355.0,6.5,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.03,0.46,0.452,0.0,1.0,0.0,0.0,3.0,27,5,Cutter,0,5,5,0,6,0,6,0,Strategic,Standard,175.0,-0.008,0.025
CH,2023-05-24,86.8,-1.16,6.15,"Quantrill, Cal",664874,615698,,ball,,,,,14,Seby Zavala out on a sacrifice fly to left fielder Steven Kwan.   Romy Gonzalez scores.,R,R,R,CLE,CWS,B,,,1,2,2023,-1.26,0.42,0.85,-0.35,640449.0,663853.0,,1,4,Top,,,,,595956,,,7.40403257345887,-125.86542262345066,-10.231463108654488,-14.92439006466318,24.22369320537413,-25.84768595653265,3.22,1.48,,,,87.1,1603.0,6.6,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,53.94,,,,,,,,27,4,Changeup,0,4,4,0,5,0,5,0,Strategic,Standard,233.0,-0.025,0.04
SI,2023-05-24,93.9,-0.99,6.24,"Quantrill, Cal",664874,615698,,ball,,,,,8,Seby Zavala out on a sacrifice fly to left fielder Steven Kwan.   Romy Gonzalez scores.,R,R,R,CLE,CWS,B,,,0,2,2023,-1.21,1.22,-0.14,1.43,640449.0,663853.0,,1,4,Top,,,,,595956,,,4.900914030189159,-136.6001506170994,-9.54949823393597,-16.283033018688766,26.00761555371748,-15.061506354227356,3.24,1.49,,,,94.8,2144.0,6.5,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,53.97,,,,,,,,27,3,Sinker,0,4,4,0,4,0,4,0,Strategic,Standard,220.0,0.0,-0.013
SI,2023-05-24,93.5,-0.93,6.31,"Quantrill, Cal",664874,615698,,called_strike,,,,,8,Seby Zavala out on a sacrifice fly to left fielder Steven Kwan.   Romy Gonzalez scores.,R,R,R,CLE,CWS,S,,,0,1,2023,-1.28,1.59,-0.13,2.03,640449.0,663853.0,,1,4,Top,,,,,595956,,,4.906397035424335,-135.76161106503318,-8.761972717966264,-16.85241403349319,31.930263851025117,-10.698554861271658,3.24,1.49,,,,93.6,2110.0,6.6,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,53.88,,,,,,,,27,2,Sinker,0,4,4,0,4,0,4,0,Strategic,Standard,215.0,0.0,-0.146
SI,2023-05-24,94.5,-0.9,6.35,"Quantrill, Cal",664874,615698,,foul,,,,,5,Seby Zavala out on a sacrifice fly to left fielder Steven Kwan.   Romy Gonzalez scores.,R,R,R,CLE,CWS,S,,,0,0,2023,-0.83,1.36,-0.13,2.29,640449.0,663853.0,,1,4,Top,,,,,595956,,,3.879806856464197,-137.4656297972439,-7.971331763254841,-11.391061735123024,30.24975833297792,-13.319686343933238,3.24,1.48,229.0,77.5,29.0,95.0,2226.0,6.6,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,53.94,,,,,,,,27,1,Sinker,0,4,4,0,4,0,4,0,Strategic,Standard,217.0,0.0,-0.09
SI,2023-05-24,94.2,-0.93,6.28,"Quantrill, Cal",663853,615698,double,hit_into_play,,,,,4,Romy Gonzalez doubles (2) on a sharp fly ball to right fielder Gabriel Arias.   Andrew Vaughn scores.    Gavin Sheets scores.    Clint Frazier to 3rd.,R,R,R,CLE,CWS,X,9.0,fly_ball,2,0,2023,-0.96,1.29,-0.44,2.23,683734.0,657757.0,640449.0,1,4,Top,217.65,103.16,,,595956,,,3.4294658522566266,-137.06964973553406,-7.727457181127712,-12.833832936111053,28.71384871965795,-14.396735212726414,3.41,1.68,327.0,101.7,28.0,94.8,2204.0,6.5,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,53.97,0.78,1.488,1.25,1.0,1.0,1.0,6.0,26,3,Sinker,0,2,2,0,4,0,4,0,Standard,Standard,213.0,-0.108,1.635
