pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-04-27,94.4,1.96,5.17,"Quijada, José",542208,650671,single,hit_into_play,,,,,2,Carlos Perez singles on a ground ball to left fielder Taylor Ward.   Jesus Aguilar scores.    Aledmys Diaz to 2nd.,R,R,L,LAA,OAK,X,7.0,ground_ball,0,2,2023,0.57,1.26,-0.21,2.8,542583.0,,649557.0,1,8,Top,75.42,102.12,,,595453,,,-6.944222756855986,-137.27277669197082,-3.268275891488765,8.760090679857813,30.984588094626357,-15.718002538563702,3.32,1.58,137.0,98.9,5.0,94.7,2025.0,6.5,718402,650671,595453,592273,650859,543685,570482,621493,545361,592669,53.96,0.574,0.533,0.9,1.0,1.0,0.0,4.0,70,4,4-Seam Fastball,8,6,6,8,7,8,7,8,Standard,Standard,130.0,-0.112,1.028
FF,2023-04-27,93.9,1.94,5.16,"Quijada, José",542208,650671,,foul,,,,,1,Carlos Perez singles on a ground ball to left fielder Taylor Ward.   Jesus Aguilar scores.    Aledmys Diaz to 2nd.,R,R,L,LAA,OAK,S,,,0,2,2023,0.71,1.3,-0.33,3.09,542583.0,,649557.0,1,8,Top,,,,,595453,,,-7.5027040901614095,-136.53416864202228,-2.504832800437281,10.625775902349124,31.65797617850981,-15.651029082370066,3.32,1.58,10.0,95.9,-17.0,94.1,2185.0,6.6,718402,650671,595453,592273,650859,543685,570482,621493,545361,592669,53.93,,,,,,,,70,3,4-Seam Fastball,8,6,6,8,6,8,6,8,Standard,Standard,142.0,0.0,0.0
FF,2023-04-27,93.3,1.92,5.23,"Quijada, José",542208,650671,,swinging_strike,,,,,2,Carlos Perez singles on a ground ball to left fielder Taylor Ward.   Jesus Aguilar scores.    Aledmys Diaz to 2nd.,R,R,L,LAA,OAK,S,,,0,1,2023,0.42,1.3,-0.04,3.17,542583.0,,649557.0,1,8,Top,,,,,595453,,,-5.989542979210856,-135.79042180365454,-2.391186987687613,6.510498378212638,31.07731245751781,-15.855581795884518,3.32,1.58,,,,93.7,,6.6,718402,650671,595453,592273,650859,543685,570482,621493,545361,592669,53.9,,,,,,,,70,2,4-Seam Fastball,8,6,6,8,6,8,6,8,Standard,Standard,,0.0,-0.118
FF,2023-04-27,93.1,1.97,5.3,"Quijada, José",542208,650671,,called_strike,,,,,1,Carlos Perez singles on a ground ball to left fielder Taylor Ward.   Jesus Aguilar scores.    Aledmys Diaz to 2nd.,R,R,L,LAA,OAK,S,,,0,0,2023,0.57,1.35,-0.78,2.8,542583.0,,649557.0,1,8,Top,,,,,595453,,,-8.301846299176145,-135.26331766446444,-3.5682326397901294,8.825457687355035,30.698851910626303,-14.972497752789728,3.32,1.58,,,,93.1,2137.0,6.5,718402,650671,595453,592273,650859,543685,570482,621493,545361,592669,54.03,,,,,,,,70,1,4-Seam Fastball,8,6,6,8,6,8,6,8,Standard,Standard,142.0,0.0,-0.091
FF,2023-04-27,93.8,1.96,5.22,"Quijada, José",649557,650671,fielders_choice,hit_into_play,,,,,5,"Aledmys Diaz reaches on a fielder's choice, fielded by second baseman Luis Rengifo.   Shea Langeliers scores.    Jesus Aguilar to 3rd.  Fielding error by second baseman Luis Rengifo.",R,R,L,LAA,OAK,X,4.0,ground_ball,0,0,2023,0.64,1.13,-0.23,2.88,,669127.0,542583.0,1,8,Top,137.78,111.78,,,595453,,,-7.128415105197652,-136.34365501933894,-2.7829177603197754,9.65545558802094,31.98703805066572,-17.71643321906431,3.53,1.72,59.0,88.7,1.0,94.0,,6.6,718402,650671,595453,592273,650859,543685,570482,621493,545361,592669,53.87,0.297,0.282,0.9,1.0,0.0,0.0,2.0,69,1,4-Seam Fastball,8,5,5,8,6,8,6,8,Standard,Standard,,-0.112,0.798
CH,2023-04-27,86.2,2.07,5.07,"Quijada, José",542583,650671,single,hit_into_play,,,,,6,Jesus Aguilar singles on a sharp ground ball to center fielder Mike Trout.   Shea Langeliers to 2nd.,R,R,L,LAA,OAK,X,8.0,ground_ball,1,2,2023,1.3,0.24,0.76,2.93,,,669127.0,1,8,Top,107.52,82.74,,,595453,,,-5.798421866547842,-125.35057955933767,0.7081328105622531,14.887380036570898,25.90467627673719,-29.99886779819568,3.54,1.76,28.0,101.0,-4.0,86.6,1591.0,6.7,718402,650671,595453,592273,650859,543685,570482,621493,545361,592669,53.85,0.337,0.314,0.9,1.0,1.0,0.0,2.0,68,5,Changeup,8,5,5,8,5,8,5,8,Standard,Standard,112.0,-0.045,0.594
FF,2023-04-27,93.6,2.01,5.24,"Quijada, José",542583,650671,,ball,,,,,12,Jesus Aguilar singles on a sharp ground ball to center fielder Mike Trout.   Shea Langeliers to 2nd.,R,R,L,LAA,OAK,B,,,0,2,2023,0.62,1.21,1.11,3.17,,,669127.0,1,8,Top,,,,,595453,,,-3.703113330625665,-136.31706815000368,-2.250519478704758,8.588920848318944,31.9564383383607,-16.903206697619428,3.54,1.76,,,,93.9,2257.0,6.6,718402,650671,595453,592273,650859,543685,570482,621493,545361,592669,53.95,,,,,,,,68,4,4-Seam Fastball,8,5,5,8,5,8,5,8,Standard,Standard,185.0,0.0,0.023
FF,2023-04-27,92.0,1.99,5.2,"Quijada, José",542583,650671,,foul,,,,,2,Jesus Aguilar singles on a sharp ground ball to center fielder Mike Trout.   Shea Langeliers to 2nd.,R,R,L,LAA,OAK,S,,,0,2,2023,0.58,1.28,-0.04,3.38,,,669127.0,1,8,Top,,,,,595453,,,-6.442008213800279,-133.8450011499329,-1.5657694077589686,8.294108743992592,28.35824989555696,-16.662578236583688,3.54,1.76,184.0,64.9,40.0,92.5,2169.0,6.6,718402,650671,595453,592273,650859,543685,570482,621493,545361,592669,53.93,,,,,,,,68,3,4-Seam Fastball,8,5,5,8,5,8,5,8,Standard,Standard,145.0,0.0,0.0
CH,2023-04-27,85.7,2.13,5.05,"Quijada, José",542583,650671,,swinging_strike,,,,,8,Jesus Aguilar singles on a sharp ground ball to center fielder Mike Trout.   Shea Langeliers to 2nd.,R,R,L,LAA,OAK,S,,,0,1,2023,1.24,0.29,0.09,1.93,,,669127.0,1,8,Top,,,,,595453,,,-7.358597716497273,-124.75855645950368,-1.7680176206839575,14.347823628284097,22.7413815229249,-28.94752411355345,3.54,1.76,,,,86.7,1623.0,6.7,718402,650671,595453,592273,650859,543685,570482,621493,545361,592669,53.8,,,,,,,,68,2,Changeup,8,5,5,8,5,8,5,8,Standard,Standard,109.0,0.0,-0.06
FF,2023-04-27,93.9,2.02,5.17,"Quijada, José",542583,650671,,called_strike,,,,,4,Jesus Aguilar singles on a sharp ground ball to center fielder Mike Trout.   Shea Langeliers to 2nd.,R,R,L,LAA,OAK,S,,,0,0,2023,0.74,1.22,-0.64,2.33,,,669127.0,1,8,Top,,,,,595453,,,-8.551534721848949,-136.47713564623618,-4.309880699229126,11.127779361443508,29.856945810226616,-16.193120703130166,3.54,1.76,,,,94.3,,6.6,718402,650671,595453,592273,650859,543685,570482,621493,545361,592669,53.91,,,,,,,,68,1,4-Seam Fastball,8,5,5,8,5,8,5,8,Standard,Standard,,0.0,-0.056
