pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-04-22,89.7,1.49,6.35,"Sánchez, Cristopher",595777,650911,single,hit_into_play,,,,,5,Jurickson Profar singles on a fly ball to right fielder Nick Castellanos.   Charlie Blackmon to 3rd.,R,R,L,PHI,COL,X,9.0,fly_ball,1,0,2023,1.57,0.64,-0.05,2.24,,,453568.0,1,5,Top,184.37,144.65,,,592663,,,-7.224689056424911,-130.4473906382852,-5.636573291764777,19.41630693044462,25.496062459229712,-23.90799909684753,3.26,1.58,185.0,60.6,35.0,91.2,2128.0,7.1,718475,650911,592663,664761,543281,624641,607208,665506,669016,592206,53.42,0.437,0.393,0.9,1.0,1.0,0.0,4.0,35,2,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,124.0,-0.088,0.456
SL,2023-04-22,81.6,1.67,6.45,"Sánchez, Cristopher",595777,650911,,ball,,,,,12,Jurickson Profar singles on a fly ball to right fielder Nick Castellanos.   Charlie Blackmon to 3rd.,R,R,L,PHI,COL,B,,,0,0,2023,-0.03,0.0,1.03,3.61,,,453568.0,1,5,Top,,,,,592663,,,-1.376912993703301,-118.73005870575284,0.3188688504862793,0.0004010327203539,26.202307462355996,-32.49960096879299,3.26,1.57,,,,81.7,1927.0,6.7,718475,650911,592663,664761,543281,624641,607208,665506,669016,592206,53.78,,,,,,,,35,1,Slider,3,2,2,3,2,3,2,3,Standard,Standard,324.0,0.0,0.045
SI,2023-04-22,89.5,1.71,6.35,"Sánchez, Cristopher",453568,650911,walk,ball,,,,,13,Charlie Blackmon walks.,R,L,L,PHI,COL,B,,,3,1,2023,1.5,0.67,-0.97,1.7,,,,1,5,Top,,,,,592663,,,-9.883532396987208,-129.87901531278476,-6.949023144263409,19.02598975203488,26.036869037441896,-23.303978368639164,3.43,1.68,,,,90.5,2064.0,7.0,718475,650911,592663,664761,543281,624641,607208,665506,669016,592206,53.53,,,0.7,1.0,0.0,0.0,,34,5,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,125.0,-0.036,0.167
SL,2023-04-22,81.3,1.71,6.46,"Sánchez, Cristopher",453568,650911,,ball,,,,,14,Charlie Blackmon walks.,R,L,L,PHI,COL,B,,,2,1,2023,0.04,-0.01,0.39,0.34,,,,1,5,Top,,,,,592663,,,-3.0238846026584376,-118.14920792150228,-6.964504971462843,1.0344466177348377,27.64985714780738,-30.851183430889016,3.46,1.57,,,,81.0,1937.0,6.7,718475,650911,592663,664761,543281,624641,607208,665506,669016,592206,53.84,,,,,,,,34,4,Slider,3,2,2,3,2,3,2,3,Standard,Standard,359.0,0.0,0.078
SL,2023-04-22,81.6,1.75,6.34,"Sánchez, Cristopher",453568,650911,,ball,,,,,13,Charlie Blackmon walks.,R,L,L,PHI,COL,B,,,1,1,2023,-0.03,0.01,-0.58,1.08,,,,1,5,Top,,,,,592663,,,-5.211607136041383,-118.49720609683222,-5.156430423686071,0.8602336566058506,26.846261530893653,-31.16646081600118,3.48,1.62,,,,81.6,1985.0,6.8,718475,650911,592663,664761,543281,624641,607208,665506,669016,592206,53.67,,,,,,,,34,3,Slider,3,2,2,3,2,3,2,3,Standard,Standard,1.0,0.0,0.037
SI,2023-04-22,92.5,1.74,6.29,"Sánchez, Cristopher",453568,650911,,ball,,,,,13,Charlie Blackmon walks.,R,L,L,PHI,COL,B,,,0,1,2023,1.48,0.57,-0.84,1.84,,,,1,5,Top,,,,,592663,,,-9.880603771541589,-134.2056652452542,-6.819819564611082,19.983881851170786,29.366635817042592,-23.882187474266743,3.53,1.71,,,,93.2,2100.0,6.9,718475,650911,592663,664761,543281,624641,607208,665506,669016,592206,53.59,,,,,,,,34,2,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,121.0,0.0,0.021
SL,2023-04-22,81.7,1.64,6.43,"Sánchez, Cristopher",453568,650911,,foul,,,,,7,Charlie Blackmon walks.,R,L,L,PHI,COL,S,,,0,0,2023,-0.07,0.03,-0.82,1.73,,,,1,5,Top,,,,,592663,,,-5.440987761814236,-118.76786048346676,-4.0015932265333145,0.557351832209613,25.59175545115464,-31.279076547962585,3.53,1.68,260.0,76.9,34.0,81.7,1974.0,6.7,718475,650911,592663,664761,543281,624641,607208,665506,669016,592206,53.84,,,,,,,,34,1,Slider,3,2,2,3,2,3,2,3,Standard,Standard,9.0,0.0,-0.028
SI,2023-04-22,91.8,1.66,6.3,"Sánchez, Cristopher",678662,650911,field_out,hit_into_play,,,,,6,"Ezequiel Tovar grounds out, shortstop Trea Turner to first baseman Alec Bohm.",R,R,L,PHI,COL,X,6.0,ground_ball,1,2,2023,1.66,0.43,0.61,2.14,,,,0,5,Top,120.66,149.39,,,592663,,,-6.305112327515404,-133.40602359939376,-5.618226715524635,21.185201268390376,29.98847233256224,-26.00384972885769,3.06,1.47,7.0,84.0,-15.0,92.4,2127.0,6.8,718475,650911,592663,664761,543281,624641,607208,665506,669016,592206,53.7,0.106,0.116,0.0,1.0,0.0,0.0,2.0,33,4,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,117.0,0.032,-0.175
CH,2023-04-22,80.4,1.79,6.29,"Sánchez, Cristopher",678662,650911,,ball,,,,,14,"Ezequiel Tovar grounds out, shortstop Trea Turner to first baseman Alec Bohm.",R,R,L,PHI,COL,B,,,0,2,2023,1.85,0.03,1.72,0.58,,,,0,5,Top,,,,,592663,,,-3.6901794751506287,-116.91195473301502,-5.945447366074651,17.600739421013685,25.292729133637348,-30.859670570108385,2.79,1.35,,,,80.3,2009.0,6.6,718475,650911,592663,664761,543281,624641,607208,665506,669016,592206,53.92,,,,,,,,33,3,Changeup,3,2,2,3,2,3,2,3,Standard,Standard,109.0,0.0,0.026
CH,2023-04-22,80.9,1.8,6.27,"Sánchez, Cristopher",678662,650911,,called_strike,,,,,8,"Ezequiel Tovar grounds out, shortstop Trea Turner to first baseman Alec Bohm.",R,R,L,PHI,COL,S,,,0,1,2023,1.73,-0.08,-0.13,1.88,,,,0,5,Top,,,,,592663,,,-7.676328632854315,-117.41807930316276,-2.913410504101929,17.49925344914846,24.705431983292225,-32.47687524397951,3.03,1.47,,,,81.1,2073.0,6.8,718475,650911,592663,664761,543281,624641,607208,665506,669016,592206,53.66,,,,,,,,33,2,Changeup,3,2,2,3,2,3,2,3,Standard,Standard,105.0,0.0,-0.049
