pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
ST,2023-05-25,78.9,3.19,5.76,"Ramirez, Nick",656811,598286,field_error,hit_into_play,,,,,4,"Ryan O'Hearn reaches on a missed catch error by pitcher Nick Ramirez, assist to first baseman Anthony Rizzo.   Gunnar Henderson to 3rd.",R,L,L,NYY,BAL,X,3.0,ground_ball,2,2,2023,-1.64,0.02,-0.49,2.85,,683002.0,,1,6,Top,146.12,164.55,,,666163,,,-4.915293829404766,-114.8512545321566,0.4859350572339747,-13.49590165847865,22.66203896876788,-32.35359193966736,3.44,1.67,11.0,67.6,-14.0,78.1,2459,5.9,718029,598286,666163,519203,650402,665828,683011,656185,664056,592450,54.62,0.069,0.067,0.9,1.0,0.0,0.0,2.0,44,5,Sweeper,0,1,1,0,1,0,1,0,Standard,Standard,299,-0.049,0.705
ST,2023-05-25,79.7,3.1,5.86,"Ramirez, Nick",656811,598286,,ball,,,,,13,"Ryan O'Hearn reaches on a missed catch error by pitcher Nick Ramirez, assist to first baseman Anthony Rizzo.   Gunnar Henderson to 3rd.",R,L,L,NYY,BAL,B,,,1,2,2023,-1.74,-0.12,-2.02,1.71,,,683002.0,1,6,Top,,,,,666163,,,-7.888583994150715,-115.81149340137988,-2.048182911478356,-13.84185633270276,24.233195313539955,-33.00813052306121,3.49,1.64,,,,78.5,2569,5.8,718029,598286,666163,519203,650402,665828,683011,656185,664056,592450,54.73,,,,,,,,44,4,Sweeper,0,1,1,0,1,0,1,0,Strategic,Standard,310,-0.02,0.053
ST,2023-05-25,78.3,3.19,5.85,"Ramirez, Nick",656811,598286,,foul,,,,,5,"Ryan O'Hearn reaches on a missed catch error by pitcher Nick Ramirez, assist to first baseman Anthony Rizzo.   Gunnar Henderson to 3rd.",R,L,L,NYY,BAL,S,,,1,1,2023,-1.42,-0.15,0.02,2.29,,,683002.0,1,6,Top,,,,,666163,,,-4.173428982492221,-114.03523887747312,-0.5256725026568605,-11.527039493764804,22.145711493835208,-33.594327178396526,3.44,1.67,2.0,48.3,-51.0,77.3,2431,5.7,718029,598286,666163,519203,650402,665828,683011,656185,664056,592450,54.82,,,,,,,,44,3,Sweeper,0,1,1,0,1,0,1,0,Strategic,Standard,308,0.0,-0.063
SI,2023-05-25,88.9,2.8,5.97,"Ramirez, Nick",656811,598286,,ball,,,,,11,"Ryan O'Hearn reaches on a missed catch error by pitcher Nick Ramirez, assist to first baseman Anthony Rizzo.   Gunnar Henderson to 3rd.",R,L,L,NYY,BAL,B,,,0,1,2023,1.07,-0.04,-0.95,3.07,,,683002.0,1,6,Top,,,,,666163,,,-11.284172571916104,-128.94869833991984,-0.9031638313610854,14.343965119324237,27.86381132050886,-32.67329802102828,3.55,1.64,,,,87.7,2054,5.8,718029,598286,666163,519203,650402,665828,683011,656185,664056,592450,54.7,,,,,,,,44,2,Sinker,0,1,1,0,1,0,1,0,Strategic,Standard,131,0.0,0.026
SI,2023-05-25,88.0,2.83,5.96,"Ramirez, Nick",656811,598286,,swinging_strike,,,,,5,"Ryan O'Hearn reaches on a missed catch error by pitcher Nick Ramirez, assist to first baseman Anthony Rizzo.   Gunnar Henderson to 3rd.",R,L,L,NYY,BAL,S,,,0,0,2023,1.51,0.0,-0.05,2.64,,,683002.0,1,6,Top,,,,,666163,,,-9.978887786883108,-127.6599539646838,-1.80756444275256,18.7279010906966,30.069425708172087,-32.01634844457922,3.44,1.67,,,,86.4,2008,5.7,718029,598286,666163,519203,650402,665828,683011,656185,664056,592450,54.75,,,,,,,,44,1,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,131,0.0,-0.056
CH,2023-05-25,77.4,3.04,5.96,"Ramirez, Nick",669720,598286,field_out,hit_into_play,,,,,6,Austin Hays flies out to left fielder Greg Allen.,R,R,L,NYY,BAL,X,7.0,fly_ball,1,2,2023,1.4,0.57,0.5,2.43,,,683002.0,0,6,Top,66.12,104.55,,,666163,,,-7.87885490720076,-112.3774130218916,-1.51152260361838,13.342338482675558,23.04688659317155,-27.33114135103728,3.17,1.45,303.0,86.8,25.0,76.1,1625,5.8,718029,598286,666163,519203,650402,665828,683011,656185,664056,592450,54.74,0.109,0.116,0.0,1.0,0.0,0.0,3.0,43,4,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,118,0.035,-0.26
CH,2023-05-25,78.1,2.98,5.87,"Ramirez, Nick",669720,598286,,swinging_strike,,,,,8,Austin Hays flies out to left fielder Greg Allen.,R,R,L,NYY,BAL,S,,,1,1,2023,1.49,0.35,0.19,1.68,,,683002.0,0,6,Top,,,,,666163,,,-8.666000841421514,-113.41510286730866,-2.7414782257760097,14.408763751286582,20.79099522387987,-28.874191094905743,3.17,1.45,,,,77.4,1628,5.9,718029,598286,666163,519203,650402,665828,683011,656185,664056,592450,54.6,,,,,,,,43,3,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,111,0.0,-0.073
CH,2023-05-25,77.9,2.98,5.91,"Ramirez, Nick",669720,598286,,swinging_strike,,,,,8,Austin Hays flies out to left fielder Greg Allen.,R,R,L,NYY,BAL,S,,,1,0,2023,1.43,0.58,0.15,1.56,,,683002.0,0,6,Top,,,,,666163,,,-8.604110569174601,-113.07064990959265,-3.4204286728879687,13.876673362138233,21.6812587205858,-26.72634338882432,3.17,1.45,,,,77.0,1557,5.9,718029,598286,666163,519203,650402,665828,683011,656185,664056,592450,54.62,,,,,,,,43,2,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,114,0.0,-0.065
SI,2023-05-25,88.1,3.01,5.88,"Ramirez, Nick",669720,598286,,ball,,,,,14,Austin Hays flies out to left fielder Greg Allen.,R,R,L,NYY,BAL,B,,,0,0,2023,1.47,0.17,1.31,1.96,,,683002.0,0,6,Top,,,,,666163,,,-7.102916525237895,-128.0305477339307,-3.7019060080493182,17.645380842290326,28.046374700532624,-29.750977739125247,3.3,1.56,,,,87.1,1874,5.9,718029,598286,666163,519203,650402,665828,683011,656185,664056,592450,54.64,,,,,,,,43,1,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,130,0.0,0.039
SI,2023-05-25,90.5,3.09,5.85,"Ramirez, Nick",683002,598286,single,hit_into_play,,,,,5,Gunnar Henderson singles on a soft ground ball to first baseman Anthony Rizzo.,R,L,L,NYY,BAL,X,3.0,ground_ball,3,2,2023,1.42,-0.01,0.21,2.45,,,,0,6,Top,141.29,181.42,,,666163,,,-10.08012663834135,-131.20879298381186,-2.356087763317521,18.736294212695277,32.57327532227208,-31.96054543847044,3.76,1.76,1.0,56.8,-67.0,88.8,2114,5.8,718029,598286,666163,519203,650402,665828,683011,656185,664056,592450,54.68,0.249,0.227,0.9,1.0,1.0,0.0,1.0,42,6,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,128,-0.037,0.314
