pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-25,83.0,-2.33,6.26,"Richards, Trevor",642336,670950,strikeout,swinging_strike,,,,,13,Francisco Mejia strikes out swinging.,R,L,R,TB,TOR,S,2.0,,2,2,2023,-1.46,0.25,-1.13,1.64,,,,2,6,Bot,,,,,672386,,,5.605350746290122,-120.73650742744408,-4.552229342941581,-15.399268723852082,24.364847523299748,-29.005855395822536,3.21,1.47,,,,82.7,2607.0,6.2,718032,670950,672386,665489,624415,656305,666182,662139,595281,664770,54.32,,,0.0,1.0,0.0,0.0,,51,5,Changeup,5,1,5,1,1,5,5,1,Strategic,Standard,249.0,-0.002,-0.09
CH,2023-05-25,81.9,-2.52,6.21,"Richards, Trevor",642336,670950,,ball,,,,,13,Francisco Mejia strikes out swinging.,R,L,R,TB,TOR,B,,,1,2,2023,-1.41,0.27,-2.1,1.62,,,,2,6,Bot,,,,,672386,,,3.663545917446752,-119.16460010754668,-4.30926803859244,-14.085822072223229,23.833796471923545,-28.95237930217241,3.28,1.47,,,,82.0,2481.0,6.4,718032,670950,672386,665489,624415,656305,666182,662139,595281,664770,54.06,,,,,,,,51,4,Changeup,5,1,5,1,1,5,5,1,Strategic,Standard,245.0,0.0,0.018
CH,2023-05-25,82.5,-2.35,6.23,"Richards, Trevor",642336,670950,,foul,,,,,13,Francisco Mejia strikes out swinging.,R,L,R,TB,TOR,S,,,1,1,2023,-1.37,-0.11,-0.96,1.85,,,,2,6,Bot,,,,,672386,,,5.804023205248511,-120.03136681417104,-3.2503899438047807,-14.368573454139858,22.21776599277259,-32.812818940316355,3.21,1.47,3.0,66.1,-34.0,82.5,2576.0,6.2,718032,670950,672386,665489,624415,656305,666182,662139,595281,664770,54.3,,,,,,,,51,3,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,261.0,0.0,-0.026
CH,2023-05-25,82.8,-2.41,6.18,"Richards, Trevor",642336,670950,,swinging_strike,,,,,7,Francisco Mejia strikes out swinging.,R,L,R,TB,TOR,S,,,1,0,2023,-1.49,0.0,-0.73,1.37,,,,2,6,Bot,,,,,672386,,,6.708288046268058,-120.32999573172174,-4.474804111490768,-15.816739284123368,23.09258080736261,-31.45830560072124,3.21,1.47,,,,82.5,2596.0,6.1,718032,670950,672386,665489,624415,656305,666182,662139,595281,664770,54.37,,,,,,,,51,2,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,247.0,0.0,-0.027
CH,2023-05-25,82.1,-2.51,6.15,"Richards, Trevor",642336,670950,,ball,,,,,13,Francisco Mejia strikes out swinging.,R,L,R,TB,TOR,B,,,0,0,2023,-1.55,0.23,-1.7,1.42,,,,2,6,Bot,,,,,672386,,,4.862066968915161,-119.41242546075593,-4.62328195632831,-15.785352218228931,22.73316303721167,-29.24160298435806,3.44,1.6,,,,82.3,2678.0,6.4,718032,670950,672386,665489,624415,656305,666182,662139,595281,664770,54.08,,,,,,,,51,1,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,247.0,0.0,0.021
CH,2023-05-25,83.5,-2.34,6.23,"Richards, Trevor",622534,670950,field_out,hit_into_play,,,,,13,Manuel Margot flies out to left fielder Daulton Varsho.,R,R,R,TB,TOR,X,7.0,fly_ball,0,1,2023,-1.65,0.14,-0.55,1.31,,,,1,6,Bot,42.15,103.13,,,672386,,,7.359516479066253,-121.34587352712192,-5.14760668061912,-17.75705944241177,23.91532116031511,-29.98114054449976,3.32,1.57,311.0,91.0,43.0,83.4,2562.0,6.3,718032,670950,672386,665489,624415,656305,666182,662139,595281,664770,54.22,0.006,0.006,0.0,1.0,0.0,0.0,3.0,50,2,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,243.0,-0.003,-0.144
FF,2023-05-25,93.1,-2.08,6.26,"Richards, Trevor",622534,670950,,called_strike,,,,,2,Manuel Margot flies out to left fielder Daulton Varsho.,R,R,R,TB,TOR,S,,,0,0,2023,-0.43,1.82,-0.12,3.48,,,,1,6,Bot,,,,,672386,,,5.978218742768254,-135.4053619236528,-5.37045692524629,-6.656643096368232,30.546481920029198,-8.766590478807824,3.53,1.6,,,,93.0,2241.0,6.3,718032,670950,672386,665489,624415,656305,666182,662139,595281,664770,54.16,,,,,,,,50,1,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,202.0,0.0,-0.028
FF,2023-05-25,93.5,-2.37,6.23,"Richards, Trevor",670042,670950,strikeout,swinging_strike,,,,,11,Luke Raley strikes out swinging.,R,L,R,TB,TOR,S,2.0,,1,2,2023,-0.48,1.68,-0.56,4.01,,,,0,6,Bot,,,,,672386,,,5.70801264742306,-136.07600849914687,-3.666295558641166,-7.286991951041133,30.514652669171884,-10.720932311757116,3.46,1.57,,,,93.3,2256.0,6.2,718032,670950,672386,665489,624415,656305,666182,662139,595281,664770,54.3,,,0.0,1.0,0.0,0.0,,49,4,4-Seam Fastball,5,1,5,1,1,5,5,1,Strategic,Standard,207.0,-0.004,-0.175
CH,2023-05-25,82.3,-2.26,6.21,"Richards, Trevor",670042,670950,,ball,,,,,13,Luke Raley strikes out swinging.,R,L,R,TB,TOR,B,,,0,2,2023,-1.46,0.21,-1.67,0.97,,,,0,6,Bot,,,,,672386,,,4.171658487096941,-119.71865756843992,-5.784194815066452,-14.898059579284462,21.85884837930383,-29.285131709718964,3.63,1.62,,,,82.4,2662.0,6.2,718032,670950,672386,665489,624415,656305,666182,662139,595281,664770,54.26,,,,,,,,49,3,Changeup,5,1,5,1,1,5,5,1,Strategic,Standard,252.0,0.0,0.026
CH,2023-05-25,82.3,-2.49,6.19,"Richards, Trevor",670042,670950,,swinging_strike,,,,,13,Luke Raley strikes out swinging.,R,L,R,TB,TOR,S,,,0,1,2023,-1.41,-0.12,-1.4,1.26,,,,0,6,Bot,,,,,672386,,,5.203836572059878,-119.71089786462768,-4.4480086581542455,-14.51790123556347,22.362062484592485,-32.689339090312465,3.46,1.57,,,,82.4,2671.0,6.3,718032,670950,672386,665489,624415,656305,666182,662139,595281,664770,54.22,,,,,,,,49,2,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,249.0,0.0,-0.049
CH,2023-05-25,83.7,-2.55,6.18,"Richards, Trevor",670042,670950,,swinging_strike,,,,,13,Luke Raley strikes out swinging.,R,L,R,TB,TOR,S,,,0,0,2023,-1.56,0.2,-0.92,1.86,,,,0,6,Bot,,,,,672386,,,6.858753935318344,-121.71993463433958,-3.9722840646199913,-16.870838277481678,22.716016959500077,-29.66425537999705,3.46,1.57,,,,84.1,2626.0,6.5,718032,670950,672386,665489,624415,656305,666182,662139,595281,664770,54.04,,,,,,,,49,1,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,249.0,0.0,-0.037
CH,2023-05-25,82.7,-2.36,6.29,"Richards, Trevor",670764,670950,strikeout,swinging_strike,,,,,13,Taylor Walls strikes out swinging.,R,L,R,TB,TOR,S,2.0,,0,2,2023,-1.42,0.63,-1.24,1.84,,,,2,5,Bot,,,,,672386,,,5.300521807083547,-120.35302847964888,-4.907399323508237,-14.828673586997091,22.037785243217208,-25.314814943820043,3.44,1.59,,,,82.8,2550.0,6.2,718032,670950,672386,665489,624415,656305,666182,662139,595281,664770,54.3,,,0.0,1.0,0.0,0.0,,44,3,Changeup,5,1,5,1,1,5,5,1,Strategic,Standard,239.0,-0.002,-0.057
FF,2023-05-25,92.9,-2.37,6.2,"Richards, Trevor",670764,670950,,foul,,,,,5,Taylor Walls strikes out swinging.,R,L,R,TB,TOR,S,,,0,1,2023,-0.68,1.63,-0.27,2.51,,,,2,5,Bot,,,,,672386,,,6.829058750325947,-134.92989320505276,-7.219174192131389,-9.754134706074977,29.944683316410742,-10.818063062558489,3.44,1.59,205.0,72.9,54.0,92.6,2193.0,6.2,718032,670950,672386,665489,624415,656305,666182,662139,595281,664770,54.27,,,,,,,,44,2,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,201.0,0.0,-0.025
