pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-14,96.2,-1.75,5.64,"Rodríguez, Yerry",542208,666720,field_out,hit_into_play,,,,,5,Carlos Perez flies out to center fielder Leody Taveras.,R,R,R,OAK,TEX,X,8.0,fly_ball,2,2,2023,-1.32,1.08,-0.01,2.66,,,,2,8,Bot,114.71,58.0,,,641680,,,7.616739488048505,-139.84333311911485,-4.708849714699418,-19.06004103249447,34.1495352228692,-17.169036387158354,3.31,1.55,350.0,96.1,38.0,96.0,2359,6.4,718172,666720,641680,663993,543760,673962,677649,543257,665750,666969,54.1,0.091,0.147,0.0,1.0,0.0,0.0,3.0,72,5,4-Seam Fastball,3,11,3,11,11,3,3,11,Standard,Standard,233,-0.001,-0.09
FF,2023-05-14,96.2,-1.69,5.92,"Rodríguez, Yerry",542208,666720,,ball,,,,,11,Carlos Perez flies out to center fielder Leody Taveras.,R,R,R,OAK,TEX,B,,,1,2,2023,-1.23,0.96,-1.03,4.58,,,,2,8,Bot,,,,,641680,,,4.508360381003142,-140.07679755977486,-0.1260845734583967,-17.139945552816663,33.861426193093955,-19.7661777168037,3.31,1.61,,,,95.7,2420,6.2,718172,666720,641680,663993,543760,673962,677649,543257,665750,666969,54.35,,,,,,,,72,4,4-Seam Fastball,3,11,3,11,11,3,3,11,Standard,Standard,220,0.0,0.018
SL,2023-05-14,81.0,-1.87,5.64,"Rodríguez, Yerry",542208,666720,,ball,,,,,14,Carlos Perez flies out to center fielder Leody Taveras.,R,R,R,OAK,TEX,B,,,0,2,2023,1.43,0.19,4.25,-0.2,,,,2,8,Bot,,,,,641680,,,10.91462474984518,-117.18212283508628,-6.489105374067634,10.018484110179966,29.86551207008521,-29.03136718140569,3.31,1.53,,,,79.8,2698,6.6,718172,666720,641680,663993,543760,673962,677649,543257,665750,666969,53.92,,,,,,,,72,3,Slider,3,11,3,11,11,3,3,11,Standard,Standard,81,0.0,0.014
SL,2023-05-14,83.1,-1.82,5.61,"Rodríguez, Yerry",542208,666720,,swinging_strike,,,,,14,Carlos Perez flies out to center fielder Leody Taveras.,R,R,R,OAK,TEX,S,,,0,1,2023,0.26,0.92,1.28,1.97,,,,2,8,Bot,,,,,641680,,,6.647986548908465,-120.94237554495956,-3.7075336172876217,1.305328123304757,22.492355380715825,-22.615550126173925,3.31,1.55,,,,83.7,2669,6.6,718172,666720,641680,663993,543760,673962,677649,543257,665750,666969,53.91,,,,,,,,72,2,Slider,3,11,3,11,11,3,3,11,Standard,Standard,114,0.0,-0.025
SI,2023-05-14,97.5,-1.68,5.71,"Rodríguez, Yerry",542208,666720,,called_strike,,,,,2,Carlos Perez flies out to center fielder Leody Taveras.,R,R,R,OAK,TEX,S,,,0,0,2023,-1.61,1.04,-0.05,2.89,,,,2,8,Bot,,,,,641680,,,8.057813099009149,-141.63864188658107,-4.425854581994908,-23.52603591027093,33.35556155295322,-17.302105444613936,3.43,1.55,,,,97.2,2536,6.3,718172,666720,641680,663993,543760,673962,677649,543257,665750,666969,54.19,,,,,,,,72,1,Sinker,3,11,3,11,11,3,3,11,Standard,Standard,233,0.0,-0.021
SI,2023-05-14,96.9,-1.86,5.64,"Rodríguez, Yerry",667670,666720,field_out,hit_into_play,,,,,2,"Brent Rooker grounds out, shortstop Ezequiel Duran to first baseman Nathaniel Lowe.",R,R,R,OAK,TEX,X,6.0,ground_ball,3,2,2023,-1.48,0.79,0.09,2.88,,,,1,8,Bot,118.12,157.51,,,641680,,,8.602647308139728,-140.83438094068907,-3.6419306419145623,-21.59008523825936,31.159726341342687,-21.06342129419248,3.45,1.61,42.0,91.5,-1.0,97.2,2376,6.5,718172,666720,641680,663993,543760,673962,677649,543257,665750,666969,54.02,0.271,0.25,0.0,1.0,0.0,0.0,2.0,71,6,Sinker,3,11,3,11,11,3,3,11,Standard,Standard,231,0.0,-0.211
CH,2023-05-14,83.1,-1.74,5.64,"Rodríguez, Yerry",667670,666720,,ball,,,,,14,"Brent Rooker grounds out, shortstop Ezequiel Duran to first baseman Nathaniel Lowe.",R,R,R,OAK,TEX,B,,,2,2,2023,-1.55,0.73,2.05,1.13,,,,1,8,Bot,,,,,641680,,,11.78529780894854,-120.47060191212483,-5.341651988387794,-17.30573032319839,21.01682665305195,-24.19794851689186,3.35,1.61,,,,83.8,1707,6.7,718172,666720,641680,663993,543760,673962,677649,543257,665750,666969,53.78,,,,,,,,71,5,Changeup,3,11,3,11,11,3,3,11,Standard,Standard,245,0.0,0.059
SI,2023-05-14,96.3,-1.76,5.77,"Rodríguez, Yerry",667670,666720,,called_strike,,,,,3,"Brent Rooker grounds out, shortstop Ezequiel Duran to first baseman Nathaniel Lowe.",R,R,R,OAK,TEX,S,,,2,1,2023,-1.42,1.03,0.5,2.97,,,,1,8,Bot,,,,,641680,,,9.202177434556305,-139.8979244596447,-4.135931245201439,-20.7926401321521,34.1809931069673,-17.917215138067178,3.45,1.66,,,,95.9,2487,6.3,718172,666720,641680,663993,543760,673962,677649,543257,665750,666969,54.15,,,,,,,,71,4,Sinker,3,11,3,11,11,3,3,11,Standard,Standard,221,0.0,-0.049
SL,2023-05-14,80.9,-1.9,5.71,"Rodríguez, Yerry",667670,666720,,ball,,,,,14,"Brent Rooker grounds out, shortstop Ezequiel Duran to first baseman Nathaniel Lowe.",R,R,R,OAK,TEX,B,,,1,1,2023,0.57,0.74,1.72,2.37,,,,1,8,Bot,,,,,641680,,,6.997563406235618,-117.61628238756845,-2.1703795928238323,3.808344104249152,24.006497423716255,-25.09357256067616,3.45,1.61,,,,80.7,2576,6.4,718172,666720,641680,663993,543760,673962,677649,543257,665750,666969,54.13,,,,,,,,71,3,Slider,3,11,3,11,11,3,3,11,Standard,Standard,99,0.0,0.037
FF,2023-05-14,95.8,-1.71,5.71,"Rodríguez, Yerry",667670,666720,,foul,,,,,2,"Brent Rooker grounds out, shortstop Ezequiel Duran to first baseman Nathaniel Lowe.",R,R,R,OAK,TEX,S,,,1,0,2023,-1.2,1.09,-0.11,3.35,,,,1,8,Bot,,,,,641680,,,6.960361999596286,-139.25571310323127,-3.0323150118253333,-17.22263201991538,33.8940271491824,-17.551787979412392,3.45,1.61,193.0,71.0,44.0,95.6,2346,6.4,718172,666720,641680,663993,543760,673962,677649,543257,665750,666969,54.1,,,,,,,,71,2,4-Seam Fastball,3,11,3,11,11,3,3,11,Standard,Standard,228,0.0,-0.035
FF,2023-05-14,96.7,-1.77,5.85,"Rodríguez, Yerry",667670,666720,,ball,,,,,11,"Brent Rooker grounds out, shortstop Ezequiel Duran to first baseman Nathaniel Lowe.",R,R,R,OAK,TEX,B,,,0,0,2023,-1.34,1.16,-1.27,4.08,,,,1,8,Bot,,,,,641680,,,4.381882931204914,-140.59372748215455,-1.7173801674583,-18.728374444784656,36.52833804348136,-16.76315885899995,3.45,1.66,,,,95.9,2322,6.2,718172,666720,641680,663993,543760,673962,677649,543257,665750,666969,54.29,,,,,,,,71,1,4-Seam Fastball,3,11,3,11,11,3,3,11,Standard,Standard,223,0.0,0.028
FF,2023-05-14,95.1,-1.93,5.78,"Rodríguez, Yerry",672478,666720,field_out,hit_into_play,,,,,11,Jordan Diaz pops out to second baseman Marcus Semien.,R,R,R,OAK,TEX,X,4.0,popup,1,0,2023,-1.11,1.22,-0.81,3.33,,,,0,8,Bot,151.13,155.22,,,641680,,,5.4407561286050194,-138.35487506269473,-3.475617878939177,-15.42554801313429,33.47924635329632,-15.915704488836589,3.13,1.45,132.0,77.0,63.0,94.9,2318,6.4,718172,666720,641680,663993,543760,673962,677649,543257,665750,666969,54.13,0.006,0.006,0.0,1.0,0.0,0.0,3.0,70,2,4-Seam Fastball,3,11,3,11,11,3,3,11,Standard,Standard,226,-0.001,-0.274
FF,2023-05-14,96.0,-1.82,5.84,"Rodríguez, Yerry",672478,666720,,ball,,,,,11,Jordan Diaz pops out to second baseman Marcus Semien.,R,R,R,OAK,TEX,B,,,0,0,2023,-0.95,1.14,-0.88,4.37,,,,0,8,Bot,,,,,641680,,,4.655870175044722,-139.66677882662253,-0.7730450695250586,-13.447908009274087,37.16287487628445,-17.4959227076246,3.13,1.41,,,,95.3,2346,6.3,718172,666720,641680,663993,543760,673962,677649,543257,665750,666969,54.17,,,,,,,,70,1,4-Seam Fastball,3,11,3,11,11,3,3,11,Standard,Standard,224,0.0,0.039
FF,2023-05-06,97.6,-1.83,5.68,"Rodríguez, Yerry",570482,666720,field_out,hit_into_play,,,,,9,Gio Urshela flies out to right fielder Adolis Garcia.,R,R,R,LAA,TEX,X,9.0,fly_ball,3,2,2023,-1.08,1.11,0.34,2.0,,,,2,9,Bot,210.3,116.59,,,506702,,,8.384304626764752,-141.6469657591734,-6.90008150408984,-16.571122824598547,35.07685288172295,-15.846505118896443,3.33,1.6,290.0,90.1,41.0,97.8,2478,6.7,718275,666720,506702,543543,543760,673962,677649,608671,665750,666969,53.77,0.006,0.006,0.0,1.0,0.0,0.0,3.0,81,8,4-Seam Fastball,1,10,1,10,10,1,1,10,Standard,Standard,233,0.0,-0.131
FF,2023-05-06,97.9,-1.96,5.69,"Rodríguez, Yerry",570482,666720,,foul,,,,,5,Gio Urshela flies out to right fielder Adolis Garcia.,R,R,R,LAA,TEX,S,,,3,2,2023,-1.08,1.17,0.09,2.75,,,,2,9,Bot,,,,,506702,,,8.091101805486794,-142.19608144653338,-5.1377113293045,-16.53136540767825,34.39680936764466,-15.262281913285245,3.33,1.6,227.0,79.6,49.0,98.5,2494,6.8,718275,666720,506702,543543,543760,673962,677649,608671,665750,666969,53.67,,,,,,,,81,7,4-Seam Fastball,1,10,1,10,10,1,1,10,Standard,Standard,232,0.0,0.0
