pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
CH,2023-05-25,80.3,-1.91,6.37,"Ruiz, Keibert",660688,607259,single,hit_into_play,,,,,7,Keibert Ruiz singles on a ground ball to second baseman Jake Cronenworth.   Dominic Smith scores.    Alex Call to 3rd.,R,L,R,WSH,SD,X,4.0,ground_ball,2,1,2023,-0.65,0.64,-0.61,1.75,642086.0,669743.0,,0,7,Bot,144.58,157.19,,,664954,,,4.041260458387747,-116.87689274912736,-4.686469914988687,-6.673440804939825,21.869484562904727,-25.659019304538887,3.19,1.52,91.0,98.8,5.0,79.4,1878.0,5.6,718035,607259,664954,641525,630105,596059,593428,665742,663757,665487,54.87,0.574,0.533,0.9,1.0,1.0,0.0,4.0,68,4,Changeup,5,5,5,5,5,6,6,5,Strategic,Standard,248.0,0.085,0.888,keibert ruiz,
FF,2023-05-24,95.1,2.36,5.76,"Ruiz, Keibert",660688,677960,field_out,hit_into_play,,,,,1,Keibert Ruiz pops out to first baseman Jake Cronenworth in foul territory.,R,R,L,WSH,SD,X,3.0,popup,3,1,2023,0.87,1.12,-0.67,2.78,,,,1,6,Bot,159.28,171.57,,,664954,,,-9.773404595944452,-138.13230435562954,-4.649935025870855,13.271301087542996,29.519766792533098,-16.883202248100243,3.21,1.53,112.0,63.0,68.0,94.1,2220.0,5.7,718052,677960,664954,630105,596059,673490,593428,665742,663757,665487,54.76,0.001,0.0,0.0,1.0,0.0,0.0,3.0,49,5,4-Seam Fastball,5,3,5,3,3,5,5,3,Standard,Standard,132.0,-0.009,-0.28,keibert ruiz,
ST,2023-05-24,78.1,2.54,5.82,"Ruiz, Keibert",660688,677960,field_out,hit_into_play,,,,,6,"Keibert Ruiz grounds out, shortstop Xander Bogaerts to first baseman Jake Cronenworth.",R,R,L,WSH,SD,X,6.0,ground_ball,0,2,2023,-1.19,-0.28,0.45,2.4,,,,0,4,Bot,114.72,150.31,,,664954,,,-2.285793532833209,-113.76108936561194,0.0074033368505155,-9.92534873799298,20.93383856375764,-34.83859693868614,3.21,1.53,12.0,78.8,-10.0,77.2,2283.0,5.6,718052,677960,664954,630105,596059,673490,593428,665742,663757,665487,54.9,0.106,0.099,0.0,1.0,0.0,0.0,2.0,32,3,Sweeper,4,2,4,2,2,4,4,2,Standard,Standard,317.0,-0.014,-0.149,keibert ruiz,
ST,2023-05-24,80.3,2.51,5.91,"Ruiz, Keibert",660688,677960,single,hit_into_play,,,,,5,Keibert Ruiz singles on a fly ball to right fielder Fernando Tatis Jr.  Stone Garrett scores.    Dominic Smith to 3rd.,R,R,L,WSH,SD,X,9.0,fly_ball,1,0,2023,-1.26,-0.21,-0.23,2.28,656448.0,642086.0,,0,2,Bot,189.06,138.63,,,664954,,,-3.6724187283260687,-116.87288672878074,-0.9342678452615854,-10.757961904704644,22.817697461816916,-34.092258608616675,3.21,1.53,189.0,66.2,30.0,79.8,2508.0,6.0,718052,677960,664954,630105,596059,673490,593428,665742,663757,665487,54.46,0.917,0.837,0.9,1.0,1.0,0.0,4.0,15,2,Sweeper,0,0,0,0,0,1,1,0,Standard,Standard,308.0,0.07,0.849,keibert ruiz,
SI,2023-05-24,90.0,2.47,4.99,"Ruiz, Keibert",660688,676680,field_out,hit_into_play,,,,,6,Keibert Ruiz lines out to second baseman Rougned Odor.,R,R,L,WSH,SD,X,4.0,line_drive,1,1,2023,1.12,-0.06,0.59,2.26,,,642086.0,1,8,Bot,143.56,149.57,,,664954,,,-6.981861816875337,-130.85586864666155,-0.6466484176914401,14.31147420254454,28.81132233416152,-32.94197484672939,3.21,1.53,176.0,98.7,8.0,89.2,1868.0,6.0,718052,676680,664954,630105,596059,673490,593428,665742,663757,665487,54.53,0.637,0.595,0.0,1.0,0.0,0.0,4.0,65,3,Sinker,5,3,5,3,3,5,5,3,Standard,Standard,43.0,-0.007,-0.282,keibert ruiz,
FC,2023-05-23,91.9,-2.21,5.61,"Ruiz, Keibert",660688,506433,field_out,hit_into_play,,,,,8,Keibert Ruiz flies out sharply to center fielder Trent Grisham.,R,L,R,WSH,SD,X,8.0,fly_ball,1,1,2023,0.15,0.8,0.19,2.01,,,572816.0,2,6,Bot,149.15,53.8,,,543592,,,5.767256218855232,-133.6992163986206,-5.002925427895724,0.5656691171338517,28.142470562444444,-21.73807574947366,3.21,1.53,363.0,102.1,36.0,92.1,2647.0,6.4,718064,506433,543592,630105,596059,673490,593428,665742,663757,665487,54.11,0.423,0.814,0.0,1.0,0.0,0.0,6.0,54,3,Cutter,3,4,3,4,4,3,3,4,Strategic,Standard,211.0,-0.042,-0.232,keibert ruiz,
FS,2023-05-23,88.4,-2.09,5.79,"Ruiz, Keibert",660688,506433,strikeout,swinging_strike,,,,,11,Keibert Ruiz strikes out swinging.,R,L,R,WSH,SD,S,2.0,,1,2,2023,-0.44,0.17,-0.98,2.48,,,,0,5,Bot,,,,,543592,,,3.647964393390121,-128.87149738048274,-2.420060594803947,-5.668713492155892,24.5931533256972,-29.944607240295465,3.21,1.53,,,,89.2,1113.0,6.5,718064,506433,543592,641525,630105,673490,593428,665742,663757,665487,53.98,,,0.0,1.0,0.0,0.0,,40,5,Split-Finger,0,3,0,3,3,0,0,3,Strategic,Standard,257.0,-0.025,-0.175,keibert ruiz,
ST,2023-05-23,83.5,-2.43,5.52,"Ruiz, Keibert",660688,506433,field_out,hit_into_play,,,,,7,"Keibert Ruiz grounds out, first baseman Brandon Dixon to pitcher Yu Darvish.",R,L,R,WSH,SD,X,3.0,ground_ball,1,1,2023,1.24,-0.47,-0.36,1.87,,,,2,2,Bot,157.27,165.31,,,543592,,,2.3442954405115453,-121.58423724074058,-0.986794507053642,11.668639140416124,26.308295347392463,-36.86109118352828,3.21,1.53,20.0,79.1,-4.0,83.3,2662.0,6.4,718064,506433,543592,641525,630105,673490,593428,665742,663757,665487,54.15,0.114,0.103,0.0,1.0,0.0,0.0,2.0,18,3,Sweeper,0,2,0,2,2,0,0,2,Standard,Standard,51.0,-0.011,-0.097,keibert ruiz,
SI,2023-05-23,94.7,2.64,5.9,"Ruiz, Keibert",660688,623352,field_out,hit_into_play,,,,,1,Keibert Ruiz flies out to center fielder Trent Grisham.,R,R,L,WSH,SD,X,8.0,fly_ball,0,0,2023,0.44,1.7,-0.28,2.97,,,,0,9,Bot,104.41,85.29,,,543592,,,-8.666320844917163,-137.5575228865146,-5.764436590426031,7.600477018390628,31.25122227475564,-9.521723754392518,3.21,1.53,289.0,81.8,36.0,95.0,2279.0,6.6,718064,623352,543592,630105,596059,673490,593428,665742,663757,665487,53.86,0.029,0.042,0.0,1.0,0.0,0.0,3.0,78,1,Sinker,4,7,4,7,7,4,4,7,Standard,Standard,153.0,-0.021,-0.235,keibert ruiz,
SL,2023-05-20,84.4,-1.37,6.36,"Ruiz, Keibert",660688,656412,field_out,hit_into_play,,,,,6,"Keibert Ruiz grounds out, shortstop Javier Baez to first baseman Spencer Torkelson.",R,L,R,WSH,DET,X,6.0,ground_ball,0,0,2023,-0.04,0.34,0.35,2.57,,,,0,5,Bot,116.92,139.6,,,668670,,,4.044847158146668,-122.96022505942022,-3.1568804674606863,-1.1807658610786913,22.94187528928642,-28.346458886612137,3.26,1.55,112.0,68.7,15.0,84.0,2671.0,5.8,718108,656412,668670,679529,628451,570731,595879,606992,682985,663837,54.68,0.489,0.449,0.0,1.0,0.0,0.0,2.0,35,1,Slider,1,2,1,2,2,1,1,2,Strategic,Strategic,163.0,-0.034,-0.235,keibert ruiz,
