pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-25,89.6,-2.95,4.8,"Sabol, Blake",666165,527054,strikeout,swinging_strike,,,,,1,Blake Sabol strikes out swinging.,R,L,R,MIL,SF,S,2.0,,2,2,2023,-0.49,0.85,-0.71,3.08,,,,0,5,Top,,,,,605170,,,6.6221294528930175,-130.3266638343366,-0.0139072855029377,-7.071698861859937,28.721479795731504,-22.76648177673995,3.43,1.69,,,,90.2,2243.0,6.8,718028,527054,605170,642133,668930,680911,642715,592885,686894,605119,53.72,,,0.0,1.0,0.0,0.0,,30,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,237.0,0.03,-0.205,blake sabol,
CU,2023-05-25,77.8,-3.06,4.92,"Sabol, Blake",666165,527054,field_out,hit_into_play,,,,,1,Blake Sabol lines out sharply to right fielder Brian Anderson.,R,L,R,MIL,SF,X,9.0,line_drive,1,2,2023,0.4,0.29,-0.32,3.37,,,,1,2,Top,196.71,102.58,,,605170,,,5.159856638883169,-113.22826687580203,3.0108772409973383,2.614545553557836,19.109013628741582,-30.3595582210413,3.43,1.69,295.0,100.3,20.0,78.4,2471.0,6.5,718028,527054,605170,642133,668930,680911,642715,592885,686894,605119,53.97,0.383,0.453,0.0,1.0,0.0,0.0,5.0,10,4,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,83.0,0.017,-0.122,blake sabol,
FF,2023-05-25,99.6,-1.19,6.51,"Sabol, Blake",666165,656730,strikeout,swinging_strike,,,,,2,Blake Sabol strikes out swinging.,R,L,R,MIL,SF,S,2.0,,1,2,2023,-0.14,1.6,0.13,3.5,624424.0,,571745.0,2,6,Top,,,,,605170,,,3.956463267310588,-144.8620534465858,-6.643919382329694,-2.8787293998169443,35.35414333845045,-8.281435379632434,3.43,1.69,,,,99.9,2516.0,6.6,718028,656730,605170,642133,680911,605119,642715,592885,686894,621438,53.93,,,0.0,1.0,0.0,0.0,,44,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,207.0,0.054,-0.381,blake sabol,
CU,2023-05-25,81.1,-3.76,4.79,"Sabol, Blake",666165,668338,hit_by_pitch,hit_by_pitch,,,,,14,Blake Sabol hit by pitch.    Mike Yastrzemski to 2nd.,R,L,R,MIL,SF,B,,,0,0,2023,0.91,-0.61,2.29,0.11,,,573262.0,2,8,Top,,,,,605170,,,12.130849489237985,-117.46551017027248,-2.62257955815552,5.951776704838324,23.52332744295899,-37.45306288852186,3.43,1.69,,,,83.2,2751.0,8.1,718028,668338,605170,642133,680911,605119,642715,592885,686894,621438,52.44,,,0.7,1.0,0.0,0.0,,59,1,Curveball,0,2,2,0,2,0,2,0,Standard,Standard,55.0,-0.01,0.228,blake sabol,
FS,2023-05-24,84.2,-2.56,5.14,"Sabol, Blake",666165,657746,field_error,hit_into_play,,,,,7,Blake Sabol reaches on a throwing error by second baseman Edouard Julien.,R,L,R,MIN,SF,X,4.0,ground_ball,1,2,2023,-1.43,0.0,-0.56,1.96,,,,1,5,Top,164.95,156.85,,,680777,,,7.511866068702568,-122.42188608984924,-0.9701508044499152,-15.846434176535894,25.502741526459427,-32.18420653676977,3.43,1.69,16.0,84.1,-7.0,84.5,1378.0,6.7,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.85,0.134,0.133,0.9,1.0,0.0,0.0,2.0,45,5,Split-Finger,6,1,1,6,1,6,1,6,Strategic,Standard,237.0,-0.012,0.351,blake sabol,
FS,2023-05-24,83.9,-2.76,4.94,"Sabol, Blake",666165,657746,fielders_choice,hit_into_play,,,,,13,"Blake Sabol reaches on a fielder's choice, fielded by pitcher Joe Ryan.   Michael Conforto to 2nd.  Michael Conforto advances to 2nd, on a throwing error by pitcher Joe Ryan.",R,L,R,MIN,SF,X,1.0,ground_ball,1,2,2023,-1.39,0.08,-1.32,1.55,,,624424.0,1,3,Top,127.95,180.36,,,680777,,,6.125780531437049,-121.94591878876248,-1.5384565088618702,-15.06877157581328,26.36363136397513,-31.237274283457356,3.43,1.69,4.0,54.8,-25.0,84.0,1372.0,6.6,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.85,0.103,0.094,0.9,1.0,0.0,0.0,1.0,25,4,Split-Finger,3,1,1,3,1,3,1,3,Standard,Standard,241.0,-0.041,0.603,blake sabol,
FF,2023-05-24,93.9,-2.75,4.95,"Sabol, Blake",666165,657746,field_out,hit_into_play,,,,,2,"Blake Sabol grounds out sharply, second baseman Edouard Julien to first baseman Alex Kirilloff.",R,L,R,MIN,SF,X,4.0,ground_ball,0,2,2023,-1.03,1.2,-0.16,3.37,664774.0,642731.0,,2,1,Top,151.64,151.4,,,680777,,,8.93624573113358,-136.35862367320354,-0.9636217139821854,-14.865994617333865,32.24567651319199,-17.229147683789268,3.43,1.69,61.0,102.4,1.0,93.3,2202.0,6.2,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,54.25,0.451,0.419,0.0,1.0,0.0,0.0,4.0,5,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,221.0,0.057,-0.287,blake sabol,
FF,2023-05-24,92.6,0.9,5.72,"Sabol, Blake",666165,663558,walk,ball,,,,,14,Blake Sabol walks.,R,L,L,MIN,SF,B,,,3,2,2023,0.32,1.54,0.68,1.34,,,,0,7,Top,,,,,680777,,,-1.2794070113403673,-134.57496135729514,-8.781014375719824,4.2157066882483765,31.836433532230377,-11.770702987138776,3.31,1.69,,,,93.4,2352.0,7.0,718047,663558,680777,666135,666397,456781,571657,650489,572191,670242,53.48,,,0.7,1.0,0.0,0.0,,61,7,4-Seam Fastball,7,1,1,7,1,7,1,7,Strategic,Standard,160.0,-0.009,0.316,blake sabol,
CU,2023-05-24,90.2,-2.17,6.01,"Sabol, Blake",666165,661395,strikeout,swinging_strike_blocked,,,,,14,Blake Sabol strikes out swinging.,R,L,R,MIN,SF,S,2.0,,0,2,2023,0.4,-0.68,0.12,0.98,,,,1,9,Top,,,,,680777,,,4.815204770762433,-131.23500412681207,-5.064676168485285,3.593313452505257,29.14547704235439,-39.12980865455108,3.43,1.69,,,,89.9,2831.0,6.2,718047,661395,680777,666135,666397,456781,571657,650489,572191,670242,54.27,,,0.0,1.0,0.0,0.0,,78,4,Curveball,7,1,1,7,1,7,1,7,Strategic,Standard,44.0,0.001,-0.107,blake sabol,
FC,2023-05-23,86.3,-0.82,5.49,"Sabol, Blake",666165,543243,double,hit_into_play,,,,,9,Blake Sabol doubles (5) on a sharp ground ball to right fielder Alex Kirilloff.   Mike Yastrzemski to 3rd.,R,L,R,MIN,SF,X,9.0,ground_ball,0,2,2023,0.58,-0.24,0.56,1.86,,,573262.0,2,4,Top,209.65,106.45,,,543877,,,2.113530897577743,-125.69110082839936,-1.943213911610297,5.719576069864504,24.6581374483762,-34.57512872103392,3.39,1.68,139.0,105.7,9.0,86.4,2774.0,6.2,718054,543243,543877,608336,666397,456781,571657,650489,572191,666135,54.25,0.743,0.725,1.25,1.0,1.0,1.0,4.0,27,3,Cutter,2,0,0,2,0,2,0,2,Strategic,Standard,77.0,-0.043,0.827,blake sabol,
