pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-24,80.4,-3.19,3.8,"Sandlin, Nick",641313,680704,field_out,hit_into_play,,,,,9,"Tim Anderson grounds out, third baseman Jose Ramirez to first baseman Josh Bell.",R,R,R,CLE,CWS,X,5.0,ground_ball,2,1,2023,0.67,0.42,0.68,1.86,,,,2,7,Top,106.0,161.17,,,681807,,,7.349899247909028,-116.88914875731174,1.6177834898348922,4.761140672512015,22.278622491498467,-28.86524566260549,3.43,1.5,48.0,73.7,3.0,80.9,2574.0,6.7,718048,680704,681807,605137,665926,608070,642708,680757,664702,672356,53.78,0.134,0.125,0.0,1.0,0.0,0.0,2.0,48,4,Slider,0,6,6,0,6,0,6,0,Standard,Standard,103.0,0.001,-0.12
SI,2023-05-24,91.6,-3.0,4.13,"Sandlin, Nick",641313,680704,,called_strike,,,,,2,"Tim Anderson grounds out, third baseman Jose Ramirez to first baseman Josh Bell.",R,R,R,CLE,CWS,S,,,2,0,2023,-1.33,0.19,-0.25,3.15,,,,2,7,Top,,,,,681807,,,9.864292815252364,-132.94537575937954,3.073815095285511,-17.942536735904856,30.03235504920513,-30.959482299305005,3.41,1.54,,,,91.8,2037.0,6.7,718048,680704,681807,605137,665926,608070,642708,680757,664702,672356,53.82,,,,,,,,48,3,Sinker,0,6,6,0,6,0,6,0,Standard,Standard,251.0,0.0,-0.029
FF,2023-05-24,93.8,-3.21,4.32,"Sandlin, Nick",641313,680704,,ball,,,,,11,"Tim Anderson grounds out, third baseman Jose Ramirez to first baseman Josh Bell.",R,R,R,CLE,CWS,B,,,1,0,2023,-1.13,0.8,-0.49,3.79,,,,2,7,Top,,,,,681807,,,9.583781192948098,-136.288635741527,2.591036073247255,-16.0707955897892,27.529461222573488,-22.930932715931,3.43,1.57,,,,94.5,2467.0,6.6,718048,680704,681807,605137,665926,608070,642708,680757,664702,672356,53.89,,,,,,,,48,2,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,245.0,0.0,0.025
SI,2023-05-24,93.8,-3.12,4.3,"Sandlin, Nick",641313,680704,,ball,,,,,13,"Tim Anderson grounds out, third baseman Jose Ramirez to first baseman Josh Bell.",R,R,R,CLE,CWS,B,,,0,0,2023,-1.48,0.16,-0.11,1.35,,,,2,7,Top,,,,,681807,,,11.121743166196032,-136.18116125535064,-2.1863017095730064,-20.95403950224696,31.41464713718073,-29.91912505364124,3.43,1.49,,,,94.1,2220.0,6.7,718048,680704,681807,605137,665926,608070,642708,680757,664702,672356,53.79,,,,,,,,48,1,Sinker,0,6,6,0,6,0,6,0,Standard,Standard,248.0,0.0,0.021
SL,2023-05-24,78.2,-3.08,3.87,"Sandlin, Nick",664874,680704,strikeout,swinging_strike,,,,,6,Seby Zavala strikes out swinging.,R,R,R,CLE,CWS,S,2.0,,1,2,2023,1.07,0.99,0.33,2.04,,,,1,7,Top,,,,,681807,,,5.3937177122720295,-113.7189051821049,1.170401446509731,8.200333896695287,22.345235021960992,-24.103876679260797,3.24,1.48,,,,78.3,2678.0,6.5,718048,680704,681807,605137,665926,608070,642708,680757,664702,672356,53.97,,,0.0,1.0,0.0,0.0,,47,4,Slider,0,6,6,0,6,0,6,0,Standard,Standard,89.0,0.001,-0.122
FF,2023-05-24,93.0,-3.09,4.35,"Sandlin, Nick",664874,680704,,foul,,,,,1,Seby Zavala strikes out swinging.,R,R,R,CLE,CWS,S,,,1,1,2023,-0.94,0.78,-0.62,2.9,,,,1,7,Top,,,,,681807,,,8.453513336499677,-135.1535348980507,0.3809655870235721,-13.351026907066789,30.40734965556529,-22.92486645328972,3.24,1.48,199.0,83.8,67.0,93.4,2194.0,6.7,718048,680704,681807,605137,665926,608070,642708,680757,664702,672356,53.84,,,,,,,,47,3,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,241.0,0.0,-0.044
SL,2023-05-24,78.8,-3.11,3.92,"Sandlin, Nick",664874,680704,,foul,,,,,5,Seby Zavala strikes out swinging.,R,R,R,CLE,CWS,S,,,1,0,2023,0.74,0.83,0.07,2.68,,,,1,7,Top,,,,,681807,,,5.522975077034068,-114.38755996883964,2.80078989189111,5.115444294150564,26.227501779354675,-25.966803686882525,3.24,1.48,2.0,42.8,-55.0,78.2,2592.0,6.6,718048,680704,681807,605137,665926,608070,642708,680757,664702,672356,53.94,,,,,,,,47,2,Slider,0,6,6,0,6,0,6,0,Standard,Standard,104.0,0.0,-0.035
SL,2023-05-24,80.4,-3.02,4.01,"Sandlin, Nick",664874,680704,,ball,,,,,12,Seby Zavala strikes out swinging.,R,R,R,CLE,CWS,B,,,0,0,2023,0.49,0.66,2.06,2.36,,,,1,7,Top,,,,,681807,,,10.368277357113575,-116.59209325954777,1.8372636179769104,2.544842013069254,21.89815979658077,-26.771176531990733,3.05,1.48,,,,80.6,2663.0,6.6,718048,680704,681807,605137,665926,608070,642708,680757,664702,672356,53.87,,,,,,,,47,1,Slider,0,6,6,0,6,0,6,0,Standard,Standard,100.0,0.0,0.028
SI,2023-05-24,91.8,-3.04,4.22,"Sandlin, Nick",663853,680704,field_out,hit_into_play,,,,,4,"Romy Gonzalez grounds out, first baseman Josh Bell to pitcher Nick Sandlin.",R,R,R,CLE,CWS,X,3.0,ground_ball,2,1,2023,-1.01,-0.36,-0.76,2.35,,,,0,7,Top,152.66,164.2,,,681807,,,8.010535663377889,-133.39763168224002,1.968305658514957,-13.790146334550318,29.816028246315916,-37.14631408328661,3.41,1.68,17.0,101.2,-7.0,92.1,1987.0,6.6,718048,680704,681807,605137,665926,608070,642708,680757,664702,672356,53.9,0.234,0.211,0.0,1.0,0.0,0.0,2.0,46,4,Sinker,0,6,6,0,6,0,6,0,Standard,Standard,255.0,0.001,-0.278
SI,2023-05-24,91.7,-3.09,4.29,"Sandlin, Nick",663853,680704,,ball,,,,,2,"Romy Gonzalez grounds out, first baseman Josh Bell to pitcher Nick Sandlin.",R,R,R,CLE,CWS,B,,,1,1,2023,-0.99,-0.18,0.08,3.33,,,,0,7,Top,,,,,681807,,,10.18169479456264,-133.15673271517605,3.8098530374031783,-13.90318900504952,26.003851354760247,-35.29583518403062,3.27,1.64,,,,92.2,1993.0,6.5,718048,680704,681807,605137,665926,608070,642708,680757,664702,672356,54.0,,,,,,,,46,3,Sinker,0,6,6,0,6,0,6,0,Standard,Standard,249.0,0.0,0.05
