pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
CH,2023-05-24,85.0,1.21,5.44,"Santana, Carlos",467793,527048,field_out,hit_into_play,,,,,9,"Carlos Santana grounds out, shortstop Josh H.   Smith to first baseman Nathaniel Lowe.",R,R,L,PIT,TEX,X,6.0,ground_ball,0,1,2023,1.21,0.64,0.3,2.0,,,,1,6,Bot,97.48,143.34,,,641680,,,-4.510344602010664,-123.74055614072968,-3.0884088034640795,13.318002074421928,22.62265794281844,-25.151174220934777,3.4,1.62,8.0,99.5,-14.0,84.7,1698.0,5.9,718045,527048,641680,663993,543760,673962,669701,543257,665750,666969,54.63,0.18,0.162,0.0,1.0,0.0,0.0,2.0,50,2,Changeup,2,3,2,3,3,2,2,3,Standard,Standard,123.0,-0.028,-0.144,carlos santana,
CH,2023-05-24,85.0,1.23,5.72,"Santana, Carlos",467793,527048,field_out,hit_into_play,,,,,14,"Carlos Santana grounds out, third baseman Josh Jung to first baseman Nathaniel Lowe.",R,R,L,PIT,TEX,X,5.0,ground_ball,1,1,2023,1.12,0.8,0.84,1.88,,,,0,4,Bot,106.6,173.29,,,641680,,,-3.13249200164987,-123.78150647304192,-4.274020693065129,12.191686895796844,24.60078322088798,-23.33158554875717,3.4,1.62,2.0,88.0,-47.0,84.5,1711.0,5.9,718045,527048,641680,663993,543760,673962,669701,543257,665750,666969,54.59,0.12,0.111,0.0,1.0,0.0,0.0,2.0,30,3,Changeup,2,3,2,3,3,2,2,3,Standard,Standard,130.0,-0.03,-0.228,carlos santana,
CH,2023-05-24,84.5,1.18,5.79,"Santana, Carlos",467793,527048,walk,ball,,,,,14,Carlos Santana walks.,R,R,L,PIT,TEX,B,,,3,2,2023,1.15,0.72,0.76,0.46,,,,0,2,Bot,,,,,641680,,,-3.2304741917733155,-122.93362281183614,-7.46943962718793,12.309956574502298,23.2874086898018,-23.64195815731001,3.4,1.65,,,,84.0,1656.0,5.9,718045,527048,641680,663993,543760,673962,669701,543257,665750,666969,54.61,,,0.7,1.0,0.0,0.0,,15,6,Changeup,0,3,0,3,3,0,0,3,Strategic,Standard,125.0,0.037,0.316,carlos santana,
CH,2023-05-24,88.8,-1.29,6.18,"Santana, Carlos",467793,600917,single,hit_into_play,,,,,13,Carlos Santana singles on a fly ball to center fielder Leody Taveras.   Ke'Bryan Hayes to 2nd.,R,L,R,PIT,TEX,X,8.0,fly_ball,1,0,2023,-1.36,1.09,-1.28,2.11,,,663647.0,1,8,Bot,127.37,101.71,,,641680,,,2.8105623499379213,-129.1968970736022,-6.081434505623536,-15.745657543900824,28.106001351428937,-18.93219174216474,3.4,1.62,244.0,73.0,35.0,87.5,2142.0,5.6,718045,600917,641680,663993,543760,673962,669701,669352,665750,666969,54.9,0.374,0.38,0.9,1.0,1.0,0.0,3.0,66,2,Changeup,2,3,2,3,3,2,2,3,Strategic,Standard,205.0,0.091,0.456,carlos santana,
FS,2023-05-23,88.9,-2.68,5.42,"Santana, Carlos",467793,543135,field_out,hit_into_play,,,,,13,"Carlos Santana grounds out, shortstop Corey Seager to first baseman Nathaniel Lowe.",R,L,R,PIT,TEX,X,6.0,ground_ball,1,1,2023,-0.98,-0.11,-0.83,1.53,,,,2,9,Bot,107.21,153.89,,,641680,,,6.612576096500957,-129.3999472848868,-3.339780752809076,-12.377163449991947,24.67081087119628,-32.942769601873906,3.4,1.62,19.0,78.5,-3.0,89.5,1615.0,6.5,718065,543135,641680,663993,543760,673962,608369,669352,665750,666969,54.05,0.129,0.12,0.0,1.0,0.0,0.0,2.0,68,3,Split-Finger,1,6,1,6,6,1,1,6,Strategic,Standard,243.0,0.0,-0.097,carlos santana,
FF,2023-05-23,95.6,-2.52,5.42,"Santana, Carlos",467793,543135,strikeout,swinging_strike,,,,,3,Carlos Santana strikes out swinging.,R,L,R,PIT,TEX,S,2.0,,1,2,2023,-1.0,1.24,0.38,3.32,,,,0,7,Bot,,,,,641680,,,9.96448146038604,-138.91675851188316,-2.693171206236756,-15.259686913171343,31.92444221582579,-15.779137628750007,3.4,1.62,,,,96.1,2218.0,6.7,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,53.78,,,0.0,1.0,0.0,0.0,,52,4,4-Seam Fastball,1,5,1,5,5,1,1,5,Strategic,Standard,231.0,-0.017,-0.175,carlos santana,
FF,2023-05-23,95.2,-2.5,5.49,"Santana, Carlos",467793,543135,field_error,hit_into_play,,,,,5,Carlos Santana reaches on a fielding error by first baseman Nathaniel Lowe.,R,L,R,PIT,TEX,X,3.0,ground_ball,0,0,2023,-1.06,0.96,-0.18,2.8,,,,0,4,Bot,157.51,169.04,,,641680,,,8.531030984306463,-138.3274730481363,-3.581375832296418,-15.49925155239078,30.433986523410294,-19.20655596787961,3.4,1.62,5.0,89.1,-28.0,95.7,2025.0,6.6,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,53.86,0.054,0.049,0.9,1.0,0.0,0.0,2.0,30,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Strategic,Standard,234.0,0.049,0.424,carlos santana,
FF,2023-05-23,95.7,-2.45,5.48,"Santana, Carlos",467793,543135,field_out,hit_into_play,,,,,3,Carlos Santana pops out to third baseman Josh Jung.,R,L,R,PIT,TEX,X,5.0,popup,0,2,2023,-0.98,1.12,0.61,3.23,457705.0,,,2,1,Bot,78.93,150.71,,,641680,,,10.32949495747198,-139.01715193166632,-2.879696511034526,-15.000980311908185,30.28798192990616,-17.130276921569358,3.4,1.62,170.0,65.4,55.0,96.3,2096.0,6.6,718065,543135,641680,663993,543760,673962,608369,543257,665750,666969,53.86,0.034,0.031,0.0,1.0,0.0,0.0,3.0,10,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Strategic,Standard,234.0,-0.035,-0.28,carlos santana,
FF,2023-05-22,90.7,-2.47,5.31,"Santana, Carlos",467793,641540,field_out,hit_into_play,,,,,14,Carlos Santana grounds out to first baseman Nathaniel Lowe.,R,L,R,PIT,TEX,X,3.0,ground_ball,0,2,2023,-0.79,0.8,1.01,2.0,,,,0,6,Bot,155.69,162.98,,,641680,,,10.53595708858342,-131.76359836756276,-4.171884744845358,-11.174262471616736,23.97989515641134,-22.082864542880724,3.39,1.6,6.0,75.6,-19.0,92.6,2035.0,7.2,718075,641540,641680,663993,543760,673962,608369,543257,665750,666969,53.29,0.054,0.049,0.0,1.0,0.0,0.0,2.0,44,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Standard,213.0,-0.033,-0.149,carlos santana,
FC,2023-05-22,88.1,-2.61,5.51,"Santana, Carlos",467793,641540,walk,ball,,,,,11,Carlos Santana walks.,R,L,R,PIT,TEX,B,,,3,2,2023,0.21,0.84,-0.9,3.59,,,,0,4,Bot,,,,,641680,,,3.7700676834553137,-128.44058542247623,-0.4024455086937523,1.6534959082623508,22.24008015555497,-22.9143206316544,3.39,1.63,,,,89.4,2163.0,6.6,718075,641540,641680,663993,543760,673962,608369,543257,665750,666969,53.85,,,0.7,1.0,0.0,0.0,,28,8,Cutter,1,0,1,0,0,1,1,0,Strategic,Standard,188.0,0.033,0.316,carlos santana,
