pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,2023-05-21,77.2,-3.07,5.44,"Scherzer, Max",608070,453286,field_out,hit_into_play,,,,,8,Jose Ramirez pops out to third baseman Brett Baty.,R,L,R,NYM,CLE,X,5.0,popup,2,1,2023,1.19,-0.82,0.11,2.04,,,642708.0,2,6,Top,115.09,179.35,,,596142,,,4.603912956272635,-112.16278408840128,1.4071175226721742,8.848448778659542,24.960900065699903,-39.55238660139287,3.3,1.54,46.0,75.2,77.0,76.6,2867,6.5,718099,453286,596142,624413,500871,683146,596019,643446,607043,516782,54.03,0.001,0.0,0.0,1.0,0.0,0.0,3.0,42,4,Curveball,1,0,0,1,0,1,0,1,Strategic,Standard,59,0.038,-0.269
CH,2023-05-21,83.3,-3.09,5.32,"Scherzer, Max",608070,453286,,swinging_strike,,,,,4,Jose Ramirez pops out to third baseman Brett Baty.,R,L,R,NYM,CLE,S,,,2,0,2023,-1.44,0.35,-0.42,2.47,,,642708.0,2,6,Top,,,,,596142,,,8.962737971078354,-121.04611644239048,-0.7689134235555246,-15.854516031939877,23.42112667582825,-28.754266381315,3.3,1.54,,,,83.4,1377,6.4,718099,453286,596142,624413,500871,683146,596019,643446,607043,516782,54.06,,,,,,,,42,3,Changeup,1,0,0,1,0,1,0,1,Strategic,Standard,254,0.0,-0.032
CU,2023-05-21,75.6,-2.98,5.54,"Scherzer, Max",608070,453286,,ball,,,,,11,Jose Ramirez pops out to third baseman Brett Baty.,R,L,R,NYM,CLE,B,,,1,0,2023,1.09,-0.88,-1.25,2.78,,,642708.0,2,6,Top,,,,,596142,,,1.6397701155308944,-109.91359086897089,3.1063528179165303,8.356310938695568,24.06667476496304,-40.1230134306795,3.37,1.54,,,,74.8,2810,6.3,718099,453286,596142,624413,500871,683146,596019,643446,607043,516782,54.19,,,,,,,,42,2,Curveball,1,0,0,1,0,1,0,1,Strategic,Standard,49,0.0,0.033
CH,2023-05-21,83.0,-3.09,5.38,"Scherzer, Max",608070,453286,,ball,,,,,11,Jose Ramirez pops out to third baseman Brett Baty.,R,L,R,NYM,CLE,B,,,0,0,2023,-1.53,0.18,-1.3,2.62,,,642708.0,2,6,Top,,,,,596142,,,7.096985278216963,-120.59341177599023,-0.1252683646054512,-16.330803837236108,24.61965426893821,-30.668612766826584,3.4,1.54,,,,82.9,1322,6.4,718099,453286,596142,624413,500871,683146,596019,643446,607043,516782,54.11,,,,,,,,42,1,Changeup,1,0,0,1,0,1,0,1,Strategic,Standard,251,0.0,0.027
SL,2023-05-21,83.6,-3.29,5.13,"Scherzer, Max",642708,453286,force_out,hit_into_play,,,,,14,"Amed Rosario grounds into a force out, third baseman Brett Baty to second baseman Eduardo Escobar.   Steven Kwan out at 2nd.    Amed Rosario to 1st.",R,R,R,NYM,CLE,X,5.0,ground_ball,0,1,2023,0.13,0.08,0.48,1.13,,,680757.0,1,6,Top,108.42,172.68,,,596142,,,8.437659129406597,-121.59537156314994,-2.9865626237171448,-0.2496807746829934,22.484763907363707,-30.97809737195289,3.13,1.5,8.0,71.2,-9.0,83.9,2572,6.4,718099,453286,596142,624413,500871,683146,596019,643446,607043,516782,54.14,0.066,0.059,0.0,1.0,0.0,0.0,2.0,41,2,Slider,1,0,0,1,0,1,0,1,Standard,Standard,121,0.046,-0.338
SL,2023-05-21,83.3,-3.27,5.28,"Scherzer, Max",642708,453286,,called_strike,,,,,2,"Amed Rosario grounds into a force out, third baseman Brett Baty to second baseman Eduardo Escobar.   Steven Kwan out at 2nd.    Amed Rosario to 1st.",R,R,R,NYM,CLE,S,,,0,0,2023,0.12,0.16,-0.13,2.72,,,680757.0,1,6,Top,,,,,596142,,,6.969828980864203,-121.23869579818802,0.2056500548506736,-0.0828585341728064,21.35530247569157,-30.86639926294941,3.23,1.5,,,,83.5,2560,6.2,718099,453286,596142,624413,500871,683146,596019,643446,607043,516782,54.31,,,,,,,,41,1,Slider,1,0,0,1,0,1,0,1,Standard,Standard,131,0.0,-0.056
FF,2023-05-21,93.9,-3.04,5.25,"Scherzer, Max",680757,453286,single,hit_into_play,,,,,8,Steven Kwan singles on a ground ball to right fielder Starling Marte.,R,L,R,NYM,CLE,X,9.0,ground_ball,2,2,2023,-1.04,1.36,0.01,1.86,,,,1,6,Top,168.58,125.49,,,596142,,,10.190859405398784,-136.37914411695084,-6.067783281957571,-15.170270314934877,29.297067695877104,-13.93294441457456,3.18,1.46,22.0,99.7,-4.0,94.0,2535,6.4,718099,453286,596142,624413,500871,683146,596019,643446,607043,516782,54.08,0.3,0.285,0.9,1.0,1.0,0.0,2.0,40,6,4-Seam Fastball,1,0,0,1,0,1,0,1,Strategic,Standard,223,-0.041,0.291
CU,2023-05-21,77.9,-3.05,5.41,"Scherzer, Max",680757,453286,,foul,,,,,9,Steven Kwan singles on a ground ball to right fielder Starling Marte.,R,L,R,NYM,CLE,S,,,2,2,2023,1.08,-0.89,0.7,1.51,,,,1,6,Top,,,,,596142,,,6.061187755186047,-113.22647337579411,0.2580211490556539,7.949078145999186,23.347371530170008,-40.01707922424821,3.18,1.46,4.0,64.4,-24.0,77.5,2889,6.4,718099,453286,596142,624413,500871,683146,596019,643446,607043,516782,54.14,,,,,,,,40,5,Curveball,1,0,0,1,0,1,0,1,Strategic,Standard,63,0.0,0.0
FC,2023-05-21,86.5,-3.27,5.15,"Scherzer, Max",680757,453286,,ball,,,,,14,Steven Kwan singles on a ground ball to right fielder Starling Marte.,R,L,R,NYM,CLE,B,,,1,2,2023,0.09,0.73,1.36,0.62,,,,1,6,Top,,,,,596142,,,10.840331745736064,-125.47165151470116,-6.1054450365597726,-0.9843331458738368,22.843979341156132,-23.344229768182775,3.18,1.45,,,,86.7,2487,6.4,718099,453286,596142,624413,500871,683146,596019,643446,607043,516782,54.12,,,,,,,,40,4,Cutter,1,0,0,1,0,1,0,1,Strategic,Standard,196,0.0,0.031
FC,2023-05-21,88.3,-3.08,5.26,"Scherzer, Max",680757,453286,,ball,,,,,14,Steven Kwan singles on a ground ball to right fielder Starling Marte.,R,L,R,NYM,CLE,B,,,0,2,2023,-0.14,0.86,1.0,0.1,,,,1,6,Top,,,,,596142,,,10.216435419805851,-128.0300911266524,-8.255957139337392,-3.5677657651694377,24.93865663926069,-21.14413727676516,3.18,1.48,,,,88.4,2525,6.4,718099,453286,596142,624413,500871,683146,596019,643446,607043,516782,54.1,,,,,,,,40,3,Cutter,1,0,0,1,0,1,0,1,Strategic,Standard,205,0.0,0.014
