pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SL,2023-05-25,85.4,-2.84,4.91,"Schmitt, Casey",669477,527054,single,hit_into_play,,,,,3,Casey Schmitt singles on a fly ball to center fielder Joey Wiemer.,R,R,R,MIL,SF,X,8.0,fly_ball,0,1,2023,-0.28,0.93,0.47,2.94,,,,1,5,Top,118.95,95.55,,,605170,,,8.465324061906065,-124.152382087412,-0.2546456465714265,-4.459353490031342,22.400658062048187,-22.627829665198725,3.14,1.5,260.0,73.9,29.0,86.7,2323,7.0,718028,527054,605170,642133,668930,680911,642715,592885,686894,605119,53.54,0.597,0.551,0.9,1.0,1.0,0.0,4.0,31,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,226,-0.033,0.299,casey schmitt,
FC,2023-05-25,87.3,-2.89,4.78,"Schmitt, Casey",669477,527054,field_out,hit_into_play,,,,,5,Casey Schmitt pops out to first baseman Rowdy Tellez.,R,R,R,MIL,SF,X,3.0,popup,2,1,2023,-0.19,0.86,-0.06,2.51,,,,2,2,Top,150.25,170.73,,,605170,,,7.257719235709212,-126.95730402703022,-1.1085562303501963,-3.4303853425139565,24.863205908217505,-22.792534244305195,3.14,1.5,87.0,84.8,73.0,88.2,2201,6.8,718028,527054,605170,642133,668930,680911,642715,592885,686894,605119,53.69,0.001,0.0,0.0,1.0,0.0,0.0,3.0,11,4,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,215,0.01,-0.12,casey schmitt,
FF,2023-05-25,96.1,-1.03,6.6,"Schmitt, Casey",669477,656730,field_out,hit_into_play,,,,,11,"Casey Schmitt grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,R,MIL,SF,X,6.0,ground_ball,0,0,2023,-0.42,1.55,0.0,3.47,,,,0,7,Top,112.18,155.98,,,605170,,,3.700836671865556,-139.74510890122934,-6.221377538872395,-6.402204106210871,33.49178855488013,-10.61867798049619,3.14,1.5,25.0,93.1,-6.0,96.5,2366,6.7,718028,656730,605170,642133,680911,605119,642715,592885,686894,621438,53.81,0.211,0.19,0.0,1.0,0.0,0.0,2.0,48,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,197,0.024,-0.235,casey schmitt,
SI,2023-05-25,91.2,-3.9,4.86,"Schmitt, Casey",669477,668338,double,hit_into_play,,,,,13,Casey Schmitt doubles (5) on a sharp line drive to center fielder Joey Wiemer.   Mike Yastrzemski scores.    Blake Sabol scores.,R,R,R,MIL,SF,X,8.0,line_drive,1,0,2023,-1.41,0.32,-0.85,1.96,,573262.0,666165.0,2,8,Top,100.79,77.19,,,605170,,,11.035573140444107,-132.35821043577002,-2.045732980835049,-19.019027121300248,29.88901608470064,-28.16259048850314,3.14,1.5,214.0,104.3,10.0,93.6,2213,8.0,718028,668338,605170,642133,680911,605119,642715,592885,686894,621438,52.52,0.809,0.786,1.25,1.0,1.0,1.0,4.0,60,2,Sinker,0,2,2,0,4,0,4,0,Standard,Standard,227,-0.099,1.518,casey schmitt,
FF,2023-05-24,93.1,-2.65,4.98,"Schmitt, Casey",669477,657746,strikeout,called_strike,,,,,3,Casey Schmitt called out on strikes.,R,R,R,MIN,SF,S,2.0,,2,2,2023,-1.06,1.15,0.79,2.91,,,666165.0,2,5,Top,,,,,680777,,,11.24661159401606,-135.26545547881545,-2.0762090735300336,-15.389573097879335,27.591399694811603,-17.795672905164583,3.05,1.48,,,,94.0,2370,6.8,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.74,,,0.0,1.0,0.0,0.0,,47,6,4-Seam Fastball,6,1,1,6,1,6,1,6,Standard,Standard,222,0.009,-0.206,casey schmitt,
FS,2023-05-24,83.7,-2.64,5.09,"Schmitt, Casey",669477,657746,field_out,hit_into_play,,,,,7,Casey Schmitt lines out to center fielder Michael A.   Taylor.,R,R,R,MIN,SF,X,8.0,line_drive,1,1,2023,-1.02,0.24,-0.41,1.84,,624424.0,666165.0,2,3,Top,98.36,50.11,,,680777,,,7.199571087222467,-121.7948035859227,-1.6343443397579036,-11.48145597901673,20.625289645338704,-29.701682897310494,3.16,1.51,374.0,97.6,22.0,84.7,1216,6.6,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.86,0.334,0.425,0.0,1.0,0.0,0.0,5.0,27,3,Split-Finger,3,1,1,3,1,3,1,3,Standard,Standard,244,0.047,-0.446,casey schmitt,
ST,2023-05-24,79.6,-2.66,5.15,"Schmitt, Casey",669477,657746,single,hit_into_play,,,,,3,Casey Schmitt singles on a ground ball to right fielder Matt Wallner.   Mike Yastrzemski scores.,R,R,R,MIN,SF,X,9.0,ground_ball,0,2,2023,0.9,-0.42,0.63,3.26,,573262.0,,0,2,Top,161.32,105.41,,,680777,,,5.540845899034944,-115.68716826933802,3.507885076534394,6.892238790912664,23.92766204506482,-36.86144425473263,3.16,1.51,30.0,97.2,-4.0,79.6,2727,6.6,718047,657746,680777,666135,666397,456781,571657,650489,572191,670242,53.87,0.329,0.316,0.9,1.0,1.0,0.0,2.0,12,3,Sweeper,1,0,0,1,1,1,1,1,Strategic,Standard,62,-0.08,0.868,casey schmitt,
CH,2023-05-24,83.5,1.22,5.76,"Schmitt, Casey",669477,663558,strikeout,swinging_strike,,,,,14,Casey Schmitt strikes out swinging.,R,R,L,MIN,SF,S,2.0,,1,2,2023,1.15,0.36,1.15,1.9,,,666165.0,1,7,Top,,,,,680777,,,-2.4550802292373035,-121.56140106115838,-3.212040975011976,11.848552465006636,23.184108620589747,-28.20169540958769,3.16,1.51,,,,84.8,1696,7.1,718047,663558,680777,666135,666397,456781,571657,650489,572191,670242,53.44,,,0.0,1.0,0.0,0.0,,63,4,Changeup,7,1,1,7,1,7,1,7,Standard,Standard,150,0.005,-0.219,casey schmitt,
FF,2023-05-24,104.0,-2.19,6.07,"Schmitt, Casey",669477,661395,strikeout,swinging_strike,,,,,11,Casey Schmitt strikes out swinging.,R,R,R,MIN,SF,S,2.0,,1,2,2023,-0.95,1.26,-0.61,3.87,,527038.0,,2,9,Top,,,,,680777,,,6.867721538424561,-151.33958014248995,-4.252608439534753,-16.268135102952563,35.01915792922354,-11.964946488399804,3.16,1.51,,,,104.3,2050,6.3,718047,661395,680777,666135,666397,456781,571657,650489,572191,670242,54.16,,,0.0,1.0,0.0,0.0,,80,5,4-Seam Fastball,7,1,1,7,1,7,1,7,Standard,Standard,218,0.0,-0.221,casey schmitt,
SI,2023-05-23,97.5,-2.05,5.95,"Schmitt, Casey",669477,605347,field_out,hit_into_play,,,,,11,Casey Schmitt pops out to second baseman Edouard Julien.,R,R,R,MIN,SF,X,4.0,popup,2,1,2023,-1.44,0.61,-0.7,3.61,,,,2,7,Top,160.56,139.95,,,543877,,,6.915632288768764,-141.8594293948882,-2.220824537990263,-21.022764082609047,30.00045793445164,-23.576151184183527,3.47,1.59,175.0,74.8,58.0,97.4,2037,6.1,718054,605347,543877,608336,666397,456781,571657,650489,572191,666135,54.41,0.049,0.045,0.0,1.0,0.0,0.0,3.0,56,4,Sinker,3,4,4,3,4,3,4,3,Standard,Standard,227,0.012,-0.12,casey schmitt,
CH,2023-05-23,83.9,1.37,5.82,"Schmitt, Casey",669477,663558,field_out,hit_into_play,,,,,5,Casey Schmitt flies out to center fielder Michael A.   Taylor.,R,R,L,MIN,SF,X,8.0,fly_ball,0,1,2023,1.03,0.71,-0.06,2.2,605204.0,624424.0,571745.0,0,6,Top,121.16,96.89,,,543877,,,-5.409578447117979,-122.08441835637282,-3.435385106533303,11.374111884905098,22.53946144735402,-24.63143729064045,3.47,1.59,256.0,93.7,51.0,85.1,1698,7.0,718054,663558,543877,608336,666397,456781,571657,650489,572191,666135,53.55,0.006,0.005,0.0,1.0,0.0,0.0,3.0,44,2,Changeup,3,0,0,3,0,3,0,3,Strategic,Standard,143,0.089,-0.251,casey schmitt,
SL,2023-05-22,79.6,-1.42,5.85,"Schmitt, Casey",669477,641927,force_out,hit_into_play,,,,,3,"Casey Schmitt grounds into a force out, shortstop Carlos Correa to second baseman Donovan Solano.   Blake Sabol out at 2nd.",R,R,R,MIN,SF,X,6.0,ground_ball,0,1,2023,1.12,0.22,0.33,2.97,,,666165.0,2,3,Top,101.81,154.11,,,543877,,,1.78815237442105,-115.9811551961467,0.0314653346477569,9.748301972774668,22.066384518254807,-30.40429521517104,3.47,1.59,119.0,85.5,8.0,82.0,2010,7.9,718067,641927,543877,608336,456781,571657,621043,650489,572191,666135,52.63,0.431,0.388,0.0,1.0,0.0,0.0,4.0,22,2,Slider,0,4,4,0,4,0,4,0,Strategic,Standard,68,0.01,-0.207,casey schmitt,
SL,2023-05-22,82.7,-1.47,5.73,"Schmitt, Casey",669477,641927,field_out,hit_into_play,,,,,8,"Casey Schmitt grounds out softly, pitcher Bailey Ober to first baseman Joey Gallo.   Blake Sabol to 2nd.",R,R,R,MIN,SF,X,1.0,ground_ball,1,1,2023,1.05,0.03,0.0,1.81,,,666165.0,0,1,Top,137.95,186.68,,,543877,,,1.3310945010477115,-120.4495003750926,-2.5460045334581345,9.999327692988182,22.840223826872617,-31.65228407839696,3.47,1.59,2.0,41.7,-45.0,83.8,2213,6.9,718067,641927,543877,608336,666397,571657,621043,650489,572191,666135,53.62,0.249,0.224,0.0,1.0,0.0,0.0,1.0,6,3,Slider,0,4,4,0,4,0,4,0,Strategic,Standard,59,0.007,-0.498,casey schmitt,
SI,2023-05-22,92.8,-2.71,5.54,"Schmitt, Casey",669477,663485,field_error,hit_into_play,,,,,7,Casey Schmitt reaches on a fielding error by shortstop Carlos Correa.   Bryce Johnson to 3rd.,R,R,R,MIN,SF,X,6.0,ground_ball,2,1,2023,-1.32,0.41,-0.36,2.05,,669369.0,,2,8,Top,108.96,150.93,,,543877,,,8.811382472064418,-134.9615244680568,-4.048013704516234,-17.926970723205052,26.198566886746114,-26.533415894386952,3.47,1.59,68.0,102.7,2.0,92.5,2248,5.9,718067,663485,543877,608336,456781,571657,621043,650489,572191,664247,54.6,0.486,0.481,0.9,1.0,0.0,0.0,4.0,60,4,Sinker,0,4,4,0,4,0,4,0,Strategic,Standard,230,-0.002,0.498,casey schmitt,
