pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-22,83.1,-1.06,5.81,"Scholtens, Jesse",605137,669947,strikeout,swinging_strike,,,,,7,Josh Bell strikes out swinging.,R,L,R,CLE,CWS,S,2.0,,2,2,2023,0.61,0.03,-0.3,2.16,680757.0,,,2,6,Bot,,,,,518735,,,0.5483476601591382,-121.18477906448427,-2.1014040632577284,6.011942387478557,20.08021910644292,-31.66595360577297,3.57,1.74,,,,84.4,2394,6.7,718072,669947,518735,683734,663853,660162,641313,643217,673357,657757,53.81,,,0.0,1.0,0.0,0.0,,44,7,Slider,1,0,1,0,0,1,1,0,Standard,Standard,109,-0.038,-0.329
SL,2023-05-22,83.6,-0.9,5.91,"Scholtens, Jesse",605137,669947,,foul,,,,,14,Josh Bell strikes out swinging.,R,L,R,CLE,CWS,S,,,2,2,2023,0.68,-0.04,0.55,1.52,680757.0,,,2,6,Bot,,,,,518735,,,2.0344819184322547,-121.79056791193588,-3.699708834135967,6.397950250938295,22.02536586980256,-32.11617374186155,3.57,1.74,,,,84.6,2336,6.7,718072,669947,518735,683734,663853,660162,641313,643217,673357,657757,53.78,,,,,,,,44,6,Slider,1,0,1,0,0,1,1,0,Standard,Standard,123,0.0,0.0
CU,2023-05-22,72.8,-0.68,6.01,"Scholtens, Jesse",605137,669947,,foul,,,,,2,Josh Bell strikes out swinging.,R,L,R,CLE,CWS,S,,,2,2,2023,0.72,-1.22,-0.08,3.08,680757.0,,,2,6,Bot,,,,,518735,,,-0.0380318665632124,-105.99720265967656,3.627401261427435,5.413573524550645,17.89111563722022,-42.205578670779445,3.57,1.74,97.0,75.5,85.0,73.4,2338,6.7,718072,669947,518735,683734,663853,660162,641313,643217,673357,657757,53.83,,,,,,,,44,5,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,28,0.0,0.0
FF,2023-05-22,92.0,-1.01,5.97,"Scholtens, Jesse",605137,669947,,ball,,,,,11,Josh Bell strikes out swinging.,R,L,R,CLE,CWS,B,,,1,2,2023,-0.17,1.42,-0.17,4.09,680757.0,,,2,6,Bot,,,,,518735,,,2.5324024400631893,-133.98538190284268,-2.057938685266,-2.5967350956400783,27.58524010601584,-14.796157903421117,3.85,1.81,,,,92.9,2164,6.7,718072,669947,518735,683734,663853,660162,641313,643217,673357,657757,53.81,,,,,,,,44,4,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,204,0.0,0.042
FF,2023-05-22,92.1,-0.89,6.04,"Scholtens, Jesse",605137,669947,,called_strike,,,,,1,Josh Bell strikes out swinging.,R,L,R,CLE,CWS,S,,,1,1,2023,-0.06,1.48,-0.7,3.44,680757.0,,,2,6,Bot,,,,,518735,,,0.613854050357988,-134.18153334231246,-4.053033746802643,-0.8661755823878164,28.64324091438999,-13.596246377669344,3.77,1.74,,,,93.0,2111,6.7,718072,669947,518735,683734,663853,660162,641313,643217,673357,657757,53.77,,,,,,,,44,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,198,0.0,-0.057
CU,2023-05-22,73.6,-0.82,5.87,"Scholtens, Jesse",605137,669947,,blocked_ball,,,,,13,Josh Bell strikes out swinging.,R,L,R,CLE,CWS,B,,,0,1,2023,1.04,-1.14,-0.46,0.49,680757.0,,,2,6,Bot,,,,,518735,,,-1.0663232489906855,-107.1086777394626,-1.5506722312468288,8.142859866431184,20.80437022219664,-40.83636036212364,3.7,1.74,,,,73.6,2488,6.6,718072,669947,518735,683734,663853,660162,641313,643217,673357,657757,53.93,,,,,,,,44,2,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,32,0.0,0.024
CU,2023-05-22,72.9,-0.67,6.04,"Scholtens, Jesse",605137,669947,,swinging_strike,,,,,8,Josh Bell strikes out swinging.,R,L,R,CLE,CWS,S,,,0,0,2023,1.04,-1.14,0.14,1.85,680757.0,,,2,6,Bot,,,,,518735,,,-0.1830261902100758,-106.08648181102154,1.0321533398212237,7.813640378792997,20.777873873033887,-41.16574158406281,3.57,1.74,,,,73.1,2346,6.8,718072,669947,518735,683734,663853,660162,641313,643217,673357,657757,53.74,,,,,,,,44,1,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,30,0.0,-0.041
FF,2023-05-22,91.8,-0.85,6.07,"Scholtens, Jesse",608070,669947,field_out,hit_into_play,,,,,5,Jose Ramirez flies out to center fielder Luis Robert Jr.  Steven Kwan to 3rd.,R,L,R,CLE,CWS,X,8.0,fly_ball,0,0,2023,-0.29,1.42,-0.16,2.4,,680757.0,,1,6,Bot,98.32,59.28,,,518735,,,2.389105613562788,-133.69203556279084,-6.621575415556554,-3.917605629544012,25.74017537901228,-13.918622408039042,3.31,1.55,353.0,97.2,29.0,92.9,2088,6.7,718072,669947,518735,683734,663853,660162,641313,643217,673357,657757,53.82,0.346,0.561,0.0,1.0,0.0,0.0,5.0,43,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,193,-0.027,-0.351
SL,2023-05-22,84.1,-1.01,5.87,"Scholtens, Jesse",642708,669947,field_out,hit_into_play,,,,,13,"Amed Rosario grounds out, second baseman Romy Gonzalez to first baseman Andrew Vaughn.   Steven Kwan to 2nd.",R,R,R,CLE,CWS,X,4.0,ground_ball,0,1,2023,0.65,0.14,-0.35,1.09,,,680757.0,0,6,Bot,142.85,156.23,,,518735,,,0.2322313895754292,-122.50965980169146,-5.064964488564669,6.587187958848357,22.22954378352178,-30.07396928664976,3.13,1.5,51.0,59.9,6.0,85.2,2364,6.8,718072,669947,518735,683734,663853,660162,641313,643217,673357,657757,53.72,0.151,0.136,0.0,1.0,0.0,0.0,2.0,42,2,Slider,1,0,1,0,0,1,1,0,Standard,Standard,134,-0.012,-0.473
FF,2023-05-22,91.4,-0.78,6.02,"Scholtens, Jesse",642708,669947,,swinging_strike,,,,,8,"Amed Rosario grounds out, second baseman Romy Gonzalez to first baseman Andrew Vaughn.   Steven Kwan to 2nd.",R,R,R,CLE,CWS,S,,,0,0,2023,-0.12,1.53,0.11,1.96,,,680757.0,0,6,Bot,,,,,518735,,,2.54553498945814,-133.00882027399376,-7.740860004745765,-1.9686565437207937,28.35346607268064,-12.544523161878718,3.13,1.5,,,,92.4,2113,6.9,718072,669947,518735,683734,663853,660162,641313,643217,673357,657757,53.63,,,,,,,,42,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,191,0.0,-0.051
