pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-24,87.8,-0.99,6.41,"Schoop, Jonathan",570731,425844,strikeout,swinging_strike,,,,,11,Jonathan Schoop strikes out swinging.,R,R,R,KC,DET,S,2.0,,1,2,2023,-0.13,1.64,-0.94,3.51,,,,1,5,Top,,,,,666023,,,0.3905807004889322,-127.88701819773569,-4.338213059844243,-1.4926259269100033,24.74338933815329,-13.466700344562495,3.55,1.69,,,,88.0,2176.0,6.2,718039,425844,666023,668472,622110,672580,677951,658668,598265,669004,54.31,,,0.0,1.0,0.0,0.0,,33,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,202.0,0.021,-0.122,jonathan schoop,
FF,2023-05-24,91.2,-2.16,5.97,"Schoop, Jonathan",570731,621295,double,hit_into_play,,,,,7,Jonathan Schoop doubles (4) on a sharp line drive to center fielder Jackie Bradley Jr.  Spencer Torkelson scores.    Zack Short scores.,R,R,R,KC,DET,X,8.0,line_drive,2,0,2023,-0.73,1.33,-0.44,2.01,679529.0,,670097.0,2,8,Top,100.07,40.69,,,666023,,,5.953392859815122,-132.65359306107385,-7.044574318429857,-9.8084001599956,24.215493074541417,-15.142859262240917,3.55,1.69,365.0,103.7,18.0,92.4,2060.0,6.7,718039,621295,666023,668472,622110,672580,677951,658668,598265,669004,53.79,0.489,0.602,1.25,1.0,1.0,1.0,5.0,65,3,4-Seam Fastball,2,4,4,2,6,2,6,2,Standard,Standard,215.0,-0.095,1.291,jonathan schoop,
CH,2023-05-24,86.8,-1.33,6.19,"Schoop, Jonathan",570731,425844,strikeout,called_strike,,,,,8,Jonathan Schoop called out on strikes.,R,R,R,KC,DET,S,2.0,,2,2,2023,-1.06,0.52,0.11,1.65,,,,0,3,Top,,,,,666023,,,5.6125872485751005,-126.26766408925124,-5.802569728922885,-12.497678157074102,23.02546901248061,-25.62851919335871,3.51,1.65,,,,87.1,1719.0,6.3,718039,425844,666023,668472,622110,672580,677951,658668,598265,669004,54.25,,,0.0,1.0,0.0,0.0,,15,6,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,234.0,0.025,-0.205,jonathan schoop,
SL,2023-05-24,82.5,2.29,5.75,"Schoop, Jonathan",570731,657031,strikeout,swinging_strike,,,,,9,Jonathan Schoop strikes out swinging.,R,R,L,KC,DET,S,2.0,,3,2,2023,-0.3,0.16,0.47,1.75,,,,2,6,Top,,,,,666023,,,-3.611860943697752,-120.30702537169458,-3.0446813160328223,-2.3536297938663826,19.54293627008362,-30.28433165453261,3.55,1.69,,,,83.9,2093.0,6.7,718039,657031,666023,668472,622110,672580,677951,658668,598265,669004,53.76,,,0.0,1.0,0.0,0.0,,47,6,Slider,1,4,4,1,4,1,4,1,Standard,Standard,271.0,0.005,-0.131,jonathan schoop,
SL,2023-05-23,88.9,0.46,6.08,"Schoop, Jonathan",570731,547973,walk,ball,,,,,13,Jonathan Schoop walks.,R,R,L,KC,DET,B,,,3,1,2023,-1.08,0.23,-1.58,1.54,,,,2,9,Top,,,,,521692,,,-2.773020573620105,-129.47152202283587,-5.644588794766854,-11.52090427341181,27.391267723712453,-28.616760522628983,3.59,1.68,,,,90.3,2228.0,7.1,718049,547973,521692,668472,670032,672580,677951,681987,598265,669004,53.35,,,0.7,1.0,0.0,0.0,,76,5,Slider,4,1,1,4,1,4,1,4,Standard,Standard,284.0,-0.007,0.066,jonathan schoop,
SL,2023-05-22,82.2,-1.79,5.09,"Schoop, Jonathan",570731,605130,strikeout,swinging_strike,,,,,14,Jonathan Schoop strikes out swinging.,R,R,R,KC,DET,S,2.0,,1,2,2023,0.89,-0.26,0.74,1.01,,606992.0,670097.0,0,10,Top,,,,,521692,,,4.090232957752792,-119.67516975136176,-2.287754204146242,7.8482141113791855,21.7400331027583,-34.445248988727975,3.54,1.66,,,,84.0,2523.0,7.3,718066,605130,521692,686469,672580,670032,677951,668472,598265,669004,53.2,,,0.0,1.0,0.0,0.0,,81,4,Slider,5,5,5,5,5,5,5,5,Standard,Standard,88.0,0.12,-0.307,jonathan schoop,
FF,2023-05-22,100.4,0.49,5.98,"Schoop, Jonathan",570731,547973,field_out,hit_into_play,,,,,5,Jonathan Schoop grounds out to first baseman Vinnie Pasquantino.,R,R,L,KC,DET,X,3.0,ground_ball,3,2,2023,0.13,1.36,-0.23,2.58,,,,0,8,Top,139.67,179.73,,,521692,,,-2.3640721031869445,-146.165519033491,-7.490880529414834,2.3663449965383245,30.89104142246826,-11.168991335646105,3.54,1.66,35.0,63.8,0.0,103.0,2444.0,7.4,718066,547973,521692,686469,672580,670032,677951,668472,598265,669004,53.09,0.14,0.131,0.0,1.0,0.0,0.0,2.0,65,11,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,158.0,0.046,-0.315,jonathan schoop,
SI,2023-05-20,94.3,2.21,6.26,"Schoop, Jonathan",570731,571578,strikeout,swinging_strike,,,,,12,Jonathan Schoop strikes out swinging.,R,R,L,WSH,DET,S,2.0,,1,2,2023,1.29,0.64,0.07,3.87,,,679529.0,2,6,Top,,,,,660688,,,-8.526349610025347,-137.22240450801064,-1.9981792792410549,18.086263378998044,28.002260134010434,-23.821899036885103,3.54,1.65,,,,95.5,2058.0,6.8,718108,571578,660688,642086,545121,600869,682928,572816,669743,657041,53.68,,,0.0,1.0,0.0,0.0,,44,4,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,138.0,0.038,-0.176,jonathan schoop,
SI,2023-05-20,93.1,2.29,6.37,"Schoop, Jonathan",570731,571578,single,hit_into_play,,,,,6,Jonathan Schoop singles on a ground ball to right fielder Lane Thomas.,R,R,L,WSH,DET,X,9.0,ground_ball,0,1,2023,1.05,0.61,0.41,2.38,,,,1,4,Top,193.82,121.15,,,660688,,,-7.191513212707316,-135.46635181961184,-5.924277211400243,14.505064107277184,27.120468927154157,-23.526882995842485,3.54,1.65,10.0,104.9,-12.0,94.3,2021.0,6.8,718108,571578,660688,642086,545121,600869,682928,572816,669743,657041,53.7,0.297,0.267,0.9,1.0,1.0,0.0,2.0,25,2,Sinker,0,2,2,0,2,0,2,0,Standard,Standard,135.0,-0.019,0.299,jonathan schoop,
SL,2023-05-20,77.0,2.46,6.45,"Schoop, Jonathan",570731,571578,single,hit_into_play,,,,,8,Jonathan Schoop singles on a sharp line drive to left fielder Corey Dickerson.,R,R,L,WSH,DET,X,7.0,line_drive,0,0,2023,-0.49,0.02,-0.26,2.05,,,,0,2,Top,26.42,98.04,,,660688,,,-4.909879775608481,-112.23739215606908,-2.5632655893156557,-3.481092742320678,16.974584871394782,-31.798077448637542,3.54,1.65,347.0,111.3,21.0,78.2,2085.0,6.7,718108,571578,660688,642086,545121,600869,682928,572816,669743,657041,53.8,0.977,1.811,0.9,1.0,1.0,0.0,6.0,10,1,Slider,0,2,2,0,2,0,2,0,Standard,Standard,317.0,-0.027,0.394,jonathan schoop,
